Date,rsi,macd,adx,ema1,ema2,obv
2014-07-31,44.415495524322324,6.954589055396342,17.149369937608377,585.0330098906477,582.6192916680327,1262400.0
2014-08-01,41.27942294664427,6.144997749177845,17.721819693503992,581.58518991053,581.0431686520296,-687500.0
2014-08-04,46.48883607788362,5.312668398378615,18.253380181121347,580.0515190177064,580.2914383042173,735900.0
2014-08-05,41.91832095116105,4.368699034839354,18.884347896000175,577.3276064690325,578.8417775133395,-811100.0
2014-08-06,42.89409311437374,3.415087717620442,19.711060584504246,575.3360416564811,577.6543701311167,519600.0
2014-08-07,41.17236178542063,2.4495526062511237,20.478722366686593,573.1585795371209,576.2930015472008,-588300.0
2014-08-08,45.408151507193715,1.6078892021499023,21.26693365131379,572.3606559849171,575.5765252093721,902400.0
2014-08-11,44.83620000884434,0.8701234358626919,21.949971519048404,571.5459912603867,574.8435228084795,-309000.0
2014-08-12,41.57303513548767,0.1520051672110616,23.11172353626525,569.9430837584982,573.6898539695767,-1846800.0
2014-08-13,50.627448052724375,-0.3242492225538373,22.5153257460053,570.8225230751349,573.7936774010456,-408900.0
2014-08-14,50.53645824224484,-0.6252770211369514,21.510437948037758,571.5184279705649,573.8752319342793,-1391700.0
2014-08-15,49.67121405254683,-0.8179373462989126,20.349928221159264,571.8750774304622,573.8375907976813,-2906700.0
2014-08-18,55.7272560243092,-0.7922268907979918,19.26296976831407,573.7450633521963,574.6302011979021,-1626100.0
2014-08-19,58.63007511500782,-0.5542022447635649,18.629196978915786,576.1295972881607,575.7949439409591,-650100.0
2014-08-20,56.61428760939612,-0.23212964936690728,17.8098563208688,577.6496705084951,576.6230445180106,-1684000.0
2014-08-21,55.64070836021754,0.1083991193171785,16.815099180545705,578.6897304160415,577.2656117067716,-2596300.0
2014-08-22,54.90532899444599,0.429474638667905,16.005765431105743,579.393415794943,577.7698391632695,-3383200.0
2014-08-25,52.71908649210151,0.6828946477043074,14.964622544136857,579.5400674685898,578.0012830524819,-4740900.0
2014-08-26,50.568996165207245,0.8417350095795018,14.210666234447302,579.2346006561189,577.9878275236741,-6376100.0
2014-08-27,44.80047618896747,0.8216022288859394,14.482265459517489,577.7374005368246,577.322320140467,-8074800.0
2014-08-28,43.40147641448373,0.6597573969574252,15.122986094563021,576.1851458937656,576.5487658413749,-9364200.0
2014-08-29,45.830401129101304,0.4543612479868281,15.721944692461387,575.35148300399,576.077454808863,-8283400.0
2014-09-02,51.213548236655015,0.3228184049803674,15.13916290774713,575.7112133669009,576.1967448270665,-6709300.0
2014-09-03,51.76311414901073,0.2534575018583497,14.36461124784814,576.1164473001917,576.3627691292506,-5497500.0
