Date,rsi,macd,adx,ema1,ema2,obv
2019-07-16,80.92391260064188,2.0616080055749504,46.33139436086834,109.98726413126714,108.41080242488337,307730183.0
2019-07-17,79.00388346927424,2.068395033576116,47.505964934915916,110.20540396636582,108.67520535816209,305041715.0
2019-07-18,79.39867876269872,2.0652054240205695,47.83992869072218,110.40505041559207,108.92551527044286,308265923.0
2019-07-19,69.74752796476322,2.0385298348001704,48.40763777908058,110.42374676117679,109.0762167033824,304469534.0
2019-07-22,59.490772112049804,1.9771682351023128,46.82620336833456,110.24852815025466,109.11277172221313,299952356.0
2019-07-23,53.73836714816387,1.8814765600727905,44.53746933608353,109.97639302109982,109.07839202865979,294198126.0
2019-07-24,53.05720803337994,1.763602374803261,42.41221630613615,109.73786070459128,109.03897043357817,290020684.0
2019-07-25,54.57301154069108,1.6373896139622175,40.43876706404215,109.5815066377753,109.02363166248534,293872144.0
2019-07-26,59.67250695956873,1.5212181496846602,39.36396008339654,109.59470326528991,109.08367513168727,298601180.0
2019-07-29,53.5979149523171,1.4023536603897695,38.29033638503591,109.47319799143784,109.06869885810787,294855010.0
2019-07-30,52.00165823454882,1.281585414073389,37.17395427132363,109.33673988148605,109.03574452749788,291820302.0
2019-07-31,41.38335332656534,1.1370286371948726,35.06555441657239,108.9287347043974,108.85069375416461,285609025.0
2019-08-01,36.593547435914736,0.9670687885132898,33.36417894459362,108.41850893405164,108.59086510781519,278157041.0
2019-08-02,36.751221063446245,0.7882018026622932,32.64936735464733,108.00457955264149,108.3576300819562,283813750.0
2019-08-05,24.84262060815353,0.5559162459710792,33.317555078002144,107.03438605599506,107.81580962854001,276244701.0
2019-08-06,34.14975538371012,0.3235036505172327,33.938015106831614,106.49637623837596,107.45957366954478,283259767.0
2019-08-07,39.338443355403555,0.11685327142717844,33.692232532537716,106.22024150563352,107.22319857799695,290538077.0
2019-08-08,43.70454793084542,-0.04992584916554671,32.77513999936207,106.14425593775377,107.087876892692,294912447.0
2019-08-09,39.24520831008975,-0.20214584504034003,32.51064474534379,105.86227746690224,106.85030522177564,290719527.0
2019-08-12,33.11258502498261,-0.3693097819806456,33.09988657917429,105.26108419360594,106.4412965781563,284611022.0
2019-08-13,43.25573794901695,-0.5017037440111002,32.565617740871204,105.16272683891167,106.27737487954974,291331260.0
2019-08-14,39.720188308504184,-0.6230421546417584,32.069510962446905,104.86776212547974,106.0167125972151,282022955.0
2019-08-15,59.05252499505889,-0.6287192697663212,31.12556215715259,105.7768764812227,106.38349150053423,301835849.0
2019-08-16,59.69598566827942,-0.5555050831588486,30.71854547148228,106.57387678405453,106.74319499065457,312800062.0
2019-08-19,61.47788155690965,-0.42266026573041393,30.340601406216987,107.37132514884424,107.14478049539203,319978308.0
2019-08-20,55.77782582697118,-0.2858173077914584,29.0599127357606,107.71179669947347,107.34469841747898,313865992.0
2019-08-21,55.68305459429453,-0.153457137384638,27.797997737854196,107.98504638517498,107.52279094636972,305709118.0
2019-08-22,55.31195534734994,-0.03220650578758727,26.321994785878946,108.18911517219108,107.67370844802628,299713685.0
2019-08-23,51.67088808790212,0.05899887173568251,24.59481125395826,108.16463446465256,107.70997157495037,293476946.0
2019-08-26,55.090426873691456,0.14450050557882496,22.877790891909648,108.35023206459913,107.85049059298926,299412910.0
2019-08-27,56.32408792097402,0.2283042536558974,21.580629369251763,108.57830854809156,108.01755365306718,305146739.0
2019-08-28,57.20729820030505,0.31079677759171437,20.52473979434842,108.81809604635477,108.19656185644547,310523802.0
2019-08-29,61.05237846630407,0.4085893084878954,20.31805209304556,109.25536606495507,108.484801789037,315794278.0
2019-08-30,61.544880634311916,0.5127137597644161,20.48774038247991,109.64504012359879,108.76230384603303,321499540.0
2019-09-03,62.61953228813054,0.6200908316056254,20.35425264253421,110.03122501073035,109.04866128953678,327442190.0
2019-09-04,66.0357131506981,0.7422190689310972,20.542216553431988,110.57232087123758,109.42566995182091,333225126.0
2019-09-05,63.71502490819276,0.8581884318121933,21.547205873937987,110.93172116897142,109.72313210010212,327399007.0
2019-09-06,60.26931014051552,0.9512182848220547,21.997869527198215,111.09991788774786,109.92633886411544,323054507.0
2019-09-09,64.8788025012093,1.0477130881787673,22.760234872842855,111.52115720527452,110.25875746126106,329023484.0
2019-09-10,63.490580185544275,1.1345779252458386,23.60481170946273,111.81617338741762,110.53351829419444,324166115.0
2019-09-11,63.334214127116,1.2078007090872627,24.175373483890127,112.05223231708503,110.77932583766052,318883536.0
2019-09-12,66.03661688443216,1.2798810176805349,24.86615390534323,112.40490984030295,111.08529087167224,323355454.0
2019-09-13,67.49847481760894,1.3524825508019922,25.965844054883778,112.78386927021651,111.40947142721085,328993881.0
2019-09-16,57.73776032252056,1.3895902499024753,25.707477429935512,112.7642142944482,111.53007099638036,322955137.0
2019-09-17,60.82121919330766,1.4139602728809475,25.369467019404727,112.91476194509099,111.72646674653305,327732043.0
2019-09-18,62.840186838974255,1.4359570128512373,25.327044382178503,113.15315947263244,111.96451261320314,331846357.0
2019-09-19,62.57306634388018,1.4512625396744687,25.569989782466585,113.33934875078054,112.17524479313113,328450830.0
2019-09-20,61.83706828981062,1.456241949038851,25.795581939876946,113.46864099749861,112.35383634690244,316871024.0
2019-09-23,64.07723476433658,1.4611241644835187,26.38578137697744,113.68787509113359,112.57484512457754,322777295.0
2019-09-24,66.64688644076703,1.4744921260945323,27.554590906091352,114.00551505288993,112.84723081564573,330485069.0
2019-09-25,66.87588717422976,1.4902061932895752,28.444133635655387,114.27781083646708,113.10017472487607,335114587.0
2019-09-26,65.69617478843945,1.5005261877934017,29.60879863566265,114.47046326484572,113.31324372179736,331123388.0
2019-09-27,66.26170618389855,1.5058375183088435,30.243914950506277,114.65467771213113,113.519948388761,334558130.0
2019-09-30,67.15582209860858,1.5078765978015092,30.92902417057886,114.8461695477212,113.72832309534343,338162012.0
2019-10-01,60.885111545452176,1.4914105059109999,30.711063576401024,114.8557148291268,113.83978457154424,334421034.0
2019-10-02,50.335024088973114,1.433899763606497,28.792670043671848,114.55685634907324,113.77999491604787,328412986.0
2019-10-03,51.332440936265535,1.3533651149753692,27.127573545001297,114.34601610315006,113.74354159037624,333747877.0
2019-10-04,59.79834291929682,1.2883131995437973,25.729258679802474,114.50145048966971,113.8823381273888,338616547.0
2019-10-07,54.65160021443744,1.2189733369454587,24.430823447832136,114.46376773306426,113.92156262271746,333863456.0
2019-10-08,56.18016491525235,1.1532466991765933,23.45062657951728,114.49497909745138,113.98955001457232,339409589.0
2019-10-09,61.562028957231426,1.1116008484998345,22.916177921528398,114.75982326673045,114.17641401589745,343339583.0
2019-10-10,63.962914576774786,1.095275259766795,22.75113486479021,115.09705407433307,114.4086215104353,347736628.0
2019-10-11,66.07699567355748,1.102978947768049,23.042373233265444,115.48464706890552,114.6772114184397,353885520.0
2019-10-14,59.6739755418795,1.106182260340621,23.312808861135306,115.612095180063,114.82086858623322,349285298.0
2019-10-15,61.041819786139975,1.109475441064416,23.34133736050295,115.78018626695149,114.98427121211098,354670454.0
2019-10-16,60.3680166722589,1.1084125610346982,23.441422196913326,115.89821620039329,115.12189784913674,350526195.0
2019-10-17,62.08875516846027,1.108681852416496,23.625427775646852,116.0692373987774,115.28541546269571,354486720.0
2019-10-18,57.60000895100824,1.0963566887783918,24.02524534986901,116.0850784124176,115.3683628447055,348894436.0
2019-10-21,60.252533690417664,1.083617772093381,24.03019143380464,116.2043981743893,115.49912229790135,352366596.0
2019-10-22,59.189151919344084,1.0663287551586376,24.27755329152748,116.27366105214973,115.60257198401281,349770404.0
2019-10-23,57.615016382593666,1.0410861438875694,23.686197237196417,116.28955975523354,115.6748131206888,346903174.0
2019-10-24,55.87553977131141,1.0059200703454798,22.93488543618156,116.25825156310033,115.71696089000423,343981188.0
2019-10-25,55.442901653605134,0.9631516392101542,21.88722022157052,116.22199987627383,115.74952340386616,341417091.0
2019-10-28,56.53031700566328,0.9184648482130294,21.26391001795265,116.22424708502288,115.79569827248783,344821413.0
2019-10-29,43.409848269662355,0.8406262786544961,20.275384996988425,115.85914739279046,115.64526974917895,340031343.0
2019-10-30,49.23335204802805,0.7589504099165331,19.383276524022428,115.72883110611252,115.59737813650112,343027296.0
2019-10-31,44.83950737616828,0.6643550900742325,18.759316114504113,115.47330618405805,115.47605107919748,338146734.0
2019-11-01,47.02169096208056,0.5707065042635048,18.179924305665676,115.32805569831858,115.39970607284448,341909327.0
2019-11-04,46.745091488200046,0.48048202767035353,17.358451183900886,115.20035114741866,115.32598936765633,337266434.0
2019-11-05,54.22632599655669,0.4161040960737396,16.490051187457304,115.32453731092718,115.37907371804292,341479173.0
2019-11-06,57.42207775869078,0.38030780558943156,16.158501907600602,115.53959370011798,115.4865283593223,345092422.0
2019-11-07,60.78514426609804,0.3747906896936085,16.919760381730196,115.84495229567055,115.65153194183038,349532770.0
2019-11-08,55.66132884622418,0.3753986209267997,16.921661741098507,115.9547518852814,115.72746699865894,345700067.0
2019-11-11,53.21536166253886,0.37273618783032514,16.218300655970616,115.97368195805834,115.75902893074424,341261453.0
2019-11-12,53.65401741479686,0.3685583711142427,15.887041860877957,116.00335139043858,115.79501320744951,346323824.0
2019-11-13,62.46566169862972,0.39174178409006055,16.596505451298583,116.35733907172002,116.00027705792922,354333523.0
2019-11-14,60.276010001799165,0.4248334078563136,19.050977376527044,116.58846794345848,116.1553504682485,331829492.0
2019-11-15,50.078858729417554,0.43374464292216286,20.32684854881751,116.46204188383693,116.13037657751435,321695963.0
2019-11-18,56.25735979244963,0.4475100626998386,21.391668005125407,116.60322792555857,116.23591834282784,328243916.0
2019-11-19,54.3670100291504,0.45697666705738776,22.380428928839883,116.65492841829843,116.2979814183326,324529582.0
2019-11-20,50.50847166168122,0.45038936048071154,22.164122363818972,116.56250750678491,116.28356541706036,319454557.0
2019-11-21,53.89336328773929,0.44441361596246204,21.963266267728127,116.61629376539759,116.33830508487887,323756535.0
2019-11-22,51.30511238624761,0.43034410275016743,21.95100508835008,116.57166826040441,116.34140493278899,319913452.0
2019-11-25,49.07169692318112,0.4041141362327054,20.81307868638978,116.45715993299667,116.3033542210626,314032074.0
2019-11-26,50.4958167922832,0.37491600776096057,19.75643274171236,116.41133282116463,116.29399770647764,320324222.0
2019-11-27,48.18488289713294,0.3378450045166076,19.124087320660625,116.2976140097659,116.24560548285801,316891010.0
2019-11-29,50.07328837404822,0.30214584835161873,18.655735441068305,116.26306875884055,116.23246354445978,320048326.0
2019-12-02,51.176582453656316,0.27144472146050386,17.395631145948197,116.26848479129498,116.23821529616265,325718689.0
2019-12-03,47.54400404906936,0.2353785196049126,16.280540460889014,116.164784509069,116.18677890977116,318962255.0
2019-12-04,47.67514447748046,0.197614864692646,15.193200714601039,116.0834841213657,116.14209828757399,324518886.0
2019-12-05,50.97492047965241,0.1680939418515833,14.34358002021557,116.10559806619383,116.14809948094032,328871654.0
2019-12-06,57.47331572309214,0.1624030846668227,13.949208280074277,116.32311474062797,116.25798903281091,333212439.0
2019-12-09,54.55304724101857,0.16501440109392324,13.630826217759415,116.42629913623355,116.31824045030118,328396443.0
2019-12-10,53.03298737040216,0.16887901267216104,13.169329538241824,116.47155026986451,116.35223472848237,324114188.0
2019-12-11,52.03926992867104,0.170754258437606,12.252929573368624,116.48364599379752,116.3699339687694,320763230.0
2019-12-12,56.77436244053485,0.18276962281121167,11.832889714633557,116.6288655484152,116.45683107119086,324912250.0
2019-12-13,59.75814797077437,0.20837508527277518,11.918251134280712,116.84205157160247,116.58488417640555,330278587.0
2019-12-16,61.12142875997289,0.2445874343409382,12.558199639233532,117.06099066190751,116.72405868991743,335629320.0
2019-12-17,64.91072173703142,0.2965542136839465,13.414580985519185,117.37188456512287,116.9189966365531,340205134.0
2019-12-18,54.028613961099914,0.3328089045660242,13.23773989024913,117.3734118625785,116.96292883317936,335102821.0
2019-12-19,55.27951263593115,0.35999384888439634,13.009005799985731,117.41383393236124,117.0231959201512,339566910.0
2019-12-20,56.496374507395494,0.38252958553030075,14.023732452449318,117.48429843119467,117.09730951594109,347520311.0
2019-12-23,48.048449217687114,0.38041139242145705,13.930491321727432,117.31759982526407,117.04684728571587,343034505.0
2019-12-24,51.05124965072728,0.3695842836191896,13.843910271771396,117.26667724828145,117.0459595110629,345261928.0
2019-12-26,51.11464394660638,0.35318005621405996,13.960999927223762,117.22679388814902,117.04608896406197,349485685.0
2019-12-27,51.58730579521298,0.33442887092241935,14.142965225621367,117.20662601346864,117.05273483199959,353029473.0
2019-12-30,50.16938875884696,0.311458769584675,14.175283644929488,117.1562942617893,117.04102688411699,350083662.0
2019-12-31,46.1437059393089,0.27758895382343657,13.17157973788798,117.01540201426428,116.97820402852506,345171745.0
2020-01-02,46.96213944000125,0.23959267296991746,12.33127066514954,116.91793220391364,116.93069107888797,351936115.0
2020-01-03,40.07560123297564,0.18405019006883758,12.407558364289093,116.6512246958436,116.78977201513945,346536878.0
2020-01-06,38.67942660665803,0.11625238618105659,13.121331060594645,116.39027586621508,116.63988955016299,340098874.0
