Date,rsi,macd,adx,ema1,ema2,obv
2015-04-02,52.88188836686333,0.17566107913535617,14.525295024066324,51.20833805507109,51.228691418697,421962555.0
2015-04-06,52.514452527390276,0.15722827687945676,13.74037549864749,51.25267937895053,51.24997941085995,409937530.0
2015-04-07,55.06958413211891,0.14941093488080714,13.372275427032989,51.34774614737151,51.30003342937481,421441533.0
2015-04-08,56.3993520478214,0.15103145035462412,13.095680086245745,51.45646884008512,51.36152747965305,433175483.0
2015-04-09,59.134590806809214,0.16383981875954823,12.687597509313102,51.610399432171526,51.45119982412041,444893313.0
2015-04-10,60.592545118132776,0.18573794396863672,12.555817482287003,51.771924553848585,51.55097008862278,454761983.0
2015-04-13,62.88646853456162,0.21678489232567316,12.992153641206102,51.96132193544915,51.6712215232922,470230685.0
2015-04-14,68.12495708923608,0.26461242395924933,14.590180418650752,52.26634626718556,51.858624783930985,504006091.0
2015-04-15,73.06364282608835,0.3357303361402087,16.653650398475047,52.6969152584932,52.1229915396878,532738316.0
2015-04-16,69.1206392372258,0.41152282702385024,18.56972966545475,52.98731739609747,52.32976634689055,516097862.0
2015-04-17,60.58239255857665,0.4721662347723482,18.670862797519597,53.07485630734683,52.43824397175516,495887748.0
2015-04-20,62.63228213755413,0.5244893654912711,18.86630107392704,53.20836063547102,52.56880455654323,508643057.0
2015-04-21,55.416448121331804,0.5550343247828416,17.84509630899658,53.17371676994688,52.61156787259513,493657938.0
2015-04-22,58.873106710809694,0.5776152474505054,16.787991765410418,53.242835281590025,52.70131079748933,508142596.0
2015-04-23,57.80063316749765,0.5908037123054507,15.870994142031764,53.277728237221446,52.77116182035347,495309807.0
2015-04-24,56.224891910808104,0.593352211880214,14.764940133645736,53.27533622782344,52.81815328370384,485712282.0
2015-04-27,54.15788448220636,0.5842162789589607,14.047256932349564,53.23315610056332,52.83960016410279,474582550.0
2015-04-28,56.91347989801936,0.5726057117737143,13.358178641939551,53.26362074903486,52.893039354869835,486890378.0
2015-04-29,61.852407058541445,0.570150788715156,13.294761397075584,53.418497693880276,53.009458839709346,504475320.0
2015-04-30,58.90895585124698,0.5676480930920581,13.235873955416183,53.492615849035296,53.08723871661635,487636155.0
2015-05-01,60.96813147547806,0.5687041718583937,13.181192759589598,53.607404360717275,53.185973378203954,499276960.0
2015-05-04,66.6722868194527,0.5857076980321219,14.09232020391609,53.87304362550599,53.36525403904693,514225071.0
2015-05-05,63.778554486023566,0.606136424192776,15.30543318530186,54.040879576106086,53.501529021404984,496532902.0
2015-05-06,59.599917836683034,0.6197435064933854,15.250066314187084,54.10394200025651,53.58592843926483,478447290.0
2015-05-07,62.77372784089311,0.6348226819798596,14.98697366278326,54.24526682381382,53.7092903526512,493485926.0
2015-05-08,67.4711469613612,0.6620265827217172,15.67397686110075,54.51405314173358,53.901128564053224,510288187.0
2015-05-11,67.10271328105381,0.6933520539538394,16.311908402395563,54.72778106177591,54.07145505337829,496488512.0
2015-05-12,66.22643945539811,0.722816658595954,16.471945124855186,54.888726003917135,54.218266785775846,483726328.0
2015-05-13,67.0502253727053,0.7500949053890745,16.70622089963829,55.045160862328025,54.364062113337866,495600602.0
2015-05-14,69.68774852641451,0.7800580325014208,17.430192842062493,55.255146116097066,54.53892093664452,507455030.0
2015-05-15,67.81269961283776,0.8060475863650398,17.691002682476455,55.40065256023067,54.68335051970998,496303000.0
2015-05-18,70.52558178278703,0.8336776081141226,18.29001887401017,55.603243423700384,54.857784023481805,506813683.0
2015-05-19,73.18489122928142,0.86699665762295,19.397590439691403,55.860274918991934,55.063415701988674,521096677.0
2015-05-20,67.30985149119255,0.8929639432740897,20.152974014327402,55.98858031825217,55.20651464607768,508653615.0
2015-05-21,68.19188492161385,0.9132345698265778,20.242236674689895,56.11985713568798,55.34976113827496,521577582.0
2015-05-22,66.15648914504801,0.9243470456087989,20.474379596554773,56.199418728712295,55.46477873437465,512280643.0
2015-05-26,58.43449658554983,0.9169844418058072,19.26427536008871,56.15003364982079,55.50887607346363,496709316.0
2015-05-27,63.07592101617819,0.9063836027374435,18.543122124628628,56.224108603911866,55.60873986621202,507672918.0
2015-05-28,60.424679320811634,0.8885776887315753,17.765971625210394,56.24294531630618,55.677213262009026,495875474.0
2015-05-29,56.44984796884399,0.8594623724481968,16.537699217011163,56.19338151021717,55.70513051160975,481564751.0
2015-06-01,58.54740015276051,0.8268984749045866,15.9363105733557,56.199240492152654,55.75469959725285,493463412.0
2015-06-02,57.94627719117839,0.7911809481479195,14.856075790602025,56.19475196726184,55.79468569325288,480679877.0
2015-06-03,62.62932882578076,0.7627870081992054,14.7125010041939,56.29627822815181,55.885967665529435,493607140.0
2015-06-04,58.792902236363545,0.7337104520089278,14.225418571889946,56.32210470501519,55.93857301651715,479743857.0
2015-06-05,65.49797089374786,0.7188549383346593,14.599311409663429,56.51186277127904,56.074496926321835,500544998.0
2015-06-08,60.35538798316391,0.7048583975103306,14.664025780818333,56.58512627406206,56.15452693682315,485986338.0
2015-06-09,62.1084706753272,0.6944642481351014,14.252668953092297,56.68993328732893,56.25043530922379,499249831.0
2015-06-10,67.81622927147268,0.6999512368630019,15.051552376316051,56.942764752904445,56.42472778910669,516728729.0
2015-06-11,69.02587121789342,0.7170387899310351,15.94606378722018,57.18984988976434,56.60349019068071,530468601.0
2015-06-12,66.24151209246739,0.7352020240391897,16.369871427867405,57.35024038806041,56.743348042081855,518663860.0
2015-06-15,63.58176584206141,0.7478821111935646,15.98732566840408,57.44124594891364,56.848816892621976,504581537.0
2015-06-16,65.74652477157962,0.759914743884057,15.947507448385128,57.57449254758589,56.97503454490665,516274386.0
2015-06-17,63.29417005519977,0.7660565074983596,16.072672869785396,57.64793058198409,57.07059332508468,501752497.0
2015-06-18,66.98449991700123,0.7751261330360869,16.333914428204675,57.807026778582156,57.20891392872171,518511750.0
2015-06-19,59.89196546337926,0.7742861583089519,16.57649587530829,57.828903624506644,57.277336357526,496906646.0
2015-06-22,64.92058514370117,0.7774604587501728,17.44650443472591,57.982942343705595,57.41055352158075,511209095.0
