Date,rsi,macd,adx,ema1,ema2,obv
2013-01-02,,,,,,11674700.0
2013-01-03,,,,,,19241300.0
2013-01-04,,,,,,27987200.0
2013-01-07,,,,,,18515100.0
2013-01-08,,,,,,9877500.0
2013-01-09,,,,,,18266500.0
2013-01-10,,,,,,26363900.0
2013-01-11,,,,,,19214900.0
2013-01-14,,,,,,28523700.0
2013-01-15,,,,46.380984988946295,,35823200.0
2013-01-16,,,,46.46761877582406,,43195000.0
2013-01-17,,,,46.68399282091314,,53327100.0
2013-01-18,,,,46.849452914727294,,44836200.0
2013-01-22,,,,47.04930870031597,,51471400.0
2013-01-23,72.7272727272807,,,47.41453168864652,,65314100.0
2013-01-24,72.7272727272807,,,47.71335049728061,,65314100.0
2013-01-25,74.73664886224476,,,48.02893122480504,,73253500.0
2013-01-28,74.46185139602575,,,48.28382700514722,,66120000.0
2013-01-29,69.37947828107833,,,48.4312053860459,,58333600.0
2013-01-30,66.72820137695349,,,48.51872136682083,47.44353019852125,48511800.0
2013-01-31,67.33316370618073,,,48.60520519998249,47.59123041287256,55845700.0
2013-02-01,71.70411404657176,,,48.79335017442858,47.78635156968813,65398000.0
2013-02-04,62.896278963564555,,,48.83320813020302,47.90313417554526,57680600.0
2013-02-05,65.4775129528016,,,48.93029853012302,48.042569523566,67927000.0
2013-02-06,66.93828741446956,,,49.047762410557375,48.18864384251324,94760600.0
2013-02-07,64.88154866746123,,,49.1174161571264,48.30694995433931,83037400.0
2013-02-08,66.9331070378276,,,49.224005082441415,48.439969505960235,92621700.0
2013-02-11,67.54563729371532,,44.609400532558254,49.32609405204498,48.56811473541745,98980300.0
2013-02-12,68.92329489324797,,43.86224584092023,49.44268772168098,48.701376116334174,107738400.0
2013-02-13,68.99416552736565,,43.38081312032578,49.53973585883571,48.82281196011492,113439800.0
2013-02-14,67.66472671264286,,42.933768451202354,49.60591234779631,48.92575430182959,104875300.0
2013-02-15,72.81273328216056,,42.90548805358968,49.78074885552844,49.08211228644801,122658700.0
2013-02-19,73.55798030590391,,43.140632748564165,49.943636705830905,49.2339713098522,130439200.0
2013-02-20,57.55791841622816,1.1685258694941103,41.5471916506227,49.89008381393892,49.27350697562104,121978500.0
2013-02-21,52.847186068884334,1.1068440316871624,39.27049950828893,49.77517520011257,49.27203835298037,115176000.0
2013-02-22,53.607921071841126,1.0377805036624697,37.04471926111251,49.6943855938752,49.27763778277338,122779600.0
2013-02-25,46.887161516470684,0.955770282746758,34.504809102622666,49.519166115084616,49.225546418749914,112949400.0
2013-02-26,50.0544569445831,0.872263440857625,32.146321098310665,49.42705753619432,49.205262848505924,119187700.0
2013-02-27,55.411915946924154,0.7986225340031983,30.769229553219986,49.44758833116917,49.2371403780345,126431200.0
2013-02-28,56.36782883286894,0.73480141065727,29.9281839988557,49.4825727363086,49.275508204834644,133036200.0
2013-03-01,62.233643197106446,0.6895417089033181,29.504274262844188,49.63354176473031,49.374307651291154,141347700.0
2013-03-04,65.4139785604006,0.6635355653365804,29.58007561315292,49.83476775643662,49.50440070536962,147705100.0
2013-03-05,69.42561277118583,0.6593133920239465,30.28462294398371,50.111832729152326,49.68099350546518,154773000.0
2013-03-06,67.9282461820485,0.6657226857676362,31.13845892255591,50.318682453761724,49.830375668230786,149200400.0
2013-03-07,67.40636366948496,0.6763619652684205,31.48566067521537,50.48130987135923,49.962066866546714,144386700.0
2013-03-08,73.31289238189714,0.7030764999036512,32.58761163355317,50.79127353772664,50.17388050176893,152544500.0
2013-03-11,74.56542394038043,0.7407809078434987,33.76437893501724,51.08951972051925,50.38890402951341,159699700.0
2013-03-12,67.6047979622417,0.7737293843588657,33.74805000598488,51.24260691473138,50.535817863720325,152540600.0
2013-03-13,68.91174209287172,0.8035430148646581,33.732887429026256,51.40588635413204,50.68865843207411,157750400.0
2013-03-14,71.14642861695292,0.8339456390906561,34.040434184906886,51.60726460101495,50.86244969682781,163658600.0
2013-03-15,68.93383126301764,0.8587566316336067,34.32601331536747,51.743922239952774,51.00496702238449,149870500.0
2013-03-18,60.05963555573769,0.865924183282578,33.53157738829208,51.731734294686994,51.06895954796607,144744700.0
2013-03-19,54.792832257138144,0.8521397945621415,31.362805060540126,51.63578987920918,51.08182435383206,135860500.0
2013-03-20,59.434203462436386,0.8331434099912328,29.46905047241938,51.66144884514769,51.148023386026246,141879200.0
2013-03-21,53.517012938068355,0.800837293910525,27.515037889098572,51.578283602313384,51.15335830255317,136710700.0
2013-03-22,56.95969149069686,0.7668758011828893,25.726521186907977,51.58794519026477,51.19888821050487,142210900.0
2013-03-25,51.935898076519095,0.7236397940370223,24.5301342828222,51.501611082883535,51.19071862852041,134329400.0
2013-03-26,55.07977262510525,0.6813011310645998,23.41920358617112,51.500413380761074,51.21970006591942,139005000.0
2013-03-27,53.64034022055861,0.63787030803341,22.800446385490094,51.47298037796524,51.23206499920176,132612600.0
2013-03-28,56.18373143617457,0.5993653728062158,21.559504779705296,51.50509463979411,51.27183107718483,139318200.0
2013-04-01,55.09861329462523,0.5630044551912328,20.847019432384123,51.51318346294863,51.29828365718094,132595800.0
2013-04-02,60.80521377150758,0.539781220508288,19.705258263768524,51.64710696483143,51.38890071109742,139171100.0
2013-04-03,58.6171709276594,0.5217329363851444,18.366365766488578,51.72196109168626,51.45270108742462,131070100.0
2013-04-04,61.06032909935743,0.5116178268666636,17.123108447585768,51.83941813977276,51.539870017780565,137482500.0
2013-04-05,61.84516602308208,0.5074350985778141,16.930860137336186,51.95370584291262,51.62826339771023,144517200.0
