Date,GOOG,dayofweek,weekly_ret
2016-02-26,705.07,4,0.027124853458382114
2016-03-04,710.89,4,0.005935141458960569
2016-03-11,726.82,4,0.00825449955323565
2016-03-18,737.6,4,0.02240853015234423
2016-04-01,749.91,4,0.014831732753639137
2016-04-08,739.15,4,0.016689262472884936
2016-04-15,759.0,4,-0.014348388473283458
2016-04-22,718.77,4,0.026855171480755002
2016-04-29,693.01,4,-0.05300395256917001
2016-05-06,711.12,4,-0.035839002740793324
2016-05-13,710.83,4,0.02613237904214949
2016-05-20,709.74,4,-0.00040780740240742297
2016-05-27,732.66,4,-0.0015334186795717963
2016-06-03,722.34,4,0.032293515935412964
2016-06-10,719.41,4,-0.014085660470067873
2016-06-17,691.72,4,-0.0040562615942632
2016-06-24,675.22,4,-0.03848987364646017
2016-07-01,699.21,4,-0.023853582374371185
2016-07-08,705.63,4,0.03552916086608815
2016-07-15,719.85,4,0.009181790878276752
2016-07-22,742.74,4,0.020152204413077746
2016-07-29,768.79,4,0.031798291310689786
2016-08-05,782.22,4,0.035072838409133666
2016-08-12,783.22,4,0.017469009742582475
2016-08-19,775.42,4,0.0012784127227634112
2016-08-26,769.54,4,-0.009958887668854333
2016-09-02,771.46,4,-0.007582987284310394
2016-09-09,759.66,4,0.002494997011201594
2016-09-16,768.88,4,-0.015295673139242516
2016-09-23,786.9,4,0.01213700866176981
2016-09-30,777.29,4,0.023436687129331002
2016-10-07,775.08,4,-0.01221247934934555
2016-10-14,778.53,4,-0.002843211671319512
2016-10-21,799.37,4,0.004451153429323229
2016-10-28,795.37,4,0.026768396850474607
2016-11-04,762.02,4,-0.0050039406032250655
2016-11-11,754.02,4,-0.04193017086387474
2016-11-18,760.54,4,-0.010498412115167555
2016-11-25,761.68,4,0.0086469854911011
2016-12-02,750.5,4,0.0014989349672600571
2016-12-09,789.29,4,-0.01467808003360982
2016-12-16,790.8,4,0.051685542971352305
2016-12-23,789.91,4,0.0019131117840083256
2016-12-30,771.82,4,-0.0011254425897825326
2017-01-06,806.15,4,-0.02290134319099635
2017-01-13,807.88,4,0.04447928273431612
2017-01-20,805.02,4,0.0021460026049742176
2017-01-27,823.31,4,-0.0035401297222359407
2017-02-03,801.49,4,0.022719932424039024
2017-02-10,813.67,4,-0.02650277538229817
2017-02-17,828.07,4,0.015196696153414235
2017-02-24,828.64,4,0.01769759239003532
2017-03-03,829.08,4,0.0006883476034633684
2017-03-10,843.25,4,0.0005309905387140823
2017-03-17,852.12,4,0.01709123365658316
