Date,HD,dayofweek,weekly_ret
2013-01-18,54.41379402985615,4,0.008230452674897082
2013-01-25,56.36693922567349,4,0.027786499215070704
2013-02-01,55.934753905747954,4,0.035894302734076566
2013-02-08,55.693727477327954,4,-0.007667354762606826
2013-02-15,56.117601541101074,4,-0.004309063893016107
2013-02-22,54.50521784753271,4,0.007610804357558454
2013-03-01,57.372601220115634,4,-0.02873222748815152
2013-03-08,59.31743515978057,4,0.052607502287282726
2013-03-15,57.7055742236663,4,0.033898305084745894
2013-03-22,58.13178483704893,4,-0.027173476597099677
2013-04-05,58.5496383795809,4,0.007385952208544877
2013-04-12,61.5247556024086,4,0.00718803910293242
2013-04-19,61.8423242947329,4,0.050813588352840666
2013-04-26,61.29911468944132,4,0.005161640858462269
2013-05-03,61.808896011330326,4,-0.00878378378378386
2013-05-10,63.52209553571146,4,0.008316291751874427
2013-05-17,64.23244655801582,4,0.027717685235262524
2013-05-24,66.01250264920205,4,0.011182739113274609
2013-05-31,65.73671931113094,4,0.02771272443403583
2013-06-07,66.13847597701468,4,-0.004177744018230234
2013-06-14,64.33256127863291,4,0.006111602010167694
2013-06-21,62.0058711788573,4,-0.027305054610109014
2013-06-28,65.07172636448219,4,-0.03616660138399286
2013-07-05,65.76049383084175,4,0.049444594960715404
2013-07-12,67.65040456170642,4,0.010584742480960418
2013-07-19,67.10443035056774,4,0.0287393025929239
2013-07-26,66.13847597701468,4,-0.008070523963248144
2013-08-02,67.3900168610095,4,-0.014394792840155435
2013-08-09,66.33166685172529,4,0.018923037846075852
2013-08-16,63.31620928559013,4,-0.015704848560388895
2013-08-23,62.06466840159531,4,-0.04546030138027091
2013-08-30,62.56864459649257,4,-0.019766516317325622
2013-09-06,61.38738077188089,4,0.008120178643930442
2013-09-13,63.4223682225031,4,-0.018879485599051837
2013-09-20,65.01827124394539,4,0.033149931224209395
2013-09-27,64.1401023855856,4,0.025163094128611174
2013-10-04,63.988111621638716,4,-0.013506493506493578
2013-10-11,64.44408391347936,4,-0.0023696682464455776
2013-10-18,63.067723106627035,4,0.0071258907363418444
2013-10-25,64.3849763941667,4,-0.02135744234800796
2013-11-01,65.009827312615,4,0.020886330164680444
2013-11-08,63.73479368172725,4,0.009704918032786836
2013-11-15,67.57678243705129,4,-0.019612936745031728
2013-11-22,66.85904827396878,4,0.06028086910439856
2013-11-29,68.11719404219578,4,-0.010621017118580545
2013-12-06,67.75038884988345,4,0.01881788330386458
2013-12-13,67.04606992772159,4,-0.00538491341973224
2013-12-20,67.92010425281401,4,-0.01039579158316628
2013-12-27,69.27782747625858,4,0.01303632451588399
2014-01-03,69.48997172992178,4,0.019990004997501476
2014-01-10,69.59180097168013,4,0.003062224399803748
2014-01-17,68.73473818688075,4,0.0014653803883259986
2014-01-24,67.1733564799195,4,-0.012315571271796166
2014-01-31,65.21314357607143,4,-0.022716049382716097
2014-02-07,64.87371277021029,4,-0.02918140474987363
2014-02-14,66.12960675189649,4,-0.005204944697462577
2014-02-21,65.96837711911246,4,0.019359058207978785
2014-02-28,69.60877251197319,4,-0.00243808546131119
2014-03-07,70.05003255959268,4,0.05518394648829439
2014-03-14,67.74950363238015,4,0.006339144215531167
2014-03-21,68.63712625492583,4,-0.03284122566617553
2014-03-28,67.18620466038001,4,0.013101536911060752
2014-04-04,67.18620466038001,4,-0.021139020144242848
2014-04-11,64.60868512183393,4,0.0
2014-04-25,67.74950363238015,4,-0.03836382113821146
2014-05-02,67.76657329819835,4,0.048612945838837573
2014-05-09,66.32418653656161,4,0.00025195263290522796
2014-05-16,66.02546738474337,4,-0.021284634760705634
2014-05-23,67.57880697419829,4,-0.004503924848796692
2014-05-30,68.47496442965306,4,0.023526370217166415
2014-06-06,69.22588054858119,4,0.0132609244758779
2014-06-13,67.01964898843916,4,0.010966287097521343
2014-06-20,68.8224062943918,4,-0.03187003968253965
2014-06-27,69.64652391997014,4,0.026898936851543542
2014-07-11,68.34167101280443,4,0.011974554072595511
2014-07-18,68.74514526699382,4,-0.01873536299765799
2014-07-25,69.56067833397239,4,0.00590378093204369
2014-08-01,68.46185483320127,4,0.01186313686313678
2014-08-08,70.76251653794083,4,-0.015796618536344398
2014-08-15,71.8441709215124,4,0.03360501567398111
2014-08-22,78.14523693374684,4,0.015285696954991934
2014-08-29,80.26562290789114,4,0.0877046242083881
2014-09-05,79.04865177056219,4,0.027133911897176954
2014-09-12,76.65846767052446,4,-0.015161797706665703
2014-09-19,79.67855588356855,4,-0.03023687370374406
2014-09-26,80.10999705686054,4,0.03939666816749243
2014-10-03,80.71401469946936,4,0.005414771496642601
2014-10-10,79.85976117635117,4,0.007539853511417505
2014-10-17,77.86650295574208,4,-0.010583707504810858
2014-10-24,81.9651941020162,4,-0.02495948136142634
2014-10-31,84.14828643887375,4,0.05263741134751787
2014-11-07,84.26046114392969,4,0.02663438256658579
2014-11-14,84.76956172841425,4,0.001333059885151977
2014-11-21,84.80407702227761,4,0.006041986687147727
2014-11-28,85.77050525045172,4,0.0004071661237785573
2014-12-05,86.38926643698566,4,0.01139601139601143
2014-12-12,86.51064838501031,4,0.007214148788410979
2014-12-19,88.37472830110346,4,0.0014050582095541664
2014-12-26,89.95269362542416,4,0.021547404289437022
2015-01-02,89.67524917279634,4,0.017855390954576666
2015-01-09,90.94108948791073,4,-0.0030843373493976145
2015-01-16,90.27348877377509,4,0.014115827129459468
2015-01-23,91.3572561668525,4,-0.0073410239298309365
2015-01-30,90.53359294811364,4,0.012005378409527534
2015-02-06,94.53919723292772,4,-0.009015848913353275
