Date,MSFT,dayofweek,weekly_ret
2013-01-18,22.903304051057766,4,0.0033657442034404905
2013-01-25,23.432811630953783,4,0.015654118524040195
2013-02-01,23.474836042056648,4,0.023119266055045884
2013-02-08,23.15545051767492,4,0.0017934002869444132
2013-02-15,23.54207509982122,4,-0.013605442176870874
2013-02-22,23.523300849626608,4,0.016696914700544463
2013-03-01,23.68430326898645,4,-0.0007974764380371813
2013-03-08,23.726672326712727,4,0.006844380403458583
2013-03-15,23.75633066712111,4,0.0017889087656530744
2013-03-22,23.93851761534409,4,0.0012499999999995293
2013-04-05,24.31983913488054,4,0.007668985197075484
2013-04-12,24.396103438787826,4,0.015929203539822856
2013-04-19,25.22230006445015,4,0.003135888501742068
2013-04-26,26.938246902364195,4,0.03386592566863511
2013-05-03,28.37879486505747,4,0.0680329245758442
2013-05-10,27.7008899414371,4,0.053475935828877
2013-05-17,29.750867455302576,4,-0.023887727679904547
2013-05-24,29.238097987547,4,0.07400403085241547
2013-05-31,29.77646326900086,4,-0.017235445942070604
2013-06-07,30.43342248725676,4,0.018413143073915395
2013-06-14,29.349866374029503,4,0.022063037249283823
2013-06-21,28.38149142244452,4,-0.03560414914493992
2013-06-28,29.4735794735712,4,-0.03299418604651161
2013-07-05,29.187759553940392,4,0.038478881707500356
2013-07-12,30.43342248725676,4,-0.009697496019684393
2013-07-19,26.79028500420135,4,0.042677579655071574
2013-07-26,26.977987637988747,4,-0.11970843846369505
2013-08-02,27.208349961273278,4,0.00700636942675148
2013-08-09,27.899436931126885,4,0.008538899430740043
2013-08-16,27.325179007291087,4,0.02539981185324569
2013-08-23,29.860061965514642,4,-0.020583136686716075
2013-08-30,28.70003078124284,4,0.09276729559748476
2013-09-06,26.768364038840637,4,-0.03884892086330971
2013-09-13,28.382096308516502,4,-0.0673053892215566
2013-09-20,28.176727824782454,4,0.060285053929121535
2013-09-27,28.58832407460927,4,-0.0072358462004240565
2013-10-04,29.112486313428374,4,0.014607666737824765
2013-10-11,29.327306903108333,4,0.01833483618875853
2013-10-18,30.040511260845808,4,0.0073789846517118285
2013-10-25,30.702158677060083,4,0.02431878113096997
2013-11-01,30.52600579352252,4,0.022025171624713735
2013-11-08,32.46368751243577,4,-0.005737475510775192
2013-11-15,32.516103736317675,4,0.06347642505277973
2013-11-22,32.52927269453491,4,0.001614610905240621
2013-11-29,33.014138084711625,4,0.00040499803801918866
2013-12-06,33.213279227105645,4,0.014905509715197995
2013-12-13,31.767341367114334,4,0.006031995803829293
2013-12-20,31.862582783041912,4,-0.04353493222106386
2013-12-27,32.28683999944654,4,0.0029980921231944624
2014-01-03,31.95782419896948,4,0.013315217391304257
2014-01-10,31.204551182087783,4,-0.010190399570930486
2014-01-17,31.49893374040937,4,-0.02357084800866971
2014-01-24,31.866911938311343,4,0.009433962264151052
2014-01-31,32.763047079084394,4,0.011682242990654013
2014-02-07,31.654783330109034,4,0.028121179187610368
2014-02-14,32.57256424722925,4,-0.033826638477800985
2014-02-21,33.13032418984226,4,0.028993435448577243
2014-02-28,33.41818640634168,4,0.017123611711364006
2014-03-07,33.06053941008483,4,0.00868878357030023
2014-03-14,32.88607746069124,4,-0.010702166536152413
2014-03-21,35.03195943823236,4,-0.005277044854881341
2014-03-28,35.15408280280788,4,0.06525198938992038
2014-04-04,34.778989611611664,4,0.003486055776892538
2014-04-11,34.20239286886586,4,-0.010669975186104241
2014-04-25,34.81388200149038,4,-0.016578881364434417
2014-05-02,34.621973857157435,4,0.017878548292483698
2014-05-09,34.49112739511225,4,-0.0055124029065395375
2014-05-16,34.984778746277364,4,-0.0037792894935749777
2014-05-23,35.239500961603,4,0.014312415639828213
2014-05-30,35.95974998424793,4,0.007280944012050927
2014-06-06,36.43406031623361,4,0.020438683948155623
2014-06-13,36.21447219957357,4,0.01319003419638487
2014-06-20,36.60973080956165,4,-0.006027000964320184
2014-06-27,37.110391715546534,4,0.010914382731021188
2014-07-11,36.969855320884115,4,0.013675623800383896
2014-07-18,39.25357173414851,4,-0.0037869822485205873
2014-07-25,39.086684765486886,4,0.06177239249227817
2014-08-01,37.64618672019703,4,-0.004251510405012149
2014-08-08,37.94482655885469,4,-0.03685393258426972
2014-08-15,39.34140698081253,4,0.007932804479701572
2014-08-22,39.90257596638217,4,0.036805555555555314
2014-08-29,40.150033801832606,4,0.014264080230870668
2014-09-05,40.57424723403334,4,0.006201550387596955
2014-09-12,41.268012951278315,4,0.010565705480959586
2014-09-19,41.99712978787333,4,0.017098671313439562
2014-09-26,41.01613622590912,4,0.01766784452296788
2014-10-03,40.733327271108635,4,-0.023358585858585634
2014-10-10,38.912744624580455,4,-0.006895065718594995
2014-10-17,38.559233431079825,4,-0.0446951616402691
2014-10-24,40.76867839045869,4,-0.009084714967068197
2014-10-31,41.49337633713496,4,0.05730002292000935
2014-11-07,43.02231224902511,4,0.017775850856275976
2014-11-14,43.817712434401514,4,0.036847710330137895
2014-11-21,42.673366818682254,4,0.018488085456039638
2014-11-28,42.52216897876613,4,-0.026116051070270596
2014-12-05,43.064702404347535,4,-0.0035431429762399214
2014-12-12,41.75728578860217,4,0.01275883706337555
2014-12-19,42.388759120016594,4,-0.03035935563816594
2014-12-26,42.58442691284924,4,0.015122470713524905
2015-01-02,41.58829996751943,4,0.004616030214016131
2015-01-09,41.970741562601404,4,-0.023391812865497075
2015-01-16,41.125812457187735,4,0.009195893926432719
2015-01-23,41.96184757201811,4,-0.020131383767747257
2015-01-30,35.931721956539455,4,0.020328719723183397
2015-02-06,37.71941406378312,4,-0.14370495972869868
