Date,FB,dayofweek,weekly_ret
2013-01-18,29.66,4,0.10292072322670376
2013-01-25,31.54,4,-0.06494325346784358
2013-02-01,29.73,4,0.06338503034389742
2013-02-08,28.545,4,-0.05738744451490163
2013-02-15,28.32,4,-0.03985872855701311
2013-02-22,27.13,4,-0.0078822911192854
2013-03-01,27.78,4,-0.04201977401129953
2013-03-08,27.96,4,0.023958717287136055
2013-03-15,26.645,4,0.00647948164146861
2013-03-22,25.73,4,-0.04703147353361947
2013-04-05,27.39,4,-0.03434040157628071
2013-04-12,27.4,4,0.06451612903225801
2013-04-19,25.73,4,0.00036509675063878255
2013-04-26,26.85,4,-0.06094890510948903
2013-05-03,28.311,4,0.0435289545277886
2013-05-10,26.68,4,0.054413407821229054
2013-05-17,26.25,4,-0.057610116209247275
2013-05-24,24.3125,4,-0.016116941529235373
2013-05-31,24.348000000000003,4,-0.07380952380952377
2013-06-07,23.291,4,0.0014601542416452507
2013-06-14,23.63,4,-0.04341218991292928
2013-06-21,24.53,4,0.014554978317805167
2013-06-28,24.88,4,0.03808717731696998
2013-07-05,24.37,4,0.014268242967794498
2013-07-12,25.91,4,-0.020498392282958133
2013-07-19,25.881,4,0.06319244973327853
2013-07-26,34.01,4,-0.001119258973369397
2013-08-02,38.05,4,0.3140914184150534
2013-08-09,38.5,4,0.11878859159070854
2013-08-16,37.08,4,0.01182654402102501
2013-08-23,40.55,4,-0.03688311688311696
2013-08-30,41.294,4,0.09358144552319314
2013-09-06,43.95,4,0.01834771886559805
2013-09-13,44.31,4,0.06431927156487638
2013-09-20,47.49,4,0.008191126279863514
2013-09-27,51.24,4,0.07176709546377791
2013-10-04,51.04,4,0.07896399241945673
2013-10-11,49.11,4,-0.0039032006245121043
2013-10-18,54.22,4,-0.03781347962382442
2013-10-25,51.95,4,0.10405212787619633
2013-11-01,49.75,4,-0.04186646993729248
2013-11-08,47.53,4,-0.04234841193455252
2013-11-15,49.01,4,-0.04462311557788945
2013-11-22,46.23,4,0.031138228487271213
2013-11-29,47.01,4,-0.0567231177310753
2013-12-06,47.94,4,0.016872160934458202
2013-12-13,53.32,4,0.019783024888321732
2013-12-20,55.12,4,0.1122236128493952
2013-12-27,55.44,4,0.033758439609902435
2014-01-03,54.556999999999995,4,0.005805515239477588
2014-01-10,57.94,4,-0.015927128427128512
2014-01-17,56.3,4,0.06200854152537727
2014-01-24,54.45,4,-0.028305143251639686
2014-01-31,62.57,4,-0.03285968028419173
2014-02-07,64.32,4,0.14912764003673096
2014-02-14,67.09,4,0.02796867508390588
2014-02-21,68.59,4,0.04306592039801016
2014-02-28,68.46,4,0.022358026531524855
2014-03-07,69.8,4,-0.0018953200174953722
2014-03-14,67.72,4,0.019573473561203647
2014-03-21,67.24,4,-0.02979942693409743
2014-03-28,60.01,4,-0.007088009450679333
2014-04-04,56.748999999999995,4,-0.1075252825698988
