Date,PM,dayofweek,weekly_ret
2013-01-18,59.89629353355428,4,0.031322237632917416
2013-01-25,59.52352264692624,4,0.008405244872800699
2013-02-01,58.66481828308665,4,-0.006223605245610275
2013-02-08,60.2091548134028,4,-0.014426302840528038
2013-02-15,59.90295015652977,4,0.02632474753205516
2013-02-22,62.186171837126466,4,-0.005085682697622995
2013-03-01,60.86816048797736,4,0.038115346149572016
2013-03-08,60.64849192978584,4,-0.02119460500963366
2013-03-15,60.82156412714885,4,-0.0036089238845145033
2013-03-22,60.98797970153637,4,0.002853693337723451
2013-04-05,62.29194075929603,4,0.0027361278318924764
2013-04-12,64.79114286913837,4,0.02138062392197626
2013-04-19,61.774632795699645,4,0.04012079378774813
2013-04-26,64.03197663684756,4,-0.046557445043550305
2013-05-03,63.32655668648885,4,0.03654159869494289
2013-05-10,62.695037873786724,4,-0.01101668240478415
2013-05-17,64.28055319078351,4,-0.00997241671971194
2013-05-24,63.23250069310768,4,0.0252893270467216
2013-05-31,61.07593113058242,4,-0.01630434782608703
2013-06-07,61.868688789080814,4,-0.03410539736506624
2013-06-14,61.88884364480535,4,0.012979870201298427
2013-06-21,58.75812272226091,4,0.00032576827017050114
2013-06-28,58.76563322148465,4,-0.05058619192357816
2013-07-05,59.36943619501412,4,0.00012782061229632546
2013-07-12,60.85519856808097,4,0.010274763334103154
2013-07-19,60.11570953308423,4,0.025025711347274493
2013-07-26,60.298885716065065,4,-0.012151616499442519
2013-08-02,60.78057123427397,4,0.0030470601512242457
2013-08-09,60.1767682607445,4,0.007988298829883167
2013-08-16,58.175398854101935,4,-0.009934144435763126
2013-08-23,57.91759533731408,4,-0.03325817361894012
2013-08-30,56.6082248441547,4,-0.004431486880466351
2013-09-06,57.11704757465704,4,-0.022607473351294427
2013-09-13,59.552612377994954,4,0.008988494726749785
2013-09-20,61.377589904730044,4,0.04264164390070069
2013-09-27,59.88445956586117,4,0.030644793802688586
2013-10-04,59.685598999342226,4,-0.02432696267785195
2013-10-11,58.307289555538475,4,-0.0033207374327264283
2013-10-18,59.610169129283314,4,-0.023092830882353033
2013-10-25,60.75533170199587,4,0.022345054686581323
2013-11-01,61.550773968071674,4,0.0192108593120901
2013-11-08,61.31076983606604,4,0.01309255079006788
2013-11-15,62.64793571438311,4,-0.003899286987522399
2013-11-22,59.623883651112216,4,0.02180964097975635
2013-11-29,58.657009862175244,4,-0.04827057793345002
2013-12-06,58.8558704286942,4,-0.016216216216216495
2013-12-13,58.45129203474185,4,0.0033902267944823095
2013-12-20,58.643295340346356,4,-0.006874053361295762
2013-12-27,60.13572971503603,4,0.003284842796809073
2014-01-03,59.296852231116354,4,0.025449360681866207
2014-01-10,57.24472218780868,4,-0.013949734839750816
2014-01-17,57.77162044217146,4,-0.03460773997427824
2014-01-24,56.50290490864003,4,0.009204311493278494
2014-01-31,54.173459994615115,4,-0.021960878435137388
2014-02-07,55.63629593764862,4,-0.0412269938650307
2014-02-14,55.73335614239966,4,0.027002815459431728
2014-02-21,54.74888835135343,4,0.0017445482866043083
2014-02-28,56.09386547433208,4,-0.01766388854335088
2014-03-07,55.69869178356001,4,0.024566290996580475
2014-03-14,55.386712554003104,4,-0.007044864664441652
2014-03-21,56.156261320243466,4,-0.005601194921583175
2014-03-28,56.828480174003175,4,0.013894104393540996
2014-04-04,58.084009420009906,4,0.011970505834179912
2014-04-11,58.315475705586564,4,0.02209331029375461
2014-04-25,58.99584630258463,4,0.003985025963047839
2014-05-02,59.886640795561476,4,0.011667067596824676
2014-05-09,60.60208204188935,4,0.015099274759243775
2014-05-16,60.1601918603339,4,0.011946591707660215
2014-05-23,60.721322249610644,4,-0.007291666666666807
2014-05-30,62.10310583320466,4,0.00932727060743832
2014-06-06,61.95580910601951,4,0.02275615109160234
2014-06-13,62.039978664411024,4,-0.002371809351705445
2014-06-20,63.9267795983541,4,0.0013585418317672016
2014-06-27,60.14087376785086,4,0.030412662521198452
2014-07-11,60.53779644681371,4,-0.05922253325272642
2014-07-18,60.970158650683935,4,0.006599882144961988
2014-07-25,60.14087376785086,4,0.007142020840650964
2014-08-01,58.04994179831452,4,-0.013601488026040554
2014-08-08,59.42499536472148,4,-0.03476723629935152
2014-08-15,59.892797093499105,4,0.023687423687423603
2014-08-22,59.779390613795435,4,0.007872137404580037
2014-08-29,60.65829083149885,4,-0.0018934911242604047
2014-09-05,60.566148066739636,4,0.014702395067583529
2014-09-12,59.5525776543881,4,-0.0015190465061928338
2014-09-19,60.63702711655442,4,-0.0167349327091868
2014-09-26,59.69778058089489,4,0.018209950011901954
2014-10-03,60.61587693009044,4,-0.015489653439871631
2014-10-10,60.45090649234436,4,0.015379070046858123
2014-10-17,61.68459846157588,4,-0.0027215714116672896
2014-10-24,63.16215977356247,4,0.020408163265306145
2014-10-31,63.843559407731036,4,0.0239534883720931
2014-11-07,63.20519553993101,4,0.01078809902339306
2014-11-14,61.885432037962396,4,-0.009998876530726841
2014-11-21,62.401861234384896,4,-0.020880617339991137
2014-11-28,62.351652840288274,4,0.00834492350486804
2014-12-05,62.50227802257815,4,-0.0008045977011492678
2014-12-12,60.551323280537616,4,0.0024157367997237333
2014-12-19,59.56867328178925,4,-0.031214138168464522
2014-12-26,60.49714085128781,4,-0.016228381900023736
2015-01-02,58.81303517844178,4,0.015586507443374531
2015-01-09,60.04707812837206,4,-0.027837772978161812
2015-01-16,60.03255997601993,4,0.020982473463342366
2015-01-23,60.11966889013266,4,-0.00024177949709869306
2015-01-30,58.24682723670906,4,0.0014510278113664121
