Date,PYPL,dayofweek,weekly_ret
2016-10-21,44.15,4,-0.016048144433299938
2016-10-28,41.76,4,0.12512742099898055
2016-11-04,40.9,4,-0.054133635334088326
2016-11-11,40.08,4,-0.020593869731800774
2016-11-18,40.08,4,-0.02004889975550128
2016-11-25,40.26,4,0.0
2016-12-02,38.62,4,0.004491017964071808
2016-12-09,39.65,4,-0.04073522106308991
2016-12-16,39.32,4,0.026670119109269752
2016-12-23,39.58,4,-0.00832282471626733
2016-12-30,39.47,4,0.006612410986775119
2017-01-06,41.45,4,-0.002779181404749864
2017-01-13,41.6,4,0.050164682036990316
2017-01-20,41.69,4,0.003618817852834688
2017-01-27,40.27,4,0.0021634615384613642
2017-02-03,39.59,4,-0.03406092588150622
2017-02-10,40.58,4,-0.016886019369257488
2017-02-17,41.96,4,0.025006314725940726
2017-02-24,43.07,4,0.0340068999507146
2017-03-03,43.03,4,0.026453765490943804
2017-03-10,42.99,4,-0.0009287206872532483
2017-03-17,43.08,4,-0.0009295840111549492
2017-03-24,43.13,4,0.0020935101186321248
2017-03-31,43.02,4,0.0011606313834726656
2017-04-07,43.04,4,-0.002550428935775506
2017-04-21,43.81,4,0.0004649000464898023
2017-04-28,47.72,4,0.017890334572490785
2017-05-05,49.3,4,0.08924902990184891
2017-05-12,49.37,4,0.03310980720871748
2017-05-19,49.39,4,0.0014198782961460932
2017-05-26,51.19,4,0.00040510431436091565
2017-06-02,53.52,4,0.0364446244178982
2017-06-09,53.4,4,0.04551670248095352
2017-06-16,51.84,4,-0.0022421524663678305
2017-06-23,54.33,4,-0.02921348314606731
2017-06-30,53.67,4,0.04803240740740722
2017-07-07,53.97,4,-0.012147984538928736
2017-07-14,57.16,4,0.005589714924538747
2017-07-21,58.67,4,0.05910691124698908
2017-07-28,59.2,4,0.02641707487753675
2017-08-04,58.86,4,0.009033577637634238
2017-08-11,58.04,4,-0.005743243243243268
2017-08-18,59.44,4,-0.013931362555215765
2017-08-25,59.97,4,0.024121295658166675
2017-09-01,61.46,4,0.008916554508748398
2017-09-08,61.13,4,0.02484575621143903
2017-09-15,62.5,4,-0.005369345916042878
2017-09-22,65.08,4,0.022411254703091688
2017-09-29,64.03,4,0.04127999999999998
2017-10-06,66.05,4,-0.016133988936693267
2017-10-13,68.66,4,0.03154771200999518
2017-10-20,70.97,4,0.03951551854655566
2017-10-27,71.06,4,0.03364404311098168
2017-11-03,73.39,4,0.0012681414682260694
2017-11-10,73.99,4,0.032789192231916564
2017-11-17,76.38,4,0.008175500749420861
2017-11-24,78.57,4,0.032301662386809094
2017-12-01,75.3,4,0.02867242733699915
2017-12-08,72.91,4,-0.04161893852615495
2017-12-15,75.65,4,-0.031739707835325426
2017-12-22,73.89,4,0.0375805787957757
2017-12-29,73.62,4,-0.02326503635161936
2018-01-05,78.7,4,-0.0036540803897685548
2018-01-12,80.54,4,0.0690029883183918
2018-01-19,83.84,4,0.023379923761118304
2018-01-26,85.45,4,0.04097342935187487
2018-02-02,76.57,4,0.019203244274809128
2018-02-09,74.75,4,-0.10392042129900536
2018-02-16,78.37,4,-0.023769100169779178
2018-02-23,79.69,4,0.04842809364548506
2018-03-02,78.87,4,0.01684317978818406
2018-03-09,80.71,4,-0.01028987325887809
2018-03-16,82.16,4,0.023329529605680133
2018-03-23,76.44,4,0.01796555569322278
2018-04-06,73.86,4,-0.069620253164557
2018-04-13,77.27,4,-0.03375196232339084
2018-04-20,78.73,4,0.046168426753317116
2018-04-27,74.13,4,0.018894784521806818
2018-05-04,73.99,4,-0.05842753715229276
2018-05-11,79.2,4,-0.0018885741265344258
2018-05-18,80.79,4,0.07041492093526158
2018-05-25,80.96,4,0.020075757575757525
2018-06-01,83.25,4,0.002104220819408198
2018-06-08,84.34,4,0.028285573122529772
2018-06-15,85.31,4,0.013093093093093033
2018-06-22,85.12,4,0.011501067109319418
2018-06-29,83.27,4,-0.00222717149220486
2018-07-06,85.94,4,-0.02173402255639112
2018-07-13,87.99,4,0.03206436892037945
2018-07-20,87.47,4,0.02385385152431918
2018-07-27,85.46,4,-0.005909762473008229
2018-08-03,85.19,4,-0.022979307191037024
2018-08-10,87.01,4,-0.003159372805991101
2018-08-17,85.45,4,0.021364009860312283
2018-08-24,90.1,4,-0.017928973681186067
2018-08-31,92.33,4,0.05441778818022236
2018-09-07,88.82,4,0.024750277469478332
2018-09-14,90.78,4,-0.03801581284522915
2018-09-21,90.62,4,0.022067102004053263
2018-09-28,87.84,4,-0.0017625027539105442
2018-10-05,83.18,4,-0.030677554623703363
2018-10-12,79.03,4,-0.05305100182149358
2018-10-19,84.78,4,-0.04989180091368128
2018-10-26,83.37,4,0.072757180817411
2018-11-02,83.51,4,-0.016631280962491113
2018-11-09,86.76,4,0.0016792611251048584
2018-11-16,85.06,4,0.03891749491078911
2018-11-23,77.95,4,-0.0195942830797603
2018-11-30,85.81,4,-0.08358805549024217
2018-12-07,82.77,4,0.10083386786401549
2018-12-14,85.92,4,-0.035427106397855845
2018-12-21,78.14,4,0.03805726712577018
2018-12-28,83.26,4,-0.09054934823091254
2019-01-04,86.27,4,0.0655234195034553
2019-01-11,90.65,4,0.03615181359596442
2019-01-18,91.12,4,0.05077083574823238
2019-01-25,94.28,4,0.00518477661334793
2019-02-01,90.01,4,0.03467954345917468
2019-02-08,91.87,4,-0.045290623674162034
2019-02-15,94.91,4,0.020664370625486095
2019-02-22,95.98,4,0.033090236203330736
2019-03-01,98.8,4,0.011273838373195844
2019-03-08,95.69,4,0.029381121066888838
2019-03-15,100.73,4,-0.031477732793522284
2019-03-22,101.27,4,0.05267008046817856
2019-03-29,103.84,4,0.0053608656805319566
2019-04-05,105.73,4,0.025377703169744414
2019-04-12,108.48,4,0.01820107858243447
2019-04-26,110.56,4,0.026009647214603193
2019-05-03,111.96,4,0.019174041297935096
2019-05-10,110.41,4,0.012662807525325448
2019-05-17,112.8,4,-0.013844230082172171
2019-05-24,109.85,4,0.021646589982791342
2019-05-31,109.75,4,-0.02615248226950362
2019-06-07,114.02,4,-0.000910332271279013
2019-06-14,116.17,4,0.03890660592255113
2019-06-21,116.21,4,0.018856340992808418
2019-06-28,114.46,4,0.0003443229749504617
2019-07-05,117.16,4,-0.015058945013337932
2019-07-12,120.12,4,0.023589026734230245
2019-07-19,118.63,4,0.025264595425059877
2019-07-26,115.49,4,-0.012404262404262512
2019-08-02,107.09,4,-0.026468852735395787
2019-08-09,104.82,4,-0.07273357000606107
2019-08-16,106.16,4,-0.0211971239144646
2019-08-23,106.04,4,0.012783819881702074
2019-08-30,109.05,4,-0.0011303692539561538
2019-09-06,110.05,4,0.0283855149000376
2019-09-13,107.0,4,0.009170105456212774
2019-09-20,104.64,4,-0.02771467514766013
2019-09-27,102.2,4,-0.022056074766355183
2019-10-04,102.79,4,-0.02331804281345562
2019-10-11,101.58,4,0.0057729941291584375
2019-10-18,101.22,4,-0.011771573110224809
2019-10-25,107.19,4,-0.0035440047253396667
2019-11-01,104.98,4,0.058980438648488454
2019-11-08,101.42,4,-0.020617594924899674
2019-11-15,104.2,4,-0.03391122118498768
2019-11-22,101.77,4,0.02741076710707957
2019-11-29,108.01,4,-0.02332053742802309
2019-12-06,104.34,4,0.061314729291539916
2019-12-13,107.65,4,-0.03397833533932049
2019-12-20,108.75,4,0.03172321257427635
2019-12-27,109.4,4,0.01021830004644686
2020-01-03,108.76,4,0.005977011494253004
2020-01-10,112.93,4,-0.005850091407678226
2020-01-17,116.04,4,0.03834130194924601
2020-01-24,116.98,4,0.02753918356504026
2020-01-31,113.89,4,0.008100654946570085
2020-02-07,118.88,4,-0.026414771755855715
2020-02-14,122.99,4,0.04381420669066638
2020-02-21,119.49,4,0.034572678331090234
2020-02-28,107.99,4,-0.02845759817871374
2020-03-06,110.89,4,-0.09624236337768854
2020-03-13,110.15,4,0.026854338364663555
2020-03-20,86.68,4,-0.006673279826855394
2020-03-27,93.48,4,-0.21307308216068999
2020-04-03,92.39,4,0.07844946931241337
2020-04-17,111.85,4,-0.01166024818142919
2020-04-24,120.18,4,0.2106288559367897
2020-05-01,120.61,4,0.07447474295932066
2020-05-08,144.96,4,0.0035779663837576248
2020-05-15,145.51,4,0.20189039051488278
2020-05-22,150.86,4,0.003794150110375094
2020-05-29,155.01,4,0.03676723249261227
2020-06-05,156.0,4,0.027508948694153323
2020-06-12,155.26,4,0.006386684730017578
2020-06-19,164.36,4,-0.004743589743589793
2020-06-26,170.87,4,0.05861136158701541
2020-07-10,178.4,4,0.03960817717206133
2020-07-17,173.92,4,0.04406859015625919
2020-07-24,172.56,4,-0.025112107623318503
