Date,PG,dayofweek,weekly_ret
2013-01-18,54.86338579520467,4,0.001881603705311763
2013-01-25,57.459865734897654,4,0.018590912943410753
2013-02-01,59.554307257248205,4,0.04732627966828695
2013-02-08,59.420953302641614,4,0.03645051194539284
2013-02-15,60.04065697404869,4,-0.002239199157007432
2013-02-22,60.3936527362426,4,0.010429042904290142
2013-03-01,60.001435222693814,4,0.005879278808466282
2013-03-08,60.54269539139114,4,-0.006494349915573405
2013-03-15,59.88376996862918,4,0.009020787030984412
2013-03-22,60.613294543829916,4,-0.010883648613630337
2013-04-05,61.366352169843594,4,0.012182342153523429
2013-04-12,62.81755696997412,4,0.012423967904749533
2013-04-19,63.87654425655586,4,0.023648216796625432
2013-04-26,60.95165589348186,4,0.01685814185814194
2013-05-03,61.813358940484406,4,-0.04578970883782285
2013-05-10,62.263974295338954,4,0.014137483787289407
2013-05-17,63.2600713955437,4,0.007289934774268092
2013-05-24,64.73050044822692,4,0.01599796851193469
2013-05-31,60.68286778707742,4,0.023244188952761924
2013-06-07,61.46551550866687,4,-0.0625305324865656
2013-06-14,61.68687041982349,4,0.012897342365815412
2013-06-21,61.212538467345034,4,0.0036012861736336443
2013-06-28,60.864695035527475,4,-0.007689350249903915
2013-07-05,61.93194192860402,4,-0.005682551982436168
2013-07-12,64.46961787436376,4,0.017534744772048416
2013-07-19,64.81043580579598,4,0.04097523615011478
2013-07-26,64.02987506977927,4,0.005286489088494273
2013-08-02,64.74671656203951,4,-0.012043750768096273
2013-08-09,65.02548825347405,4,0.011195422316208514
2013-08-16,63.6395947017709,4,0.0043055726411613815
2013-08-23,63.72720866193605,4,-0.021313081822636026
2013-08-30,62.038648702389686,4,0.0013767209011263937
2013-09-06,61.44924569764238,4,-0.02649668791401072
2013-09-13,62.96257773685846,4,-0.009500577737835192
2013-09-20,63.23338452282343,4,0.024627349319507275
2013-09-27,61.49703513045971,4,0.004301075268817067
2013-10-04,60.54921137958228,4,-0.027459377755384984
2013-10-11,62.508578125093635,4,-0.015412511332728696
2013-10-18,63.73494699360117,4,0.0323599052880823
2013-10-25,64.2084845672849,4,0.01961920915963411
2013-11-01,65.13148153293963,4,0.00742979473617944
2013-11-08,66.22302577058346,4,0.014375000000000249
2013-11-15,68.09309788360564,4,0.016759088108440956
2013-11-22,68.18138454988565,4,0.028239001333171698
2013-11-29,67.59548212820918,4,0.0012965582272512766
2013-12-06,67.8362639453365,4,-0.00859329017068855
2013-12-13,66.11066092259072,4,0.003562099263832774
2013-12-20,65.68527971233246,4,-0.025437766209181145
2013-12-27,65.82172274203792,4,-0.006434381449556881
2014-01-03,64.56965729297589,4,0.002077223851417065
2014-01-10,64.44926638441221,4,-0.019022070479209452
2014-01-17,64.11217184043397,4,-0.0018645121193290315
2014-01-24,64.03281048172333,4,-0.005230386052303748
2014-01-31,61.96254027670677,4,-0.001237851665798484
2014-02-07,62.52054279290264,4,-0.032331396817378066
2014-02-14,64.21072432746695,4,0.009005481597494036
2014-02-21,63.05428433013347,4,0.02703401888500845
2014-02-28,63.61228684632935,4,-0.018010075566750716
2014-03-07,63.38585104265565,4,0.008849557522123908
2014-03-14,63.871070621956406,4,-0.0035596236969236417
2014-03-21,62.981501393238354,4,0.007655014034192442
2014-03-28,64.5018560750474,4,-0.01392757660167121
2014-04-04,64.50994306803574,4,0.02413970210580385
2014-04-11,65.310555373882,4,0.0001253761283850352
2014-04-25,66.36348946893713,4,0.012410680707032773
2014-05-02,66.77922929978295,4,0.016121958985456875
2014-05-09,67.16236208507223,4,0.006264586660115645
2014-05-16,65.4830992389107,4,0.0057373046875
2014-05-23,65.63798270530424,4,-0.02500303434882878
2014-05-30,65.85808026281086,4,0.002365243371094339
2014-06-06,65.23854639723669,4,0.003353204172876545
2014-06-13,64.92062770306048,4,-0.00940710483970808
2014-06-20,65.15702878334537,4,-0.004873172560289962
2014-06-27,64.41521849693419,4,0.003641386238071531
2014-07-11,66.1596954342088,4,-0.01138496184161164
2014-07-18,66.18455740002297,4,0.027081751455327874
2014-07-25,65.37111591242493,4,0.0003757871866094664
2014-08-01,65.44506513857021,4,-0.012290502793296021
2014-08-08,66.51322062733531,4,0.0011312217194572316
2014-08-15,67.19519682400842,4,0.016321406151914353
2014-08-22,68.51806631394061,4,0.010253242742433555
2014-08-29,68.28800205482197,4,0.019686965028124392
2014-09-05,68.83029637988733,4,-0.0033577167526080975
