Date,ABT,dayofweek,weekly_ret
2013-01-18,27.987645037303565,4,0.013305110371938378
2013-01-25,28.03038731744605,4,-0.01887923284387172
2013-02-01,28.95362056852387,4,0.0015271838729380427
2013-02-08,29.415237194062787,4,0.032936870997255285
2013-02-15,29.987983747972173,4,0.015943312666076404
2013-02-22,29.53491557846176,4,0.019471083987212978
2013-03-01,28.722812255754423,4,-0.015108323831242942
2013-03-08,29.646045506832237,4,-0.027496382054992607
2013-03-15,29.18442888129333,4,0.03214285714285703
2013-03-22,28.799748360010906,4,-0.015570934256055269
2013-04-05,31.039443839477467,4,-0.013181019332161648
2013-04-12,31.859646061631185,4,0.07776788364499843
2013-04-19,31.91971003212173,4,0.02642451412452651
2013-04-26,31.284748058364478,4,0.0018852679773766479
2013-05-03,31.57648734360429,4,-0.019892473118279352
2013-05-10,31.03591160918933,4,0.009325287986834407
2013-05-17,31.396295432132646,4,-0.01711956521739111
2013-05-24,32.40022179604615,4,0.011611833010782613
2013-05-31,31.46493996983613,4,0.03197594971303608
2013-06-07,32.18570761572275,4,-0.028866525423728695
2013-06-14,31.585067910817234,4,0.0229070084537768
2013-06-21,30.529658143626108,4,-0.018661690215942328
2013-06-28,29.929018438720604,4,-0.03341483292583547
2013-07-05,29.963340707572343,4,-0.019673974142776385
2013-07-12,30.42652152092587,4,0.0011467889908254314
2013-07-19,30.900320695232466,4,0.015458250062099221
2013-07-26,31.684242965448853,4,0.01557191392978452
2013-08-02,31.65839937412304,4,0.025369389461946223
2013-08-09,30.91754975611635,4,-0.0008156606851549286
2013-08-16,30.12501295545803,4,-0.02340136054421771
2013-08-23,30.01302405971284,4,-0.025633881303984474
2013-08-30,28.71222996298016,4,-0.0037174721189587867
2013-09-06,28.85867698049311,4,-0.043340987370838246
2013-09-13,30.038867651038647,4,0.005100510051005092
2013-09-20,30.400677929600054,4,0.0408955223880596
2013-09-27,28.54855388458333,4,0.012044737596788035
2013-10-04,28.910364163144735,4,-0.06092377444035135
2013-10-11,29.203688412532774,4,0.012673506336753126
2013-10-18,32.257273131023325,4,0.010145989435925928
2013-10-25,32.2226716044682,4,0.10456161137440789
2013-11-01,31.97181053694347,4,-0.001072673639045174
2013-11-08,32.97525480704234,4,-0.007785234899329141
2013-11-15,32.914702135570856,4,0.031385281385281294
2013-11-22,33.08770976834653,4,-0.001836306400839427
2013-11-29,33.035807478513824,4,0.005256241787122251
2013-12-06,32.464882290354126,4,-0.0015686274509805198
2013-12-13,31.4873891651716,4,-0.01728201099764315
2013-12-20,32.73304412115641,4,-0.03010924593658415
2013-12-27,33.19151434801193,4,0.03956043956043964
2014-01-03,33.425074652259084,4,0.014006342494714552
2014-01-10,34.22956014466594,4,0.0070367474589523304
2014-01-17,34.2742231864537,4,0.024068322981366297
2014-01-24,31.82109350661108,4,0.0013048091064857825
2014-01-31,31.89068583795413,4,-0.07157360406091362
2014-02-07,32.343035991683976,4,0.002186987424822151
2014-02-14,33.76097974279869,4,0.014184397163120588
2014-02-21,33.76967878421657,4,0.04384077461000557
2014-02-28,34.60478676033321,4,0.00025766555011608183
2014-03-07,34.42210689055769,4,0.02472952086553315
2014-03-14,33.900164405484794,4,-0.005279034690799489
2014-03-21,33.395620003247664,4,-0.015163002274450332
2014-03-28,33.326027671904605,4,-0.01488324352065673
2014-04-04,33.60439699727682,4,-0.00208387600937765
2014-04-11,32.39523024019127,4,0.00835291046724107
2014-04-25,33.279054728105734,4,-0.03598239710069906
2014-05-02,33.742843815823214,4,0.027282549972987846
2014-05-09,34.119125528499666,4,0.013936366026820801
2014-05-16,34.18038069102839,4,0.011151452282157637
2014-05-23,34.65292051624998,4,0.0017953321364452268
2014-05-30,35.01170075391822,4,0.013824884792626557
2014-06-06,35.046703703934625,4,0.010353535353535337
2014-06-13,34.81918452882795,4,0.000999750062484095
2014-06-20,35.74676270426293,4,-0.006491885143570131
2014-06-27,35.47548984163571,4,0.026639859261121
2014-07-11,36.33306211703785,4,-0.007588739290085966
2014-07-18,37.591083396150786,4,0.024173655648741965
2014-07-25,37.86380129581863,4,0.034624697336561816
2014-08-01,36.975268783997606,4,0.007254856073016791
2014-08-08,36.6761588295232,4,-0.02346654275092941
2014-08-15,37.00166083880417,4,-0.008089459909588426
2014-08-22,37.04564759681511,4,0.008875029983209437
2014-08-29,37.16001316764356,4,0.00118877793628136
2014-09-05,37.78462513139893,4,0.003087152695322004
2014-09-12,37.432731067311394,4,0.016808712121212155
2014-09-19,38.34765563393898,4,-0.00931315483119921
2014-09-26,36.957674080793225,4,0.02444183313748516
2014-10-03,36.76413234554508,4,-0.03624684560679037
2014-10-10,36.73774029073853,4,-0.0052368483694359425
2014-10-17,36.13635214924352,4,-0.000717875089733977
2014-10-24,37.55138307040822,4,-0.01636976408281199
2014-10-31,38.550748658480785,4,0.03915810083210958
2014-11-07,38.35618190682064,4,0.0266132830899668
2014-11-14,38.74531541014093,4,-0.0050470291351227825
2014-11-21,38.74531541014093,4,0.010145261701637098
2014-11-28,39.36439143815048,4,0.0
2014-12-05,40.063062955475566,4,0.01597808719470417
2014-12-12,38.639188091053576,4,0.017748820489777994
2014-12-19,40.72635869977151,4,-0.035540838852097356
2014-12-26,40.54947983462593,4,0.05401693751430536
2015-01-02,39.70930522518438,4,-0.004343105320303908
2015-01-09,39.974623522902775,4,-0.020719738276990363
2015-01-16,39.55838722911616,4,0.006681514476615025
2015-01-23,38.99822126026151,4,-0.010412513167213255
2015-01-30,39.79845835862528,4,-0.014160485502360154
2015-02-06,40.45643108394662,4,0.020519835841313006
