Date,BMY,dayofweek,weekly_ret
2013-01-18,27.50250768786938,4,0.023388305847076518
2013-01-25,29.282269502841768,4,0.009668912979783117
2013-02-01,29.457851385933214,4,0.06471271038885651
2013-02-08,29.55362332216492,4,0.005996184246388703
2013-02-15,29.194478561296048,4,0.0032511514494719673
2013-02-22,29.449870391247238,4,-0.012152308938698453
2013-03-01,29.649395258396613,4,0.008747949699289048
2013-03-08,29.848920125545984,4,0.00677506775067771
2013-03-15,31.093955296558065,4,0.006729475100942128
2013-03-22,32.23523753665247,4,0.0417112299465241
2013-04-05,32.687025575013216,4,0.0367043121149897
2013-04-12,33.338995304532084,4,0.014015346958341723
2013-04-19,33.12167206135913,4,0.019945826151194668
2013-04-26,32.42140827780184,4,-0.006518590053114615
2013-05-03,32.357016205750604,4,-0.02114216281895509
2013-05-10,32.59043746693636,4,-0.0019860973187683095
2013-05-17,34.85220899773633,4,0.007213930348258346
2013-05-24,38.15230269036264,4,0.06939985181526276
2013-05-31,37.033490438472256,4,0.09468822170900726
2013-06-07,38.2327927804267,4,-0.02932489451476794
2013-06-14,37.66936214997831,4,0.03238426429037178
2013-06-21,36.808118186292894,4,-0.014736842105263048
2013-06-28,35.971021249626716,4,-0.022863247863248337
2013-07-05,35.84345388001599,4,-0.022742182374808517
2013-07-12,37.165880992384174,4,-0.0035463927678185403
2013-07-19,35.851566929785115,4,0.03689452240832969
2013-07-26,35.87590607909252,4,-0.03536345776031469
2013-08-02,35.567610187865576,4,0.000678886625933961
2013-08-09,35.445914441328625,4,-0.00859339665309844
2013-08-16,33.815191437733525,4,-0.003421532846715425
2013-08-23,34.26952222480479,4,-0.046005951018539326
2013-08-30,33.82330448750264,4,0.013435700575815446
2013-09-06,33.985565482885235,4,-0.013020833333333481
2013-09-13,35.34044479432994,4,0.0047973135044374615
2013-09-20,37.95284681998977,4,0.03986631654332795
2013-09-27,37.482289933380244,4,0.07392102846648285
2013-10-04,38.8407391250238,4,-0.012398460880718054
2013-10-11,38.971516024434656,4,0.03624242793217869
2013-10-18,40.63892149192304,4,0.0033670033670034627
2013-10-25,39.8624336516711,4,0.04278523489932873
2013-11-01,42.89482300676029,4,-0.019106999195494745
2013-11-08,42.788566775988976,4,0.07607135534139853
2013-11-15,42.84578166948122,4,-0.00247713414634132
2013-11-22,43.654963734585884,4,0.0013371537726838412
2013-11-29,41.99573182331067,4,0.018885921404044215
2013-12-06,41.42358288838817,4,-0.038007863695937005
2013-12-13,41.46445066945407,4,-0.01362397820163519
2013-12-20,43.62226950973317,4,0.0009865824782953059
2013-12-27,43.44245127304324,4,0.05204021289178007
2014-01-03,43.489831756002424,4,-0.004122166010867678
2014-01-10,46.230061457941645,4,0.0010906493894966562
2014-01-17,44.73239837760249,4,0.0630085146641437
2014-01-24,41.918108413448685,4,-0.03239587041651826
2014-01-31,41.11990336513606,4,-0.06291390728476842
2014-02-07,41.41614441399435,4,-0.019042010208087934
2014-02-14,44.740627295626325,4,0.007204322593556078
2014-02-21,44.55136218107798,4,0.08027021657063371
2014-02-28,44.246892214195846,4,-0.0042302740481882095
2014-03-07,45.94204932710719,4,-0.006834133727373404
2014-03-14,44.436157328744194,4,0.03831132601822573
2014-03-21,42.83974723211894,4,-0.03277807630306284
2014-03-28,42.64225319954673,4,-0.03592592592592592
2014-04-04,41.34055129847082,4,-0.004610065309258782
2014-04-11,40.462199236406704,4,-0.03052610505792286
2014-04-25,41.8460180511681,4,-0.02124674283423522
2014-05-02,41.26597423659745,4,0.034200286708990335
2014-05-09,42.409489185322435,4,-0.013861386138613985
2014-05-16,40.42076753536594,4,0.027710843373493832
2014-05-23,40.42905387557409,4,-0.046893317702227266
2014-05-30,41.21625619534854,4,0.0002050020500203864
2014-06-06,39.15295748351867,4,0.01947120311539252
2014-06-13,39.02037604018824,4,-0.05006031363088059
2014-06-20,39.60041985475888,4,-0.0033862433862432706
2014-06-27,40.644498720986036,4,0.014865151836908064
2014-07-11,40.58959396803577,4,0.026365348399246313
2014-07-18,41.00701060695015,4,-0.0013508532440558163
2014-07-25,41.23241559196394,4,0.010283833813245158
2014-08-01,41.58304556865203,4,0.005496742671010191
2014-08-08,41.065448936398184,4,0.008503745697509668
2014-08-15,41.47451724253429,4,-0.012447299739008155
2014-08-22,41.891933881448686,4,0.00996137426306154
2014-08-29,42.28430552202821,4,0.010064412238325326
2014-09-05,42.67667716260775,4,0.00936628138700657
2014-09-12,41.958720543674985,4,0.009279368213228167
2014-09-19,43.00226214096097,4,-0.01682316118935856
2014-09-26,42.65998049705117,4,0.02487067250298458
2014-10-03,42.753715438704866,4,-0.007959619491360814
2014-10-10,42.274470250896385,4,0.002197257020784882
2014-10-17,42.3921795952704,4,-0.011209439528023335
2014-10-24,45.09108670556032,4,0.0027844073190135266
2014-10-31,48.92504820802824,4,0.06366521221737398
2014-11-07,49.034349742089844,4,0.08502703710609705
2014-11-14,48.72326076052994,4,0.002234060835195395
2014-11-21,49.43792463708645,4,-0.006344307270233385
2014-11-28,49.64811989489721,4,0.01466781708369247
2014-12-05,50.993369544885944,4,0.004251700680272474
2014-12-12,49.39588558552431,4,0.02709568162574061
2014-12-19,51.53987721519388,4,-0.03132728771640547
2014-12-26,50.093733841455965,4,0.043404255319149154
2015-01-02,50.34659671923747,4,-0.028058727569331476
2015-01-09,51.03187219130237,4,0.005047794572107467
2015-01-16,52.71545020291862,4,0.013611157788606887
2015-01-23,52.5124056186031,4,0.03299071618037153
2015-01-30,50.98957123623664,4,-0.003851709195955566
