Date,JNJ,dayofweek,weekly_ret
2013-01-18,58.75919298246378,4,0.011180992313067684
2013-01-25,59.3128437151949,4,0.01216309606081567
2013-02-01,59.52146573042693,4,0.009422367882015559
2013-02-08,60.564575806587,4,0.0035173160173163076
2013-02-15,61.11020261565535,4,0.017524939336748258
2013-02-22,61.671877272049244,4,0.009009009009008917
2013-03-01,62.03584244939248,4,0.009191176470588314
2013-03-08,63.24097159215121,4,0.005901639344262355
2013-03-15,64.04978309735841,4,0.019426336375488962
2013-03-22,64.49462942522237,4,0.012789359253101429
2013-04-05,66.35489588719895,4,0.006945321378961866
2013-04-12,66.92106394084398,4,0.028843742162026675
2013-04-19,68.3364840749566,4,0.00853242320819092
2013-04-26,68.84603532323713,4,0.02115059221658222
2013-05-03,69.35558657151766,4,0.007456503728251684
2013-05-10,69.36367468656974,4,0.0074013157894736725
2013-05-17,71.24820549370254,4,0.00011661807580187755
2013-05-24,70.7524432712899,4,0.027168843283582378
2013-05-31,68.60102136117469,4,-0.006958241530117593
2013-06-07,69.19592211662321,4,-0.0304077401520384
2013-06-14,69.19592211662321,4,0.008671893561415844
2013-06-21,67.80238747029857,4,0.0
2013-06-28,69.97010803124803,4,-0.020138970674832057
2013-07-05,71.60812244008575,4,0.03197115384615401
2013-07-12,73.33577942851163,4,0.023410202655485435
2013-07-19,75.16122832194273,4,0.024126550586093032
2013-07-26,75.65018784696893,4,0.024891654628291793
2013-08-02,76.92148261203705,4,0.006505475441830333
2013-08-09,75.26716955236509,4,0.01680491220510638
2013-08-16,72.83052125265124,4,-0.021506515520712144
2013-08-23,72.58604149013811,4,-0.03237332178432217
2013-08-30,70.94400910714666,4,-0.0033568311513935134
2013-09-06,71.55977125076845,4,-0.022621875353466603
2013-09-13,72.71740408077744,4,0.008679550977895856
2013-09-20,73.62873205333771,4,0.016177145479577826
2013-09-27,71.2067342884253,4,0.012532460200971096
2013-10-04,71.68292367949282,4,-0.0328947368421052
2013-10-11,73.4398983292937,4,0.006687420731004146
2013-10-18,75.2297136267544,4,0.02451036536479223
2013-10-25,75.60738107484245,4,0.02437115707098947
2013-11-01,76.658281799957,4,0.005020189894139548
2013-11-08,77.2165728101741,4,0.01389944619394079
2013-11-15,77.49571831528264,4,0.007282853164828129
2013-11-22,78.74366292635615,4,0.0036150983519402935
2013-11-29,78.25590690403016,4,0.016103400783981092
2013-12-06,78.07403177706115,4,-0.006194225721784963
2013-12-13,75.51951294826912,4,-0.0023241073315021232
2013-12-20,76.13127473898308,4,-0.032719186785260534
2013-12-27,76.34621807085556,4,0.008100711548987505
2014-01-03,75.93286550956233,4,0.0028233250081444172
2014-01-10,78.32204331383706,4,-0.005414185165132812
2014-01-17,78.58658895306473,4,0.03146434403919418
2014-01-24,74.90775115755518,4,0.003377665188938561
2014-01-31,73.13860219522023,4,-0.046812539448769175
2014-02-07,74.43652923768094,4,-0.023617702240371075
2014-02-14,76.68516717111598,4,0.017746128631174862
2014-02-21,76.20567820001584,4,0.0302087960906261
2014-02-28,76.70527836304043,4,-0.006252695127210273
2014-03-07,77.70447868908957,4,0.006555944055944174
2014-03-14,77.2798185505187,4,0.013026487190620717
2014-03-21,79.87773939824652,4,-0.005465066438062327
2014-03-28,81.13506647519169,4,0.033617067126387346
2014-04-04,81.95108007479851,4,0.015740644219743416
2014-04-11,80.66044632031836,4,0.010057471264367956
2014-04-25,83.09183378037129,4,-0.015748831538305086
2014-05-02,82.69215364995163,4,0.030143491276968915
2014-05-09,84.02442075135052,4,-0.004810101212546214
2014-05-16,83.749640661687,4,0.016111167052663466
2014-05-23,84.66568975880698,4,-0.003270240808641356
2014-05-30,85.06814104702472,4,0.010937946597531445
2014-06-06,86.51025816313829,4,0.004753416518122444
2014-06-13,85.96527204367678,4,0.016952493593534346
2014-06-20,88.26259814725303,4,-0.006299670478774888
2014-06-27,88.0278348957927,4,0.026723885691992466
2014-07-11,88.12006331600925,4,-0.0026598271112376892
2014-07-18,85.3532107095123,4,0.0010477188303648077
2014-07-25,85.61312716648625,4,-0.03139866793529966
2014-08-01,83.76017436031708,4,0.0030451866404714867
2014-08-08,84.74953377718569,4,-0.021643325825090542
2014-08-15,84.82499339372652,4,0.01181181181181179
2014-08-22,87.0300910770862,4,0.0008903838543727893
2014-08-29,87.56189473740206,4,0.02599584857171089
2014-09-05,88.14434636536707,4,0.006110572259941938
2014-09-12,88.27940761243141,4,0.006651884700665578
2014-09-19,91.15790044049021,4,0.0015322735108216357
2014-09-26,90.4066222536948,4,0.03260661694396605
2014-10-03,88.74368064921507,4,-0.008241503842948306
2014-10-10,85.45156275202173,4,-0.018394024276377374
2014-10-17,83.31590678281678,4,-0.03709692761343064
2014-10-24,87.0554150609108,4,-0.02499259112911212
2014-10-31,90.98063255371828,4,0.044883485309017424
2014-11-07,91.33516832726215,4,0.04508872297100752
2014-11-14,91.30140301549608,4,0.0038968268695487307
2014-11-21,91.63905613315693,4,-0.0003696857670978382
2014-11-28,91.97040447259631,4,0.0036982248520709415
2014-12-05,92.19130336555591,4,0.0036157982569999803
2014-12-12,88.72488996834394,4,0.0024018475750577917
2014-12-19,89.6764544303237,4,-0.03760022117777184
2014-12-26,89.26014497820756,4,0.01072488748443945
2015-01-02,88.80135496975305,4,-0.004642349597347217
2015-01-09,89.15819164299545,4,-0.0051399200456880845
2015-01-16,88.39354162890459,4,0.0040183696900113475
2015-01-23,86.83025715565212,4,-0.00857632933104624
2015-01-30,85.08005823451082,4,-0.017685505574779214
2015-02-06,85.89568491620773,4,-0.02015655577299391
