Date,DHR,dayofweek,weekly_ret
2013-01-18,43.995242064345895,4,0.029092787054570524
2013-01-25,44.01705428153199,4,0.012211441953830615
2013-02-01,43.966159108097784,4,0.0004957858205256738
2013-02-08,44.21336423620681,4,-0.0011562603237527114
2013-02-15,44.845918534603456,4,0.005622622788159282
2013-02-22,44.68596227523879,4,0.014306857424765784
2013-03-01,44.765940404921125,4,-0.003566796368352665
2013-03-08,45.03495775021624,4,0.0017897819720142927
2013-03-15,45.5511802236204,4,0.006009420172161661
2013-03-22,44.838647795541426,4,0.011462705844365484
2013-04-05,44.042122694033786,4,-0.01564245810055853
2013-04-12,44.776764212134104,4,-0.01776425339898058
2013-04-19,42.98743932646402,4,0.016680429397192498
2013-04-26,43.59842831181478,4,-0.03996101364522431
2013-05-03,44.2239646539596,4,0.014213197969543234
2013-05-10,45.02406927763321,4,0.01434768101434769
2013-05-17,46.00601586123264,4,0.018092105263157965
2013-05-24,45.169542845573865,4,0.021809369951534707
2013-05-31,44.96587985045695,4,-0.018181818181818188
2013-06-07,45.169542845573865,4,-0.00450885668276968
2013-06-14,45.47503733824925,4,0.004529278550630789
2013-06-21,45.1768165239709,4,0.006763285024154797
2013-06-28,46.06055409704307,4,-0.006557901471529237
2013-07-05,47.00650544500761,4,0.019561749611180623
2013-07-12,49.61878647515587,4,0.02053712480252745
2013-07-19,49.9826139166807,4,0.05557275541795681
2013-07-26,48.54913379707289,4,0.00733245343892075
2013-08-02,48.920237787428206,4,-0.02867957490173223
2013-08-09,48.74560061549629,4,0.007643884892086117
2013-08-16,48.55641034590339,4,-0.0035698348951360703
2013-08-23,49.00027982456368,4,-0.003881176294969313
2013-08-30,47.6759479374133,4,0.009141315750037515
2013-09-06,48.629175834208354,4,-0.027027027027027195
2013-09-13,50.76120464154385,4,0.019993894993895145
2013-09-20,50.62295021376439,4,0.04384258566512056
2013-09-27,50.8595191221377,4,-0.0027236238532114543
2013-10-04,49.87683197722736,4,0.00467315530553547
2013-10-11,50.546515068573676,4,-0.019321597252039302
2013-10-18,52.40998106188514,4,0.013426736719206245
2013-10-25,52.490051866285235,4,0.03686635944700445
2013-11-01,52.868568396176634,4,0.0015277777777775725
2013-11-08,54.3025637113421,4,0.007211205103314411
2013-11-15,54.222492906941994,4,0.02712377805314614
2013-11-22,54.33895953152397,4,-0.0014745308310992744
2013-11-29,54.44814699206956,4,0.0021479393207142206
2013-12-06,54.6810802412335,4,0.002009377093101117
2013-12-13,53.873093033196106,4,0.004278074866310266
2013-12-20,55.71472153439846,4,-0.014776357827475994
2013-12-27,56.10418756604269,4,0.03418456965274963
2014-01-03,55.74739260293613,4,0.0069903612711008645
2014-01-10,56.562923947179705,4,-0.0063595068137571875
2014-01-17,56.701273014506754,4,0.014629049111807735
2014-01-24,53.97798084712193,4,0.0024459320288365838
2014-01-31,54.167300623464186,4,-0.04802876589187133
2014-02-07,54.69885230319439,4,0.0035073519492783145
2014-02-14,55.652732714764994,4,0.009813146928350891
2014-02-21,55.4488498787041,4,0.017438764643237237
2014-02-28,55.6964218939209,4,-0.0036634829255527412
2014-03-07,56.38088570069677,4,0.00446487196323031
2014-03-14,53.73040883190514,4,0.01228918812916735
2014-03-21,54.8299198406621,4,-0.047010202763786646
2014-03-28,53.861982582599175,4,0.02046347743596688
2014-04-04,54.97757529075372,4,-0.01765345017603137
2014-04-11,53.08179683245186,4,0.020712061730066234
2014-04-25,53.264083222673186,4,-0.034482758620689835
2014-05-02,53.42449524606796,4,0.003434065934065922
2014-05-09,53.97864587234081,4,0.003011635865845408
2014-05-16,54.919243645882894,4,0.010372594513443412
2014-05-23,57.179594884627406,4,0.01742536809401618
2014-05-30,57.186886340236256,4,0.0411577270313328
2014-06-06,58.601428728353795,4,0.00012751849018100003
2014-06-13,58.528514172265254,4,0.02473543287007529
2014-06-20,58.82746385222825,4,-0.0012442453651861918
2014-06-27,57.81367633871507,4,0.005107761305593872
2014-07-11,57.22232543791496,4,-0.017233235076388187
2014-07-18,54.83501994949978,4,-0.01022856421265339
2014-07-25,55.258456396986276,4,-0.04171982648634853
2014-08-01,53.54280872182552,4,0.007722007722007929
2014-08-08,54.65980486778124,4,-0.031047694543532733
2014-08-15,54.86422246311954,4,0.02086173984183226
2014-08-22,56.24404123165309,4,0.003739815680512848
2014-08-29,55.93011421024069,4,0.025149700598802616
2014-09-05,56.31704751570248,4,-0.005581516095534922
2014-09-12,56.127231177174046,4,0.006918156898577221
2014-09-19,58.00349267724348,4,-0.0033704952035261693
2014-09-26,55.49036710883935,4,0.03342872008324682
2014-10-03,54.78129510125703,4,-0.043327142080706205
2014-10-10,52.52980872666574,4,-0.012778290080358246
2014-10-17,54.67164479080616,4,-0.04109954630370949
2014-10-24,56.98892135166797,4,0.040773726690787715
2014-10-31,58.77256640166888,4,0.04238534563444296
2014-11-07,59.35005803671014,4,0.03129810159055957
2014-11-14,60.11030018916954,4,0.009825870646765766
2014-11-21,61.10446300392414,4,0.012809459293016578
2014-11-28,61.082532941833975,4,0.01653897604280674
2014-12-05,62.04745567380166,4,-0.0003588946046175767
2014-12-12,61.22873335576847,4,0.01579703207276184
2014-12-19,63.06354855064643,4,-0.013195098963242113
2014-12-26,63.4726326241094,4,0.029966571155682686
2015-01-02,62.73347248401543,4,0.006486854654784269
2015-01-09,62.594422556671006,4,-0.011645336100541859
2015-01-16,60.40621580530371,4,-0.002216518898740305
2015-01-23,61.577162561888215,4,-0.03495849409563867
2015-01-30,60.28912112964525,4,0.019384540828689012
