Date,CRM,dayofweek,weekly_ret
2015-06-26,72.34,4,0.045004876689424655
2015-07-10,71.14,4,-0.035466666666666646
2015-07-17,72.81,4,-0.016588332872546352
2015-07-24,73.92,4,0.023474838346921656
2015-07-31,73.3,4,0.01524515863205611
2015-08-07,70.41,4,-0.008387445887445999
2015-08-14,72.99,4,-0.03942701227830836
2015-08-21,69.15,4,0.03664252236898169
2015-08-28,70.25,4,-0.05260994656802287
2015-09-04,67.13,4,0.01590744757772944
2015-09-11,70.05,4,-0.04441281138790043
2015-09-18,71.4,4,0.04349769104722179
2015-09-25,72.44,4,0.01927194860813719
2015-10-02,73.93,4,0.014565826330532161
2015-10-09,75.25,4,0.0205687465488682
2015-10-16,78.77,4,0.017854727444880147
2015-10-23,78.56,4,0.04677740863787361
2015-10-30,77.71,4,-0.00266598958994535
2015-11-06,79.41,4,-0.010819755600814718
2015-11-13,75.6,4,0.02187620640844168
2015-11-20,80.99,4,-0.047978843974310625
2015-11-27,79.97,4,0.07129629629629641
2015-12-04,82.14,4,-0.012594147425608049
2015-12-11,76.87,4,0.027135175690884195
2015-12-18,77.03,4,-0.06415875334794252
2016-01-08,73.23,4,0.002081436190971786
2016-01-15,70.86,4,-0.049331429313254516
2016-01-22,71.55,4,-0.032363785333879624
2016-01-29,68.06,4,0.009737510584250542
2016-02-05,58.51,4,-0.048777078965758114
2016-02-12,59.68,4,-0.14031736702909203
2016-02-19,62.14,4,0.019996581780892253
2016-02-26,69.72,4,0.041219839142091264
2016-03-04,71.06,4,0.12198261989056958
2016-03-11,71.63,4,0.019219736087205952
2016-03-18,72.65,4,0.00802139037433136
2016-04-01,75.73,4,0.014239843640932781
2016-04-08,74.85,4,0.04239504473503097
2016-04-15,76.31,4,-0.011620229763634082
2016-04-22,76.48,4,0.019505678022712303
2016-04-29,75.8,4,0.002227755209015969
2016-05-06,74.25,4,-0.008891213389121466
2016-05-13,76.37,4,-0.02044854881266489
2016-05-20,81.02,4,0.028552188552188662
2016-05-27,83.77,4,0.06088778316092691
2016-06-03,82.55,4,0.03394223648481853
2016-06-10,81.83,4,-0.014563686283872501
2016-06-17,80.5,4,-0.008721986674742555
2016-06-24,78.46,4,-0.016253207869974307
2016-07-01,79.83,4,-0.0253416149068324
2016-07-08,80.89,4,0.017461126688758766
2016-07-15,81.4,4,0.013278216209445137
2016-07-22,82.55,4,0.006304858449746709
2016-07-29,81.8,4,0.014127764127763953
2016-08-05,81.33,4,-0.009085402786190189
2016-08-12,81.63,4,-0.005745721271393611
2016-08-19,77.48,4,0.003688675765400218
2016-08-26,80.03,4,-0.05083915227244873
2016-09-02,75.1,4,0.03291171915332991
2016-09-09,74.2,4,-0.06160189928776716
2016-09-16,73.29,4,-0.011984021304926706
2016-09-23,70.39,4,-0.012264150943396168
2016-09-30,71.33,4,-0.03956883613044082
2016-10-07,70.91,4,0.013354169626367263
2016-10-14,74.27,4,-0.0058881256133463955
2016-10-21,74.0,4,0.04738400789733466
2016-10-28,75.13,4,-0.003635384408240183
2016-11-04,74.37,4,0.01527027027027028
2016-11-11,74.59,4,-0.01011579928124573
2016-11-18,77.77,4,0.002958182062659631
2016-11-25,73.73,4,0.04263306073200157
2016-12-02,68.41,4,-0.051948051948051854
2016-12-09,71.17,4,-0.0721551607215517
2016-12-16,69.86,4,0.04034497880426846
2016-12-23,69.87,4,-0.018406632007868517
2016-12-30,68.46,4,0.00014314342971655236
2017-01-06,73.8,4,-0.020180334907685893
2017-01-13,75.64,4,0.07800175284837874
2017-01-20,76.03,4,0.024932249322493272
2017-01-27,78.21,4,0.005156002115282998
2017-02-03,80.21,4,0.028672892279363316
2017-02-10,80.64,4,0.025572177470911672
2017-02-17,81.47,4,0.0053609275651416155
2017-02-24,81.78,4,0.01029265873015861
2017-03-03,82.22,4,0.0038050816251380404
2017-03-10,83.51,4,0.005380288579114767
2017-03-17,83.03,4,0.015689613232790167
2017-03-24,81.61,4,-0.005747814632978132
2017-03-31,82.49,4,-0.017102252198000767
2017-04-07,84.38,4,0.010782992280357728
2017-04-21,83.79,4,0.022911868105224942
2017-04-28,86.12,4,-0.006992178241289282
2017-05-05,86.97,4,0.027807614273779757
