Date,WMT,dayofweek,weekly_ret
2013-01-18,56.95469956591074,4,-0.006226469736461238
2013-01-25,56.790090607627754,4,0.00830540579921335
2013-02-01,58.016427346835954,4,-0.0028901734104046506
2013-02-08,58.831241690336704,4,0.02159420289855074
2013-02-15,57.03700404505222,4,0.014044545325578195
2013-02-22,57.94235331560861,4,-0.030498041410184862
2013-03-01,59.04523333610457,4,0.015873015873015817
2013-03-08,60.4937921689948,4,0.01903409090909114
2013-03-15,60.05477108383024,4,0.024533035963200556
2013-03-22,61.529219256647046,4,-0.007257291524031428
2013-04-05,63.27702018060402,4,0.024551724137931163
2013-04-12,65.07452160476832,4,0.028406031233171536
2013-04-19,64.85086935383545,4,0.028406859536588724
2013-04-26,65.47212560642679,4,-0.003436863543788027
2013-05-03,65.64607735715235,4,0.009579767530974337
2013-05-10,65.74037916034656,4,0.0026568825910928684
2013-05-17,64.89039580702479,4,0.0014365184789513208
2013-05-24,64.42373827971089,4,-0.012929395360628981
2013-05-31,62.365445257451356,4,-0.007191472967766677
2013-06-07,63.60708760691156,4,-0.0319492950459187
2013-06-14,62.39044476784317,4,0.019909139497594763
2013-06-21,61.25713363008082,4,-0.01912747281540672
2013-06-28,62.07378430288014,4,-0.01816481901963407
2013-07-05,62.673772552283744,4,0.013331519521153412
2013-07-12,64.69039972389028,4,0.009665726943213881
2013-07-19,65.06539237976752,4,0.0321765722643268
2013-07-26,64.99872701872268,4,0.005796728069045409
2013-08-02,65.62371477851808,4,-0.0010245901639344135
2013-08-09,64.47135808725703,4,0.009615384615384581
2013-08-16,62.13228020606786,4,-0.01756006491175155
2013-08-23,61.57056616291489,4,-0.036280884265279534
2013-08-30,61.184911745227794,4,-0.009040615301578958
2013-09-06,60.85794386936265,4,-0.0062636165577341085
2013-09-13,62.34187499828911,4,-0.005343929843792727
2013-09-20,63.574292376550076,4,0.02438352390136367
2013-09-27,62.34187499828911,4,0.019768692845616
2013-10-04,61.034003494828504,4,-0.01938546749307679
2013-10-11,62.72752941597621,4,-0.020979020979020824
2013-10-18,63.47368687628386,4,0.02774725274725265
2013-10-25,63.78388716877132,4,0.01189521518310599
2013-11-01,64.61388254596747,4,0.004887069079382078
2013-11-08,65.36004000627513,4,0.013012618296529777
2013-11-15,66.41639775907025,4,0.011547943428052543
2013-11-22,66.9110414687124,4,0.016162134427911923
2013-11-29,67.91709647137439,4,0.007447614238828448
2013-12-06,67.41269361852726,4,0.01503570981080049
2013-12-13,65.84417210075817,4,-0.00742674347186989
2013-12-20,65.29603286067757,4,-0.023267450587940997
2013-12-27,66.17305564480652,4,-0.008324795081967373
2014-01-03,66.32484804975192,4,0.013431486503939105
2014-01-10,65.81044045521476,4,0.002293870268892606
2014-01-17,64.25035184883151,4,-0.00775588048315301
2014-01-24,62.757726533535134,4,-0.02370579190158917
2014-01-31,62.97698222956738,4,-0.02323139519621986
2014-02-07,62.192721470682834,4,0.003493684493415916
2014-02-14,63.91303539339732,4,-0.012453133369041303
2014-02-21,61.66144805337394,4,0.027661016949152684
2014-02-28,62.993848052339075,4,-0.035228922021375175
2014-03-07,63.29743286222988,4,0.021608315098468278
2014-03-14,63.042817283540295,4,0.004819277108434106
2014-03-21,64.58748512759041,4,-0.004022526146420069
2014-03-28,64.51110045398353,4,0.024501884760365966
2014-04-04,65.61443462830506,4,-0.0011826544021026342
2014-04-11,64.9269725658432,4,0.017103012761478853
2014-04-25,66.72625598858289,4,-0.010477299185098876
2014-05-02,67.15061528639887,4,0.027712418300653407
2014-05-09,67.63237739862028,4,0.0063597049096923985
2014-05-16,65.76223969024934,4,0.007174351421303848
2014-05-23,64.56671786754646,4,-0.027651515151515094
2014-05-30,65.5572930920717,4,-0.018179457213348904
2014-06-06,65.93302852206403,4,0.01534188599391606
2014-06-13,64.28491629505221,4,0.005731405496938846
2014-06-20,64.6264939586816,4,-0.02499676207745094
2014-06-27,64.33615294459662,4,0.005313496280552554
2014-07-11,65.59999030002537,4,-0.004492600422832949
2014-07-18,65.83055522297522,4,0.019644279267321263
2014-07-25,64.87413776481291,4,0.0035147097110128644
2014-08-01,62.79905345826434,4,-0.014528473213127557
2014-08-08,64.17649991289404,4,-0.03198631038567856
2014-08-15,63.51470930176604,4,0.021934191341675957
2014-08-22,65.08753633860272,4,-0.0103120396410874
2014-08-29,64.88985862359047,4,0.02476319350473588
2014-09-05,66.61738995913242,4,-0.0030371055064041252
2014-09-12,65.12191507164835,4,0.026622516556291442
2014-09-19,66.04154618061844,4,-0.02244871629467171
2014-09-26,65.74073226646935,4,0.014121684043816973
2014-10-03,66.45409097716576,4,-0.004554919312857786
2014-10-10,67.28777525352183,4,0.010851091645966537
2014-10-17,63.686602966994094,4,0.012545266425245893
2014-10-24,65.6461907505939,4,-0.05351896793971134
2014-10-31,65.55164923471848,4,0.03076923076923066
2014-11-07,67.70032005006915,4,-0.0014401675831368088
2014-11-14,71.30149233659691,4,0.03277828766225244
2014-11-21,72.75399380777395,4,0.05319283991367296
2014-11-28,75.23785727031935,4,0.020371263259401973
2014-12-05,72.70703773626128,4,0.034140578854105375
2014-12-12,72.4390969172142,4,-0.03363758121081495
2014-12-19,73.60593596790312,4,-0.0036852116024725934
2014-12-26,75.11850510768507,4,0.01610786302350542
2015-01-02,74.2455366327252,4,0.020549553781118002
2015-01-09,77.22745865115245,4,-0.011621217351282853
2015-01-16,74.9974995765025,4,0.040162980209545784
2015-01-23,76.50142546405714,4,-0.028875209848908567
2015-01-30,73.45035742781127,4,0.020053013714417478
