Date,AMZN,dayofweek,weekly_ret
2015-06-26,438.1,4,0.011630070710829887
2015-07-10,443.51,4,0.007311689506116048
2015-07-17,483.01,4,0.01234877881762153
2015-07-24,529.42,4,0.08906225338774765
2015-07-31,536.15,4,0.09608496718494441
2015-08-07,522.62,4,0.012712024479619277
2015-08-14,531.52,4,-0.025235475146880515
2015-08-21,494.47,4,0.017029581722857845
2015-08-28,518.01,4,-0.06970574954846465
2015-09-04,499.0,4,0.047606528201913134
2015-09-11,529.44,4,-0.03669813324067106
2015-09-18,540.26,4,0.06100200400801614
2015-09-25,524.25,4,0.020436687821093757
2015-10-02,532.54,4,-0.029633879983711475
2015-10-09,539.8,4,0.01581306628516921
2015-10-16,570.76,4,0.013632778758403186
2015-10-23,599.03,4,0.05735457576880343
2015-10-30,625.9,4,0.049530450627233824
2015-11-06,659.37,4,0.044855850291304344
2015-11-13,642.35,4,0.053474996005751674
2015-11-20,668.45,4,-0.02581251800961526
2015-11-27,673.26,4,0.040632054176072296
2015-12-04,672.64,4,0.007195751365098202
2015-12-11,640.15,4,-0.0009208923744170594
2015-12-18,664.14,4,-0.04830221217887731
2016-01-08,607.05,4,0.03747559165820502
2016-01-15,570.18,4,-0.08596079139940382
2016-01-22,596.38,4,-0.06073634791203364
2016-01-29,587.0,4,0.04595040162755626
2016-02-05,502.13,4,-0.01572822696938192
2016-02-12,507.08,4,-0.14458262350936968
2016-02-19,534.9,4,0.009858004899129691
2016-02-26,555.23,4,0.05486313796639575
2016-03-04,575.14,4,0.038007104131613456
2016-03-11,569.61,4,0.03585901338184172
2016-03-18,552.08,4,-0.00961505024863507
2016-04-01,598.5,4,-0.030775442846860068
2016-04-08,594.6,4,0.08408201709897112
2016-04-15,625.89,4,-0.006516290726817031
2016-04-22,620.5,4,0.05262361251261338
2016-04-29,659.59,4,-0.008611736886673382
2016-05-06,673.95,4,0.0629975825946818
2016-05-13,709.92,4,0.02177110022893003
2016-05-20,702.8,4,0.05337191186289769
2016-05-27,712.24,4,-0.01002929907595218
2016-06-03,725.54,4,0.01343198634035292
2016-06-10,717.91,4,0.01867348084915199
2016-06-17,706.39,4,-0.010516305096893386
2016-06-24,698.96,4,-0.01604657965483136
2016-07-01,725.68,4,-0.01051826894491703
2016-07-08,745.81,4,0.03822822479111809
2016-07-15,735.44,4,0.027739499503913523
2016-07-22,744.86,4,-0.013904345610812219
