Date,CVX,dayofweek,weekly_ret
2013-01-18,82.01768693229478,4,0.01113122171945724
2013-01-25,82.70093041940865,4,0.03141501834780258
2013-02-01,82.91444400913177,4,0.008330440819160012
2013-02-08,82.30237171859223,4,0.002581755593804136
2013-02-15,82.45578806162082,4,-0.007381974248927392
2013-02-22,83.17304439479426,4,0.0018640573755657197
2013-03-01,83.84726534797734,4,0.008698677800974108
2013-03-08,85.04508342437701,4,0.008106243532252755
2013-03-15,85.84123795419956,4,0.014285714285714235
2013-03-22,86.91712245395975,4,0.009361558572994921
2013-04-05,84.29196427454488,4,0.012533422459893195
2013-04-12,86.02772460082465,4,-0.030203003796006045
2013-04-19,83.13000901480389,4,0.02059223961878831
2013-04-26,86.099450234142,4,-0.03368350842087697
2013-05-03,88.57398458359043,4,0.035720448662640125
2013-05-10,88.38749793696533,4,0.028740419860046718
2013-05-17,89.24342363352305,4,-0.0021054336383512506
2013-05-24,90.71129067270674,4,0.009683786921631521
2013-05-31,88.7589552018713,4,0.01644790147463926
2013-06-07,87.99971362987972,4,-0.02152251893184509
2013-06-14,86.97292978966257,4,-0.008553971486761847
2013-06-21,85.99676205424483,4,-0.011668036154477979
2013-06-28,85.5701405995067,4,-0.011223811107416215
2013-07-05,87.13923984828928,4,-0.0049609013705541605
2013-07-12,89.70619944883221,4,0.01833699509886766
2013-07-19,91.76699800138071,4,0.029458136254252976
2013-07-26,92.23700468880408,4,0.022972755118490618
2013-08-02,90.34974706699649,4,0.0051217398156175875
2013-08-09,88.57818339901615,4,-0.02046095954844762
2013-08-16,87.4045572327874,4,-0.019607843137254943
2013-08-23,87.14937208904806,4,-0.013249607535322228
2013-08-30,87.80556245866356,4,-0.002919586252919215
2013-09-06,88.37426077899703,4,0.0075294905044756
2013-09-13,90.51052498230088,4,0.006476791497135537
2013-09-20,91.07922330263432,4,0.024172923026152926
2013-09-27,89.41687436627502,4,0.00628322861285624
2013-10-04,86.12863151409056,4,-0.01825168107588826
2013-10-11,85.79324532517597,4,-0.036774298760600344
2013-10-18,87.23686413833012,4,-0.003894015068145018
2013-10-25,87.922218524373,4,0.01682671878983588
2013-11-01,86.04113946480852,4,0.007856247388215554
2013-11-08,88.35967877078335,4,-0.021394808856455505
2013-11-15,88.26794481579977,4,0.026946868909414334
2013-11-22,91.18668328755328,4,-0.0010381879637832991
2013-11-29,90.01771750163687,4,0.03306679993336692
2013-12-06,89.9074377105127,4,-0.012819479158268421
2013-12-13,88.15031303860063,4,-0.0012250898399214227
2013-12-20,90.26768502818504,4,-0.019543707580341962
2013-12-27,92.06892161654676,4,0.024020016680567302
2014-01-03,91.42194684195152,4,0.019954389965792352
2014-01-10,88.96638349291962,4,-0.007027070190848916
2014-01-17,87.70184188802895,4,-0.026859670285484416
2014-01-24,85.49624606554521,4,-0.014213701346995955
2014-01-31,82.07022055462042,4,-0.025148797049207694
2014-02-07,82.37900396976815,4,-0.04007223321007858
2014-02-14,84.17505223340359,4,0.0037624294544478243
2014-02-21,83.58164333503629,4,0.02180225757881904
2014-02-28,85.547310310878,4,-0.0070497003877333375
2014-03-07,85.36187003013822,4,0.02351792687255916
2014-03-14,84.63494412963826,4,-0.002167692707881752
2014-03-21,85.76983864776575,4,-0.008515815085158196
2014-03-28,87.8986930706585,4,0.013409290096406679
2014-04-04,88.12122140754623,4,0.024820548300614087
2014-04-11,86.80830421990855,4,0.0025316455696200446
2014-04-25,91.97096163570421,4,-0.014898989898989856
2014-05-02,92.51244725546437,4,0.05947193027428899
2014-05-09,92.7423932035817,4,0.005887571578352846
2014-05-16,92.15978091065566,4,0.0024855676715842545
2014-05-23,92.30193351962649,4,-0.006282049371392984
2014-05-30,91.86799397645241,4,0.0015424581912650837
2014-06-06,92.91543425307944,4,-0.004701305017427493
2014-06-13,95.2123211453973,4,0.01140157993321922
2014-06-20,99.0130330063011,4,0.02472018681053223
2014-06-27,97.53165318650001,4,0.039918277542039915
2014-07-11,96.11760881305351,4,-0.014961462898594569
2014-07-18,97.55409833528486,4,-0.014498312365756383
2014-07-25,99.93328410648056,4,0.014945123375107006
2014-08-01,95.69115098614107,4,0.024388373341514002
2014-08-08,95.66122412109459,4,-0.04244965186793448
2014-08-15,95.14498569904268,4,-0.00031274433150885184
2014-08-22,95.90705100876541,4,-0.005396527451900668
2014-08-29,97.67262806297444,4,0.008009516256939131
2014-09-05,96.12586184026995,4,0.01840925182912434
2014-09-12,92.54943652533369,4,-0.015836230204712143
2014-09-19,94.16410955781544,4,-0.03720565149136579
2014-09-26,91.65155759605645,4,0.017446600358714814
2014-10-03,88.81456198758379,4,-0.026682692307691935
2014-10-10,85.93229517259296,4,-0.030954145056392712
2014-10-17,84.355348145543,4,-0.03245263783875629
2014-10-24,87.45642579203839,4,-0.0183510404776539
2014-10-31,90.5046870309292,4,0.036762075134168404
2014-11-07,89.63698890599741,4,0.034854628591148185
2014-11-14,88.57311555282016,4,-0.009587328053355604
2014-11-21,90.29401686944132,4,-0.011868686868687028
2014-11-28,82.90023289404688,4,0.019429160935350742
2014-12-05,84.42315441318064,4,-0.08188564682071153
2014-12-12,77.95835256445777,4,0.018370533664002764
2014-12-19,85.9917635778884,4,-0.07657617028952834
2014-12-26,86.23543102094982,4,0.10304747020902516
2015-01-02,85.72525231204001,4,0.0028336137430267083
2015-01-09,82.39766879273272,4,-0.005916114790286864
2015-01-16,80.04475504567104,4,-0.03881684135725716
2015-01-23,81.36208215972175,4,-0.02855558635985589
2015-01-30,78.0725716783928,4,0.01645738203957392
