Date,MCD,dayofweek,weekly_ret
2013-01-18,72.90024288770037,4,0.0209385333343719
2013-01-25,74.05387777406544,4,0.005777826229151017
2013-02-01,75.81593653885595,4,0.015824842835464814
2013-02-08,74.96256278729822,4,0.023794280836534343
2013-02-15,74.19610673265841,4,-0.011255862428347974
2013-02-22,75.26282392210555,4,-0.010224517761146856
2013-03-01,76.21069919819564,4,0.014376996805111508
2013-03-08,78.62414420833916,4,0.01259420291047153
2013-03-15,79.38880005313712,4,0.0316680602006687
2013-03-22,79.07019345113797,4,0.009725458413534671
2013-04-05,80.78270393688338,4,-0.004013243704223957
2013-04-12,82.51114475272874,4,0.021658104160370728
2013-04-19,79.58792917938658,4,0.021396174324590733
2013-04-26,80.3605501892345,4,-0.035428130128390745
2013-05-03,81.97747869438017,4,0.009707766212970315
2013-05-10,79.81095380078598,4,0.0201209237783726
2013-05-17,80.87828591748313,4,-0.026428293820442983
2013-05-24,79.8826402862358,4,0.013373253493013992
2013-05-31,77.52975744480337,4,-0.012310419539097839
2013-06-07,78.90260496712514,4,-0.029454244789625994
2013-06-14,79.01500184029769,4,0.017707362534948867
2013-06-21,78.05962841833106,4,0.0014245014245013454
2013-06-28,79.48064602915538,4,-0.012091038406828014
2013-07-05,80.17108396435813,4,0.01820425794507896
2013-07-12,81.55195983476366,4,0.008686868686868632
2013-07-19,80.50024623579199,4,0.017224113759263027
2013-07-26,78.70189626503131,4,-0.01289623941720841
2013-08-02,79.64121299083044,4,-0.022339682856287957
2013-08-09,78.37273399359745,4,0.011935121901458956
2013-08-16,76.29339183990541,4,-0.015927419354838768
2013-08-23,76.37367532074295,4,-0.02653144847367339
2013-08-30,76.37041692519976,4,0.0010522992739134818
2013-09-06,77.90818496417687,4,-4.266385674778217e-05
2013-09-13,78.79037820759005,4,0.020135650699449004
2013-09-20,78.42616998783231,4,0.011323498857261693
2013-09-27,78.60422733971387,4,-0.0046224961479199855
2013-10-04,76.64559646901671,4,0.00227038183694539
2013-10-11,76.67797053299519,4,-0.024917627677100596
2013-10-18,77.05027226874753,4,0.0004223864836327973
2013-10-25,76.71034459697364,4,0.004855393709098488
2013-11-01,78.70134953164927,4,-0.004411764705882448
2013-11-08,78.51519866377309,4,0.02595484279383853
2013-11-15,78.44235701982154,4,-0.002365281777046535
2013-11-22,79.53498167909473,4,-0.0009277394083084811
2013-11-29,79.46423387592854,4,0.013929013619479624
2013-12-06,78.99905349892045,4,-0.0008895180670517311
2013-12-13,77.07304351692196,4,-0.005853959124986985
2013-12-20,78.7623827807935,4,-0.02438016528925646
2013-12-27,79.08882515062375,4,0.02191867852604834
2014-01-03,78.78686595853077,4,0.004144648222982106
2014-01-10,78.1829475743448,4,-0.0038179754411309386
2014-01-17,77.47293541996402,4,-0.007665216490574056
2014-01-24,77.0648824576762,4,-0.009081419624216935
2014-01-31,76.85269491728656,4,-0.005267038870746865
2014-02-07,78.28088028529388,4,-0.002753362278936633
2014-02-14,78.1666254558533,4,0.018583412976531433
2014-02-21,78.71341642531897,4,-0.0014595496246869732
2014-02-28,78.31401119882217,4,0.0069951973272079915
2014-03-07,78.60208165514996,4,-0.005074169622350744
2014-03-14,80.31404322418358,4,0.0036784025223333128
2014-03-21,78.57738990175042,4,0.021780104712041615
2014-03-28,80.03420335232231,4,-0.021623283459725307
2014-04-04,80.5527301737123,4,0.018539855451974452
2014-04-11,81.72147316795642,4,0.0064788153023447315
2014-04-25,82.90667733113355,4,0.01450904260754049
2014-05-02,83.4828182437891,4,0.014502971094772832
2014-05-09,84.71740591376528,4,0.006949270326615631
2014-05-16,84.89024818756194,4,0.014788524105294298
2014-05-23,83.95196155838005,4,0.0020402215097639065
2014-05-30,84.15008766136823,4,-0.01105293775450833
2014-06-06,84.58979530664601,4,0.0023599937310625485
2014-06-13,83.3702288188001,4,0.005225278517204002
2014-06-20,84.55660982398355,4,-0.014417418595527587
2014-06-27,84.17497677336506,4,0.014230271668822958
2014-07-11,83.27067237081269,4,-0.0045133437990585445
2014-07-18,82.1257732189573,4,-0.010743150009855595
2014-07-25,79.41286001130008,4,-0.013749128225565843
2014-08-01,78.23477537678225,4,-0.033033639761591904
2014-08-08,77.61254757686086,4,-0.014834935227747703
2014-08-15,77.8116604728357,4,-0.007953340402969356
2014-08-22,78.35922093676653,4,0.00256547300908605
2014-08-29,78.42259378726203,4,0.007036997547713142
2014-09-05,77.87868975437982,4,0.0008087478376876955
2014-09-12,78.10461912188474,4,-0.006935552710200632
2014-09-19,78.9581300657922,4,0.002901042226281403
2014-09-26,79.24263371376134,4,0.010927790872080623
2014-10-03,79.37651778339391,4,0.0036032217041115366
2014-10-10,77.2343726692732,4,0.001689545934530523
2014-10-17,76.18003562091694,4,-0.026987138941598432
2014-10-24,76.70720414509508,4,-0.013651137594799412
2014-10-31,78.43096154161407,4,0.006920035149384773
2014-11-07,79.5773438878427,4,0.022471910112359605
2014-11-14,80.50616462091847,4,0.014616451509655182
2014-11-21,80.89944907546408,4,0.011671924290220792
2014-11-28,81.7238502873589,4,0.00488514707410892
2014-12-05,81.30176656518474,4,0.010190442843755365
2014-12-12,76.49845380684292,4,-0.005164755707055213
2014-12-19,78.69328916214849,4,-0.05908005399231642
2014-12-26,80.01019037533183,4,0.028691238137276365
2015-01-02,78.72705585992244,4,0.016734606307659217
2015-01-09,78.684847487705,4,-0.016037138636842863
2015-01-16,77.23287948342595,4,-0.0005361355350635977
2015-01-23,75.6036363158337,4,-0.018452955691449113
2015-01-30,78.03483855555682,4,-0.021095201661384122
