Date,JPM,dayofweek,weekly_ret
2013-01-18,37.217347570885416,4,0.01719576719576721
2013-01-25,37.77809107711916,4,0.00693541395752062
2013-02-01,38.33082396183528,4,0.015066724063710568
2013-02-08,38.95565244021002,4,0.0146310432569976
2013-02-15,39.15591797815065,4,0.016300940438871203
2013-02-22,39.17994984270352,4,0.005140859551717281
2013-03-01,39.17994984270352,4,0.0006137479541734603
2013-03-08,40.21332001847714,4,0.0
2013-03-15,40.069128831159894,4,0.026374974442854304
2013-03-22,39.0758117629744,4,-0.0035856573705178585
2013-04-05,38.624643642003605,4,-0.024790083966413468
2013-04-12,39.511454495817105,4,-0.01154596924838025
2013-04-19,38.076433296009824,4,0.02295971613441905
2013-04-26,39.40664957673005,4,-0.03631911854723546
2013-05-03,38.35053846900672,4,0.034935422401016325
2013-05-10,39.471144911552855,4,-0.026800327332242135
2013-05-17,42.163825140404704,4,0.029220096699600795
2013-05-24,43.26024583239227,4,0.06821895424836599
2013-05-31,44.01000409970732,4,0.026003824091777927
2013-06-07,43.75202276041612,4,0.017331345508759144
2013-06-14,42.83296423919123,4,-0.0058618794651035255
2013-06-21,41.8897199674078,4,-0.021006080707573482
2013-06-28,42.558859066194344,4,-0.02202145680406542
2013-07-05,43.83954647212807,4,0.015973826020015514
2013-07-12,44.6353004180937,4,0.03009214612501232
2013-07-19,45.60157306676629,4,0.018151509538802957
2013-07-26,45.51225374630076,4,0.02164817173003497
2013-08-02,45.86953102816288,4,-0.0019586894586894887
2013-08-09,44.26990319800744,4,0.007850133809098825
2013-08-16,43.27115079643831,4,-0.034873428925473515
2013-08-23,42.4835167886968,4,-0.022560528246514888
2013-08-30,41.03004784657586,4,-0.01820228936010515
2013-09-06,42.67839530607614,4,-0.03421253822629977
2013-09-13,42.70275512074856,4,0.040174153967939885
2013-09-20,42.87327382345548,4,0.0005707762557078944
2013-09-27,42.418557282903684,4,0.003993154592127457
2013-10-04,43.07970793731314,4,-0.010606060606060397
2013-10-11,42.948841157932655,4,0.015586354104408118
2013-10-18,44.41291325225182,4,-0.003037782418834234
2013-10-25,43.161499674425954,4,0.03408874500095216
2013-11-01,42.948841157932655,4,-0.028176795580110103
2013-11-08,44.134821346068286,4,-0.004927041879856264
2013-11-15,44.879126153794786,4,0.02761378784993318
2013-11-22,46.99753214501639,4,0.016864343958487682
2013-11-29,46.801231975945655,4,0.04720247858574855
2013-12-06,45.852447825437146,4,-0.004176818656456915
2013-12-13,45.942418736261224,4,-0.020272631946871678
2013-12-20,47.19383231408712,4,0.0019621833749552398
2013-12-27,47.55371595738345,4,0.027238739540680346
2014-01-03,48.29224433784194,4,0.007625649913344912
2014-01-10,48.15229068053827,4,0.015530403157564932
2014-01-17,47.83945309362419,4,-0.002898056597340659
2014-01-24,45.35321753446493,4,-0.0064968370661651065
2014-01-31,45.57549687253546,4,-0.051970400963689434
2014-02-07,46.61280045019792,4,0.004901070974768551
2014-02-14,47.872383365930936,4,0.022760115606936138
2014-02-21,47.427824689789865,4,0.027022253620628822
2014-02-28,46.77745181173165,4,-0.009286328460877291
2014-03-07,48.90145437551672,4,-0.013712897066481378
2014-03-14,46.76098667557828,4,0.04540654699049629
2014-03-21,49.53536211742157,4,-0.04377104377104368
2014-03-28,49.42833873242465,4,0.059330985915492906
2014-04-04,49.548361625545304,4,-0.002160545122153912
2014-04-11,45.812145090999095,4,0.002428220251754487
2014-04-25,46.143516845726026,4,-0.07540545059354609
2014-05-02,46.04410531930794,4,0.00723327305605781
2014-05-09,44.74347118200471,4,-0.00215439856373445
2014-05-16,44.16357061123258,4,-0.02824757106872977
2014-05-23,45.17425446314974,4,-0.012960562858729707
2014-05-30,46.03582102543978,4,0.022885012192834342
2014-06-06,47.195622166984045,4,0.019072070419952514
2014-06-13,47.25361222406126,4,0.025193449703076798
2014-06-20,47.67611121133811,4,0.0012287168685272132
2014-06-27,47.65954262360177,4,0.008941093969144553
2014-07-11,46.547543454961215,4,-0.00034752389226744285
2014-07-18,48.574613895741784,4,-0.023332141003171936
2014-07-25,49.22527848167135,4,0.04354838709677411
2014-08-01,47.11478950423315,4,0.013395157135497326
2014-08-08,46.998003552912465,4,-0.04287408913743429
2014-08-15,47.34001955320877,4,-0.002478753541076406
2014-08-22,48.79150209105165,4,0.007277245296414492
2014-08-29,49.592320042964964,4,0.030660792951541893
2014-09-05,49.97604531159008,4,0.01641306206189097
2014-09-12,50.076147555579254,4,0.007737594617325261
2014-09-19,50.97706775148173,4,0.0020030045067604973
2014-09-26,50.51826579986473,4,0.01799100449775115
2014-10-03,50.643331225252034,4,-0.009000163639338865
2014-10-10,49.14838711943201,4,0.002475647637683487
2014-10-17,47.1999206444306,4,-0.029519071310115774
2014-10-24,49.33315549206145,4,-0.03964456596035548
2014-10-31,50.794505348312505,4,0.045195729537366613
2014-11-07,51.625963025145,4,0.02962206332992845
2014-11-14,50.626534100467545,4,0.01636904761904745
2014-11-21,50.76930966113576,4,-0.019359036928583206
2014-11-28,50.525751351760576,4,0.0028201725282017698
2014-12-05,52.65898619939144,4,-0.0047973531844500705
2014-12-12,50.424968603053614,4,0.04222074468085135
2014-12-19,52.01229689518838,4,-0.042424242424242586
2014-12-26,52.53300776350772,4,0.03147901399067288
2015-01-02,52.81855888484413,4,0.010011303084127343
2015-01-09,50.15607752002962,4,0.005435651478816972
2015-01-16,47.2738357885955,4,-0.05040806529044639
2015-01-23,47.90775992307514,4,-0.057465453319851645
2015-01-30,45.96372591067089,4,0.0134096191668156
2015-02-06,48.93049086003563,4,-0.04057868736767822
