Date,PEP,dayofweek,weekly_ret
2013-01-18,57.00197047147064,4,0.02044342067376892
2013-01-25,57.009834981745385,4,0.022573363431151794
2013-02-01,57.1513961666911,4,0.0001379690949223633
2013-02-08,57.096344594767764,4,0.002483101117395581
2013-02-15,57.945711704442,4,-0.0009632585661208948
2013-02-22,59.4321041463719,4,0.014876033057851235
2013-03-01,60.14046411897253,4,0.02565146579804556
2013-03-08,61.14636941900012,4,0.0119188102587795
2013-03-15,61.01964119222499,4,0.016725931779270287
2013-03-22,62.28692345997629,4,-0.002072538860103723
2013-04-05,62.247320889109055,4,0.020768431983385405
2013-04-12,63.356192873391436,4,-0.0006358087487285946
2013-04-19,65.55809581360931,4,0.017813971243160642
2013-04-26,65.35216244509975,4,0.0347543442930367
2013-05-03,65.60561889865,4,-0.0031412347468886548
2013-05-10,65.74026763959857,4,0.0038783177796628543
2013-05-17,66.37390877347421,4,0.00205239647470723
2013-05-24,65.40760604431385,4,0.009638554216867323
2013-05-31,63.97399297892019,4,-0.014558472553699242
2013-06-07,65.80890323558735,4,-0.021918139985468765
2013-06-14,65.50582017620638,4,0.02868212802148795
2013-06-21,63.910646179464464,4,-0.00460550236335
2013-06-28,65.23464059676026,4,-0.02435163764763204
2013-07-05,64.44502946837301,4,0.02071633595407474
2013-07-12,67.25253570263877,4,-0.012104169213840388
2013-07-19,68.91949252923406,4,0.0435643564356436
2013-07-26,68.04214683102602,4,0.024786527514231604
2013-08-02,67.22860809268765,4,-0.01273000810091418
2013-08-09,67.26848744260619,4,-0.011956394326573583
2013-08-16,63.95052552938303,4,0.0005931901767703973
2013-08-23,63.687321819920605,4,-0.049324164097699685
2013-08-30,63.5916113801161,4,-0.00411573958593181
2013-09-06,63.667839456254256,4,-0.0015028177833436018
2013-09-13,64.51931447295411,4,0.0011987127623249716
2013-09-20,65.65996968400482,4,0.013373706787787265
2013-09-27,64.42292107483713,4,0.017679282868525492
2013-10-04,63.95701965060515,4,-0.018840225103988084
2013-10-11,64.92898641495118,4,-0.007231920199501252
2013-10-18,66.68013314740935,4,0.015197186636523252
2013-10-25,66.9532477754074,4,0.026970184337498537
2013-11-01,67.92521453975347,4,0.004095892061197315
2013-11-08,68.96144356951079,4,0.01451709658068423
2013-11-15,69.10603366668626,4,0.015255439924313663
2013-11-22,68.87308295457025,4,0.0020966802562611964
2013-11-29,67.84488670798932,4,-0.0033709171219343803
2013-12-06,67.25121033357898,4,-0.01492885467693017
2013-12-13,65.45568794102883,4,-0.008750495478982434
2013-12-20,66.16742654708474,4,-0.026698737221888202
2013-12-27,66.89534103055101,4,0.010873594464351877
2014-01-03,66.51520791140751,4,0.011001100110010764
2014-01-10,67.53428818826029,4,-0.005682505138435379
2014-01-17,66.48285615658679,4,0.015321011673151474
2014-01-24,65.86008487628787,4,-0.015568862275448847
2014-01-31,64.99467543483351,4,-0.009367396593673805
2014-02-07,64.88144429296098,4,-0.013140120348765882
2014-02-14,63.15871334875746,4,-0.0017421602787456303
2014-02-21,63.2638565519248,4,-0.026551982049364153
2014-02-28,64.76012521238326,4,0.0016647458061209708
2014-03-07,66.42676509012087,4,0.023651240092047887
2014-03-14,65.97067155835937,4,0.025735587636246837
2014-03-21,66.89914767658813,4,-0.006866110838646411
2014-03-28,67.55885439217171,4,0.014074074074074128
2014-04-04,67.2656514074679,4,0.009861212563915034
2014-04-11,67.7217449392294,4,-0.0043399638336345525
2014-04-25,69.43209568333499,4,0.0067804818985348625
2014-05-02,69.65199792186287,4,0.025255562236921048
2014-05-09,70.9958449350887,4,0.0031671554252201695
2014-05-16,70.48273971185704,4,0.01929373246024313
2014-05-23,69.90447826980227,4,-0.007227257083858851
2014-05-30,71.94061010802325,4,-0.008204298590247405
2014-06-06,72.13493528887473,4,0.02912734475125278
2014-06-13,71.54413613737901,4,0.002701188946822697
2014-06-20,73.11139499759686,4,-0.008190194517119553
2014-06-27,72.83240650939055,4,0.021906181901594213
2014-07-11,73.72681078040492,4,-0.00381593714927031
2014-07-18,73.92374383090348,4,0.012280306444344191
2014-07-25,75.1217532214365,4,0.002671118530884531
2014-08-01,72.29904616429023,4,0.01620601620601647
2014-08-08,74.08785470631899,4,-0.03757509557618788
2014-08-15,75.36791953455972,4,0.0247418000226991
2014-08-22,75.16278094029038,4,0.017277660870527844
2014-08-29,75.89307433588927,4,-0.0027218290691343183
2014-09-05,75.81753246325025,4,0.009716157205240217
2014-09-12,75.09034523090517,4,-0.000995372414414053
2014-09-19,77.50328468368654,4,-0.009591280653950984
2014-09-26,76.95789425942773,4,0.032133817541542875
2014-10-03,77.26364343666373,4,-0.007036997547713142
2014-10-10,78.21394493347832,4,0.003972941050145007
2014-10-17,75.61920867261068,4,0.01229946524064185
2014-10-24,78.17262747709508,4,-0.03317485472794501
2014-10-31,79.4699956075289,4,0.033766801442465244
2014-11-07,79.99059555795776,4,0.016596194503171402
2014-11-14,80.75083675540941,4,0.006550899448892533
2014-11-21,81.7176652347773,4,0.009504132231404672
2014-11-28,82.71754767925177,4,0.011972984036021428
2014-12-05,81.32206655881889,4,0.012235817575083408
2014-12-12,78.80986687584391,4,-0.016870436317140802
2014-12-19,79.39216481560631,4,-0.030891980360065574
2014-12-26,80.73145007705986,4,0.007388642600802076
2015-01-02,78.56031061594572,4,0.016869237217099986
2015-01-09,80.54012361113793,4,-0.02689335394126746
2015-01-16,80.93109508497841,4,0.025201185938162007
2015-01-23,81.96259429255754,4,0.004854368932038833
2015-01-30,78.01128684416975,4,0.012745400349470692
