Date,ADBE,dayofweek,weekly_ret
2015-06-19,79.7,4,0.012680699974638499
2015-06-26,82.74,4,-0.0020035061357375206
2015-07-10,80.59,4,0.038143036386449
2015-07-17,82.1,4,-0.025985013294657855
2015-07-24,80.98,4,0.018736815982131727
2015-07-31,81.99,4,-0.013641900121802553
2015-08-07,82.69,4,0.012472215361817529
2015-08-14,86.12,4,0.00853762653982204
2015-08-21,78.87,4,0.0414802273551822
2015-08-28,79.4,4,-0.0841848583372039
2015-09-04,76.89,4,0.00671991885381007
2015-09-11,79.19,4,-0.031612090680100846
2015-09-18,81.25,4,0.029912862530888207
2015-09-25,83.13,4,0.026013385528475874
2015-10-02,83.99,4,0.023138461538461552
2015-10-09,83.82,4,0.010345242391435194
2015-10-16,88.67,4,-0.0020240504822003347
2015-10-23,87.86,4,0.057862085421140685
2015-10-30,88.66,4,-0.009134994925002804
2015-11-06,90.69,4,0.009105394946505863
2015-11-13,89.02,4,0.022896458380329276
2015-11-20,91.81,4,-0.018414378652552688
2015-11-27,92.17,4,0.03134127162435418
2015-12-04,92.58,4,0.003921141487855273
2015-12-11,91.42,4,0.0044483020505587945
2015-12-18,91.31,4,-0.0125297040397494
2016-01-08,87.85,4,-0.0012032378035440328
2016-01-15,89.17,4,-0.03789289234475968
2016-01-22,89.63,4,0.01502561183836093
2016-01-29,89.13,4,0.0051586856566108175
2016-02-05,79.2,4,-0.0055784893450853135
2016-02-12,76.67,4,-0.11141029956243687
2016-02-19,80.87,4,-0.03194444444444444
2016-02-26,86.6,4,0.05478022694665463
2016-03-04,86.18,4,0.07085445777173227
2016-03-11,86.0,4,-0.0048498845265587676
2016-03-18,93.42,4,-0.0020886516593178195
2016-04-01,95.16,4,0.08627906976744182
2016-04-08,94.07,4,0.018625561978163008
2016-04-15,95.16,4,-0.011454392601933594
2016-04-22,94.79,4,0.011587115977463647
2016-04-29,94.22,4,-0.0038881883144177287
2016-05-06,94.3,4,-0.006013292541407367
2016-05-13,95.97,4,0.0008490766291657792
2016-05-20,96.88,4,0.017709437963944863
2016-05-27,100.14,4,0.009482129832239172
2016-06-03,98.7,4,0.03364987613542536
2016-06-10,97.09,4,-0.014379868184541622
2016-06-17,95.58,4,-0.01631205673758862
2016-06-24,92.2,4,-0.015552580080337886
2016-07-01,95.32,4,-0.03536304666248169
2016-07-08,96.79,4,0.03383947939262466
2016-07-15,97.83,4,0.015421737305917116
2016-07-22,98.06,4,0.010744911664428036
2016-07-29,97.86,4,0.002351017070428396
2016-08-05,99.04,4,-0.0020395676116663486
2016-08-12,101.04,4,0.01205804210096062
2016-08-19,100.32,4,0.020193861066235774
2016-08-26,102.06,4,-0.0071258907363421775
2016-09-02,103.57,4,0.01734449760765555
2016-09-09,99.38,4,0.01479521849892218
2016-09-16,98.93,4,-0.04045573042386785
2016-09-23,107.47,4,-0.004528074059166776
2016-09-30,108.54,4,0.08632366319619922
2016-10-07,108.64,4,0.009956266865171814
2016-10-14,107.84,4,0.0009213193292794131
2016-10-21,109.03,4,-0.007363770250368162
2016-10-28,107.6,4,0.011034866468842663
2016-11-04,106.2,4,-0.013115656241401541
2016-11-11,103.68,4,-0.013011152416356753
2016-11-18,105.02,4,-0.023728813559321993
2016-11-25,105.02,4,0.012924382716049232
2016-12-02,99.73,4,0.0
2016-12-09,104.31,4,-0.050371357836602515
2016-12-16,103.55,4,0.04592399478592202
2016-12-23,105.02,4,-0.007285974499089298
2016-12-30,102.95,4,0.014196040560115808
2017-01-06,108.3,4,-0.01971053132736611
2017-01-13,108.53,4,0.05196697425934915
2017-01-20,110.71,4,0.002123730378578159
2017-01-27,113.99,4,0.020086611996682935
2017-02-03,115.17,4,0.02962695330141818
2017-02-10,116.85,4,0.010351785244319789
2017-02-17,119.67,4,0.014587132065642106
2017-02-24,119.31,4,0.024133504492939828
2017-03-03,120.04,4,-0.003008272750062657
2017-03-10,121.09,4,0.006118514793395313
2017-03-17,127.01,4,0.008747084305231523
2017-03-24,127.7,4,0.04888925592534488
2017-03-31,130.13,4,0.005432643098968626
2017-04-07,130.22,4,0.019028974158183276
2017-04-21,131.52,4,0.0006916160762315826
2017-04-28,133.74,4,0.009983105513746038
2017-05-05,134.84,4,0.016879562043795593
2017-05-12,136.84,4,0.008224914012262552
2017-05-19,136.43,4,0.014832393948383205
2017-05-26,141.89,4,-0.0029961999415375473
2017-06-02,143.48,4,0.04002052334530504
2017-06-09,138.05,4,0.011205863697230312
2017-06-16,137.84,4,-0.03784499581823231
2017-06-23,145.41,4,-0.0015211879753712632
2017-06-30,141.44,4,0.054918746372605964
2017-07-07,142.22,4,-0.02730211127157689
2017-07-14,146.16,4,0.005514705882353033
2017-07-21,149.52,4,0.027703557868091755
2017-07-28,146.73,4,0.02298850574712663
2017-08-04,147.71,4,-0.01865971107544151
2017-08-11,146.47,4,0.006678934096640221
2017-08-18,147.97,4,-0.008394827702931429
2017-08-25,151.45,4,0.01024100498395586
2017-09-01,155.06,4,0.023518280732580887
2017-09-08,155.34,4,0.023836249587322555
