Date,VZ,dayofweek,weekly_ret
2013-01-18,29.778991373141665,4,-0.010894135639203273
2013-01-25,29.869994402725787,4,-0.01755196304849893
2013-02-01,31.19303844821798,4,0.003055947343676646
2013-02-08,31.0460335542744,4,0.04429341457698621
2013-02-15,31.08103471949906,4,-0.004712746858168915
2013-02-22,31.78105802399228,4,0.0011273957158961512
2013-03-01,32.70508878592333,4,0.022522522522522515
2013-03-08,33.57311768349493,4,0.029074889867841236
2013-03-15,33.61511908176453,4,0.026541095890411093
2013-03-22,34.31514238625775,4,0.0012510425354466115
2013-04-05,34.693154970684084,4,0.020824656393169327
2013-04-12,35.97412680834725,4,0.011015911872704898
2013-04-19,36.95729700621596,4,0.03692289844338448
2013-04-26,37.93339403719354,4,0.027329925285096257
2013-05-03,37.26144318253506,4,0.026411483253588663
2013-05-10,37.40997968724904,4,-0.017713966063770403
2013-05-17,37.73534536424156,4,0.003986332574031914
2013-05-24,36.34900465357777,4,0.008697296275288258
2013-05-31,34.2907130882555,4,-0.036738519212745846
2013-06-07,35.53559046109646,4,-0.05662580268534745
2013-06-14,36.12266331306123,4,0.03630363036303641
2013-06-21,35.02632244493425,4,0.016520700636942554
2013-06-28,35.60632213000788,4,-0.030350499314666157
2013-07-05,36.28534615155749,4,0.016558966074313508
2013-07-12,36.014692118523314,4,0.019070321811680335
2013-07-19,35.68605180163141,4,-0.007459045089543981
2013-07-26,36.45049775614083,4,-0.00912517357667142
2013-08-02,35.90038244308265,4,0.02142142142142145
2013-08-09,35.235957454583804,4,-0.015092120736965753
2013-08-16,34.08571634546215,4,-0.018507462686567222
2013-08-23,34.01427279831174,4,-0.032643957826439585
2013-08-30,33.84995263986579,4,-0.0020959966464054736
2013-09-06,33.10693974950149,4,-0.004830917874396046
2013-09-13,34.121438119037364,4,-0.0219501899535669
2013-09-20,34.13572682846744,4,0.030643072939145588
2013-09-27,33.57846716069422,4,0.0004187604690115698
2013-10-04,33.649910707844626,4,-0.016324822101297598
2013-10-11,34.02996865860535,4,0.0021276595744679216
2013-10-18,36.140130231829545,4,0.011294471300695719
2013-10-25,36.645990882944936,4,0.062008919091101955
2013-11-01,36.4870061068801,4,0.013997200559888068
2013-11-08,36.27743526570372,4,-0.00433839479392617
2013-11-15,36.35692765373615,4,-0.005743711626064685
2013-11-22,36.291888427164174,4,0.002191235059761265
2013-11-29,35.85829358335097,4,-0.0017889087656528524
2013-12-06,35.75712145312789,4,-0.011947431302270384
2013-12-13,34.57196221337184,4,-0.0028214429665459617
2013-12-20,34.745400150897105,4,-0.033144704931285074
2013-12-27,35.533097450491084,4,0.0050167224080264194
2014-01-03,34.99110389572459,4,0.022670549084858882
2014-01-10,34.884008949336035,4,-0.015253203172666319
2014-01-17,35.32234204608161,4,-0.0030606335458208678
2014-01-24,34.79634232998691,4,0.012565445026177624
2014-01-31,35.081258842871534,4,-0.014891416752843667
2014-02-07,34.19728709776795,4,0.00818811673315123
2014-02-14,33.97812054939514,4,-0.02519783423573496
2014-02-21,34.53334247193956,4,-0.006408886989959783
2014-02-28,34.759814571924785,4,0.016340571920017588
2014-03-07,34.44567585259044,4,0.006558070657922688
2014-03-14,33.66398183006082,4,-0.009037410676755231
2014-03-21,34.270342613892204,4,-0.02269353128313878
2014-03-28,34.642925746125954,4,0.01801215277777768
2014-04-04,35.09586994609639,4,0.01087188232786196
2014-04-11,34.76526986871066,4,0.013074652045550472
2014-04-25,33.93066704415907,4,-0.009419914021037257
2014-05-02,34.80219919723064,4,-0.024006798385383554
2014-05-09,35.806676932974135,4,0.025685676969960936
2014-05-16,36.24244300950992,4,0.02886247877758885
2014-05-23,36.73729601167768,4,0.0121699669966997
2014-05-30,36.8997850571656,4,0.013653963725290597
2014-06-06,36.50094830914979,4,0.004422999597909261
2014-06-13,36.32368753225389,4,-0.010808646917534248
2014-06-20,36.478790712037814,4,-0.004856333468231111
2014-06-27,36.42708965210983,4,0.004270028466856424
2014-07-11,37.569650964058475,4,-0.0014172909495852037
2014-07-18,37.89069527873545,4,0.03136570400930916
2014-07-25,38.286401061941945,4,0.00854531001589831
2014-08-01,37.20380976826379,4,0.01044334975369443
2014-08-08,36.36013517388013,4,-0.028276131045241848
2014-08-15,36.43479664240965,4,-0.022677102147300565
2014-08-22,36.315338292762405,4,0.002053388090348829
2014-08-29,37.19634362141084,4,-0.003278688524590234
2014-09-05,37.28593738364627,4,0.024259868421052655
2014-09-12,36.13615076829153,4,0.002408671216378888
2014-09-19,37.59204940461734,4,-0.030837004405286694
2014-09-26,37.159012887146076,4,0.04028925619834767
2014-10-03,37.114216006028364,4,-0.011519364448858038
2014-10-10,36.94230299680883,4,-0.0012055455093428202
2014-10-17,36.28558449237027,4,-0.004631998940557325
2014-10-24,36.81397869134384,4,-0.017776869636288994
2014-10-31,37.93115499774508,4,0.014562096941959979
2014-11-07,38.39161279970775,4,0.03034652450276787
2014-11-14,38.87471606734073,4,0.01213930348258696
2014-11-21,37.900961043518016,4,0.012583562721195651
2014-11-28,38.187803608675104,4,-0.025048543689320413
2014-12-05,36.69320287443559,4,0.007568213503286403
2014-12-12,34.40601084173573,4,-0.03913816959873506
2014-12-19,35.492993193909925,4,-0.062332853322361936
2014-12-26,36.1270662326782,4,0.03159280386134289
2015-01-02,35.44770226256933,4,0.017864738409187675
2015-01-09,35.71702265965851,4,-0.018804847471792896
2015-01-16,36.65654228907211,4,0.00759768278051598
2015-01-23,36.01491912752135,4,0.026304533789563544
2015-01-30,34.914993707720065,4,-0.017503646593040267
