Date,KO,dayofweek,weekly_ret
2013-01-18,28.990756437428885,4,-0.01991502920870969
2013-01-25,28.49091580919735,4,0.021403413709022212
2013-02-01,28.86771874432574,4,-0.017241379310344862
2013-02-08,29.81357101005618,4,0.01322537112010802
2013-02-15,28.775440474498378,4,0.03276505061267998
2013-02-22,29.62132461458251,4,-0.03482073768377625
2013-03-01,29.759742019323554,4,0.029396044895777518
2013-03-08,30.159614521908768,4,0.004672897196261738
2013-03-15,30.07636520691833,4,0.013436692506459513
2013-03-22,31.013589051893124,4,-0.002760291081637112
2013-04-05,31.04457165833857,4,0.031161473087818914
2013-04-12,31.819136819474764,4,0.0009990009990008542
2013-04-19,33.042949774069946,4,0.024950099800399306
2013-04-26,32.60919328383368,4,0.038461538461538325
2013-05-03,32.717632406392745,4,-0.01312705110173451
2013-05-10,32.64792154189049,4,0.003325415676959542
2013-05-17,33.283064974022174,4,-0.0021306818181817677
2013-05-24,32.717632406392745,4,0.019454329774614587
2013-05-31,30.974860793836317,4,-0.016988596695369118
2013-06-07,32.074743322649695,4,-0.0532670454545453
2013-06-14,31.46256836522694,4,0.0355088772193044
2013-06-21,31.01020620231589,4,-0.019085887960651804
2013-06-28,31.2831833695898,4,-0.014377788795240543
2013-07-05,31.60295662268209,4,0.008802816901408494
2013-07-12,32.00072335213836,4,0.010221889803041506
2013-07-19,32.04751943795675,4,0.012586377097729695
2013-07-26,31.696548794318858,4,0.0014623446258836825
2013-08-02,31.368976193590175,4,-0.010951569724994337
2013-08-09,31.322180107771782,4,-0.010334645669291098
2013-08-16,30.456452520131677,4,-0.001491795126802864
2013-08-23,30.043087095402626,4,-0.027639442231075617
2013-08-30,29.777909275765108,4,-0.013572343149807597
2013-09-06,29.91049818558386,4,-0.008826583592938975
2013-09-13,30.395478015665237,4,0.004452592980618064
2013-09-20,30.953265283463693,4,0.01621436818177524
2013-09-27,30.16764941332502,4,0.018350995089170263
2013-10-04,29.22491036915861,4,-0.025380710659898553
2013-10-11,29.67271141513766,4,-0.03125000000000011
2013-10-18,30.46618344397772,4,0.015322580645161565
2013-10-25,30.662587411512384,4,0.02674079957638331
2013-11-01,31.118244616192808,4,0.006446621970087607
2013-11-08,31.463915599053827,4,0.014860363822700284
2013-11-15,31.597470296977402,4,0.011108305983337674
2013-11-22,31.762449629706527,4,0.0042446941323346365
2013-11-29,31.793874264512077,4,0.005221282943809191
2013-12-06,32.007468343920344,4,0.0009893643334157876
2013-12-13,31.034428648838233,4,0.006718089076884759
2013-12-20,31.675210887063034,4,-0.030400395452298667
2013-12-27,32.16568618051905,4,0.020647463675758315
2014-01-03,32.007468343920344,4,0.015484515484515349
2014-01-10,31.746408913532463,4,-0.004918839153959409
2014-01-17,31.073983107987914,4,-0.00815620365793368
2014-01-24,30.725903867470738,4,-0.021181161226015544
2014-01-31,29.918992900817283,4,-0.011201629327902252
2014-02-07,30.02183449460645,4,-0.02626158599382078
2014-02-14,30.79710189394016,4,0.003437334743521925
2014-02-21,29.41269582370139,4,0.025823451910408357
2014-02-28,30.219606790354852,4,-0.04495247880811715
2014-03-07,30.4964880044026,4,0.02743410435718152
2014-03-14,30.43527472846093,4,0.009162303664921323
2014-03-21,30.650562236364628,4,-0.002007223780418066
2014-03-28,31.057216417960518,4,0.007073618024626471
2014-04-04,30.475142785480127,4,0.013267429760666083
2014-04-11,30.80206085303761,4,-0.01874197689345314
2014-04-25,32.69978036715175,4,0.010727367870225102
2014-05-02,32.651938698728706,4,0.06161014755371452
2014-05-09,32.58814980749798,4,-0.001463057790782818
2014-05-16,32.604097030305674,4,-0.0019536019536019467
2014-05-23,32.35691507678659,4,0.0004893564962078489
2014-05-30,32.62004425311334,4,-0.007581315725116555
2014-06-06,32.68383314434407,4,0.008132084770823056
2014-06-13,32.43236354995755,4,0.001955512099731216
2014-06-20,33.49282230363463,4,-0.007694005573824159
2014-06-27,33.89451122548201,4,0.03269754768392352
2014-07-11,33.71776809986917,4,0.011993283761093876
2014-07-18,34.08732190796876,4,-0.0052145058070631745
2014-07-25,32.93849159148525,4,0.01096020967357636
2014-08-01,31.564715478767205,4,-0.033702568937072686
2014-08-08,31.693255933758373,4,-0.04170731707317088
2014-08-15,32.84208625024188,4,0.004072283023670353
2014-08-22,33.03489693272862,4,0.03624841571609605
2014-08-29,33.51692363894548,4,0.005870841487279899
2014-09-05,33.613328980188854,4,0.014591439688715901
2014-09-12,33.5502135484972,4,0.0028763183125599667
2014-09-19,34.0276526703885,4,-0.0018776905949676737
2014-09-26,34.14903549798798,4,0.014230583695127752
2014-10-03,34.79641057851856,4,0.00356718192627814
2014-10-10,35.9859622889935,4,0.018957345971563955
2014-10-17,34.699304316438976,4,0.03418604651162793
2014-10-24,33.20224944271201,4,-0.0357544411963121
2014-10-31,33.890085465775755,4,-0.043143656716418066
2014-11-07,34.24614176006757,4,0.02071654886668317
2014-11-14,34.577921488839486,4,0.010506208213944657
2014-11-21,36.01023885451339,4,0.009688090737239863
2014-11-28,36.52710204447917,4,0.04142288790077231
2014-12-05,35.46787312059286,4,0.01435322859295618
2014-12-12,33.33311944322201,4,-0.02899843854561701
2014-12-19,34.18050258233105,4,-0.060188375832758934
2014-12-26,35.00344197704272,4,0.025421657296504474
2015-01-02,34.335312963514426,4,0.024076281287246815
2015-01-09,35.0604773806366,4,-0.019087523277467766
2015-01-16,34.65308164068033,4,0.02112007593735199
2015-01-23,35.288618995012115,4,-0.011619800139437642
2015-01-30,33.54496522799927,4,0.01833999529743724
