Date,BAC,dayofweek,weekly_ret
2013-01-18,9.827170634548997,4,-0.03963666391412035
2013-01-25,10.250603480561878,4,-0.042132416165090225
2013-02-01,10.329997139189297,4,0.043087971274685666
2013-02-08,10.374104727315636,4,0.0077452667814117415
2013-02-15,10.612285703197884,4,0.004269854824935582
2013-02-22,10.091816163307048,4,0.022959183673469497
2013-03-01,10.012453731290693,4,-0.049044056525353374
2013-03-08,10.656994403587186,4,-0.007864038616251179
2013-03-15,11.098460617488891,4,0.06437389770723123
2013-03-22,11.089631293210855,4,0.0414250207125102
2013-04-05,10.568701160806844,4,-0.0007955449482897059
2013-04-12,10.745287646367526,4,-0.04697452229299348
2013-04-19,10.294992108187788,4,0.01670843776106934
2013-04-26,10.96602075331838,4,-0.04190632703368913
2013-05-03,10.807092916313763,4,0.06518010291595178
2013-05-10,11.495780210000428,4,-0.014492753623188692
2013-05-17,11.857782505399824,4,0.06372549019607865
2013-05-24,11.69002534411718,4,0.03149001536098295
2013-05-31,12.060856963794613,4,-0.014147431124348131
2013-06-07,11.822660815930213,4,0.031722054380664666
2013-06-14,11.548742665486385,4,-0.019749520998336934
2013-06-21,11.212972029458477,4,-0.02316890881913336
2013-06-28,11.36318520873412,4,-0.029074215761284883
2013-07-05,11.539906596117234,4,0.013396375098502444
2013-07-12,12.176103590696435,4,0.01555209953343728
2013-07-19,13.033202319504532,4,0.05513016845329233
2013-07-26,13.015530180766222,4,0.07039187227866495
2013-08-02,13.11272694382693,4,-0.0013559322033898091
2013-08-09,12.768120238429864,4,0.007467752885267798
2013-08-16,12.741612030322395,4,-0.026280323450134535
2013-08-23,12.87415307085973,4,-0.0020761245674741913
2013-08-30,12.476529949247727,4,0.010402219140083213
2013-09-06,12.697456365234633,4,-0.030885380919698058
2013-09-13,12.812405482747204,4,0.017707360691281426
2013-09-20,12.768194283703904,4,0.009052924791086436
2013-09-27,12.290713334036308,4,-0.0034506556245689213
2013-10-04,12.423346931166195,4,-0.037396121883656375
2013-10-11,12.547138288487425,4,0.010791366906474753
2013-10-18,12.936196840068432,4,0.009964412811387824
2013-10-25,12.60903396714804,4,0.03100775193798455
2013-11-01,12.396820211740216,4,-0.025290498974709585
2013-11-08,12.662087405999994,4,-0.0168302945301545
2013-11-15,13.192621794519546,4,0.021398002853067144
2013-11-22,13.829263060743012,4,0.04189944134078205
2013-11-29,13.988423377298878,4,0.04825737265415575
2013-12-06,13.767327781520235,4,0.011508951406649537
2013-12-13,13.431107694310873,4,-0.01580561224200916
2013-12-20,13.802719369647535,4,-0.024421593830334154
2013-12-27,13.864654648870316,4,0.02766798418972316
2014-01-03,14.519399029225388,4,0.004487179487179693
2014-01-10,14.837923322371099,4,0.04722399489470308
2014-01-17,15.050272851134913,4,0.021937842778793293
2014-01-24,14.554790617352689,4,0.014311270125224151
2014-01-31,14.82022752830745,4,-0.03292181069958888
2014-02-07,14.882162807530227,4,0.01823708206686936
2014-02-14,14.775988043148324,4,0.004179104477611828
2014-02-21,14.413224264843485,4,-0.007134363852556391
2014-02-28,14.625573793607295,4,-0.024550898203592797
2014-03-07,15.342294486910513,4,0.014732965009208066
2014-03-14,14.873084095793226,4,0.049004620496769125
2014-03-21,15.54591409060292,4,-0.030582804385458795
2014-03-28,15.032438568248153,4,0.0452380952380953
2014-04-04,14.802259885813255,4,-0.03302961275626426
2014-04-11,13.96122239230114,4,-0.015312131919905991
2014-04-25,14.12057686475607,4,-0.05681818181818166
2014-05-02,13.50086502743135,4,0.01141407736208011
2014-05-09,13.049360688809054,4,-0.043887147335423204
2014-05-16,12.845741085116648,4,-0.03344262295081979
2014-05-23,13.031654636314066,4,-0.015603799185888612
2014-05-30,13.403481738708894,4,0.014472777394900271
2014-06-06,13.801867919846213,4,0.028532608695651884
2014-06-13,13.669072526133773,4,0.029722589167767488
2014-06-20,13.686778578628767,4,-0.009621552277100709
2014-06-27,13.580473502289903,4,0.0012953367875649935
2014-07-11,13.624767284097762,4,-0.007766990291262044
2014-07-18,13.722213604075053,4,0.0032615786040441908
2014-07-25,13.810801167690773,4,0.007152145643692931
2014-08-01,13.270417029634881,4,0.006455777921239525
2014-08-08,13.465309669589464,4,-0.03912764592687612
2014-08-15,13.48302718231261,4,0.014686248331108098
2014-08-22,14.289174011215662,4,0.0013157894736843812
2014-08-29,14.253738985769374,4,0.05978975032851497
2014-09-05,14.235801379720476,4,-0.002479851208927464
2014-09-12,14.920044017821898,4,-0.0012584491737085424
2014-09-19,15.062224306258555,4,0.04806491885143571
2014-09-26,15.133314450476886,4,0.009529481834425146
2014-10-03,15.364357419186456,4,0.004719764011799521
2014-10-10,14.644569708975872,4,0.01526717557251911
2014-10-17,14.404640472239013,4,-0.04684788895315195
2014-10-24,14.85784014163086,4,-0.016383495145630866
2014-10-31,15.248835934831671,4,0.03146206045650812
2014-11-07,15.426561295377494,4,0.026315789473684292
2014-11-14,15.231063398777088,4,0.011655011655011593
2014-11-21,15.21329086272251,4,-0.012672811059907807
2014-11-28,15.142200718504178,4,-0.001166861143523712
2014-12-05,15.756355423067042,4,-0.004672897196261849
2014-12-12,15.266197307530453,4,0.04055914433972263
2014-12-19,15.70288362864487,4,-0.031108597285067985
2014-12-26,16.023714395177908,4,0.028604786923526193
2015-01-02,15.952418669281675,4,0.020431328036322416
2015-01-09,15.13251782147502,4,-0.00444938820912133
2015-01-16,13.706603303550404,4,-0.05139664804469268
2015-01-23,14.018522104346411,4,-0.09422850412249684
2015-01-30,13.501628091598738,4,0.022756827048114214
