Date,ABBV,dayofweek,weekly_ret
2013-01-18,26.97158244838865,4,-0.004094118194400864
2013-01-25,27.17394158787281,4,0.10251107828655814
2013-02-01,26.87040287864657,4,0.007502679528403222
2013-02-08,26.19828145107419,4,-0.011170212765957532
2013-02-15,27.159487363623942,4,-0.02501344809037087
2013-02-22,27.79547323057416,4,0.03668965517241363
2013-03-01,27.32571094248593,4,0.023416711016498226
2013-03-08,26.986036672637525,4,-0.01690067602704115
2013-03-15,27.824381679071887,4,-0.012430573922242671
2013-03-22,28.164055948920304,4,0.031065881092661618
2013-04-05,29.855200186037926,4,0.012207792207792334
2013-04-12,31.429974534411176,4,0.06004618937644368
2013-04-19,30.919392446360863,4,0.05274707047885441
2013-04-26,33.43583273746596,4,-0.01624506846136009
2013-05-03,32.5897252772683,4,0.08138711960368017
2013-05-10,32.83042826163488,4,-0.02530541012216414
2013-05-17,34.405938704761546,4,0.007385854968666283
2013-05-24,33.144071544294356,4,0.047989335703177094
2013-05-31,31.13821334123957,4,-0.036675853296586736
2013-06-07,32.09373124887657,4,-0.06051936619718312
2013-06-14,31.517502892362646,4,0.030686343405949668
2013-06-21,31.087155132434532,4,-0.017954545454545667
2013-06-28,30.153519314285408,4,-0.013654246702152206
2013-07-05,31.160095430727445,4,-0.030032848427967718
2013-07-12,33.159829181143465,4,0.03338171262699552
2013-07-19,32.769713543718254,4,0.06417611123373046
2013-07-26,32.96845169863298,4,-0.011764705882352788
2013-08-02,33.358567336058194,4,0.006064690026954089
2013-08-09,32.90956631939899,4,0.011832998437151021
2013-08-16,31.650891338272338,4,-0.013459841129743744
2013-08-23,31.967400251655068,4,-0.0382464772981439
2013-08-30,31.36382511450661,4,0.010000000000000231
2013-09-06,32.30599118225054,4,-0.01888095786322841
2013-09-13,33.042058422675474,4,0.03003989673785523
2013-09-20,35.21345678192905,4,0.022784233310549018
2013-09-27,32.62986076803751,4,0.06571619514368465
2013-10-04,34.4479468518871,4,-0.07336956521739135
2013-10-11,33.89570305889578,4,0.055718475073313734
2013-10-18,35.88563699532165,4,-0.016031254209888157
2013-10-25,36.60587427828175,4,0.05870755750273826
2013-11-01,36.353419972914295,4,0.020070349679288224
2013-11-08,35.66288319646801,4,-0.006896551724137834
2013-11-15,35.96731338823465,4,-0.01899509803921562
2013-11-22,36.338569719657386,4,0.008536331459504387
2013-11-29,35.97473851486311,4,0.010322047894302244
2013-12-06,38.128025237114976,4,-0.010012259910093801
2013-12-13,38.885388153217356,4,0.059855521155830704
2013-12-20,39.04874093904336,4,0.01986368062317423
2013-12-27,39.01904043252954,4,0.004200878365476557
2014-01-03,38.83341226681817,4,-0.0007606008746909865
2014-01-10,37.79389453883452,4,-0.004757373929590969
2014-01-17,37.468559851488784,4,-0.0267686424474185
2014-01-24,35.76952607476326,4,-0.008608128146503802
2014-01-31,36.84732723709135,4,-0.045345585297642876
2014-02-07,36.59284640709721,4,0.030131826741996326
2014-02-14,37.9700367811831,4,-0.0069063579118425755
2014-02-21,38.2020634202954,4,0.03763550828390261
2014-02-28,38.1047619264741,4,0.006110782574413776
2014-03-07,38.51642209264109,4,-0.002547021943574146
2014-03-14,38.329303835292464,4,0.010803378511098582
2014-03-21,40.01336815143009,4,-0.004858142246405128
2014-03-28,38.15715503853172,4,0.04393673110720564
2014-04-04,39.07029213439302,4,-0.04638982416760218
2014-04-11,35.08841561801427,4,0.023930953315025816
2014-04-25,37.11245681164918,4,-0.10191570881226064
2014-05-02,38.65314488441606,4,0.0576840292724925
2014-05-09,39.468803275880866,4,0.04151404151404159
2014-05-16,39.974813574289605,4,0.021101992966002125
2014-05-23,40.74515761067305,4,0.012820512820512997
2014-05-30,41.032148526188436,4,0.01927073493293041
2014-06-06,41.613682749732796,4,0.007043558850787557
2014-06-13,40.90375785345787,4,0.014172648628750117
2014-06-20,40.254252097291435,4,-0.01705989110707784
2014-06-27,42.89003708452497,4,-0.015878877400295588
2014-07-11,41.82514974011257,4,0.06547842401500947
2014-07-18,41.787099203595,4,-0.024828314844162702
2014-07-25,40.4705506400871,4,-0.0009097525473071855
2014-08-01,39.937843128841116,4,-0.03150610089236916
2014-08-08,40.19658677716059,4,-0.013162843174125749
2014-08-15,41.01847836594009,4,0.006478658536585469
2014-08-22,42.007792315396905,4,0.020446800454373193
2014-08-29,42.068673173825026,4,0.024118738404452778
2014-09-05,42.57094025585693,4,0.0014492753623189802
2014-09-12,44.04730107273864,4,0.011939218523878026
2014-09-19,44.94529373455328,4,0.034680014301037065
2014-09-26,45.04422512949896,4,0.020387007601935014
2014-10-03,44.663719764323275,4,0.002201151371486576
2014-10-10,42.15238435416367,4,-0.008447372867038117
2014-10-17,40.9254639436368,4,-0.05622763673538944
2014-10-24,46.231894719165496,4,-0.02910678551937429
2014-10-31,48.662730782521855,4,0.12966085816001494
2014-11-07,47.159753279626436,4,0.052579200530768144
2014-11-14,49.076816421074675,4,-0.03088559722659956
2014-11-21,51.65334928318109,4,0.04065040650406515
2014-11-28,53.064307755287,4,0.05249999999999999
2014-12-05,53.45538863614242,4,0.027315914489311366
2014-12-12,50.05068449693037,4,0.0073699421965316425
2014-12-19,51.92173812298385,4,-0.06369244010902297
2014-12-26,51.36195568568097,4,0.03738317757009346
2015-01-02,50.52611615600954,4,-0.010781273076355014
2015-01-09,50.44176537778581,4,-0.016273514481934814
2015-01-16,49.87346306308573,4,-0.0016694490818031094
2015-01-23,48.24295474168642,4,-0.011266503272511552
2015-01-30,46.63562900305584,4,-0.03269290362565869
