Date,NKE,dayofweek,weekly_ret
2013-01-18,24.23994471669057,4,0.004160363086233021
2013-01-25,25.26794762642449,4,0.0035781544256119346
2013-02-01,24.426440819783892,4,0.042409457684368546
2013-02-08,24.831273824059643,4,-0.03330333033303323
2013-02-15,24.995026499946466,4,0.01657355679702066
2013-02-22,24.776689598764037,4,0.006594614398241605
2013-03-01,25.03204742053041,4,-0.008735213830755373
2013-03-08,24.9726864908575,4,0.010306373688400816
2013-03-15,25.013782519092604,4,-0.0023713973002553734
2013-03-22,27.18273956483356,4,0.001645639056500725
2013-04-05,26.927030944704093,4,0.08671047827674316
2013-04-12,27.6621932275763,4,-0.009407021669746607
2013-04-19,27.817444889797763,4,0.0273020179752419
2013-04-26,28.260368749664856,4,0.0056124133377353225
2013-05-03,29.47498469527979,4,0.01592252133946137
2013-05-10,29.570875427828344,4,0.04297947972208749
2013-05-17,29.8265840479578,4,0.0032532920216887806
2013-05-24,28.671329032015773,4,0.00864731315626921
2013-05-31,28.250083950774,4,-0.03873239436619724
2013-06-07,28.74947726096445,4,-0.014692206307262312
2013-06-14,28.355460520814184,4,0.017677586766136733
2013-06-21,27.750690640583528,4,-0.013705179282868407
2013-06-28,29.17556513112695,4,-0.021328162869607703
2013-07-05,29.157238771119967,4,0.051345550602608814
2013-07-12,29.17098354112521,4,-0.0006281407035174658
2013-07-19,29.02437266106929,4,0.00047140163419245873
2013-07-26,28.648682280926014,4,-0.005025914873567072
2013-08-02,30.375941711584748,4,-0.012943962115232632
2013-08-09,30.3805233015865,4,0.06029106029106002
2013-08-16,29.161820361121716,4,0.00015082956259448999
2013-08-23,29.41838940121956,4,-0.04011461318051557
2013-08-30,28.876761452761578,4,0.008798114689709147
2013-09-06,29.86965869469035,4,-0.01841120331473789
2013-09-13,31.21650541638075,4,0.03438395415472817
2013-09-20,31.887630403980754,4,0.045090797168359176
2013-09-27,33.85044115538623,4,0.02149904285083215
2013-10-04,33.160929181824585,4,0.061553985872855765
2013-10-11,33.76769971855882,4,-0.020369364475828378
2013-10-18,34.90309610169034,4,0.018297754366509267
2013-10-25,34.797370932410885,4,0.03362374081132624
2013-11-01,34.96285380606568,4,-0.0030291057553009093
2013-11-08,35.45010893404925,4,0.004755614266842789
2013-11-15,36.41542569703554,4,0.013936366026821023
2013-11-22,36.254539569871156,4,0.027230290456431216
2013-11-29,36.37865172511225,4,-0.00441807624337287
2013-12-06,36.70961747242184,4,0.0034233548877899977
2013-12-13,35.229711130656966,4,0.00909780136467031
2013-12-20,35.66316569168861,4,-0.04031385897378681
2013-12-27,36.041285627907705,4,0.012303664921466062
2014-01-03,35.98133978436078,4,0.010602534264287478
2014-01-10,35.46949450484469,4,-0.001663254861821839
2014-01-17,33.84173429160884,4,-0.014225297962322081
2014-01-24,33.039382231826856,4,-0.04589183567342692
2014-01-31,33.592728479952356,4,-0.023708952173320696
2014-02-07,33.51894898020229,4,0.016748080949057886
2014-02-14,34.61641903898453,4,-0.0021962937542896466
2014-02-21,35.266600880531996,4,0.03274178016233309
2014-02-28,36.21690911220446,4,0.018782469694951454
2014-03-07,36.753455913866745,4,0.02694640844156493
2014-03-14,36.22615991912967,4,0.014814814814814614
2014-03-21,34.787659442259226,4,-0.014346841177951042
2014-03-28,34.01521706400404,4,-0.03970888661899896
2014-04-04,33.691438821621624,4,-0.02220449408323344
2014-04-11,32.95599967106727,4,-0.009518629317378346
2014-04-25,33.62668317314514,4,-0.021828665568369376
2014-05-02,33.760819873560706,4,0.020350877192982786
2014-05-09,33.973588432840586,4,0.003988995873452472
2014-05-16,34.200233202508265,4,0.006302233182627903
2014-05-23,35.083685263866,4,0.006671204901293137
2014-05-30,35.68575800900404,4,0.02583175547741412
2014-06-06,35.370242270528905,4,0.017161046241574107
2014-06-13,34.62321236031572,4,-0.00884150305551934
2014-06-20,34.84592935218052,4,-0.021120293847566418
2014-06-27,36.04303318345384,4,0.006432591798445353
2014-07-11,35.862075627563684,4,0.03435419440745702
2014-07-18,35.96879418616556,4,-0.005020597322348275
2014-07-25,36.061592932775895,4,0.0029758054082027474
2014-08-01,36.57198603913273,4,0.0025799793601650745
2014-08-08,35.755357068961786,4,0.014153371075656063
2014-08-15,35.78783663027541,4,-0.022329358030956703
2014-08-22,36.79006309366702,4,0.0009083830781211333
2014-08-29,36.557684765660575,4,0.028004667444574194
2014-09-05,38.18195363685288,4,-0.006316334044190519
2014-09-12,38.088872326182845,4,0.04443029917250163
2014-09-19,38.07491012958233,4,-0.0024378352023400884
2014-09-26,41.6538865248456,4,-0.00036656891495623345
2014-10-03,42.021557701992286,4,0.09399828871776084
2014-10-10,40.57879738660657,4,0.008826815642458019
2014-10-17,40.574143321073066,4,-0.034333813268357605
2014-10-24,42.305455699535926,4,-0.00011469205184078124
2014-10-31,43.268847264970894,4,0.042670337233310596
2014-11-07,43.64582657318458,4,0.02277227722772257
2014-11-14,44.446325844946976,4,0.00871248789932233
2014-11-21,45.33990642737942,4,0.018340797611431148
2014-11-28,46.210216682144356,4,0.02010471204188491
2014-12-05,46.22883294427835,4,0.019195237117635155
2014-12-12,44.887440317668236,4,0.0004028603081878135
2014-12-19,44.26666153402992,4,-0.02901636362369253
2014-12-26,45.1954959546617,4,-0.013829676614328323
2015-01-02,44.35534421740682,4,0.02098270771826205
2015-01-09,44.803425143942746,4,-0.018589280181761758
2015-01-16,43.40317224851793,4,0.010102073029569336
2015-01-23,44.882772808016824,4,-0.03125325554745273
2015-01-30,43.05777653431314,4,0.034089687063125096
