Date,AVGO,dayofweek,weekly_ret
2013-01-18,28.03926332234919,4,0.056615384615384734
2013-01-25,27.811301831923586,4,0.0029120559114732547
2013-02-01,29.52101301011561,4,-0.008130081300813052
2013-02-08,28.755713720829657,4,0.061475409836065475
2013-02-15,28.6091670484132,4,-0.025923883066740205
2013-02-22,27.754311459317194,4,-0.005096262740656776
2013-03-01,27.43679366908153,4,-0.029880478087649265
2013-03-08,28.71500631182509,4,-0.011440305074801982
2013-03-15,29.309334483291842,4,0.04658753709198793
2013-03-22,29.302237016030073,4,0.02069747660901622
2013-04-05,28.09904460224336,4,-0.0002421572303463737
2013-04-12,28.573773581832675,4,-0.041061452513966645
2013-04-19,25.586255003382693,4,0.016894844159627276
2013-04-26,26.28197850795323,4,-0.10455456889143477
2013-05-03,26.093723912598854,4,0.02719129878438853
2013-05-10,27.87805007726213,4,-0.00716287760822143
2013-05-17,28.180894426310488,4,0.06838143036386413
2013-05-24,27.91079000688898,4,0.01086318261890784
2013-05-31,30.881938620525553,4,-0.009584664536741228
2013-06-07,30.521799394630214,4,0.10645161290322602
2013-06-14,30.941456742391658,4,-0.011661807580174766
2013-06-21,30.76859944215484,4,0.01374943011503027
2013-06-28,30.76859944215484,4,-0.005586592178770666
2013-07-05,31.9456753437675,4,0.0
2013-07-12,32.06091354392539,4,0.038255751738897725
2013-07-19,31.155470542684874,4,0.0036073177016233693
2013-07-26,30.27472144147819,4,-0.028241335044929428
2013-08-02,30.859143742278892,4,-0.028269484808454592
2013-08-09,30.315877941534577,4,0.019303969548668087
2013-08-16,29.83846254088049,4,-0.017604694585222957
2013-08-23,30.24179624143309,4,-0.015748031496062964
2013-08-30,31.69873634342918,4,0.013517241379310763
2013-09-06,31.73989284348557,4,0.04817637452367962
2013-09-13,32.09383874397049,4,0.0012983640612829195
2013-09-20,34.45506880867112,4,0.011151452282157415
2013-09-27,35.3491455581513,4,0.07357269049481485
2013-10-04,36.01142463184031,4,0.025949062950504587
2013-10-11,35.837576374996935,4,0.01873536299765788
2013-10-18,38.13071766764517,4,-0.004827586206896828
2013-10-25,37.77474266553733,4,0.06398706398706433
2013-11-01,37.02140021921606,4,-0.009335649153278114
2013-11-08,36.715096147634895,4,-0.01994301994302028
2013-11-15,36.93033684658382,4,-0.008273703041144831
2013-11-22,35.84585486341805,4,0.005862457722660475
2013-11-29,37.029678707637174,4,-0.02936561309123531
2013-12-06,38.87578162554531,4,0.033025404157044136
2013-12-13,37.79129964237954,4,0.049854683657500454
2013-12-20,42.95951401534372,4,-0.02789608177172065
2013-12-27,43.899383344237016,4,0.13675672501002034
2014-01-03,43.957605338062265,4,0.02187802516940951
2014-01-10,44.331889584081715,4,0.0013262599469496816
2014-01-17,46.69403904784893,4,0.008514664143803197
2014-01-24,45.321663479110924,4,0.05328330206379017
2014-01-31,45.44434553752842,4,-0.029390808692554726
2014-02-07,47.05168843848973,4,0.002706918700679184
2014-02-14,48.307620019577215,4,0.03536948066803913
2014-02-21,48.698539120975326,4,0.02669259324730411
2014-02-28,51.31852884311148,4,0.008092286501377721
2014-03-07,52.191858750490205,4,0.05380017079419286
2014-03-14,52.133636756664956,4,0.01701782820097253
2014-03-21,53.373214987290886,4,-0.00111553784860563
2014-03-28,53.54861991917402,4,0.023776937649903296
2014-04-04,51.619165668459736,4,0.0032863849765261133
2014-04-11,48.88786030056552,4,-0.03603182030884444
2014-04-25,52.070206921873464,4,-0.05291262135922303
2014-05-02,53.68226177203734,4,0.06509482316760606
2014-05-09,56.30498313448011,4,0.030959255694578358
2014-05-16,57.198713025503615,4,0.048856387116850586
2014-05-23,58.92770449692289,4,0.01587301587301604
2014-05-30,59.02793588657039,4,0.030227803738317682
2014-06-06,59.82978700375034,4,0.0017009213323884165
2014-06-13,59.654382071867225,4,0.013584264893165221
2014-06-20,60.02220215223366,4,-0.0029317325143096706
2014-06-27,59.49385246163835,4,0.006165851821636759
2014-07-11,61.38920214536125,4,-0.008802570909598795
2014-07-18,62.89877268991931,4,0.03185790809134481
2014-07-25,58.63842915305544,4,0.024590163934426146
2014-08-01,59.07452731037221,4,-0.06773333333333342
2014-08-08,59.0661408073469,4,0.007437070938214996
2014-08-15,62.72265612638754,4,-0.00014196479273120843
2014-08-22,63.91353955598333,4,0.061905438023569515
2014-08-29,68.84480333487303,4,0.018986495520791236
2014-09-05,73.70058858653478,4,0.07715522897257632
2014-09-12,73.67542907745882,4,0.07053234255085838
2014-09-19,74.99626984969525,4,-0.00034137460172956047
2014-09-26,73.6495354865133,4,0.017927832776484687
2014-10-03,70.25744830924874,4,-0.017957351290684542
2014-10-10,60.064352597915295,4,-0.04605714285714291
2014-10-17,64.93784757468,4,-0.14508206541272328
2014-10-24,68.89387976652701,4,0.08113789237668168
2014-10-31,72.59739926527739,4,0.06092028515878156
2014-11-07,71.57893140312105,4,0.05375687232742821
2014-11-14,74.9247245866512,4,-0.014028985507246183
2014-11-21,75.93056681415274,4,0.046742709313263964
2014-11-28,78.61561845074677,4,0.01342470370162352
2014-12-05,87.52931651705734,4,0.0353619332668218
2014-12-12,83.49753051728136,4,0.11338329764453947
2014-12-19,84.5952043930911,4,-0.04606212135782273
2014-12-26,84.99220635080205,4,0.013146183713571569
2015-01-02,84.54452329210672,4,0.004692960559161241
2015-01-09,88.60323479593899,4,-0.005267342476644732
2015-01-16,87.69519840330221,4,0.048006793885502885
2015-01-23,90.36440305514613,4,-0.010248343581676922
2015-01-30,86.9011944878803,4,0.030437295318821
2015-02-06,88.47230861839601,4,-0.03832492054589631
