Date,BRK_B,dayofweek,weekly_ret
2015-06-26,139.78,4,0.004775821512581269
2015-07-10,139.73,4,-0.008371169125993227
2015-07-17,143.88,4,-0.000357704964945027
2015-07-24,141.25,4,0.0297001359765261
2015-07-31,142.74,4,-0.018279121490130668
2015-08-07,143.55,4,0.010548672566371708
2015-08-14,142.57,4,0.005674653215636871
2015-08-21,134.22,4,-0.006826889585510365
2015-08-28,135.74,4,-0.05856772111945008
2015-09-04,129.64,4,0.011324690806139293
2015-09-11,131.37,4,-0.0449388536908798
2015-09-18,129.1,4,0.013344646713977282
2015-09-25,129.64,4,-0.017279439750323644
2015-10-02,129.83,4,0.00418280402788529
2015-10-09,133.03,4,0.0014655970379513494
2015-10-16,133.81,4,0.024647616113378845
2015-10-23,137.78,4,0.005863339096444431
2015-10-30,136.02,4,0.02966893356251399
2015-11-06,136.33,4,-0.012773987516330298
2015-11-13,131.96,4,0.0022790766063813805
2015-11-20,136.63,4,-0.032054573461453906
2015-11-27,134.63,4,0.03538951197332518
2015-12-04,136.48,4,-0.014638073629510306
2015-12-11,130.31,4,0.01374136522320435
2015-12-18,129.53,4,-0.04520808909730356
2016-01-08,128.33,4,-0.005985726344869935
2016-01-15,126.14,4,-0.009264263105072112
2016-01-22,127.04,4,-0.01706537832151489
2016-01-29,129.77,4,0.007134929443475491
2016-02-05,126.56,4,0.021489294710327567
2016-02-12,128.07,4,-0.024736071511135105
2016-02-19,131.05,4,0.011931099873577766
2016-02-26,131.92,4,0.023268525025376796
2016-03-04,137.97,4,0.0066386875238457765
2016-03-11,140.65,4,0.04586112795633723
2016-03-18,142.16,4,0.019424512575197506
2016-04-01,143.79,4,0.01073586917881264
2016-04-08,141.06,4,0.011465953854811417
2016-04-15,143.45,4,-0.01898602128103477
2016-04-22,146.11,4,0.016943144761094375
2016-04-29,145.48,4,0.018543046357616166
2016-05-06,144.62,4,-0.004311819861748112
2016-05-13,141.4,4,-0.0059114654935384925
2016-05-20,141.83,4,-0.022265246853823806
2016-05-27,143.35,4,0.003041018387553107
2016-06-03,141.14,4,0.010717055629979377
2016-06-10,141.76,4,-0.015416811998604896
2016-06-17,140.73,4,0.004392801473714014
2016-06-24,139.71,4,-0.007265801354401802
2016-07-01,143.96,4,-0.007247921551907788
2016-07-08,143.65,4,0.030420156037506363
2016-07-15,145.97,4,-0.002153375937760549
2016-07-22,144.6,4,0.0161503654716324
2016-07-29,144.27,4,-0.009385490169212862
2016-08-05,145.65,4,-0.0022821576763484286
2016-08-12,147.72,4,0.009565398211686338
2016-08-19,148.75,4,0.014212152420185253
2016-08-26,147.91,4,0.006972650961278193
2016-09-02,150.72,4,-0.0056470588235294494
2016-09-09,146.62,4,0.018998039348252282
2016-09-16,145.01,4,-0.027202760084925615
2016-09-23,145.0,4,-0.010980766607557091
2016-09-30,144.47,4,-6.896076132678619e-05
2016-10-07,144.52,4,-0.003655172413793095
2016-10-14,144.18,4,0.0003460926143836751
2016-10-21,143.6,4,-0.002352615554940485
2016-10-28,144.0,4,-0.0040227493411014725
2016-11-04,142.95,4,0.0027855153203342198
2016-11-11,156.92,4,-0.007291666666666696
2016-11-18,157.75,4,0.09772647778943688
2016-11-25,158.18,4,0.00528931939841959
2016-12-02,159.39,4,0.0027258320126783975
2016-12-09,164.86,4,0.007649513212795389
2016-12-16,164.76,4,0.03431833866616496
2016-12-23,165.32,4,-0.0006065752759918386
2016-12-30,162.98,4,0.0033988832240834377
2017-01-06,163.41,4,-0.014154367287684488
2017-01-13,161.9,4,0.002638360535035078
2017-01-20,160.21,4,-0.009240560553209654
2017-01-27,164.4,4,-0.010438542310067911
2017-02-03,163.94,4,0.02615317395917849
2017-02-10,164.01,4,-0.0027980535279805707
2017-02-17,168.57,4,0.000426985482493647
2017-02-24,170.22,4,0.02780318273276028
2017-03-03,175.68,4,0.009788218544225069
2017-03-10,174.98,4,0.032076136764187524
2017-03-17,172.82,4,-0.003984517304189583
2017-03-24,168.66,4,-0.012344267916333251
2017-03-31,166.68,4,-0.02407128804536507
2017-04-07,166.17,4,-0.011739594450373425
2017-04-21,163.41,4,-0.0030597552195825717
2017-04-28,165.21,4,-0.016609496298970905
2017-05-05,166.55,4,0.011015237745548134
2017-05-12,163.32,4,0.008110889171357716
2017-05-19,163.24,4,-0.019393575502852145
2017-05-26,165.69,4,-0.0004898359049717582
2017-06-02,166.29,4,0.015008576329331058
2017-06-09,170.0,4,0.0036212203512584473
2017-06-16,170.48,4,0.022310421552709236
2017-06-23,167.22,4,0.002823529411764669
2017-06-30,169.37,4,-0.0191224777099952
2017-07-07,171.14,4,0.012857313718454666
2017-07-14,169.47,4,0.010450493003483441
2017-07-21,171.34,4,-0.009758092789528994
2017-07-28,174.0,4,0.011034401368973823
2017-08-04,179.92,4,0.015524687755340327
2017-08-11,175.34,4,0.03402298850574703
2017-08-18,177.56,4,-0.025455758114717564
