Date,NVDA,dayofweek,weekly_ret
2013-01-18,11.271283249646144,4,-0.07148288973384032
2013-01-25,11.493559994092742,4,-0.003276003276003414
2013-02-01,11.456513870018311,4,0.019720624486442295
2013-02-08,11.456513870018311,4,-0.003223207091055391
2013-02-15,11.790855139790064,4,0.0
2013-02-22,11.595436835297429,4,0.029183508488277887
2013-03-01,11.8427766153825,4,-0.016573717696960477
2013-03-08,11.945271141558116,4,0.021330785859843493
2013-03-15,11.777552825998018,4,0.008654602675059131
2013-03-22,11.628469878833485,4,-0.014040561622464809
2013-04-05,11.60983451043792,4,-0.012658227848101444
2013-04-12,12.196848614898267,4,-0.0016025641025638748
2013-04-19,11.712329036613536,4,0.05056179775280922
2013-04-26,12.495014509227323,4,-0.03972498090145171
2013-05-03,12.923627982325357,4,0.0668257756563242
2013-05-10,13.547912823576832,4,0.03430275913497427
2013-05-17,13.855396402103679,4,0.04830569574621468
2013-05-24,13.616015602515724,4,0.02269601100412655
2013-05-31,13.550463945557258,4,-0.017277080542539403
2013-06-07,13.527052639500663,4,-0.004814305364511662
2013-06-14,13.4380896764856,4,-0.001727712508638568
2013-06-21,13.498959072232747,4,-0.006576670128072171
2013-06-28,13.14778948138382,4,0.0045296167247386165
2013-07-05,13.335079929836585,4,-0.026014568158168605
2013-07-12,13.709660826742105,4,0.014245014245014564
2013-07-19,13.335079929836585,4,0.028089887640449396
2013-07-26,13.297621840146029,4,-0.02732240437158462
2013-08-02,13.82203509581376,4,-0.0028089887640452282
2013-08-09,13.569192990402534,4,0.03943661971830981
2013-08-16,14.223773107744934,4,-0.018292682926829174
2013-08-23,14.079606441645787,4,0.04824016563146993
2013-08-30,13.881964907371344,4,-0.01013561345552172
2013-09-06,14.004314428588858,4,-0.014037433155080437
2013-09-13,14.870172578743546,4,0.008813559322034203
2013-09-20,14.865466827927484,4,0.06182795698924726
2013-09-27,14.663119542836988,4,-0.0003164556962027554
2013-10-04,14.672531044469107,4,-0.013611902500791362
2013-10-11,14.36195149060927,4,0.0006418485237484894
2013-10-18,14.87958408037566,4,-0.021167415009621826
2013-10-25,14.343128487345039,4,0.03604193971166447
2013-11-01,14.357245739793214,4,-0.03605313092979123
2013-11-08,14.644296539572757,4,0.0009842519685039353
2013-11-15,15.218398139131846,4,0.01999344477220588
2013-11-22,14.36531012882125,4,0.03920308483290502
2013-11-29,14.762769302345948,4,-0.05605636036798167
2013-12-06,14.6397462248264,4,0.027667984189723382
2013-12-13,14.213897110335653,4,-0.008333333333333193
2013-12-20,14.843207468416427,4,-0.029088558500323103
2013-12-27,14.914182320831546,4,0.04427430093209073
2014-01-03,14.829012497933398,4,0.004781638508128516
2014-01-10,14.885792379865501,4,-0.005710659898477077
2014-01-17,15.131838534904599,4,0.0038289725590301416
2014-01-24,14.72491604772455,4,0.016528925619834656
2014-01-31,14.857402438899449,4,-0.026891807379612276
2014-02-07,15.018278771040398,4,0.008997429305912519
2014-02-14,16.948794756731793,4,0.010828025477707115
2014-02-21,17.63961665357234,4,0.1285444234404538
2014-02-28,17.472463427688812,4,0.04075935231714123
2014-03-07,17.453450953882836,4,-0.009476012385432164
2014-03-14,16.940114161121574,4,-0.001088139281828271
2014-03-21,17.624563218136586,4,-0.02941176470588247
2014-03-28,17.016164056345467,4,0.04040404040404044
2014-04-04,17.25381997892012,4,-0.03451995685005371
2014-04-11,17.225301268211165,4,0.013966480446927054
2014-04-25,17.805181719293326,4,-0.0016528925619831991
2014-05-02,17.519994612203742,4,0.033664459161147686
2014-05-09,17.158757609890262,4,-0.01601708489054965
2014-05-16,17.073201477763387,4,-0.020618556701030966
2014-05-23,17.658942544743248,4,-0.004986149584487398
2014-05-30,18.14601992158582,4,0.03430762928339748
2014-06-06,18.17467153198832,4,0.027582477014602702
2014-06-13,18.661748908830887,4,0.0015789473684209021
2014-06-20,18.079166163979973,4,0.026799789805570073
2014-06-27,17.553886639934067,4,-0.03121801432958038
2014-07-11,18.193772605589988,4,-0.02905441098785
2014-07-18,17.611189860739078,4,0.036452665941240525
2014-07-25,16.990404968684825,4,-0.03202099737532793
2014-08-01,16.894899600676478,4,-0.0352494577006508
2014-08-08,18.14601992158582,4,-0.005621135469364824
2014-08-15,18.184222068789154,4,0.0740531373657436
2014-08-22,18.30238839040444,4,0.00210526315789461
2014-08-29,18.657308919987756,4,0.006498288525529139
2014-09-05,19.156116150753487,4,0.019392033542976916
2014-09-12,18.340758177386423,4,0.026735218508997072
2014-09-19,18.30238839040444,4,-0.042563845768652464
2014-09-26,17.789192489520463,4,-0.0020920502092051096
2014-10-03,17.487030417037367,4,-0.028039832285115085
2014-10-10,16.158476542786307,4,-0.016985710434079482
2014-10-17,16.710042230652274,4,-0.07597366977509623
2014-10-24,17.726841585674737,4,0.0341347580884539
2014-10-31,18.743640940697208,4,0.060849598163030594
2014-11-07,18.983452109334586,4,0.0573593073593075
2014-11-14,18.978655885961835,4,0.012794268167861
2014-11-21,19.704698880105017,4,-0.00025265285497744205
2014-11-28,20.200808385030662,4,0.03825576471304393
2014-12-05,20.297140327734674,4,0.025177218284038183
2014-12-12,18.90996035279695,4,0.004768717215069218
2014-12-19,19.670982700158614,4,-0.06834361651637377
2014-12-26,19.834747002755428,4,0.04024452368823184
2015-01-02,19.39162006631699,4,0.008325171400587639
2015-01-09,19.208589375179372,4,-0.02234094220495375
2015-01-16,19.22785576372018,4,-0.009438648782911119
2015-01-23,19.950345334000247,4,0.0010030090270813918
2015-01-30,18.500549596304907,4,0.03757515030060121
