Date,AAPL,dayofweek,weekly_ret
2013-01-18,15.518532614419206,4,-0.012713472485768595
2013-01-25,13.65258425286144,4,-0.039015952335191284
2013-02-01,14.07903352910568,4,-0.12024000000000001
2013-02-08,14.825420936922615,4,0.03123579157952161
2013-02-15,14.36284832694916,4,0.0530141082677249
2013-02-22,14.071009332127847,4,-0.031201313739525616
2013-03-01,13.4361424706663,4,-0.020319019471488287
2013-03-08,13.47515837906487,4,-0.04511878618486709
2013-03-15,13.847838336088019,4,0.002903802820173107
2013-03-22,14.417470598707158,4,0.027656814602056823
2013-04-05,13.209225947420212,4,0.04113510345760285
2013-04-12,13.415229943764665,4,-0.08380420428221935
2013-04-19,12.189506165515153,4,0.01559546313799598
2013-04-26,13.022105650740665,4,-0.0913680781758961
2013-05-03,14.045102768951194,4,0.06830461168156132
2013-05-10,14.232835652207315,4,0.07855850241487983
2013-05-17,13.613524901594676,4,0.013366430017951458
2013-05-24,13.987122305185961,4,-0.043512815418239814
2013-05-31,14.131188250977893,4,0.027443105756358666
2013-06-07,13.882207104968026,4,0.010299898910479666
2013-06-14,13.512663028968266,4,-0.017619264678087942
2013-06-21,12.99264309377602,4,-0.02661998003671273
2013-06-28,12.459426278053215,4,-0.03848389722125345
2013-07-05,13.115813978727902,4,-0.04103990326481266
2013-07-12,13.401432178782127,4,0.05268201649307791
2013-07-19,13.35241519395434,4,0.02177662785683454
2013-07-26,13.856410345645195,4,-0.003657593022437844
2013-08-02,14.533536001439323,4,0.037745617131427434
2013-08-09,14.373809746103705,4,0.048867321254449925
2013-08-16,15.888207393025134,4,-0.010990185411162146
2013-08-23,15.84677337219249,4,0.10535812520629295
2013-08-30,15.410166331296429,4,-0.0026078474309715327
2013-09-06,15.758212106290655,4,-0.027551794339547353
2013-09-13,14.704333042058778,4,0.02258546517355775
2013-09-20,14.78372189113507,4,-0.06687808598611067
2013-09-27,15.268911112182998,4,0.005399010539901106
2013-10-04,15.27776723877318,4,0.032819152350185066
2013-10-11,15.587162347005961,4,0.0005800103573276871
2013-10-18,16.09569378742373,4,0.0202513301451257
2013-10-25,16.63553796114251,4,0.03262501724795652
2013-11-01,16.4480411096189,4,0.033539664760557475
2013-11-08,16.561206345930394,4,-0.011270861931941711
2013-11-15,16.70217512055545,4,0.006880164972673519
2013-11-22,16.53702754459547,4,0.008511987090825457
2013-11-29,17.690929024092352,4,-0.00988778855256578
2013-12-06,17.816595162609378,4,0.06977683724509443
2013-12-13,17.63875371594857,4,0.0071034222310137896
2013-12-20,17.466638827498667,4,-0.009981786364772538
2013-12-27,17.818822157469175,4,-0.009757769240481107
2014-01-03,17.210852560745014,4,0.020163199883428407
2014-01-10,16.955066293991365,4,-0.03411951650627565
2014-01-17,17.200990154937347,4,-0.01486191726126651
2014-01-24,17.37278690126443,4,0.014504447029684231
2014-01-31,15.92619466876586,4,0.009987607967891998
2014-02-07,16.631600680294046,4,-0.08326771293057678
2014-02-14,17.409606785085348,4,0.044292188196821014
2014-02-21,16.80986040895252,4,0.04677878694581228
2014-02-28,16.841543915482482,4,-0.03444916266843112
2014-03-07,16.975958791670205,4,0.0018848167539267102
2014-03-14,16.791938425460827,4,0.007981149285497313
2014-03-21,17.053727398607386,4,-0.010840057310911533
2014-03-28,17.181421530985723,4,0.015590157998055743
2014-04-04,17.020123679560452,4,0.0074877549871452675
2014-04-11,16.62936043235758,4,-0.009387922363372492
2014-04-25,18.30410578257269,4,-0.0229588958670226
2014-05-02,18.964658888409488,4,0.10071014799561229
2014-05-09,18.844287339947947,4,0.03608770150715079
2014-05-16,19.229432754227567,4,-0.006347150727562423
2014-05-23,19.76430777284694,4,0.020438311480379
2014-05-30,20.371593669438255,4,0.027815434051313037
2014-06-06,20.776129107708144,4,0.030726393434614918
2014-06-13,20.56340203953281,4,0.019857819905213292
2014-06-20,20.480049073334,4,-0.010239013584893875
2014-06-27,20.72109684044947,4,-0.004053461875547892
2014-07-11,21.450998490406594,4,0.011769882301176926
2014-07-18,21.273028643657796,4,0.03522504892367917
2014-07-25,22.003155571901942,4,-0.00829657634950609
2014-08-01,21.656001731598252,4,0.03432171979243881
2014-08-08,21.44903708144273,4,-0.01577745697289923
2014-08-15,22.182569698540835,4,-0.009556918803416137
2014-08-22,22.93874221122839,4,0.03419886003799877
2014-08-29,23.20589297918387,4,0.03408858950806293
2014-09-05,22.406704664876372,4,0.011646269245953134
2014-09-12,23.01571785623251,4,-0.0344390243902436
2014-09-19,22.85723858710637,4,0.027179953521268896
2014-09-26,22.809694806368537,4,-0.006885697422782111
2014-10-03,22.553863986207773,4,-0.0020800316957207965
2014-10-10,22.80516682725065,4,-0.0112158808933005
2014-10-17,22.11238602221355,4,0.01114234089540278
2014-10-24,23.821698139216853,4,-0.030378238856348716
2014-10-31,24.451087236603488,4,0.07730111600286693
2014-11-07,24.78646115340528,4,0.026420832541341532
2014-11-14,25.96200471971209,4,0.013716114688746117
2014-11-21,26.4827000324476,4,0.047426841574167655
2014-11-28,27.04204958237308,4,0.020056051847959333
2014-12-05,26.148454569687253,4,0.02112131879453938
2014-12-12,24.950173216798106,4,-0.03304464811233476
2014-12-19,25.416297841736004,4,-0.045826086956521794
2014-12-26,25.918802925205647,4,0.01868221999453179
2015-01-02,24.859222070468753,4,0.01977097870817679
2015-01-09,25.46859475087538,4,-0.040880779015703195
2015-01-16,24.099779998618704,4,0.024512942467758148
2015-01-23,25.689151280724047,4,-0.053745201321310776
2015-01-30,26.63959075986572,4,0.0659496178884802
2015-02-06,27.14801726040973,4,0.036997698707735616
