Date,CMCSA,dayofweek,weekly_ret
2013-01-18,17.449556246437627,4,0.010244286840031647
2013-01-25,17.230705485120076,4,0.046931877275091294
2013-02-01,16.727998785856013,4,-0.012541909847262112
2013-02-08,16.793003962484985,4,-0.029175050301810668
2013-02-15,17.872089894525953,4,0.0038860103626940923
2013-02-22,17.295710661749045,4,0.06425806451612881
2013-03-01,17.34771480305223,4,-0.03225024248302644
2013-03-08,17.768081611919595,4,0.0030067652217493634
2013-03-15,17.642404937103578,4,0.02423182613040198
2013-03-22,17.86342253764209,4,-0.007073170731707323
2013-04-05,18.09564193243264,4,0.012527634487840889
2013-04-12,18.287222357126343,4,0.01299971460123106
2013-04-19,17.660231876310576,4,0.010587102983638186
2013-04-26,18.012914021769443,4,-0.0342857142857147
2013-05-03,18.522343787432252,4,0.019970414201183617
2013-05-10,18.75746521773816,4,0.028281363306744245
2013-05-17,18.565884793044454,4,0.012693935119887145
2013-05-24,18.265451854320236,4,-0.010213556174559102
2013-05-31,17.488244904142366,4,-0.01618198874296428
2013-06-07,17.930186111106256,4,-0.0425506555423123
2013-06-14,17.303195630290492,4,0.02527075812274382
2013-06-21,17.316257931974153,4,-0.0349684312773193
2013-06-28,18.178369843095826,4,0.0007549068948162763
2013-07-05,18.243675997234053,4,0.04978627105858702
2013-07-12,19.547420708786987,4,0.003592519829990648
2013-07-19,19.499295903998124,4,0.07146282973621076
2013-07-26,19.131797394701323,4,-0.0024619516562217614
2013-08-02,20.00241886315446,4,-0.01884675790890733
2013-08-09,19.52117081526579,4,0.04550651726503552
2013-08-16,18.61117450653085,4,-0.024059492563429652
2013-08-23,18.31367571329059,4,-0.04661586732407008
2013-08-30,18.414300305121856,4,-0.01598495533615396
2013-09-06,18.584924613009655,4,0.005494505494505475
2013-09-13,19.236796968786127,4,0.009265858873841681
2013-09-20,19.424921205688054,4,0.03507532956685511
2013-09-27,19.573670602308194,4,0.009779395042073702
2013-10-04,20.05372393045036,4,0.0076576576576579125
2013-10-11,20.236070456110674,4,0.02452546269403122
2013-10-18,20.666671890200092,4,0.009092900964066342
2013-10-25,21.165818042369065,4,0.0212789056562801
2013-11-01,21.374088531918442,4,0.024152227064951903
2013-11-08,21.16977254533519,4,0.009839945195242006
2013-11-15,20.97204739702882,4,-0.009559050262103241
2013-11-22,21.758554098069716,4,-0.009339975093399788
2013-11-29,21.91234032453022,4,0.03750261889796813
2013-12-06,21.648706793455066,4,0.007067851373182332
2013-12-13,21.534465596655828,4,-0.012031281331461585
2013-12-20,22.38248678828092,4,-0.005277044854881452
2013-12-27,22.755967623970733,4,0.03937971842481125
2014-01-03,22.52396681294625,4,0.016686297605025713
2014-01-10,23.61333822528181,4,-0.010195163521857786
2014-01-17,23.61333822528181,4,0.04836498923046806
2014-01-24,23.11055141958848,4,0.0
2014-01-31,24.01468558772123,4,-0.021292491595068963
2014-02-07,24.09848338867012,4,0.03912213740458004
2014-02-14,23.68390479450193,4,0.0034894398530762594
2014-02-21,22.515145991793734,4,-0.017203513909224033
2014-02-28,22.7974122686742,4,-0.049348230912476754
2014-03-07,22.770949805216667,4,0.012536728697355448
2014-03-14,22.334319158167187,4,-0.0011607661056293184
2014-03-21,22.052052881286716,4,-0.019174898314933353
2014-03-28,21.857994815931395,4,-0.012638230647709303
2014-04-04,22.23095214338443,4,-0.008799999999999919
2014-04-11,21.24743851727217,4,0.017062742058169267
2014-04-25,22.58094122655051,4,-0.044240733359904305
2014-05-02,23.050546831811324,4,0.0627606338615514
2014-05-09,22.5942319512277,4,0.02079654698842459
2014-05-16,22.2353823849435,4,-0.019796271381895214
2014-05-23,23.023965382456932,4,-0.015882352941176348
2014-05-30,23.125860938315416,4,0.035465232117951606
2014-06-06,23.440408089008976,4,0.004425630171252859
2014-06-13,23.245477460410147,4,0.013601532567049768
2014-06-20,23.365093982504888,4,-0.008316008316008427
2014-06-27,23.980897559214817,4,0.005145797598627988
2014-07-11,24.268263675886956,4,0.02635570724307912
2014-07-18,24.26381486494729,4,0.011983125984444953
2014-07-25,24.197082700852274,4,-0.00018331805682858526
2014-08-01,23.75220160688551,4,-0.002750275027502802
2014-08-08,23.801138527221852,4,-0.01838573267144694
2014-08-15,24.303854163404303,4,0.0020603109196477565
2014-08-22,24.10365767111925,4,0.021121495327103057
2014-08-29,24.343893461861306,4,-0.00823723228995088
2014-09-05,24.77987693394873,4,0.00996677740863805
2014-09-12,25.39381284362287,4,0.01790935672514604
2014-09-19,25.242553271674172,4,0.02477558348294462
2014-09-26,24.13035053675726,4,-0.00595655220742819
2014-10-03,23.96702635796285,4,-0.04406062742333461
2014-10-10,23.506895190233088,4,-0.006768413021834063
2014-10-17,22.640240369460525,4,-0.01919850885368135
2014-10-24,24.23953122428824,4,-0.03686811098441667
2014-10-31,24.726466149361485,4,0.07063930544593511
2014-11-07,24.637120291549877,4,0.02008846295613731
2014-11-14,24.16805453803896,4,-0.0036133694670281713
2014-11-21,24.1591199522578,4,-0.01903898458748854
2014-11-28,25.48143864786954,4,-0.0003696857670979492
2014-12-05,25.16872814552893,4,0.054733727810650556
2014-12-12,24.726466149361485,4,-0.01227208976157057
2014-12-19,25.53951345544708,4,-0.017571884984025732
2014-12-26,26.082289541652575,4,0.03288166214995458
2015-01-02,25.61992472747753,4,0.02125240510757398
2015-01-09,25.247498509672198,4,-0.01772715594758889
2015-01-16,25.462790733595504,4,-0.014536585168257954
2015-01-23,25.256469019002342,4,0.008527269497246692
2015-01-30,23.836885917508067,4,-0.008102871234807019
