Date,INTC,dayofweek,weekly_ret
2013-01-18,16.712270781776983,4,0.03969754253308144
2013-01-25,16.484197439343323,4,-0.03409090909090928
2013-02-01,16.794849060934,4,-0.013647058823529234
2013-02-08,16.691118687995974,4,0.018845419847328015
2013-02-15,16.782522433192142,4,-0.006176320642220512
2013-02-22,16.23012588613704,4,0.005476190476190412
2013-03-01,16.71496314326454,4,-0.03291498934406811
2013-03-08,17.152111489854907,4,0.029872673849167475
2013-03-15,16.989174378853043,4,0.026153114598192806
2013-03-22,16.953407695950197,4,-0.009499536607970205
2013-04-05,16.643429777458838,4,-0.00210526315789461
2013-04-12,17.2276189315387,4,-0.018284106891702123
2013-04-19,17.835652540887125,4,0.0351002865329515
2013-04-26,18.598675109481228,4,0.03529411764705892
2013-05-03,19.22260502234203,4,0.042780748663101775
2013-05-10,19.655835686451574,4,0.03354700854700865
2013-05-17,19.28678734295085,4,0.022537562604340478
2013-05-24,19.19292069906045,4,-0.018775510204081747
2013-05-31,19.479334304777318,4,-0.004866888519134527
2013-06-07,19.7280407971365,4,0.014922877565522796
2013-06-14,19.992792869647893,4,0.012767710049423453
2013-06-21,19.411140589130444,4,0.013420089467263363
2013-06-28,19.439220354396802,4,-0.02909309791332282
2013-07-05,19.302832923103054,4,0.0014465798718743539
2013-07-12,19.174468281885414,4,-0.0070160957490715825
2013-07-19,18.484508335340585,4,-0.006650041562759612
2013-07-26,18.66100971701484,4,-0.035983263598326265
2013-08-02,18.628918556710428,4,0.009548611111110716
2013-08-09,18.236553235857574,4,-0.0017196904557179593
2013-08-16,17.754511957521935,4,-0.02106216309113218
2013-08-23,18.179842497229853,4,-0.026432696579298032
2013-08-30,17.807171929104825,4,0.023956194387405816
2013-09-06,18.36617778129237,4,-0.020499108734402527
2013-09-13,18.989995906197315,4,0.031392174704276465
2013-09-20,19.256536377747608,4,0.03396559329510351
2013-09-27,18.617325338072284,4,0.014035836177474392
2013-10-04,18.479599258547807,4,-0.03319449703395161
2013-10-11,18.84011752553833,4,-0.007397737162750606
2013-10-18,19.34241263909816,4,0.019508987286277923
2013-10-25,19.63406786632645,4,0.026660933132659936
2013-11-01,19.70698167313352,4,0.015078534031413904
2013-11-08,19.699335281408434,4,0.003713637301423489
2013-11-15,20.050963100877322,4,-0.00038800420337881114
2013-11-22,19.519432676098766,4,0.017849730178497003
2013-11-29,19.49490050264745,4,-0.026508972267536568
2013-12-06,20.2962848353905,4,-0.0012568077084205154
2013-12-13,19.862883104417214,4,0.04110738255033519
2013-12-20,20.488453527425836,4,-0.021353746978243437
2013-12-27,20.93412134512478,4,0.03149444215726693
2014-01-03,21.081314385832687,4,0.02175214528038305
2014-01-10,20.876879607071704,4,0.007031250000000044
2014-01-17,21.138556123885763,4,-0.009697439875872793
2014-01-24,20.288107444240065,4,0.012534273403838503
2014-01-31,20.067317883178198,4,-0.04023210831721491
2014-02-07,19.982725170706452,4,-0.010882708585248091
2014-02-14,20.43678420164587,4,-0.004215446875571627
2014-02-21,20.160220973710047,4,0.02272257797975641
2014-02-28,20.44091201101805,4,-0.013532619672793289
2014-03-07,20.341844586085813,4,0.013923013923013983
2014-03-14,20.22626592366487,4,-0.004846526655896688
2014-03-21,20.779392379536525,4,-0.005681818181818232
2014-03-28,21.150895223032407,4,0.02734693877551031
2014-04-04,21.59669863522747,4,0.01787842669845041
2014-04-11,21.613127316528736,4,0.021077283372365363
2014-04-25,21.679254822671,4,0.0007607033639145389
2014-05-02,21.8030891038363,4,0.0030595991581325865
2014-05-09,21.898951443310274,4,0.005712109672505905
2014-05-16,21.499274762976093,4,0.00439673199597701
2014-05-23,21.889792186052613,4,-0.018250950570342317
2014-05-30,22.74826438902041,4,0.01816421378776134
2014-06-06,23.456025177112185,4,0.039217923846476044
2014-06-13,24.871546753295735,4,0.03111273792093705
2014-06-20,25.146324471025487,4,0.06034788782392608
2014-06-27,25.754166089033717,4,0.011047874121191903
2014-07-11,26.020617209256507,4,0.02417218543046351
2014-07-18,28.060633598462214,4,0.010345942450695311
2014-07-25,28.51859646134513,4,0.0783999999999998
2014-08-01,28.102266585997025,4,0.016320474777448135
2014-08-08,27.330800476942482,4,-0.014598540145985384
2014-08-15,28.647038414022227,4,-0.02745209560566031
2014-08-22,29.29258186087025,4,0.04815950920245404
2014-08-29,29.27581449861446,4,0.022534386889083935
2014-09-05,29.34288394763763,4,-0.0005724098454492621
2014-09-12,29.02430406477756,4,0.002290950744558984
2014-09-19,29.191977687335488,4,-0.01085714285714301
2014-09-26,28.722491544173288,4,0.005777007510109788
2014-10-03,28.529666878231676,4,-0.0160827110855829
2014-10-10,26.752326479117624,4,-0.006713368359602789
2014-10-17,26.307991379339107,4,-0.06229797237731416
2014-10-24,27.817053982360466,4,-0.016609213412723478
2014-10-31,28.51289951597588,4,0.05736137667304009
2014-11-07,28.340028309116796,4,0.0250150693188671
2014-11-14,28.65229187297544,4,-0.006062912218458338
2014-11-21,30.036379020889424,4,0.011018463371054166
2014-11-28,31.437345280363328,4,0.04830633284241537
2014-12-05,31.79180662312179,4,0.0466423152570945
2014-12-12,30.57229081291709,4,0.011275167785234963
2014-12-19,30.69466437172656,4,-0.038359437217945436
2014-12-26,31.690531953762232,4,0.00400276052449966
2015-01-02,30.686224815946595,4,0.03244432224360749
2015-01-09,31.023807047145127,4,-0.03169107856191755
2015-01-16,30.76218081796627,4,0.011001100110010986
2015-01-23,30.757961040076285,4,-0.008433079434167379
2015-01-30,27.884292296998773,4,-0.00013717421124848084
