Date,CSCO,dayofweek,weekly_ret
2013-01-18,16.326950715740814,4,-9.27648313878704e-05
2013-01-25,16.431834767447928,4,0.026123046875
2013-02-01,16.18322071895699,4,0.0064239828693790635
2013-02-08,16.43960395646327,4,-0.01513002364066196
2013-02-15,16.307527743202456,4,0.015842534805569075
2013-02-22,16.23760504206438,4,-0.008034026465028488
2013-03-01,16.18322071895699,4,-0.004287756074321081
2013-03-08,16.96013962049117,4,-0.0033492822966506575
2013-03-15,17.03394691613692,4,0.04800768122899668
2013-03-22,16.121067206834258,4,0.004351809436555332
2013-04-05,16.1416754976587,4,-0.053591790193842526
2013-04-12,16.870048045587986,4,0.00127834532044524
2013-04-19,16.0241960544443,4,0.04512372634643369
2013-04-26,16.18866727494446,4,-0.05013927576601662
2013-05-03,16.313978681039814,4,0.01026392961876832
2013-05-10,16.525441678825743,4,0.007740686985969525
2013-05-17,18.9846780234472,4,0.012962073931829465
2013-05-24,18.42860865889904,4,0.1488151658767769
2013-05-31,18.8867784874352,4,-0.02929042904290391
2013-06-07,19.180477095471204,4,0.024861878453038555
2013-06-14,18.867198580232802,4,0.01555048724860053
2013-06-21,19.17342832887834,4,-0.016333197223356466
2013-06-28,19.05908167081633,4,0.016230801162308017
2013-07-05,19.377561916075827,4,-0.005963808667946324
2013-07-12,20.45803647142886,4,0.016710156908932294
2013-07-19,20.36339636439064,4,0.05575905575905593
2013-07-26,20.107868075387444,4,-0.004626060138781751
2013-08-02,20.655203361091818,4,-0.01254841208365598
2013-08-09,20.547155905556515,4,0.027219956071540263
2013-08-16,19.14096164848027,4,-0.0052310042000763834
2013-08-23,18.817607949433018,4,-0.06843741603654108
2013-08-30,18.383840792174503,4,-0.01689328388957545
2013-09-06,18.57312100625095,4,-0.023051131601005914
2013-09-13,19.180395026412867,4,0.010296010296010571
2013-09-20,19.33024186255672,4,0.03269639065817387
2013-09-27,18.39961414334754,4,0.0078125
2013-10-04,18.28793148691367,4,-0.04814361485108121
2013-10-11,18.49448501369897,4,-0.006069836876130941
2013-10-18,18.241059725066236,4,0.011294526498696777
2013-10-25,17.839074784476388,4,-0.013702749140893644
2013-11-01,17.9264628150394,4,-0.022037367710465605
2013-11-08,18.677205441239806,4,0.0048986862614117666
2013-11-15,17.108193074313025,4,0.041879016175492945
2013-11-22,17.048610326201885,4,-0.08400680561463214
2013-11-29,16.881778631490686,4,-0.0034827025771997366
2013-12-06,16.90561173073514,4,-0.009785647716682
2013-12-13,16.079397623593945,4,0.0014117647058820015
2013-12-20,16.786446234512848,4,-0.048872180451127956
2013-12-27,17.49349484543176,4,0.0439723320158103
2014-01-03,17.596648832252537,4,0.04212020823473783
2014-01-10,17.788786945070587,4,0.005896705474361941
2014-01-17,18.20508618950968,4,0.010919017288444355
2014-01-24,17.77277543566908,4,0.0234023402340231
2014-01-31,17.540608549347276,4,-0.0237467018469657
2014-02-07,18.149045906604414,4,-0.01306306306306304
2014-02-14,18.060982604896147,4,0.03468735737106332
2014-02-21,17.716735152763817,4,-0.004852227613586058
2014-02-28,17.45254524763901,4,-0.019060283687943214
2014-03-07,17.396504964733744,4,-0.014911884319927626
2014-03-14,17.092206228558172,4,-0.0032110091743120517
2014-03-21,17.324453172426978,4,-0.017491946617579024
2014-03-28,17.876850246778854,4,0.013587885657543763
2014-04-04,18.33198235745998,4,0.031885397412199534
2014-04-11,18.128820112477324,4,0.025459300961763853
2014-04-25,18.56468666905514,4,-0.01108239365613306
2014-05-02,18.516257051657604,4,0.024042742653606286
2014-05-09,18.58082987485432,4,-0.00260869565217392
2014-05-16,19.67049626629886,4,0.0034873583260681684
2014-05-23,19.791570309792696,4,0.05864465682015618
2014-05-30,19.872286338788587,4,0.006155108740254489
2014-06-06,20.04178999967996,4,0.004078303425774754
2014-06-13,19.936859161985304,4,0.008529650690495494
2014-06-20,20.04178999967996,4,-0.005235602094240677
2014-06-27,19.936859161985304,4,0.005263157894736636
2014-07-11,20.75509331704897,4,-0.005235602094240677
2014-07-18,21.07227538576563,4,0.041041276783648994
2014-07-25,21.121072627106653,4,0.015282131661441989
2014-08-01,20.33218389209343,4,0.002315708220764101
2014-08-08,20.356582512763943,4,-0.0373507893723527
2014-08-15,19.8686100993537,4,0.0012000000000000899
2014-08-22,20.047533317604124,4,-0.023971234518577744
2014-08-29,20.32405101853659,4,0.009005321326238436
2014-09-05,20.33218389209343,4,0.013793103448275668
2014-09-12,20.462309869002823,4,0.0004001600640257674
2014-09-19,20.494841363230176,4,0.006399999999999739
2014-09-26,20.33218389209343,4,0.0015898251192369983
2014-10-03,20.739687063128034,4,-0.007936507936507908
2014-10-10,19.125416675361848,4,0.02004227254668245
2014-10-17,19.051668282012123,4,-0.07783484788621087
2014-10-24,19.485964376182718,4,-0.003856041131105381
2014-10-31,20.05136872519727,4,0.02279569892473088
2014-11-07,20.756075594983532,4,0.029015979814970505
2014-11-14,21.567307921830498,4,0.03514507560277913
2014-11-21,22.026186813784342,4,0.03908409001184365
2014-11-28,22.648951024293122,4,0.021276595744680993
2014-12-05,22.53423130130466,4,0.028273809523809312
2014-12-12,22.005701148964967,4,-0.00506512301013029
2014-12-19,22.755476481353835,4,-0.023454545454545617
2014-12-26,23.230743905163173,4,0.034071867436231695
2015-01-02,22.780059279137078,4,0.02088584803745075
2015-01-09,22.928571074509936,4,-0.01940035273368612
2015-01-16,22.837813866226522,4,0.006519377037305318
2015-01-23,23.275098597046608,4,-0.003958258366318801
2015-01-30,21.752852694474797,4,0.019147398843930574
