Date,LLY,dayofweek,weekly_ret
2013-01-18,43.459418707095224,4,0.03006206361520558
2013-01-25,43.0068006212486,4,0.012427038222556863
2013-02-01,43.80696473729889,4,-0.01041472940301269
2013-02-08,43.419006378001775,4,0.018605525277203494
2013-02-15,43.711086789012185,4,-0.008856088560885711
2013-02-22,44.26573390632004,4,0.006727017391130241
2013-03-01,44.68171924430093,4,0.012688934502705473
2013-03-08,44.99166910397297,4,0.009397457158651035
2013-03-15,44.96719937820939,4,0.006936838262139533
2013-03-22,45.3260886894086,4,-0.0005438723712833937
2013-04-05,46.06833703757058,4,0.007981135497914016
2013-04-12,46.908464288786895,4,0.016375742306999896
2013-04-19,46.83505511149615,4,0.01823654390934837
2013-04-26,46.05202388706153,4,-0.0015649452269169695
2013-05-03,44.85300732464601,4,-0.016718913270637348
2013-05-10,44.71434554531904,4,-0.02603613177470776
2013-05-17,45.9951424685781,4,-0.003091471176577598
2013-05-24,44.54699487028297,4,0.028643982320191608
2013-05-31,43.74063995759592,4,-0.03148479427549211
2013-06-07,43.189356496881295,4,-0.01810121906169182
2013-06-14,42.82731959730752,4,-0.012603461249059422
2013-06-21,41.066503767562295,4,-0.008382549056963007
2013-06-28,40.41648297060029,4,-0.04111431316042313
2013-07-05,41.61778722827693,4,-0.015828491284311408
2013-07-12,42.333632916070535,4,0.029723127035830688
2013-07-19,41.634243450984826,4,0.01720047449584783
2013-07-26,43.9052021846749,4,-0.01652089407191437
2013-08-02,44.33306397508029,4,0.05454545454545423
2013-08-09,44.579907315698776,4,0.009745127436282308
2013-08-16,43.881568821168095,4,0.0055679287305121505
2013-08-23,43.68233354842727,4,-0.01566487093805069
2013-08-30,42.66955424532804,4,-0.004540295119182525
2013-09-06,43.50800268477904,4,-0.02318510072215907
2013-09-13,44.221929078767026,4,0.01964980544747097
2013-09-20,44.76982607880429,4,0.016409082236214623
2013-09-27,41.92242197254992,4,0.012389712783930529
2013-10-04,40.16251039667258,4,-0.06360096421286843
2013-10-11,40.57758388154932,4,-0.041980198019801906
2013-10-18,41.142083820981675,4,0.010334849111203193
2013-10-25,42.055245487710465,4,0.013911620294599025
2013-11-01,41.82280433617951,4,0.02219531880548775
2013-11-08,42.030341078617866,4,-0.0055270430319775965
2013-11-15,42.7562705274069,4,0.004962286621674972
2013-11-22,42.94067318406303,4,0.01727155740733055
2013-11-29,42.0940973512326,4,0.004312879827484739
2013-12-06,42.43775684772812,4,-0.019715010735896654
2013-12-13,41.398396419302614,4,0.00816407805655106
2013-12-20,42.077333473354756,4,-0.024491408255974845
2013-12-27,42.95743706194087,4,0.016400080988054233
2014-01-03,42.831707977857135,4,0.020916334661354785
2014-01-10,43.52740890978711,4,-0.0029268292682929076
2014-01-17,46.23477518705674,4,0.016242661448141016
2014-01-24,45.36305353740956,4,0.062199114192181604
2014-01-31,45.270852209081475,4,-0.01885424220449572
2014-02-07,44.600297093968265,4,-0.002032520325203624
2014-02-14,45.84760254918291,4,-0.014812071838548158
2014-02-21,49.028174238941716,4,0.0279663037353024
2014-02-28,50.4239038368412,4,0.06937269372693722
2014-03-07,49.561089176321524,4,0.028467908902691574
2014-03-14,49.79794025960143,4,-0.017111222949169558
2014-03-21,48.87591282826178,4,0.004778972520907976
2014-03-28,48.732110384841825,4,-0.018515372855444023
2014-04-04,49.916365801241376,4,-0.0029421945309797692
2014-04-11,49.442663634681566,4,0.024301336573511412
2014-04-25,49.48495847098154,4,-0.00948991696322632
2014-05-02,49.975578572061366,4,0.0008554319931564081
2014-05-09,50.21242965534128,4,0.009914529914530013
2014-05-16,49.752368348376955,4,0.004739336492891155
2014-05-23,50.997456757506704,4,-0.009162299257817086
2014-05-30,51.04862477432025,4,0.02502571134727427
2014-06-06,50.85248070986832,4,0.0010033444816053283
2014-06-13,50.22993650530343,4,-0.00384229869695929
2014-06-20,52.89920138241038,4,-0.012242159986584067
2014-06-27,53.81169768225207,4,0.05314091680814936
2014-07-11,53.589969609393336,4,0.01724971787844609
2014-07-18,54.12723378593563,4,-0.0041204437400952365
2014-07-25,54.39160187280565,4,0.010025461489497234
2014-08-01,51.747921004105464,4,0.004884197258547385
2014-08-08,52.00376108817322,4,-0.04860457823769215
2014-08-15,52.30396536572625,4,0.004943968358602557
2014-08-22,53.576316922946404,4,0.00577274164928232
2014-08-29,54.64234120061736,4,0.024326101249178
2014-09-05,55.639589718438565,4,0.019897304236200286
2014-09-12,56.11242306740552,4,0.01825047199496521
2014-09-19,57.19564128503891,4,0.008498145859085371
2014-09-26,56.29295943701109,4,0.01930442776160568
2014-10-03,56.456301866654215,4,-0.015782353825341877
2014-10-10,55.14956242950919,4,0.002901649358582725
2014-10-17,53.799838142458064,4,-0.023146033196284277
2014-10-24,56.782986725940475,4,-0.024473889321901865
2014-10-31,57.02370188541456,4,0.055449025247682915
2014-11-07,57.255820074907426,4,0.004239212717638052
2014-11-14,58.30421291102788,4,0.00407055630936215
2014-11-21,58.33019132165214,4,0.018310677145988885
2014-11-28,58.9883110574665,4,0.00044556661220851446
2014-12-05,62.21829344508173,4,0.01128266033254155
2014-12-12,60.22661529722247,4,0.054756312389899975
2014-12-19,62.694564306526345,4,-0.032011134307585065
2014-12-26,60.9540107947015,4,0.040977713874910116
2015-01-02,60.66824827783474,4,-0.0277624309392267
2015-01-09,60.55567516512965,4,-0.004688165932660859
2015-01-16,61.20513543073594,4,-0.0018555523836711885
2015-01-23,62.46075861090807,4,0.010725010725010975
2015-01-30,62.348185498202994,4,0.020514997170344884
