Date,DIS,dayofweek,weekly_ret
2013-01-18,47.594023336891006,4,-0.030848821613330024
2013-01-25,49.449044498664996,4,0.03479636219850568
2013-02-01,49.640002559436,4,0.03897592663354699
2013-02-08,49.703655246359,4,0.003861713865394467
2013-02-15,50.567513140323,4,0.0012822861329788715
2013-02-22,49.330832365807,4,0.017380168313220423
2013-03-01,50.312902392628004,4,-0.024456033087572604
2013-03-08,52.18611003637999,4,0.019907834101370536
2013-03-15,52.358881615173,4,0.03723115850351855
2013-03-22,51.631422336046,4,0.0033106813033689786
2013-04-05,52.468000507042,4,-0.01389371309482268
2013-04-12,55.059574188932,4,0.016202888340961952
2013-04-19,55.97799152883,4,0.04939341421143295
2013-04-26,56.259881999491995,4,0.016680429397193386
2013-05-03,58.924201609295,4,0.005035737491882131
2013-05-10,61.106579446676996,4,0.04735736221108788
2013-05-17,60.542798505353005,4,0.03703703703704897
2013-05-24,59.551635237542,4,-0.009226190476198326
2013-05-31,57.360164159172,4,-0.01637128266747312
2013-06-07,58.969667814241,4,-0.036799511375776195
2013-06-14,58.014877510386,4,0.028059606848451324
2013-06-21,57.041900724554004,4,-0.016191210485747676
2013-06-28,57.423816846096,4,-0.01677115987459954
2013-07-05,58.033063992365,4,0.006695361071262562
2013-07-12,60.906528144917004,4,0.01060965954077675
2013-07-19,59.251558284902,4,0.04951425885302285
2013-07-26,59.087879947099,4,-0.02717229023590495
2013-08-02,60.479145818429004,4,-0.002762430939216576
2013-08-09,58.860548922372,4,0.023545706371181252
2013-08-16,56.532679229165,4,-0.026762892798062543
2013-08-23,56.132576625645,4,-0.03954889541171458
2013-08-30,55.314184936626994,4,-0.007077368505711723
2013-09-06,55.823406432016,4,-0.014579620929856096
2013-09-13,60.642824156233,4,0.009205983889528868
2013-09-20,59.11515967006601,4,0.08633327903567256
2013-09-27,59.27883800787,4,-0.025191183085921165
2013-10-04,59.37886365875,4,0.002768804799268443
2013-10-11,60.206348588757,4,0.001687375364320065
2013-10-18,61.06111324173101,4,0.013935681470136574
2013-10-25,62.979787090429,4,0.014197251170512404
2013-11-01,62.752456065702,4,0.031422189128820444
2013-11-08,62.361446703171,4,-0.0036095870632364413
2013-11-15,63.652686923621,4,-0.006230981017246728
2013-11-22,63.834551743403,4,0.020705745115184193
2013-11-29,64.143721937032,4,0.002857142857146444
2013-12-06,64.980300108028,4,0.00484330484330453
2013-12-13,64.08905018049501,4,0.013042245534446106
2013-12-20,66.648193522951,4,-0.013715694234272768
2013-12-27,68.443276083307,4,0.039931054294745305
2014-01-03,70.063453163423,4,0.026933701657462672
2014-01-10,69.40065344883,4,0.023671822461332592
2014-01-17,68.102670674419,4,-0.00945999211667492
2014-01-24,66.942771173881,4,-0.018702745722243286
2014-01-31,66.841510106374,4,-0.017031630170322942
2014-02-07,69.658408893394,4,-0.0015126512651227886
2014-02-14,72.935585259992,4,0.04214295551577285
2014-02-21,73.764084903233,4,0.04704638562177643
2014-02-28,74.39006241146,4,0.011359333585761577
2014-03-07,75.678839634279,4,0.008486209908903142
2014-03-14,73.708851593684,4,0.017324588541015595
2014-03-21,73.966607038247,4,-0.02603089648460577
2014-03-28,72.71465202179401,4,0.003496940177332597
2014-04-04,74.04025145098001,4,-0.01692594897323907
2014-04-11,70.891952806664,4,0.018230155715916574
2014-04-25,72.015030100835,4,-0.04252144722118367
2014-05-02,73.929784831881,4,0.01584209842877171
2014-05-09,75.439495292898,4,0.026588265371339403
2014-05-16,74.003429244614,4,0.020420869132111497
2014-05-23,76.700655860943,4,-0.019035997559479934
2014-05-30,77.335838920761,4,0.03644731931831813
2014-06-06,77.888172016255,4,0.00828132501199974
2014-06-13,76.221967178182,4,0.007142006903938958
2014-06-20,76.240378281365,4,-0.02139227041719849
2014-06-27,78.523355076073,4,0.00024154589371794266
2014-07-11,79.98703777913299,4,0.029944457860409335
2014-07-18,78.992838207243,4,0.01864009378664444
2014-07-25,79.37947137408901,4,-0.012429508574067438
2014-08-01,78.596999488806,4,0.004894534436547859
2014-08-08,79.950215572766,4,-0.009857358227991608
2014-08-15,82.187164609517,4,0.01721714687279796
2014-08-22,83.301036352097,4,0.027979274611399374
2014-08-29,82.739497705012,4,0.013552867383516132
2014-09-05,83.715286173718,4,-0.00674107636202137
2014-09-12,82.546181121589,4,0.011793502447705606
2014-09-19,83.301036352097,4,-0.013965251814381685
2014-09-26,81.690064823573,4,0.009144641463135761
2014-10-03,81.423103827417,4,-0.01933915349761972
2014-10-10,79.416293580456,4,-0.003267973856215689
2014-10-17,77.170138992113,4,-0.024646693046909585
2014-10-24,81.570392652882,4,-0.028283296626874677
2014-10-31,84.120330443747,4,0.0570201598473048
2014-11-07,82.84996432410999,4,0.03126058006997834
2014-11-14,83.586408451436,4,-0.015101772816816572
2014-11-21,81.892586958587,4,0.008888888888896052
2014-11-28,85.160557773594,4,-0.020264317180622937
2014-12-05,86.31125172253999,4,0.039905575539573634
2014-12-12,85.277229987962,4,0.01351205275105416
2014-12-19,86.582160821749,4,-0.01198014991025742
2014-12-26,88.57684081053699,4,0.015302218821732438
2015-01-02,87.383761191075,4,0.0230380019377725
2015-01-09,87.849807917427,4,-0.01346943070609119
2015-01-16,88.716654828443,4,0.005333333333328749
2015-01-23,88.287891840198,4,0.009867374005311236
2015-01-30,84.783220458028,4,-0.004832948098348888
2015-02-06,95.09217404494301,4,-0.03969594594594572
2015-02-13,97.09617496825899,4,0.12159190853122248
2015-02-20,97.45037048028601,4,0.02107429915703518
2015-02-27,97.012286557515,4,0.0036478832677271367
