Date,TMO,dayofweek,weekly_ret
2013-01-18,67.18659144395261,4,0.03334863087042961
2013-01-25,68.93886421792311,4,0.027387120651369612
2013-02-01,72.39500444061636,4,0.026080691642651033
2013-02-08,72.2110642046747,4,0.05013340822918155
2013-02-15,72.05616716388172,4,-0.002540786306499121
2013-02-22,70.62336953654672,4,-0.0021450596594717597
2013-03-01,72.39500444061636,4,-0.019884455192798467
2013-03-08,74.58292514181713,4,0.025085675119945083
2013-03-15,74.83375352998023,4,0.03022198448783109
2013-03-22,73.67948046840309,4,0.0033630805936635255
2013-04-05,74.84345330360692,4,-0.015424497731691522
2013-04-12,77.2004982948947,4,0.015797788309636518
2013-04-19,77.62728833446945,4,0.031493001555209954
2013-04-26,78.69426343340629,4,0.005528332705113881
2013-05-03,79.70303989058297,4,0.0137448456828686
2013-05-10,81.92428805109695,4,0.012818932577345343
2013-05-17,83.67994707752942,4,0.027869051965437208
2013-05-24,84.6014255720658,4,0.021430262846317882
2013-05-31,85.64900112374924,4,0.011011939260461512
2013-06-07,82.04068533461735,4,0.012382481082320318
2013-06-14,82.70957763262156,4,-0.04212910532276315
2013-06-21,80.73706303447517,4,0.008153177844334447
2013-06-28,82.23345341927589,4,-0.023848684210526216
2013-07-05,83.0010822530373,4,0.018534119629317614
2013-07-12,85.69264158154249,4,0.009334751270235087
2013-07-19,87.04327965613535,4,0.03242800280964642
2013-07-26,88.02467854486828,4,0.015761424197754836
2013-08-02,89.21013066789223,4,0.011274838133511711
2013-08-09,89.85144083280682,4,0.01346727011811466
2013-08-16,88.1218467516735,4,0.007188759394401334
2013-08-23,88.27731588256191,4,-0.019249486319887654
2013-08-30,86.31451810509604,4,0.0017642518469513924
2013-09-06,87.94694397942409,4,-0.02223445239405597
2013-09-13,88.67576954816856,4,0.01891252955082723
2013-09-20,90.99218192358991,4,0.008287105108677695
2013-09-27,90.52500631846294,4,0.02612226978377752
2013-10-04,89.89237268652012,4,-0.005134238956037707
2013-10-11,90.47634219292887,4,-0.006988495860660304
2013-10-18,93.55191492668163,4,0.006496318752706731
2013-10-25,95.19676236973291,4,0.033993115318416756
2013-11-01,95.31355627101469,4,0.01758218893050323
2013-11-08,95.54714407357818,4,0.0012268684183625034
2013-11-15,98.66164810775815,4,0.002450730113346289
2013-11-22,98.79790765925355,4,0.032596516247325846
2013-11-29,98.15554120220392,4,0.001381079214758163
2013-12-06,99.96584667207105,4,-0.006501822480543873
2013-12-13,98.7800588057877,4,0.018443232523549957
2013-12-20,105.82742238547829,4,-0.011861929906653246
2013-12-27,107.87437446256685,4,0.07134399052693885
2014-01-03,107.27003623028357,4,0.01934235976789167
2014-01-10,111.56863559216951,4,-0.0056022408963585235
2014-01-17,112.96251248275837,4,0.040072694229895234
2014-01-24,107.17256232185076,4,0.01249344749257375
2014-01-31,112.23145816951248,4,-0.05125550090603148
2014-02-07,114.79502196129481,4,0.04720327421555259
2014-02-14,120.61421429473226,4,0.022841757859996425
2014-02-21,120.06836040750866,4,0.05069202683196061
2014-02-28,121.3940055621946,4,-0.004525618231776218
2014-03-07,123.47019981181299,4,0.011040753369053524
2014-03-14,119.3068776267013,4,0.01710293881483871
2014-03-21,119.94122912328498,4,-0.03371924716617625
2014-03-28,115.6471574541031,4,0.005316973415133042
2014-04-04,116.9939344776192,4,-0.03580146460537026
2014-04-11,112.9828811684516,4,0.011645569620252871
2014-04-25,111.5385116069995,4,-0.034284284284284094
2014-05-02,111.47019683044434,4,-0.012783968212835783
2014-05-09,113.79289923331999,4,-0.0006124770321113138
2014-05-16,115.0128059575194,4,0.02083698126422684
2014-05-23,112.95360340707082,4,0.010720411663807994
2014-05-30,114.09543610092145,4,-0.017904115400933396
2014-06-06,116.92561970106406,4,0.010108864696733999
2014-06-13,116.4368142222582,4,0.024805405867761587
2014-06-20,116.22184192342556,4,-0.0041804822591965385
2014-06-27,115.59646796318519,4,-0.0018462571332663602
2014-07-11,115.5671535587989,4,-0.005380864301328225
2014-07-18,118.23476435794932,4,-0.00025359256128498764
2014-07-25,122.21175188635307,4,0.02308277669738712
2014-08-01,118.60608014684206,4,0.033636363636363686
2014-08-08,118.39110784800944,4,-0.0295034780522907
2014-08-15,118.77219510503092,4,-0.0018124897017629538
2014-08-22,118.44973665678197,4,0.0032188841201714613
2014-08-29,117.46281837577759,4,-0.002714932126696823
2014-09-05,121.78180728868782,4,-0.008331958422702623
2014-09-12,120.6092073383755,4,0.03676898760502456
2014-09-19,120.57007391613718,4,-0.009628695586136549
2014-09-26,118.73080307093807,4,-0.00032446463335533693
2014-10-03,118.76015313761678,4,-0.015254787406686177
2014-10-10,113.94674220230849,4,0.0002471984179301945
2014-10-17,109.92578306732531,4,-0.04053052145975777
2014-10-24,115.34576204732694,4,-0.03528805701038906
2014-10-31,115.02291131386114,4,0.049305802776788976
2014-11-07,114.07392582458289,4,-0.002798982188295107
2014-11-14,116.17734726989036,4,-0.008250404014629509
2014-11-21,123.79858125079521,4,0.01843910806174942
2014-11-28,126.48900402967683,4,0.06560000000000032
2014-12-05,125.75525236270911,4,0.02173225857436356
2014-12-12,122.42690801541019,4,-0.0058009126769277275
2014-12-19,125.81595595311177,4,-0.026466841621049397
2014-12-26,125.05195092669352,4,0.027682214577166242
2015-01-02,125.49272305731944,4,-0.006072401712728492
2015-01-09,127.08929766380889,4,0.0035247121485078026
2015-01-16,122.72075610249416,4,0.012722447705276085
2015-01-23,122.30936878057665,4,-0.03437379576107891
2015-01-30,122.6423966126051,4,-0.0033522228430040713
