Date,MDT,dayofweek,weekly_ret
2013-01-18,38.87104491241761,4,0.03305203938115309
2013-01-25,39.50939139116325,4,0.0363058770138418
2013-02-01,39.934955710327,4,0.01642215896649879
2013-02-08,40.08815886522596,4,0.010771219302024848
2013-02-15,40.1051814379925,4,0.0038363171355499937
2013-02-22,38.06247270600647,4,0.000424628450105935
2013-03-01,38.496548311553504,4,-0.0509337860780984
2013-03-08,38.81146590773469,4,0.011404293381037656
2013-03-15,38.658262752835725,4,0.00818041123148383
2013-03-22,39.14340607668242,4,-0.003947368421053032
2013-04-05,39.60804411508678,4,0.012549537648613107
2013-04-12,40.3954123213504,4,0.011870148384484747
2013-04-19,39.39408536338472,4,0.01987899740708765
2013-04-26,39.676510915631454,4,-0.02478813559322046
2013-05-03,40.84044652489069,4,0.007169237453834576
2013-05-10,42.08140728476269,4,0.029335634167385383
2013-05-17,42.654816739324225,4,0.0303855825649626
2013-05-24,43.93001089946856,4,0.013626194834248428
2013-05-31,43.656143697289906,4,0.029895666131621423
2013-06-07,44.571887154574746,4,-0.0062341710500684044
2013-06-14,45.290788560293706,4,0.020976279160948685
2013-06-21,44.92277950736615,4,0.016129032258064724
2013-06-28,44.04982780042172,4,-0.008125472411186663
2013-07-05,45.09672165408861,4,-0.019432272813869278
2013-07-12,45.982995710637205,4,0.023766128176711643
2013-07-19,47.34252290417775,4,0.01965273802709433
2013-07-26,47.841589848641995,4,0.02956586826347296
2013-08-02,47.27368608425164,4,0.010541621228643994
2013-08-09,47.64368399135446,4,-0.011870503597122273
2013-08-16,46.387412027703064,4,0.007826720058245584
2013-08-23,45.38067353628379,4,-0.026368069351634493
2013-08-30,44.52881788969826,4,-0.02170283806343931
2013-09-06,46.00020491561872,4,-0.018771331058020424
2013-09-13,46.10346014550788,4,0.03304347826086951
2013-09-20,46.215319977887795,4,0.00224466891133579
2013-09-27,45.604393201043635,4,0.002426278462112519
2013-10-04,46.14571787567739,4,-0.013219139824985793
2013-10-11,47.56425540737583,4,0.011870011563301919
2013-10-18,48.948194462691355,4,0.03074039362699188
2013-10-25,49.614215133061954,4,0.0290961993089649
2013-11-01,49.52771894210474,4,0.01360664428344216
2013-11-08,50.19373961247535,4,-0.0017433751743373138
2013-11-15,50.64351980545288,4,0.01344743276283622
2013-11-22,49.82180599135929,4,0.008960882302257112
2013-11-29,49.579616656679065,4,-0.016225448334756476
2013-12-06,50.28888542252829,4,-0.004861111111111316
2013-12-13,48.34272112599081,4,0.01430565247732063
2013-12-20,49.20768303556302,4,-0.03869969040247678
2013-12-27,49.648813609444844,4,0.017892288423689395
2014-01-03,50.70807619763395,4,0.008964668658815178
2014-01-10,52.10745917120595,4,0.021335103725169446
2014-01-17,51.72501910389435,4,0.027596846074734227
2014-01-24,49.68244147166192,4,-0.007339449541284404
2014-01-31,49.16093228896428,4,-0.03948916148546466
2014-02-07,48.317825776936424,4,-0.010496850944716418
2014-02-14,49.43907051973635,4,-0.01714992927864223
2014-02-21,49.64767419281541,4,0.02320561252023734
2014-02-28,51.50772361110366,4,0.0042194092827005925
2014-03-07,52.07269189235944,4,0.037464985994397626
2014-03-14,51.16005082263857,4,0.01096861289233897
2014-03-21,51.13397536350369,4,-0.017526289434151243
2014-03-28,52.507282877940796,4,-0.0005096839959224386
2014-04-04,53.75776399213357,4,0.02685704572496994
2014-04-11,51.68847861514224,4,0.02381538418393614
2014-04-25,50.82409358424712,4,-0.0384927724541172
2014-05-02,51.31303865222819,4,-0.016722972972972983
2014-05-09,52.53540132218088,4,0.009620340147740603
2014-05-16,52.72748688460202,4,0.023821677726731494
2014-05-23,52.325853435903284,4,0.00365630712979903
2014-05-30,53.286281248008954,4,-0.007617155158138766
2014-06-06,54.54356856567458,4,0.01835474720507224
2014-06-13,52.99815290437726,4,0.023594953301655064
2014-06-20,55.75720007369904,4,-0.02833360012806141
2014-06-27,55.984210283833114,4,0.0520593080724876
2014-07-11,55.9618823625416,4,0.004071406201064942
2014-07-18,54.70736767719226,4,-0.00039882533268420506
2014-07-25,55.181100495436056,4,-0.022417306787897773
2014-08-01,53.935358640054204,4,0.00865939704939045
2014-08-08,54.523138247875224,4,-0.02257551669316349
2014-08-15,55.48814954429779,4,0.010897852960312315
2014-08-22,55.78642576319204,4,0.017699115044247815
2014-08-29,56.01451934234647,4,0.005375494071146347
2014-09-05,56.41806952085045,4,0.004088693190753334
2014-09-12,57.19007855798851,4,0.007204385277995273
2014-09-19,58.09368004463873,4,0.013683719483750467
2014-09-26,55.5671050140051,4,0.015799969320447804
2014-10-03,57.31943391479406,4,-0.04349139232860144
2014-10-10,56.51720867852118,4,0.03153536431936321
2014-10-17,54.64828834786349,4,-0.013995693632728456
2014-10-24,58.67704585310202,4,-0.03306816409296509
2014-10-31,60.087551763032344,4,0.07372156799483798
2014-11-07,60.03465779140996,4,0.02403846153846123
2014-11-14,60.783989056060456,4,-0.0008802816901407606
2014-11-21,63.90473338178132,4,0.012481644640234935
2014-11-28,65.12129472909622,4,0.051341551849166
2014-12-05,66.15272717573279,4,0.019037108566698713
2014-12-12,63.9311803675925,4,0.015838635440639237
2014-12-19,65.78246937437609,4,-0.03358208955223896
2014-12-26,64.89208751873255,4,0.028957528957529233
2015-01-02,63.63147681696518,4,-0.013535245242562555
2015-01-09,65.86229653842808,4,-0.01942626212176435
2015-01-16,64.41049322763477,4,0.03505843071786341
2015-01-23,68.11967363752743,4,-0.02204301075268822
2015-01-30,63.20655877478178,4,0.05758658603628364
2015-02-06,65.92426375291315,4,-0.0721247563352827
