Date,XOM,dayofweek,weekly_ret
2013-01-18,64.45524463696974,4,0.007306654676259239
2013-01-25,65.11541399283297,4,0.013279767883048743
2013-02-01,63.91575139992022,4,0.010242290748898597
2013-02-08,63.30692278483698,4,-0.01842363457974472
2013-02-15,63.12831167213854,4,-0.009525486312032982
2013-02-22,63.72844501080532,4,-0.002821351991874388
2013-03-01,63.892767234487884,4,0.009506564056134259
2013-03-08,63.56412278712275,4,0.0025784753363227164
2013-03-15,63.849900567440265,4,-0.005143687800514329
2013-03-22,63.79274501137677,4,0.004495897493537182
2013-04-05,63.592700565154495,4,-0.000895154973704626
2013-04-12,63.57841167613862,4,-0.0031358494792252944
2013-04-19,62.4781672219162,4,-0.00022469385462298153
2013-04-26,62.87111166985278,4,-0.017305315203955396
2013-05-03,64.31428946045622,4,0.0062893081761006275
2013-05-10,64.84572217234525,4,0.02295454545454545
2013-05-17,66.01113231123142,4,0.008263058122033318
2013-05-24,65.84567284706857,4,0.01797204348790782
2013-05-31,65.08312053397022,4,-0.0025065387968613573
2013-06-07,65.78812172909889,4,-0.011580902436359564
2013-06-14,65.16225332117853,4,0.01083232010611268
2013-06-21,64.37092544909534,4,-0.009513395297977234
2013-06-28,64.99679385701567,4,-0.012143961139324144
2013-07-05,65.8744484060534,4,0.009722843093428413
2013-07-12,67.19093022961002,4,0.01350304371887101
2013-07-19,68.46424871468935,4,0.01998471114994027
2013-07-26,68.19088090433333,4,0.018950749464668126
2013-08-02,66.14781621640942,4,-0.003992854891247344
2013-08-09,65.71618283163677,4,-0.02996096634666101
2013-08-16,63.680661736432846,4,-0.006525285481239762
2013-08-23,63.39815169119103,4,-0.030974426807760302
2013-08-30,63.137373187890866,4,-0.00443635536343967
2013-09-06,63.20256781371592,4,-0.004113345521024048
2013-09-13,64.0356102548136,4,0.0010325837540159366
2013-09-20,64.22395028497482,4,0.013180515759312117
2013-09-27,62.94903315772967,4,0.002941176470588225
2013-10-04,62.528890013523856,4,-0.019851116625310028
2013-10-11,62.98525239429914,4,-0.0066743383199083794
2013-10-18,63.41988323313271,4,0.007298424467099496
2013-10-25,63.72412482031621,4,0.006900517538815265
2013-11-01,65.0642365733864,4,0.004797258709309027
2013-11-08,67.63237973861146,4,0.02102989655564369
2013-11-15,69.48492200687495,4,0.039470887548621825
2013-11-22,69.29529169595034,4,0.027391351234767658
2013-11-29,68.17939025089399,4,-0.002729085756271732
2013-12-06,69.76207399976478,4,-0.016103568045468863
2013-12-13,69.51409590086335,4,0.023213521608900667
2013-12-20,71.97199646938617,4,-0.0035546262415057095
2013-12-27,74.03604946906556,4,0.035358304480117564
2014-01-03,72.5773547696455,4,0.028678556951763134
2014-01-10,73.31399559285262,4,-0.019702492365284208
2014-01-17,72.32208319724698,4,0.010149733695105967
2014-01-24,69.17859611999673,4,-0.013529645841623417
2014-01-31,67.21665174927675,4,-0.04346510689794281
2014-02-07,66.5277628727053,4,-0.028360569319978657
2014-02-14,69.120421328663,4,-0.01024878298224463
2014-02-21,69.79612834834604,4,0.03897107529255894
2014-02-28,70.70686389661445,4,0.009775794283285677
2014-03-07,69.76674978227287,4,0.01304851099652704
2014-03-14,68.65036427149221,4,-0.013295938506284077
2014-03-21,69.2673141590289,4,-0.01600168438783034
2014-03-28,71.75714763373048,4,0.00898684069755018
2014-04-04,71.50742982210849,4,0.03594528682006115
2014-04-11,71.0373727649377,4,-0.0034800409416582134
2014-04-25,73.74754548518811,4,-0.006573541495480506
2014-05-02,74.92268812811513,4,0.03815136476426795
2014-05-09,75.38540054376763,4,0.015934667861766894
2014-05-16,74.4906841665439,4,0.0061758651112635565
2014-05-23,74.91955647959328,4,-0.011868563021088852
2014-05-30,74.33540281181912,4,0.005757395274965216
2014-06-06,75.12659828589298,4,-0.00779707856296874
2014-06-13,75.90300505951689,4,0.01064358897841422
2014-06-20,76.77553838606565,4,0.010334645669291431
2014-06-27,74.83821862711841,4,0.011495372625426326
2014-07-11,75.23011918904284,4,-0.02523355484927281
2014-07-18,75.96215986131679,4,0.005236636695978403
2014-07-25,76.29490562144133,4,0.00973068606251215
2014-08-01,73.05618022289593,4,0.004380414679256539
2014-08-08,73.75124914404495,4,-0.0424500872262068
2014-08-15,73.73801076314992,4,0.009514170040485936
2014-08-22,73.3433713033451,4,-0.00017950042946635048
2014-08-29,74.05818994751981,4,-0.005351913561547295
2014-09-05,73.90926939665009,4,0.009746192893400618
2014-09-12,71.31805181151668,4,-0.0020108586366376358
2014-09-19,72.3158195023439,4,-0.03505943985492643
2014-09-26,71.05744084749466,4,0.013990394654416205
2014-10-03,69.93309068842814,4,-0.017401153212520115
2014-10-10,68.20561229833919,4,-0.01582311642041312
2014-10-17,67.9152172241432,4,-0.02470187393526413
2014-10-24,70.35751425840688,4,-0.004257641921397326
2014-10-31,72.01053237306095,4,0.03596096919197467
2014-11-07,72.4349559430397,4,0.023494549687797628
2014-11-14,71.31007309890926,4,0.005893909626718985
2014-11-21,72.59993876017883,4,-0.015529557925251014
2014-11-28,67.89792847171357,4,0.018088127037543256
2014-12-05,70.35767229087881,4,-0.06476603656647051
2014-12-12,64.94323620113093,4,0.03622708195272817
2014-12-19,70.22268634958316,4,-0.07695587294819883
2014-12-26,69.90021993426576,4,0.08129330254041589
2015-01-02,69.61524961375271,4,-0.004592054677488244
2015-01-09,69.06780662960922,4,-0.004076815792297128
2015-01-16,68.33288317144401,4,-0.007863837121620199
2015-01-23,68.160401135344,4,-0.010640608034744647
2015-01-30,65.55817215592225,4,-0.002524143985952687
