Date,MRK,dayofweek,weekly_ret
2013-01-18,33.17451971768711,4,0.030021443888491817
2013-01-25,33.545012259904176,4,-0.0057830210501966794
2013-02-01,32.28688133529204,4,0.011167985109352907
2013-02-08,31.785172684373087,4,-0.037505752416014615
2013-02-15,31.970418955481623,4,-0.015539086779822964
2013-02-22,33.16680112305759,4,0.005828071879553143
2013-03-01,32.90436890565383,4,0.0374215354901013
2013-03-08,33.16680112305759,4,-0.00791249709099362
2013-03-15,34.35946160898891,4,0.007975604034717199
2013-03-22,34.211394072003024,4,0.03595946686284979
2013-04-05,35.1699365482801,4,-0.004309367203447323
2013-04-12,36.71295614423832,4,0.028018223234623996
2013-04-19,37.0090912182101,4,0.0438732550409926
2013-04-26,37.305226292181885,4,0.008066227977074902
2013-05-03,35.59076007445052,4,0.008001684565171585
2013-05-10,35.808964865798146,4,-0.045957802381449864
2013-05-17,35.840136978847816,4,0.00613093934749287
2013-05-24,36.75192128555039,4,0.0008705114254627944
2013-05-31,36.393441985479285,4,0.025440313111545487
2013-06-07,37.55460319657917,4,-0.009754028837998363
2013-06-14,37.70302052502152,4,0.031905781584582904
2013-06-21,36.956036802419426,4,0.0039520409166742265
2013-06-28,36.52357254196558,4,-0.019812304483837306
2013-07-05,37.08184458727872,4,-0.011702127659574568
2013-07-12,38.166936731690186,4,0.015285252960172135
2013-07-19,37.57721274016221,4,0.029262086513994978
2013-07-26,38.127621798921645,4,-0.015451174289246139
2013-08-02,38.166936731690186,4,0.014647415777359285
2013-08-09,38.04899193338459,4,0.0010311404413283487
2013-08-16,37.50644586117886,4,-0.0030902348578492056
2013-08-23,37.530034820839965,4,-0.014259144451332917
2013-08-30,37.184063412476895,4,0.0006289308176097297
2013-09-06,37.34132314355103,4,-0.009218520846427714
2013-09-13,37.91489720156807,4,0.004229223937407767
2013-09-20,38.08943742722918,4,0.01536030353857698
2013-09-27,37.91489720156807,4,0.00460347353002688
2013-10-04,38.263977652890304,4,-0.004582378671109888
2013-10-11,37.51821487052006,4,0.009206947060054205
2013-10-18,36.978726900294774,4,-0.019489944018245886
2013-10-25,36.923191373948065,4,-0.01437936138718554
2013-11-01,35.88388366660229,4,-0.0015018236429947818
2013-11-08,37.129466186093005,4,-0.028147829823807813
2013-11-15,38.137039306954954,4,0.03471147468494329
2013-11-22,38.827266562978465,4,0.027136752136752706
2013-11-29,39.5333611122439,4,0.018098606199292266
2013-12-06,39.18428066092167,4,0.018185533306088963
2013-12-13,38.73249626435226,4,-0.0088300220750549
2013-12-20,39.48504993298581,4,-0.011529735622274107
2013-12-27,39.861326767302586,4,0.019429516329061647
2014-01-03,39.81329142675151,4,0.009529602595296005
2014-01-10,39.93337977812921,4,-0.001205061257280482
2014-01-17,41.59059902714139,4,0.0030162879549568977
2014-01-24,41.61461669741692,4,0.041499599037690516
2014-01-31,42.4071998165097,4,0.0005774783445620102
2014-02-07,43.84826003304203,4,0.019045786841092704
2014-02-14,44.384654669195726,4,0.03398149896167646
2014-02-21,44.85700218461466,4,0.012232974255979467
2014-02-28,45.6255676334319,4,0.010642135642135786
2014-03-07,46.00985035784052,4,0.017133678386578532
2014-03-14,44.944498713843934,4,0.008422530268468176
2014-03-21,44.10531956371112,4,-0.023154860007386202
2014-03-28,45.170431561956605,4,-0.018671454219030492
2014-04-04,45.28339798601296,4,0.02414928649835324
2014-04-11,45.12201738021818,4,0.0025008931761345554
2014-04-25,46.18712937846368,4,-0.0035637918745545782
2014-05-02,46.977894346858065,4,0.02360515021459242
2014-05-09,44.54911622964674,4,0.01712089447938503
2014-05-16,45.08167222876949,4,-0.05170044658193074
2014-05-23,45.840161076004925,4,0.011954356094910468
2014-05-30,46.68740925642747,4,0.01682477179165942
2014-06-06,46.679340226137725,4,0.01848266150325628
2014-06-13,47.34870435013517,4,-0.00017283097131026715
2014-06-20,47.90153949708044,4,0.014339622641509342
2014-06-27,46.771479417295275,4,0.011675824175824356
2014-07-11,47.511302922766134,4,-0.023591310251188102
2014-07-18,47.43000363645065,4,0.01581783417347471
2014-07-25,47.27553499245124,4,-0.0017111567419576534
2014-08-01,46.17799462719228,4,-0.0032567706547822484
2014-08-08,45.97474641140357,4,-0.02321582115219245
2014-08-15,47.64951170950244,4,-0.004401408450704358
2014-08-22,48.10478771286913,4,0.03642793987621551
2014-08-29,48.869001004234626,4,0.009554683501109107
2014-09-05,49.73890336781026,4,0.015886428933580943
2014-09-12,48.768168245466654,4,0.01780069871901513
2014-09-19,49.53797644279224,4,-0.019516616905788875
2014-09-26,48.63713706294315,4,0.015785054575986557
2014-10-03,49.05479895723683,4,-0.018184823937841044
2014-10-10,48.03930729267965,4,0.008587304259976669
2014-10-17,44.23940299949804,4,-0.020701168614357668
2014-10-24,47.17941515736918,4,-0.0790998977156494
2014-10-31,47.44966697132389,4,0.06645686782673121
2014-11-07,48.59618981840456,4,0.005728172192327463
2014-11-14,48.37507469789614,4,0.024162927166033965
2014-11-21,48.85825218345157,4,-0.004550050556117458
2014-11-28,49.46427140262278,4,0.009988149652954359
2014-12-05,50.35692133356414,4,0.012403620516258762
2014-12-12,47.627963446431075,4,0.018046357615893793
2014-12-19,49.16275228929944,4,-0.05419230991220558
2014-12-26,47.677472763942966,4,0.032224532224532254
2015-01-02,47.190631141742784,4,-0.030211480362537735
2015-01-09,51.62171505905629,4,-0.010211145725164461
2015-01-16,52.0095380462327,4,0.09389753453400962
2015-01-23,51.56395418862574,4,0.007512787723785053
2015-01-30,49.740360993604746,4,-0.008567348881485248
