Date,AMGN,dayofweek,weekly_ret
2013-01-18,67.40546269930685,4,-0.02270173072600601
2013-01-25,68.50589301140567,4,-0.05611775528978813
2013-02-01,70.87099696576732,4,0.016325536062378188
2013-02-08,71.25696879165272,4,0.034524094941261074
2013-02-15,69.04194189011423,4,0.0054461181923521895
2013-02-22,71.69263718334787,4,-0.03108505650885851
2013-03-01,76.44902499924379,4,0.038392536777897
2013-03-08,76.79584494415289,4,0.06634416033172075
2013-03-15,75.81153691002999,4,0.00453661697990948
2013-03-22,79.73555685814412,4,-0.012817204301075247
2013-04-05,85.91225492462006,4,0.05176019518996178
2013-04-12,92.1302410797757,4,0.07746478873239404
2013-04-19,91.97334634279301,4,0.07237600922722076
2013-04-26,89.49606102201386,4,-0.0017029667473337229
2013-05-03,87.9271136521871,4,-0.026934817741066874
2013-05-10,88.12529647784943,4,-0.017530909761948488
2013-05-17,87.60501836427332,4,0.002253944402704766
2013-05-24,87.83723842620647,4,-0.0059038452563604515
2013-05-31,83.37529580763419,4,0.0026507620941023102
2013-06-07,81.94880114147351,4,-0.050797847228779114
2013-06-14,80.79599440544834,4,-0.017109320600815936
2013-06-21,81.51090045325677,4,-0.014067402084809055
2013-06-28,81.82439753686648,4,0.008848285772941944
2013-07-05,80.97845302553867,4,0.0038460755784375245
2013-07-12,86.47709234916955,4,-0.010338536387593522
2013-07-19,90.72340205308966,4,0.06790249897582923
2013-07-26,90.89756709953951,4,0.04910328953677956
2013-08-02,90.44971412295419,4,0.001919736721821108
2013-08-09,90.92244782046092,4,-0.004927007299270092
2013-08-16,87.39135540667583,4,0.005226480836237002
2013-08-23,87.96613412396309,4,-0.03883631048690772
2013-08-30,90.74839632068694,4,0.006577066056620007
2013-09-06,92.47273247254871,4,0.03162878787878798
2013-09-13,95.84643363923479,4,0.019001285111070354
2013-09-20,97.33919227891418,4,0.036483199711737635
2013-09-27,94.28870001412294,4,0.015574482878498497
2013-10-04,94.05545647667304,4,-0.03133878752610164
2013-10-11,92.37277095649875,4,-0.0024737167594309772
2013-10-18,95.72814584524237,4,-0.017890355150119497
2013-10-25,96.89602955775936,4,0.03632428532780252
2013-11-01,98.8686034744785,4,0.012200003480742572
2013-11-08,94.30536026679796,4,0.02035763411279201
2013-11-15,96.17919376894308,4,-0.046154623887839974
2013-11-22,94.5480455009883,4,0.019869851478684586
2013-11-29,95.42635610681008,4,-0.016959471212384947
2013-12-06,95.45981555846045,4,0.009289569140935816
2013-12-13,93.82030242759308,4,0.00035063113604505425
2013-12-20,95.38453179224716,4,-0.017174903610234993
2013-12-27,96.2963018497193,4,0.01667261055634839
2014-01-03,95.75258576040103,4,0.009558888011926614
2014-01-10,98.6970175056322,4,-0.005646282140375325
2014-01-17,99.66734160349249,4,0.03075041495588371
2014-01-24,99.78444968426872,4,0.009831341639122027
2014-01-31,99.50004434524072,4,0.001174989509022284
2014-02-07,99.45822003067775,4,-0.002850196998910093
2014-02-14,104.11166143527012,4,-0.0004203446826400725
2014-02-21,104.1200683846754,4,0.04678790152444945
2014-02-28,104.26298652456556,4,8.074935400492755e-05
2014-03-07,102.78336342923227,4,0.0013726281792492134
2014-03-14,103.01875801258076,4,-0.01419125947427835
2014-03-21,103.34662903938757,4,0.0022902012105350256
2014-03-28,101.34577508092548,4,0.0031826342418801445
2014-04-04,100.13517436656187,4,-0.019360611730253163
2014-04-11,94.10739164295977,4,-0.01194525093322274
2014-04-25,93.6618233244787,4,-0.06019645705650223
2014-05-02,94.51092521441429,4,-0.004734679292478283
2014-05-09,93.72277370766716,4,0.00906561349968582
2014-05-16,94.62544514807848,4,-0.008339263476249692
2014-05-23,96.64576687314468,4,0.009631292424473692
2014-05-30,98.04900288302326,4,0.02135072360192991
2014-06-06,99.59594378547979,4,0.014519373742674535
2014-06-13,98.08281579892395,4,0.01577722217432531
2014-06-20,102.25871091265905,4,-0.015192666779833663
2014-06-27,100.24684241656807,4,0.042575196069981835
2014-07-11,101.24432343563836,4,-0.019674299413077412
2014-07-18,100.00169877628805,4,0.009950248756218638
2014-07-25,103.83946473101628,4,-0.012273524254821644
2014-08-01,106.13028978328795,4,0.03837700760777696
2014-08-08,107.31374183981207,4,0.022061217844350223
2014-08-15,112.80097956547847,4,0.011150935882118684
2014-08-22,112.8179676648106,4,0.05113266606486655
2014-08-29,118.39006424575592,4,0.00015060240963826743
2014-09-05,117.11595679584462,4,0.049390152085529326
2014-09-12,117.12445084551071,4,-0.010761945759793501
2014-09-19,122.32280924114872,4,7.252683492908751e-05
2014-09-26,119.81706458965657,4,0.044383204003190846
2014-10-03,118.1947011034362,4,-0.020484688563293996
2014-10-10,116.69974836220696,4,-0.013540337445058892
2014-10-17,113.55694998575916,4,-0.012648221343873556
2014-10-24,125.08337538262316,4,-0.026930635417424686
2014-10-31,137.75649748440736,4,0.10150347819582595
2014-11-07,136.11714589885486,4,0.10131739779981008
2014-11-14,134.4351245909992,4,-0.011900357627327662
2014-11-21,138.80887008282966,4,-0.01235715968585993
2014-11-28,140.94032500087567,4,0.03253424657534243
2014-12-05,144.29097213204403,4,0.015355322154658735
2014-12-12,140.27531106644528,4,0.023773516423688745
2014-12-19,145.08387336155715,4,-0.027830300165445743
2014-12-26,139.36304836152163,4,0.03427946271196758
2015-01-02,136.31933073855188,4,-0.03943115707821576
2015-01-09,132.77258975492327,4,-0.02184020555487598
2015-01-16,135.07456106641305,4,-0.026017887297517195
2015-01-23,136.25112418117442,4,0.017337699865151768
2015-01-30,129.8141303286754,4,0.008710471501609307
