Date,V,dayofweek,weekly_ret
2013-01-18,37.41251456966753,4,0.02800280665943733
2013-01-25,37.783637637048436,4,-0.01793248945147652
2013-02-01,37.48106596427929,4,0.00991975737663453
2013-02-08,37.301414033572605,4,-0.008008008008007717
2013-02-15,37.42595671137987,4,-0.004793138244197692
2013-02-22,37.76707562817453,4,0.003338819211925026
2013-03-01,37.44727664367954,4,0.009114500917779988
2013-03-08,38.06081691763658,4,-0.008467666060340218
2013-03-15,37.55861406791112,4,0.016384109311740724
2013-03-22,37.92342179837207,4,-0.013194746996950224
2013-04-05,39.12444465125324,4,0.009713024282560712
2013-04-12,39.26420865188438,4,0.03166968580173668
2013-04-19,38.84017888725771,4,0.0035722935335431583
2013-04-26,39.61480309414554,4,-0.01079939668174934
2013-05-03,42.530896056466496,4,0.019943888753354067
2013-05-10,42.34375442850276,4,0.07361119416372675
2013-05-17,43.80182502074669,4,-0.004400133674947071
2013-05-24,42.824073928556864,4,0.034434135846547864
2013-05-31,42.27586882589704,4,-0.02232215419623995
2013-06-07,42.70304163316443,4,-0.012801330008312295
2013-06-14,42.937986677161504,4,0.010104412260020013
2013-06-21,42.598621613610185,4,0.0055018339446482045
2013-06-28,43.369905848954104,4,-0.007903609130602951
2013-07-05,45.27794438808182,4,0.018105849582172873
2013-07-12,45.26133211224364,4,0.04399452804377546
2013-07-19,45.07147753123591,4,-0.00036689553959856624
2013-07-26,45.849881313367604,4,-0.004194630872483285
2013-08-02,43.666553631778676,4,0.017270429654591135
2013-08-09,42.67219026375068,4,-0.04761904761904745
2013-08-16,41.162927380231096,4,-0.02277173913043462
2013-08-23,42.58233866920458,4,-0.03536877001604666
2013-08-30,41.469634342170075,4,0.034482758620689724
2013-09-06,42.00458834555205,4,-0.026130653266332016
2013-09-13,44.93613628408523,4,0.012899896800825816
2013-09-20,47.273290885527345,4,0.06979113601630149
2013-09-27,45.899053490172776,4,0.052010582010582285
2013-10-04,45.288017139643145,4,-0.029070059850123342
2013-10-11,45.69695975556181,4,-0.013312613312613464
2013-10-18,47.658457767962354,4,0.009029819403612027
2013-10-25,48.27900441188543,4,0.04292403746097828
2013-11-01,47.35175080602336,4,0.013020703417310875
2013-11-08,47.144901924715654,4,-0.01920614596670922
2013-11-15,48.123141375945615,4,-0.00436834705764233
2013-11-22,48.15172938072342,4,0.020749633816018687
2013-11-29,48.470962100742064,4,0.0005940594059408166
2013-12-06,48.09217103743635,4,0.006629724915891533
2013-12-13,49.40007225602022,4,-0.007814803892657096
2013-12-20,51.45126159882662,4,0.027195720017833436
2013-12-27,52.33272507947514,4,0.0415219907407407
2014-01-03,52.687692805466,4,0.017132009075334853
2014-01-10,52.68054580427157,4,0.006782901625164595
2014-01-17,55.31302457755968,4,-0.00013564839934865347
2014-01-24,52.709133809049355,4,0.04997060552616106
2014-01-31,51.32261557732657,4,-0.04707554483590315
2014-02-07,52.83539749681793,4,-0.02630508474576254
2014-02-14,53.936813603005504,4,0.029475931857215754
2014-02-21,53.30675524941289,4,0.02084617809970868
2014-02-28,53.92249409496932,4,-0.011681415929203243
2014-03-07,53.83180387740674,4,0.011550859598853824
2014-03-14,52.68862981918375,4,-0.0016818624413562633
2014-03-21,53.30914183408558,4,-0.021236034757935784
2014-03-28,50.617074323280704,4,0.01177696244960802
2014-04-04,49.56936365196567,4,-0.05049917177776786
2014-04-11,46.927414419287494,4,-0.020698759960394386
2014-04-25,47.47632889400835,4,-0.05329802599903688
2014-05-02,48.78656387932029,4,0.011697096068758572
2014-05-09,50.31159148517519,4,0.027597647413662996
2014-05-16,50.16837366027237,4,0.03125917229233943
2014-05-23,50.7087698495494,4,-0.0028466168665132185
2014-05-30,51.368722717870035,4,0.010771650540965405
2014-06-06,50.931145272570475,4,0.013014570660631053
2014-06-13,50.52226143024139,4,-0.008518363357073233
2014-06-20,50.09185738568446,4,-0.00802816901408443
2014-06-27,50.041643580486145,4,-0.008519096975720508
2014-07-11,51.88759870491922,4,-0.0010024344837463728
2014-07-18,52.65276145079822,4,0.036888379204893074
2014-07-25,51.35437591638479,4,0.014746543778801913
2014-08-01,50.64660037644674,4,-0.024659400544959298
2014-08-08,50.32379734302904,4,-0.013782185593890772
2014-08-15,50.354321136357505,4,-0.006373636749917311
2014-08-22,51.767758953116186,4,0.0006065478946351011
2014-08-29,50.912509291111355,4,0.028069841571910947
2014-09-05,51.31737537760665,4,-0.01652089407191437
2014-09-12,51.27664920322546,4,0.007952192734801633
2014-09-19,51.806089470180844,4,-0.0007936137435229362
2014-09-26,50.77356116675203,4,0.010325172864885213
2014-10-03,50.78553945333474,4,-0.019930635838150357
2014-10-10,49.10618367444008,4,0.00023591582523385668
2014-10-17,49.350540720727174,4,-0.033067597528185555
2014-10-24,51.14249239349921,4,0.004976095228802713
2014-10-31,57.83835459322895,4,0.036310679611650576
2014-11-07,60.47357764142312,4,0.13092561364062227
2014-11-14,59.72710879258475,4,0.04556186058070666
2014-11-21,61.01842789443375,4,-0.012343718991863484
2014-11-28,61.97131578185764,4,0.021620318276804218
2014-12-05,63.20983001337082,4,0.015616395248210235
2014-12-12,61.63288456743253,4,0.019985282156551598
2014-12-19,62.80659282171536,4,-0.02494778811467646
2014-12-26,63.994702404271614,4,0.01904353921645008
2015-01-02,63.610666983647356,4,0.018916956471892288
2015-01-09,62.53296758452058,4,-0.006001050183782497
2015-01-16,61.193644055093564,4,-0.016942117576032145
2015-01-23,61.99531799564666,4,-0.021417878939085422
2015-01-30,61.184043169577954,4,0.013100607962345467
