Date,NFLX,dayofweek,weekly_ret
2013-01-18,14.167142857142998,4,0.055324025838683566
2013-01-25,24.222857142857,4,-0.020930002961783156
2013-02-01,23.542857142857,4,0.7097912675203923
2013-02-08,25.852857142856998,4,-0.028072658645907245
2013-02-15,27.073142857143,4,0.0981189320388356
2013-02-22,25.694285714286,4,0.04720119356800612
2013-03-01,27.052857142856997,4,-0.050930811769170026
2013-03-08,26.385714285714002,4,0.05287445791169176
2013-03-15,26.407142857143,4,-0.024660717114648567
2013-03-22,25.9,4,0.00081212777478612
2013-04-05,23.522857142857,4,-0.019204760616721606
2013-04-12,24.742857142856998,4,-0.09178157749586868
2013-04-19,23.338571428571,4,0.05186444795335876
2013-04-26,30.792857142857,4,-0.0567551963048617
2013-05-03,30.492857142856998,4,0.31939768623372067
2013-05-10,31.099142857143,4,-0.009742519137091232
2013-05-17,34.142857142857,4,0.019882876551895245
2013-05-24,32.677142857143004,4,0.09787132396849652
2013-05-31,32.321428571429,4,-0.04292887029287862
2013-06-07,31.46,4,-0.010885721780178326
2013-06-14,30.57,4,-0.026651933701670405
2013-06-21,30.985714285714003,4,-0.028289891926255528
2013-06-28,30.155714285714,4,0.013598766297481246
2013-07-05,32.157142857143,4,-0.026786537574919667
2013-07-12,36.751571428571,4,0.066369794874239
2013-07-19,37.796571428571,4,0.1428742780986043
2013-07-26,35.187142857143,4,0.028434158306156476
2013-08-02,35.168571428571,4,-0.06903876390903252
2013-08-09,36.107142857143,4,-0.0005277901831188814
2013-08-16,36.981428571429,4,0.026687789422390473
2013-08-23,39.765714285714004,4,0.02421364985163965
2013-08-30,40.558571428571,4,0.07528875497351883
2013-09-06,41.648571428571,4,0.01993820951285752
2013-09-13,43.664285714286,4,0.02687471381775941
2013-09-20,44.832857142857,4,0.048398161487292146
2013-09-27,44.62857142857099,4,0.026762637003098222
2013-10-04,46.751428571429,4,-0.004556607080272945
2013-10-11,42.978285714286,4,0.04756722151090331
2013-10-18,47.642857142857,4,-0.08070647191835467
2013-10-25,46.861571428571,4,0.10853321278518302
2013-11-01,47.037857142857,4,-0.01639880059970622
2013-11-08,47.842857142857,4,0.0037618395822407447
2013-11-15,49.965714285714,4,0.017113874842452192
2013-11-22,49.692857142857,4,0.044371454165419655
2013-11-29,52.257142857143,4,-0.005460887465687958
2013-12-06,50.634285714286,4,0.051602702314221816
2013-12-13,52.71,4,-0.031055221432473967
2013-12-20,53.667142857143,4,0.04099424444193067
2013-12-27,52.5,4,0.018158657885467555
2014-01-03,51.87142857142901,4,-0.021747810578435778
2014-01-10,47.44857142857099,4,-0.011972789115637927
2014-01-17,47.148571428570996,4,-0.08526576700635047
2014-01-24,55.154285714286004,4,-0.006322635033419677
2014-01-31,58.475714285714,4,0.16979760029089075
2014-02-07,61.425714285713994,4,0.06022067965187472
2014-02-14,62.215714285714,4,0.050448293552879164
2014-02-21,61.747142857143004,4,0.012861063305270148
2014-02-28,63.661428571429006,4,-0.007531399967846908
2014-03-07,64.052857142857,4,0.031002012817254565
2014-03-14,60.641428571429,4,0.00614859861319017
2014-03-21,57.998571428571,4,-0.053259584717969544
2014-03-28,51.267142857143,4,-0.04358170981649956
2014-04-04,48.187142857143,4,-0.11606197196974388
2014-04-11,46.672857142857,4,-0.060077465377434525
2014-04-25,46.01142857142901,4,-0.031425098574017984
2014-05-02,48.664285714286,4,-0.014171589483015334
2014-05-09,46.935714285714,4,0.05765648286139702
2014-05-16,49.982857142857,4,-0.0355203287832202
2014-05-23,57.478571428570994,4,0.06492162532339418
2014-05-30,59.69,4,0.14996570252657504
2014-06-06,61.447142857143,4,0.03847396545297155
2014-06-13,61.101428571429004,4,0.029437809635500134
2014-06-20,62.882857142857,4,-0.005626206030730163
2014-06-27,63.154285714286004,4,0.029155268756858366
2014-07-11,62.851428571429004,4,0.0043164160116384576
2014-07-18,63.452857142857,4,-0.004795512124500023
2014-07-25,60.265714285714,4,0.009569051731966427
2014-08-01,60.771428571429006,4,-0.050228516108699495
2014-08-08,63.692857142857,4,0.008391409472348732
2014-08-15,65.584285714286,4,0.048072402444748086
2014-08-22,68.455714285714,4,0.029696086127628085
2014-08-29,68.234285714286,4,0.043782264915367186
2014-09-05,67.954285714286,4,-0.0032346250965086254
2014-09-12,68.078571428571,4,-0.004103508918851029
2014-09-19,65.36,4,0.001828960645801736
2014-09-26,64.107142857143,4,-0.039932850697717126
2014-10-03,65.64857142857099,4,-0.01916856093722452
2014-10-10,64.582857142857,4,0.02404456824511625
2014-10-17,51.012857142857,4,-0.016233624929272827
2014-10-24,55.002857142856996,4,-0.2101176782870292
2014-10-31,56.11,4,0.07821557590523409
2014-11-07,54.88,4,0.020128824476653318
2014-11-14,55.148571428570996,4,-0.02192122616289427
2014-11-21,51.468571428570996,4,0.004893794252387007
2014-11-28,49.512857142857,4,-0.06672883639001193
2014-12-05,50.131428571429005,4,-0.037998223603858294
2014-12-12,47.782857142857,4,0.012493147523021442
2014-12-19,48.588571428570994,4,-0.04684828450930101
2014-12-26,48.578571428570996,4,0.01686199473809502
2015-01-02,49.848571428571,4,-0.0002058097142184634
2015-01-09,47.041428571429,4,0.026143214233201206
2015-01-16,48.19142857142901,4,-0.056313406316255366
2015-01-23,62.493571428570995,4,0.024446536487594317
2015-01-30,63.114285714286005,4,0.2967777316653615
2015-02-06,63.48,4,0.009932450194888753
2015-02-13,66.58571428571399,4,0.005794477138972187
2015-02-20,68.314285714286,4,0.048924295616162405
2015-02-27,67.844285714286,4,0.025960094400352185
