Date,NEE,dayofweek,weekly_ret
2013-01-18,14.344516933077132,4,0.012697516930022523
2013-01-25,14.53497522918368,4,-0.003204235162998059
2013-02-01,14.49086909745374,4,0.01327742837176804
2013-02-08,14.454782262401972,4,-0.003034482758620949
2013-02-15,14.53497522918368,4,-0.0024903154399558147
2013-02-22,14.58509583342224,4,0.005547850208044602
2013-03-01,14.639998587056045,4,0.0034482758620686393
2013-03-08,15.004177656385796,4,0.003764305305968163
2013-03-15,15.066897384992588,4,0.02487562189054726
2013-03-22,15.41084428380402,4,0.004180151024811396
2013-04-05,16.092668430271388,4,0.022827984423257508
2013-04-12,16.082552345012232,4,0.04424314034396737
2013-04-19,16.201922151070313,4,-0.0006286145335677729
2013-04-26,16.294990135454587,4,0.007422317272612666
2013-05-03,16.539799398726252,4,0.005744255744255966
2013-05-10,16.185736414655658,4,0.015023590762354155
2013-05-17,16.408290290357176,4,-0.021406727828746308
2013-05-24,15.639467810661031,4,0.013750000000000151
2013-05-31,15.432940935285306,4,-0.04685573366214557
2013-06-07,16.081932632907723,4,-0.013205492531845775
2013-06-14,16.27173209164636,4,0.04205236709865101
2013-06-21,15.986012476340887,4,0.01180203045685313
2013-06-28,16.628881610778187,4,-0.017559262510974838
2013-07-05,16.31254917954714,4,0.04021447721179605
2013-07-12,17.145217772723072,4,-0.019023073146784086
2013-07-19,17.33909894025178,4,0.05104466408107089
2013-07-26,17.132972646352837,4,0.011308177597904923
2013-08-02,17.947273549973414,4,-0.0118879472693032
2013-08-09,17.60441001160686,4,0.047528290649195615
2013-08-16,16.76561885524581,4,-0.019103934500795616
2013-08-23,16.614595630012918,4,-0.04764664966380716
2013-08-30,16.533806188714284,4,-0.0090079123554474
2013-09-06,16.46179483771814,4,-0.0048625583852727194
2013-09-13,16.299254931183988,4,-0.004355400696864131
2013-09-20,16.601702605367787,4,-0.009873765779277788
2013-09-27,16.47413964074605,4,0.018555920222166122
2013-10-04,16.387726019550687,4,-0.007683727847316968
2013-10-11,16.819794125527533,4,-0.005245410266016659
2013-10-18,17.18808074919352,4,0.026365348399246313
2013-10-25,17.683930337481247,4,0.021896024464831854
2013-11-01,18.13451564799996,4,0.028848455829542985
2013-11-08,17.924653996525493,4,0.025479930191971922
2013-11-15,18.22298673636665,4,-0.01157249829816187
2013-11-22,17.81560823644562,4,0.016643709825527875
2013-11-29,17.53904626899083,4,-0.022355199277407478
2013-12-06,17.54733994260189,4,-0.015523577067047434
2013-12-13,17.14924360927097,4,0.00047286913346722415
2013-12-20,17.58673489225443,4,-0.02268699042892597
2013-12-27,17.561853871421246,4,0.02551082094063606
2014-01-03,17.49135764572723,4,-0.0014147606696535142
2014-01-10,18.09057556412637,4,-0.004014167650531197
2014-01-17,18.175585718639745,4,0.034257942152678966
2014-01-24,18.05118061447384,4,0.004699140401146051
2014-01-31,19.06093537662049,4,-0.006844626967829948
2014-02-07,18.78724414745548,4,0.055938433264415055
2014-02-14,19.338773442591023,4,-0.014358751223757404
2014-02-21,19.191560735994692,4,0.029356583158591798
2014-02-28,19.10083905412456,4,-0.007612308352096142
2014-03-07,19.186530530349426,4,-0.0047271653993194995
2014-03-14,19.70067938769866,4,0.004486267644162156
2014-03-21,19.765470503868684,4,0.02679738562091516
2014-03-28,19.79682104395096,4,0.0032887757267132667
2014-04-04,19.85743208811001,4,0.0015861266786509898
2014-04-11,19.8866925921868,4,0.0030616554054050393
2014-04-25,20.413381665568934,4,0.0014735291022001107
2014-05-02,20.48026281774445,4,0.026484498160798342
2014-05-09,20.256628965157585,4,0.003276338691512448
2014-05-16,20.189747812982077,4,-0.010919481579753199
2014-05-23,20.16048730890529,4,-0.0033016921172099867
2014-05-30,20.501389390914337,4,-0.0014492753623189802
2014-06-06,20.51823523264886,4,0.016909416760896745
2014-06-13,20.37925703833905,4,0.0008216926869351049
2014-06-20,21.05519643793677,4,-0.0067733990147781364
2014-06-27,21.394219002844046,4,0.033168009919404495
2014-07-11,20.840411955821608,4,0.0161016101610163
2014-07-18,20.80040308170212,4,-0.02588582677165352
2014-07-25,20.73091398454721,4,-0.0019197736687882605
2014-08-01,19.7559608941617,4,-0.0033407572383075124
2014-08-08,20.099194919502608,4,-0.047028948704926354
2014-08-15,20.295027829666427,4,0.017373694308250087
2014-08-22,20.560349836985168,4,0.009743321110528669
2014-08-29,20.88603745073357,4,0.0130732517119736
2014-09-05,20.773598650846434,4,0.015840567710698084
2014-09-12,19.963190696942906,4,-0.005383443372270147
2014-09-19,20.18382532313654,4,-0.039011437908496815
2014-09-26,19.823172568781565,4,0.011052072263549428
2014-10-03,19.99077002521711,4,-0.017868404456590326
2014-10-10,19.863480817797708,4,0.008454623287671215
2014-10-17,19.995012998797762,4,-0.006367398917542122
2014-10-24,20.866944069620658,4,0.00662180924917255
2014-10-31,21.26154061262081,4,0.04360742705570253
2014-11-07,22.21833115505665,4,0.018910126067507305
2014-11-14,21.60734295944352,4,0.04500099780482936
2014-11-21,22.008303962814637,4,-0.02749928387281575
2014-11-28,22.302311400860763,4,0.01855670103092777
2014-12-05,21.99039096168788,4,0.013358932089582387
2014-12-12,21.53746539247795,4,-0.01398601398601429
2014-12-19,22.618504722762033,4,-0.02059652190809269
2014-12-26,23.34916766931768,4,0.05019343319115155
2015-01-02,22.79369291462625,4,0.032303768773023656
2015-01-09,22.78301070780526,4,-0.023789916735291627
2015-01-16,23.120568443348514,4,-0.0004686474833629495
2015-01-23,23.38976005523743,4,0.014816204051012916
2015-01-30,23.33848546249668,4,0.01164294954721834
