Date,UNH,dayofweek,weekly_ret
2013-01-18,47.92050848156641,4,0.014014206181608646
2013-01-25,49.220404972635286,4,0.03294206739871264
2013-02-01,48.98326169385921,4,0.027126099706744844
2013-02-08,50.713529320484675,4,-0.004817987152034187
2013-02-15,50.344639775721895,4,0.03532365070826593
2013-02-22,47.841460721974386,4,-0.00727398683754743
2013-03-01,47.00706770405854,4,-0.04972086531751563
2013-03-08,47.261777151632856,4,-0.017440793097117768
2013-03-15,48.257317923413105,4,0.005418535127055479
2013-03-22,48.01924966397,4,0.021064395623257903
2013-04-05,54.75569967191585,4,-0.004933308971313499
2013-04-12,55.57571256555322,4,0.14028644876973928
2013-04-19,52.93932702579431,4,0.014975845410627686
2013-04-26,52.445555821023405,4,-0.04743772806600022
2013-05-03,51.951784616252525,4,-0.009327115256495877
2013-05-10,55.469904450245174,4,-0.009414929388029236
2013-05-17,55.40818304964881,4,0.06771894093686326
2013-05-24,54.7204303001465,4,-0.001112700683516099
2013-05-31,55.22301884785973,4,-0.012412476129853411
2013-06-07,55.17011479020571,4,0.009184660006445355
2013-06-14,56.500186575888605,4,-0.0009580073447228443
2013-06-21,56.588744862057716,4,0.024108555705217194
2013-06-28,57.98796578352957,4,0.0015673981191224318
2013-07-05,58.59901795809639,4,0.024726134585289605
2013-07-12,60.219634594990985,4,0.010537568723274271
2013-07-19,63.2748954678251,4,0.027656037479219853
2013-07-26,63.94793844271029,4,0.05073529411764732
2013-08-02,63.99221758579485,4,0.010636808957312782
2013-08-09,64.58555810312785,4,0.0006924248719015758
2013-08-16,63.257183810591286,4,0.009272073069471531
2013-08-23,64.24018078706835,4,-0.020567667626491204
2013-08-30,63.531714497715505,4,0.015539689206216067
2013-09-06,65.58626673683872,4,-0.011028398125172534
2013-09-13,66.2038659578877,4,0.03233900195149153
2013-09-20,62.72834077132296,4,0.009416593622062042
2013-09-27,63.99055196439762,4,-0.05249731471536001
2013-10-04,64.87943308628118,4,0.020121864815077162
2013-10-11,66.01720092229215,4,0.013890818169190133
2013-10-18,61.11946594071373,4,0.017536648856007808
2013-10-25,60.10614146176646,4,-0.07418877070149443
2013-11-01,61.00391139486885,4,-0.016579406631762827
2013-11-08,62.66611909279112,4,0.014936409346347101
2013-11-15,63.883886229771605,4,0.027247559376366137
2013-11-22,65.54609392769386,4,0.01943262411347524
2013-11-29,66.2038659578877,4,0.02601920133574498
2013-12-06,65.58114227498443,4,0.010035259018172038
2013-12-13,62.88651574885581,4,-0.009406152856683447
2013-12-20,65.4473032091171,4,-0.041088435374149856
2013-12-27,66.64293219753179,4,0.04072077185017009
2014-01-03,67.00875897756912,4,0.018268575323790337
2014-01-10,66.65185480192294,4,0.005489356004819923
2014-01-17,64.70672704465129,4,-0.005326231691078598
2014-01-24,63.885847440665096,4,-0.02918340026773769
2014-01-31,64.49258453926359,4,-0.012686155543298328
2014-02-07,63.6717049352774,4,0.009497206703910521
2014-02-14,65.59898748376672,4,-0.012728278915329128
2014-02-21,65.8577430111102,4,0.030269058295963935
2014-02-28,68.9449641304496,4,0.003944504896626899
2014-03-07,69.06095798753462,4,0.04687711692182628
2014-03-14,67.7878311207741,4,0.0016824123204348673
2014-03-21,72.83833795724921,4,-0.01843482777910954
2014-03-28,73.08907233920186,4,0.07450462351387044
2014-04-04,73.0084791450028,4,0.0034423407917383297
2014-04-11,70.6981409112961,4,-0.0011026709139916324
2014-04-25,67.75201192335227,4,-0.0316447933276095
2014-05-02,67.18785956395878,4,-0.0416719442685245
2014-05-09,68.90718104020563,4,-0.008326724821570042
2014-05-16,68.63853705954206,4,0.02558976409436231
2014-05-23,70.53695452289794,4,-0.003898635477582846
2014-05-30,71.30706726746683,4,0.027658186562296017
2014-06-06,71.57571124813043,4,0.010917862130252587
2014-06-13,71.2388072127124,4,0.003767424337561609
2014-06-20,73.24515401852635,4,-0.004706960357684586
2014-06-27,73.77598120033362,4,0.028163677696387834
2014-07-11,74.55872636672741,4,0.007247266920525686
2014-07-18,76.94295014942111,4,0.010609756097561096
2014-07-25,76.1871961956616,4,0.03197779654881128
2014-08-01,73.31713058555106,4,-0.009822263797941932
2014-08-08,72.08453187525281,4,-0.03767123287671237
2014-08-15,73.29913644379486,4,-0.016811878758129728
2014-08-22,75.37745981663355,4,0.01684972541188179
2014-08-29,77.9866103712795,4,0.028353995335706594
2014-09-05,78.94929695523506,4,0.03461446645977562
2014-09-12,77.87000936388236,4,0.012344254730041415
2014-09-19,79.33379928230298,4,-0.013670642209324013
2014-09-26,78.24951045384327,4,0.018797864933859154
2014-10-03,77.72543752008772,4,-0.013667425968109104
2014-10-10,77.15618588514639,4,-0.006697459584295795
2014-10-17,79.67715741131524,4,-0.007323878167867726
2014-10-24,82.80352353337409,4,0.03267361517742118
2014-10-31,85.84856799329849,4,0.039237922431390126
2014-11-07,84.58356436009547,4,0.036774334351811655
2014-11-14,85.93892539567013,4,-0.014735291021997887
2014-11-21,87.38464383361641,4,0.01602392906740735
2014-11-28,89.11950595915198,4,0.016822626432551724
2014-12-05,90.99284214842629,4,0.019853169268948534
2014-12-12,89.56895335969877,4,0.021020495671654205
2014-12-19,92.95182290234436,4,-0.015648360410645212
2014-12-26,93.00623903439762,4,0.03776832725799939
2015-01-02,91.40096313882587,4,0.0005854229680941625
2015-01-09,94.0673536094366,4,-0.01725987323256939
2015-01-16,95.92657145459032,4,0.02917245485215325
2015-01-23,101.57677983278921,4,0.01976475125337429
2015-01-30,96.36190051101656,4,0.058901389808074134
2015-02-06,97.58626348221537,4,-0.0513392857142857
