Date,TXN,dayofweek,weekly_ret
2013-01-18,27.03748616643271,4,0.0187952322142928
2013-01-25,26.456728707010523,4,0.033929673041332764
2013-02-01,27.373639320937556,4,-0.02147971360381884
2013-02-08,27.82824305817733,4,0.034656991198011244
2013-02-15,27.264047348567253,4,0.01660735468564667
2013-02-22,27.74706381938451,4,-0.020274212368728284
2013-03-01,28.023073231280087,4,0.017716242370105828
2013-03-08,28.64815336998477,4,0.009947337624341746
2013-03-15,28.477676968519848,4,0.02230590961761303
2013-03-22,27.974365688004397,4,-0.00595069424766248
2013-04-05,27.763299667143077,4,-0.017673888255415937
2013-04-12,29.10275710722454,4,-0.007544979686593067
2013-04-19,27.803889286539484,4,0.04824561403508776
2013-04-26,29.240761813172327,4,-0.04463040446304045
2013-05-03,30.279815184821143,4,0.051678832116788254
2013-05-10,30.304359752655373,4,0.035534415221040616
2013-05-17,30.08345864214736,4,0.0008105917319645162
2013-05-24,29.445299878457533,4,-0.007289416846652186
2013-05-31,29.379847697566262,4,-0.02121294533587159
2013-06-07,29.600748808074282,4,-0.0022228396776884374
2013-06-14,29.028042225275716,4,0.007518796992481258
2013-06-21,28.59442152687109,4,-0.019347705914870228
2013-06-28,28.512606300757014,4,-0.014937993235625613
2013-07-05,29.45348140106893,4,-0.0028612303290413976
2013-07-12,30.67252827016873,4,0.03299856527977019
2013-07-19,30.484353250106345,4,0.04138888888888892
2013-07-26,31.997934933216833,4,-0.006134969325153339
2013-08-02,32.914097976633556,4,0.049651100375738055
2013-08-09,32.78224380346728,4,0.028631942821586875
2013-08-16,31.925191677886435,4,-0.0040060090135199955
2013-08-23,32.19714091004189,4,-0.026143790849673332
2013-08-30,31.48018384345023,4,0.008518327310273355
2013-09-06,32.28779065409371,4,-0.022267724596877092
2013-09-13,33.19428809461191,4,0.025654450261779926
2013-09-20,33.39206935436134,4,0.028075548749362023
2013-09-27,33.095397464737204,4,0.005958291956305928
2013-10-04,32.90585709081067,4,-0.008884501480750151
2013-10-11,33.276696952840844,4,-0.005727091633466186
2013-10-18,33.5486461849963,4,0.011269722013523609
2013-10-25,33.15308366549745,4,0.008172362555720625
2013-11-01,34.88526813598609,4,-0.01179071481208549
2013-11-08,34.843767698041766,4,0.05224806500552859
2013-11-15,35.31687269060689,4,-0.001189626457292814
2013-11-22,35.39157347890665,4,0.013577894235350385
2013-11-29,35.69037663210567,4,0.002115158636897929
2013-12-06,36.09708092395991,4,0.008442776735459567
2013-12-13,34.818867435275195,4,0.011395348837209607
2013-12-20,35.55757523068389,4,-0.03541043918142095
2013-12-27,36.246482500559424,4,0.02121573301549451
2014-01-03,35.93107917218267,4,0.019374416433240116
2014-01-10,35.781677595583155,4,-0.008701625830089488
2014-01-17,36.06388057360446,4,-0.004158004158004269
2014-01-24,35.64887619416137,4,0.007886801206216765
2014-01-31,35.44137400443981,4,-0.011507479861910253
2014-02-07,35.06522734637383,4,-0.005820721769499881
2014-02-14,36.66176093949836,4,-0.010613207547169545
2014-02-21,36.90416656358533,4,0.04553039332538722
2014-02-28,37.58123054810411,4,0.006611947104423255
2014-03-07,38.3251650496124,4,0.01834654586636475
2014-03-14,37.037907597564356,4,0.019795373665480565
2014-03-21,39.41181095069192,4,-0.03358778625954184
2014-03-28,38.985511404883795,4,0.06409388399909699
2014-04-04,38.73474696617314,4,-0.010816542948038355
2014-04-11,37.597948177351476,4,-0.0064322469982845965
2014-04-25,38.73474696617314,4,-0.029348295209322695
2014-05-02,38.51923851785546,4,0.03023566029346414
2014-05-09,38.56972244776091,4,-0.005563698363794112
2014-05-16,37.85453344076709,4,0.001310615989515096
2014-05-23,38.91469596878146,4,-0.018542757417102873
2014-05-30,39.52891711596438,4,0.028006223605245406
2014-06-06,39.96644450847826,4,0.015783783783783756
2014-06-13,40.66480553883692,4,0.011068539804172328
2014-06-20,40.33665999445152,4,0.017473684210526086
2014-06-27,40.185208204735176,4,-0.008069522036002419
2014-07-11,41.47254841732406,4,-0.003754693366708639
2014-07-18,41.077090966398075,4,0.032035175879397304
2014-07-25,39.394293302883206,4,-0.00953540271860398
2014-08-01,39.15584119778565,4,-0.04096681687832837
2014-08-08,39.232052826414545,4,-0.006052960596709234
2014-08-15,40.27361175100963,4,0.0019463667820065478
2014-08-22,40.66313785289072,4,0.026548672566371945
2014-08-29,40.79862519267545,4,0.009671993271656909
2014-09-05,41.13734354213726,4,0.0033319450229072345
2014-09-12,40.50224663689635,4,0.008302200083021738
2014-09-19,41.28129884065853,4,-0.01543845203787586
2014-09-26,40.925644573723616,4,0.01923478988082805
2014-10-03,39.64698280450528,4,-0.008615384615384802
2014-10-10,36.192055639994784,4,-0.03124353403682989
2014-10-17,36.9795758024935,4,-0.08714224690303274
2014-10-24,40.28207970974618,4,0.021759475900795522
2014-10-31,42.347716734538544,4,0.08930615983512702
2014-11-07,43.405130523318796,4,0.05127930433771999
2014-11-14,44.027640253810425,4,0.024969794603302287
2014-11-21,44.820700595395614,4,0.014341846758350263
2014-11-28,46.40682127856601,4,0.01801278326554323
2014-12-05,47.39601482290882,4,0.035388127853881235
2014-12-12,45.28971477590298,4,0.021315692760014437
2014-12-19,46.2447981980271,4,-0.04444044620367027
2014-12-26,46.68396602159309,4,0.021088307286763586
2015-01-02,45.605233406426116,4,0.009496588604093636
2015-01-09,45.707563773082285,4,-0.023107133071513686
2015-01-16,45.438946560609864,4,0.002243829468960623
2015-01-23,46.95258323406549,4,-0.00587686567164214
2015-01-30,45.866979660168965,4,0.03331143849113283
