Date,MA,dayofweek,weekly_ret
2013-01-18,49.756557565864995,4,0.035236767822096615
2013-01-25,49.605664358659475,4,-0.01452674585760716
2013-02-01,49.53785791744689,4,-0.0030326295585416663
2013-02-08,50.08794960953783,4,-0.0013669092449266618
2013-02-15,49.959976889502784,4,0.011104470706174707
2013-02-22,50.02682831041661,4,-0.002554960245581217
2013-03-01,49.49870208519735,4,0.0013380995163725373
2013-03-08,50.54253927175188,4,-0.010556860050016326
2013-03-15,49.60088925716564,4,0.021088172872853805
2013-03-22,49.422300461295826,4,-0.01863084103319923
2013-04-05,50.82618030048627,4,-0.003600516009781285
2013-04-12,50.95907795025617,4,0.028405797101449526
2013-04-19,49.90450163589506,4,0.0026147479307752075
2013-04-26,51.18280492900549,4,-0.020694572130809386
2013-05-03,52.924815849010855,4,0.025614989654379805
2013-05-10,53.07587936457664,4,0.034035081164888625
2013-05-17,55.91071052693446,4,0.0028543040375759166
2013-05-24,54.63718772482296,4,0.05341091275917331
2013-05-31,54.521499842649156,4,-0.022777796778275516
2013-06-07,54.13906056273579,4,-0.002117383543905227
2013-06-14,54.60850477882945,4,-0.007014467338886443
2013-06-21,54.81215369538332,4,0.008671081677704251
2013-06-28,54.92784157755712,4,0.003729252748791989
2013-07-05,56.948077073699466,4,0.002110624640234482
2013-07-12,57.314631928399685,4,0.036779808529155744
2013-07-19,56.785376485451344,4,0.0064366502529285
2013-07-26,57.24668050624899,4,-0.0092342116688372
2013-08-02,61.78506985608821,4,0.008123641144051064
2013-08-09,61.05674545810685,4,0.07927777313382922
2013-08-16,59.16654744757702,4,-0.011788032281549454
2013-08-23,59.92262665178895,4,-0.030958053796476426
2013-08-30,58.005630897312365,4,0.012778829200433606
2013-09-06,60.92849911207595,4,-0.03199118365782383
2013-09-13,63.779587655553605,4,0.05038938753959843
2013-09-20,65.6295890501633,4,0.046794005843360464
2013-09-27,65.25729182176022,4,0.029006167374439062
2013-10-04,64.44187475595191,4,-0.005672703940268864
2013-10-11,65.539272384109,4,-0.012495416880545451
2013-10-18,68.50979598408448,4,0.017029262918141885
2013-10-25,69.33265305353915,4,0.04532432985471657
2013-11-01,70.64500949725614,4,0.012010794334372576
2013-11-08,70.35667424940299,4,0.01892840365857018
2013-11-15,72.06082177741213,4,-0.004081466616043916
2013-11-22,72.27060722352456,4,0.024221547510449692
2013-11-29,72.87984714922091,4,0.0029112275011300426
2013-12-06,72.65569283693641,4,0.008429982106169964
2013-12-13,75.48156985077958,4,-0.0030756693524005563
2013-12-20,78.2672140393409,4,0.03889408941685235
2013-12-27,79.30368825255387,4,0.03690495831059537
2014-01-03,79.58531802952673,4,0.0132427636007586
2014-01-10,79.97420601087957,4,0.0035512822061436466
2014-01-17,78.40875183696399,4,0.004886428690384248
2014-01-24,75.21652827057066,4,-0.019574488475729512
2014-01-31,72.50524594977439,4,-0.04071259255638893
2014-02-07,73.10881763249581,4,-0.03604636352057067
2014-02-14,74.14351194573257,4,0.008324524312896209
2014-02-21,72.52440695557506,4,0.014152797798453909
2014-02-28,74.45966854144378,4,-0.021837446698540153
2014-03-07,74.67043960525126,4,0.02668428005284018
2014-03-14,73.13755914119683,4,0.002830674215131168
2014-03-21,72.8022415396849,4,-0.02052861175263021
2014-03-28,70.14844223629068,4,-0.004584752423369531
2014-04-04,69.15206993465533,4,-0.036452164758520866
2014-04-11,65.90036424522181,4,-0.014203769461895277
2014-04-25,67.80022914338049,4,-0.047022535876455995
2014-05-02,70.79395564956995,4,0.02882935352358751
2014-05-09,71.3696722853756,4,0.04415510897254471
2014-05-16,70.76516981777965,4,0.008132285172133047
2014-05-23,73.35589467890516,4,-0.008470018822264058
2014-05-30,73.35589467890516,4,0.036610169491525735
2014-06-06,74.3346129597748,4,0.0
2014-06-13,72.86653553847034,4,0.013342053629823658
2014-06-20,70.82274148136024,4,-0.019749580482767648
2014-06-27,70.4293351135597,4,-0.028048459309981455
2014-07-11,72.86605061043852,4,-0.005554802872239528
2014-07-18,74.47077571289708,4,0.0345980193189368
2014-07-25,72.78917755163813,4,0.022022946063563253
2014-08-01,72.04927436068418,4,-0.022580645161290103
2014-08-08,72.23184787533516,4,-0.010165016501650248
2014-08-15,72.27028440473535,4,0.0025340090690852968
2014-08-22,73.49064421319186,4,0.0005321271783953474
2014-08-29,72.84683234573842,4,0.01688605238665075
2014-09-05,73.85579124249381,4,-0.008760460251046043
2014-09-12,72.52012184583668,4,0.013850415512465464
2014-09-19,74.25937480119596,4,-0.01808482956023938
2014-09-26,72.12614741948458,4,0.023983039618391544
2014-10-03,71.42468075793083,4,-0.028726708074534257
2014-10-10,67.8465476159482,4,-0.009725552891020728
2014-10-17,68.86665173613125,4,-0.0500965927185516
2014-10-24,71.2148159373073,4,0.015035460992907757
2014-10-31,80.59784911823633,4,0.0340972610396868
2014-11-07,81.60832961464406,4,0.13175675675675702
2014-11-14,80.88655783149568,4,0.012537313432835706
2014-11-21,81.53134062444157,4,-0.008844339622641528
2014-11-28,84.0046119346967,4,0.007971445568114133
2014-12-05,85.72724059047752,4,0.030335221907459742
2014-12-12,80.96354682169817,4,0.020506358116622936
2014-12-19,83.18660391379521,4,-0.05556802873821287
2014-12-26,84.46654587591165,4,0.027457506240342378
2015-01-02,82.45520850687151,4,0.015386395187412916
2015-01-09,81.41625936136163,4,-0.023812236527286812
2015-01-16,80.79917733872695,4,-0.012600163947475873
2015-01-23,81.3680498283433,4,-0.007579346281383348
2015-01-30,79.09255986987795,4,0.007040572792363031
2015-02-06,81.14628597645897,4,-0.027965398743927228
