Date,LIN,dayofweek,weekly_ret
2013-01-18,95.66278754861864,4,0.0058231868713607415
2013-01-25,94.15436269209972,4,-0.004210526315789442
2013-02-01,94.03638532902004,4,-0.015768146582100018
2013-02-08,94.05323923803141,4,-0.001253020674841121
2013-02-15,92.82290388020034,4,0.00017922752934840247
2013-02-22,93.68245323978095,4,-0.01308126511961294
2013-03-01,95.65436059411293,4,0.009260099863822147
2013-03-08,96.27055368500429,4,0.021048844112620202
2013-03-15,96.18583830865354,4,0.006441871411446032
2013-03-22,94.5338884698137,4,-0.0008799718409009394
2013-04-05,94.01712467407408,4,-0.017174564030297823
2013-04-12,94.03406774934423,4,-0.005466439645129273
2013-04-19,92.97512554495972,4,0.00018021265092804661
2013-04-26,95.49964376021238,4,-0.011261261261261257
2013-05-03,97.1600651366873,4,0.027152619589977167
2013-05-10,96.57552903986704,4,0.017386676128803513
2013-05-17,98.43926731958378,4,-0.006016217630133491
2013-05-24,98.23595041634195,4,0.019298245614035148
2013-05-31,96.85508978182457,4,-0.002065404475042998
2013-06-07,97.25823184149164,4,-0.01405657123145887
2013-06-14,100.40905451738271,4,0.004162321882878572
2013-06-21,98.15238422248777,4,0.03239646265651008
2013-06-28,98.06722685286907,4,-0.02247476889152733
2013-07-05,98.51856091184808,4,-0.0008676036786398056
2013-07-12,99.71076408650957,4,0.004602292462660973
2013-07-19,99.75334277131891,4,0.012101305212204982
2013-07-26,101.33726984622629,4,0.0004270219489281857
2013-08-02,102.45283138823099,4,0.015878436059415746
2013-08-09,103.09151166037107,4,0.011008403361344676
2013-08-16,100.39202304345899,4,0.006233895769262698
2013-08-23,101.09031347433212,4,-0.02618536263010074
2013-08-30,99.97475193232748,4,0.0069556366103993295
2013-09-06,101.09170155608497,4,-0.011035296099738523
2013-09-13,103.11165258201302,4,0.01117231703173971
2013-09-20,104.19010101111022,4,0.019981373296080074
2013-09-27,102.58954659649773,4,0.010459035444509102
2013-10-04,103.91620934657757,4,-0.015361866425696369
2013-10-11,104.17298278207691,4,0.01293175371266475
2013-10-18,106.937576770953,4,0.0024709661477639866
2013-10-25,107.19435020645231,4,0.026538493139429686
2013-11-01,106.21005203703822,4,0.002401152553225483
2013-11-08,106.552416617704,4,-0.009182369849888294
2013-11-15,108.52957207104882,4,0.0032234668385848764
2013-11-22,108.33271243716601,4,0.018555707285725864
2013-11-29,108.06737988715004,4,-0.0018138801261828874
2013-12-06,107.90384139428222,4,-0.0024492375760448715
2013-12-13,106.86316191008743,4,-0.001513301174124848
2013-12-20,109.69277802827006,4,-0.009644508209787794
2013-12-27,111.81714028113052,4,0.026478873239436984
2014-01-03,111.53331860362286,4,0.019366473263289663
2014-01-10,113.9501031908852,4,-0.002538266287208546
2014-01-17,113.90709990641432,4,0.02166872301048728
2014-01-24,109.20254058530224,4,-0.000377386972601923
2014-01-31,107.26739278411353,4,-0.04130172153427947
2014-02-07,109.27994649734978,4,-0.017720721430259267
2014-02-14,111.6451271432471,4,0.018762026940346344
2014-02-21,110.14861284366116,4,0.021643318117424926
2014-02-28,112.12676392932072,4,-0.013404206147446307
2014-03-07,113.29441181421105,4,0.017958928710861244
2014-03-14,113.88219086383086,4,0.010413641168012022
2014-03-21,114.89351658155896,4,0.005188067444877209
2014-03-28,111.79903276150192,4,0.008880455407969334
2014-04-04,111.90275847614073,4,-0.026933493830875732
2014-04-11,109.77638132604565,4,0.0009277872274626731
2014-04-25,111.8163203806084,4,-0.019002008342345333
2014-05-02,113.23390514733843,4,0.018582677165354555
2014-05-09,112.45596228754756,4,0.01267779839208405
2014-05-16,113.23390514733843,4,-0.006870229007633566
2014-05-23,113.1733984804658,4,0.006917755572636297
2014-05-30,114.3057375319392,4,-0.0005343511450381921
2014-06-06,116.97624291671134,4,0.010005346368288537
2014-06-13,114.24879506077852,4,0.023362828869600172
2014-06-20,114.75259116155594,4,-0.02331625454815478
2014-06-27,114.57018222851583,4,0.004409640386223934
2014-07-11,114.30091189878999,4,-0.0015895844372115775
2014-07-18,115.32587637968193,4,-0.002350265352539682
2014-07-25,113.38886723358952,4,0.008967246751272695
2014-08-01,111.38236897014849,4,-0.016795962943435883
2014-08-08,111.96434032794308,4,-0.017695725448138577
2014-08-15,112.55499782540623,4,0.005224986352647676
2014-08-22,113.5799623062982,4,0.005275407292474776
2014-08-29,114.36171487647002,4,0.009106343571538833
2014-09-05,115.71097771234034,4,0.006882838788620171
2014-09-12,114.89918524649485,4,0.011798203947254171
2014-09-19,116.54895703192278,4,-0.007015691007845604
2014-09-26,115.71097771234034,4,0.014358428929575506
2014-10-03,109.56579603540251,4,-0.007189934092270978
2014-10-10,105.41954419371865,4,-0.053108026554013366
2014-10-17,108.33501390976583,4,-0.037842574888463765
2014-10-24,111.4861653094456,4,0.027655874803345082
2014-10-31,109.97605674394808,4,0.02908710015309013
2014-11-07,110.5696254286523,4,-0.013545255245850485
2014-11-14,109.86258037775465,4,0.005397253750297759
2014-11-21,113.95645851196464,4,-0.006394568563984904
2014-11-28,112.0622760916585,4,0.03726362625139035
2014-12-05,113.63274363884192,4,-0.016621983914209326
2014-12-12,108.53580670885141,4,0.014014239242284177
2014-12-19,114.08892388042456,4,-0.044854473867057765
2014-12-26,116.00137181629015,4,0.051163918525703345
2015-01-02,114.00119691088942,4,0.016762783544790105
2015-01-09,111.10620691623043,4,-0.017242683203508857
2015-01-16,108.3691254667347,4,-0.02539438245479031
2015-01-23,110.83425331067156,4,-0.024634820371101096
2015-01-30,105.78995256240214,4,0.02274751072613901
