Date,ACN,dayofweek,weekly_ret
2013-01-18,59.747320408409465,4,0.009972539384304202
2013-01-25,61.53692778050559,4,0.003291356611333729
2013-02-01,62.89191621937839,4,0.029952931108258474
2013-02-08,62.47434116588929,4,0.02201911092646469
2013-02-15,63.19870605459486,4,-0.006639566395663876
2013-02-22,63.744110206090824,4,0.011594598281271074
2013-03-01,63.76115408582507,4,0.008629989212513456
2013-03-08,66.76939885892,4,0.0002673796791443639
2013-03-15,65.27805938217323,4,0.047179898422881505
2013-03-22,62.96009173831536,4,-0.02233567326100827
2013-04-05,64.97979148682387,4,-0.03550913838120129
2013-04-12,66.50719068730915,4,0.03207904710341114
2013-04-19,64.3629086102484,4,0.023505757182908038
2013-04-26,67.73864585606289,4,-0.03224135698562769
2013-05-03,68.46201812302313,4,0.052448488092052825
2013-05-10,69.30595243447675,4,0.01067887109077037
2013-05-17,70.82158956525059,4,0.012327044025157274
2013-05-24,70.80436641603725,4,0.021868787276341894
2013-05-31,70.7096390953639,4,-0.00024319066147859836
2013-06-07,69.66763856795687,4,-0.001337873996594352
2013-06-14,69.36623345672344,4,-0.01473632931433455
2013-06-21,68.37590237695645,4,-0.004326328800988932
2013-06-28,61.96889086959427,4,-0.014276846679081134
2013-07-05,63.415635403514756,4,-0.09370277078085665
2013-07-12,65.03461142956864,4,0.023346303501945442
2013-07-19,64.77626419136855,4,0.025529603476371676
2013-07-26,62.967833523967954,4,-0.00397245762711862
2013-08-02,64.23373499114837,4,-0.027918106886466232
2013-08-09,63.3209080828414,4,0.020103938730853255
2013-08-16,61.70193205678752,4,-0.01421102024400045
2013-08-23,63.734263663961535,4,-0.025567795457636322
2013-08-30,62.21862653318769,4,0.03293789253314716
2013-09-06,63.04533769542796,4,-0.02378057019321711
2013-09-13,64.15623081968835,4,0.013287197231833803
2013-09-20,66.58469485876915,4,0.017620543641579278
2013-09-27,63.803156260814895,4,0.03785234899328849
2013-10-04,63.08839556846132,4,-0.04177444386963247
2013-10-11,63.443326492663324,4,-0.011202591442839749
2013-10-18,63.59166049766612,4,0.005625930426726988
2013-10-25,64.22862416620751,4,0.0023380552881311356
2013-11-01,63.69636685413868,4,0.010016465422612475
2013-11-08,65.65088550829307,4,-0.008286917538377958
2013-11-15,68.07658276657396,4,0.030684931506849367
2013-11-22,67.91952323186514,4,0.03694843168527373
2013-11-29,67.59667863274143,4,-0.0023071007433989044
2013-12-06,65.90392586976841,4,-0.0047533401849948476
2013-12-13,64.51656664650703,4,-0.025041951723247968
2013-12-20,70.2841417822037,4,-0.021051237918707888
2013-12-27,71.9943456045888,4,0.08939680822288354
2014-01-03,71.02581180721765,4,0.024332712600869
2014-01-10,72.59640715430601,4,-0.013452914798206317
2014-01-17,73.66964730814972,4,0.02211302211302213
2014-01-24,70.83385015368465,4,0.014783653846153877
2014-01-31,69.69953129189861,4,-0.038493426507165585
2014-02-07,70.31031837132184,4,-0.016013796501601507
2014-02-14,71.64532441634694,4,0.008763144717075289
2014-02-21,73.1199389366688,4,0.018987341772151778
2014-02-28,72.72729009989669,4,0.020582145901839377
2014-03-07,73.23337082284739,4,-0.00536992840095496
2014-03-14,71.00836074780555,4,0.00695860827834438
2014-03-21,72.27356255518228,4,-0.030382461575122255
2014-03-28,68.76589961335164,4,0.017817645613172672
2014-04-04,68.18128912304653,4,-0.04853314016660626
2014-04-11,68.06221032486779,4,-0.00850145920568457
2014-04-25,69.24528675287823,4,-0.0017465025919917165
2014-05-02,70.06637710963172,4,0.017382280451420762
2014-05-09,69.5189835384627,4,0.011857707509881354
2014-05-16,70.21646889527483,4,-0.007812500000000222
2014-05-23,70.44602103802313,4,0.010033020066040343
2014-05-30,71.91162318018527,4,0.003269206588708773
2014-06-06,73.74804032217159,4,0.020804612106779974
2014-06-13,73.04172603679223,4,0.025537139349294025
2014-06-20,73.39488317948191,4,-0.009577397342272365
2014-06-27,71.82333389451284,4,0.00483500543938109
2014-07-11,70.42836318088862,4,-0.021412245879947167
2014-07-18,70.40187639518692,4,-0.019422249539028824
2014-07-25,70.96692782349037,4,-0.00037608123354615497
2014-08-01,69.48366782419374,4,0.008026084775520026
2014-08-08,69.63375960983686,4,-0.0209007215725302
2014-08-15,69.75736460977825,4,0.0021601016518424387
2014-08-22,71.08170389486453,4,0.0017750729047800728
2014-08-29,71.56729496606283,4,0.0189849386153651
2014-09-05,72.24712246574045,4,0.006831449509377752
2014-09-12,71.48783460895766,4,0.00949913644214151
2014-09-19,70.56962603796451,4,-0.010509593058780187
2014-09-26,70.00457460966102,4,-0.01284426330739763
2014-10-03,70.91395425208692,4,-0.008007006130364203
2014-10-10,67.84148711068676,4,0.012990288813217177
2014-10-17,68.5569434402279,4,-0.043326693227091484
2014-10-24,70.10488799976318,4,0.010546000095396524
2014-10-31,72.58338882630235,4,0.022578961106760387
2014-11-07,74.69503573988807,4,0.03535417996171031
2014-11-14,75.73296388385394,4,0.02909270216962523
2014-11-21,75.231895124698,4,0.013895543842836755
2014-11-28,77.24511781773523,4,-0.006616257088846944
2014-12-05,77.11985062794625,4,0.026760228353948756
2014-12-12,73.28130602655526,4,-0.0016216842349126015
2014-12-19,80.98523819857775,4,-0.04977375565610864
2014-12-26,81.65631242959016,4,0.10512820512820542
2015-01-02,79.49097957752345,4,0.008286377195889871
2015-01-09,80.33205928039233,4,-0.02651764190225725
2015-01-16,79.53571785959095,4,0.010580819450697776
2015-01-23,79.83099052123639,4,-0.009913120962352306
2015-01-30,75.18715684263051,4,0.003712453594329812
