Date,T,dayofweek,weekly_ret
2013-01-18,21.365418379671336,4,-0.014506046975149012
2013-01-25,21.73599082764411,4,-0.0242194339072076
2013-02-01,22.687978668125872,4,0.017344497607655773
2013-02-08,22.5346383448268,4,0.04379776601998797
2013-02-15,22.592140966063948,4,-0.006758659532525857
2013-02-22,22.79659473046272,4,0.0025517436915223346
2013-03-01,23.00743767499895,4,0.009049773755656298
2013-03-08,23.43551274420887,4,0.009248878923766801
2013-03-15,23.275783240772327,4,0.01860594279366845
2013-03-22,23.275783240772327,4,-0.006815703380589122
2013-04-05,24.291662882628717,4,0.0
2013-04-12,24.950772539823646,4,0.04364534724128499
2013-04-19,24.750338761970696,4,0.02713316335648086
2013-04-26,23.94860365055889,4,-0.008033169214822555
2013-05-03,24.142571822674647,4,-0.03239289446186022
2013-05-10,24.155503034149035,4,0.008099352051835762
2013-05-17,24.207227880046574,4,0.0005356186395288898
2013-05-24,23.761101084180325,4,0.0021413276231265765
2013-05-31,22.623154474434553,4,-0.018429487179487447
2013-06-07,22.92057233834538,4,-0.04789115646258468
2013-06-14,23.217990202256203,4,0.01314661331809086
2013-06-21,22.28694297610057,4,0.012976022566995482
2013-06-28,22.888244309659413,4,-0.0401002506265663
2013-07-05,23.16626535635867,4,0.026979982593559493
2013-07-12,23.44616720742499,4,0.012146892655367392
2013-07-19,23.44616720742499,4,0.01208230358932183
2013-07-26,23.30867223078273,4,0.0
2013-08-02,23.41997768806456,4,-0.005864283719631436
2013-08-09,22.784881843574126,4,0.004775280898876577
2013-08-16,22.378944293487464,4,-0.027117696393626156
2013-08-23,22.450965471728644,4,-0.017816091954022895
2013-08-30,22.149785999083697,4,0.0032182562902280942
2013-09-06,21.874796045799183,4,-0.013414989792942644
2013-09-13,22.470607611248965,4,-0.012415016257759315
2013-09-20,22.467333921328912,4,0.027237354085603016
2013-09-27,22.24799669668531,4,-0.00014568764568767545
2013-10-04,22.09740696036284,4,-0.009762494535917265
2013-10-11,22.696370601761018,4,-0.006768687463213574
2013-10-18,22.96846159435523,4,0.02710560757072389
2013-10-25,23.35337080339094,4,0.011988304093567326
2013-11-01,24.050189199059048,4,0.016758162380814623
2013-11-08,23.34009807204489,4,0.029838022165388223
2013-11-15,23.51264357954365,4,-0.029525386313465685
2013-11-22,23.50600721387062,4,0.007392664202444887
2013-11-29,23.366643534737,4,-0.00028224668360143923
2013-12-06,22.915370668970994,4,-0.005928853754940677
2013-12-13,22.464097803204986,4,-0.019312695257029167
2013-12-20,22.762734258491307,4,-0.0196930205618302
2013-12-27,23.346734437717913,4,0.013293943870014369
2014-01-03,23.094552542142786,4,0.025655976676385084
2014-01-10,22.61120649321168,4,-0.010801591813530576
2014-01-17,22.6650106728505,4,-0.020929006875067158
2014-01-24,22.476696044114647,4,0.002379535990482129
2014-01-31,22.409440819566132,4,-0.008308605341246444
2014-02-07,21.723437529171246,4,-0.0029922202274085263
2014-02-14,22.295106937833648,4,-0.03061224489795944
2014-02-21,22.059713651913835,4,0.026315789473684292
2014-02-28,21.474593198341733,4,-0.010558069381598756
2014-03-07,21.884850068087694,4,-0.026524390243902296
2014-03-14,21.85122245581343,4,0.019104290635765908
2014-03-21,23.068542020141606,4,-0.001536570374923385
2014-03-28,23.58640724916519,4,0.05570944906124975
2014-04-04,23.909232326998076,4,0.02244897959183656
2014-04-11,23.982599062595018,4,0.01368691189050475
2014-04-25,23.49885913832109,4,0.003068552540438363
2014-05-02,24.275568312507406,4,-0.020170454545454297
2014-05-09,24.82744062048189,4,0.03305305885763987
2014-05-16,25.031837771583554,4,0.022733651417344847
2014-05-23,24.064357923035693,4,0.008232711306256801
2014-05-30,24.16655649858652,4,-0.03864997278170901
2014-06-06,23.859960771934023,4,0.004246885617213758
2014-06-13,23.86677401030408,4,-0.012686777558500228
2014-06-20,24.112050591626073,4,0.0002855511136494737
2014-06-27,24.12567706836618,4,0.010276905509563061
2014-07-11,24.679312081430787,4,0.0005651313930488122
2014-07-18,24.9622684000378,4,0.02294795754314971
2014-07-25,24.52748186169044,4,0.011465324384787756
2014-08-01,24.38255301557465,4,-0.01741774951617381
2014-08-08,23.7890348838624,4,-0.005908835115363109
2014-08-15,23.97537197172555,4,-0.02434191904896643
2014-08-22,23.80973900473608,4,0.007832898172323688
2014-08-29,24.127202191465894,4,-0.006908462867012188
2014-09-05,24.258328290332557,4,0.01333333333333342
2014-09-12,23.80973900473608,4,0.005434782608695565
2014-09-19,24.479172246318512,4,-0.01849217638691325
2014-09-26,24.348046147451853,4,0.028115942028985375
2014-10-03,24.40325713644834,4,-0.005356639413588771
2014-10-10,23.946539348204446,4,0.0022675736961450532
2014-10-17,23.8276806127535,4,-0.018715443831542666
2014-10-24,23.680855116019984,4,-0.004963503649635159
2014-10-31,24.35904907712242,4,-0.0061619718309858795
2014-11-07,24.407990909366923,4,0.028638913492766704
2014-11-14,25.100168251110638,4,0.0020091848450056737
2014-11-21,24.66668345123074,4,0.028358636493841072
2014-11-28,24.736600354437176,4,-0.017270194986072185
2014-12-05,23.72979694826449,4,0.0028344671201814275
2014-12-12,22.485276071189922,4,-0.040700960994912494
2014-12-19,23.450129335438746,4,-0.05244549204478499
2014-12-26,23.89060582563929,4,0.042910447761194126
2015-01-02,23.680855116019984,4,0.01878354203935584
2015-01-09,23.683133686184767,4,-0.008779631255487197
2015-01-16,23.9667640297319,4,9.621992760067144e-05
2015-01-23,23.66186141041874,4,0.011976047904191933
2015-01-30,23.34277727392823,4,-0.012721893491124292
2015-02-06,24.72547519872045,4,-0.0134851663170511
