Date,COST,dayofweek,weekly_ret
2013-01-18,84.17694128167041,4,-0.018402505873140074
2013-01-25,85.14181531217173,4,0.009174311926605672
2013-02-01,86.63071575579023,4,0.011462450592884865
2013-02-08,85.73067742917024,4,0.017487299726455907
2013-02-15,85.21357440352489,4,-0.01038936731351936
2013-02-22,84.37119689400583,4,-0.006031715147387984
2013-03-01,84.58804654992164,4,-0.009885484976020487
2013-03-08,85.93918671370466,4,0.0025701858442073178
2013-03-15,84.85994265695452,4,0.01597318083218302
2013-03-22,87.6656435896496,4,-0.012558229813664723
2013-04-05,88.2411292149646,4,0.03306272482456318
2013-04-12,88.51636147055002,4,0.006564551422319598
2013-04-19,87.11517907847876,4,0.0031190926275992403
2013-04-26,91.13523808430227,4,-0.01582964289079425
2013-05-03,91.53557591060837,4,0.04614648157012913
2013-05-10,91.73574482376141,4,0.0043927885055370375
2013-05-17,94.5469770741971,4,0.0021867881548973678
2013-05-24,95.66765774009208,4,0.03064489480994026
2013-05-31,91.6875687184547,4,0.01185316231755884
2013-06-07,92.48124480198776,4,-0.04160328700061211
2013-06-14,92.83250292114886,4,0.00865631071503481
2013-06-21,90.86713011155695,4,0.0037981551817687365
2013-06-28,92.47288151343629,4,-0.0211711711711714
2013-07-05,93.46811285105943,4,0.017671421997238923
2013-07-12,97.39885847024321,4,0.010762412951071942
2013-07-19,98.74534792702744,4,0.04205440229062285
2013-07-26,97.4908546443092,4,0.01382448909496814
2013-08-02,99.83257543871656,4,-0.01270432794105203
2013-08-09,96.95590762128815,4,0.024019902204683863
2013-08-16,93.82829769802082,4,-0.028814921430072582
2013-08-23,94.80934424231646,4,-0.03225806451612867
2013-08-30,93.80314265842348,4,0.010455764075066876
2013-09-06,95.88262593180231,4,-0.010612894667020312
2013-09-13,98.1298094691633,4,0.022168588540269818
2013-09-20,98.89284567028216,4,0.023436816790555204
2013-09-27,97.03137274008014,4,0.007775783987011842
2013-10-04,95.95809105059428,4,-0.01882313040529071
2013-10-11,97.1823029776641,4,-0.011061182163843886
2013-10-18,98.64129527430893,4,0.012757777001048742
2013-10-25,97.63509369041591,4,0.015012942191544587
2013-11-01,100.29985088509251,4,-0.010200612036722512
2013-11-08,102.9511920586505,4,0.02729302645139131
2013-11-15,104.4796280856205,4,0.02643414870671612
2013-11-22,105.25299084882569,4,0.014846219809667272
2013-11-29,105.43792542263563,4,0.007402043607691811
2013-12-06,102.60506399654709,4,0.0017570481590927223
2013-12-13,99.11652544513245,4,-0.026867575540142186
2013-12-20,99.63770469859682,4,-0.033999672292315264
2013-12-27,99.63770469859682,4,0.005258247816131156
2014-01-03,98.59534619166813,4,0.0
2014-01-10,99.0660887431843,4,-0.010461486543490883
2014-01-17,97.75473449253204,4,0.004774490578906665
2014-01-24,94.25778982412605,4,-0.013237165888841829
2014-01-31,94.45113051492734,4,-0.03577263737208691
2014-02-07,95.86335816947592,4,0.0020511905823596965
2014-02-14,97.85853586976243,4,0.01495194019223911
2014-02-21,95.40575086217407,4,0.020812724886595912
2014-02-28,98.44855288189709,4,-0.025064599483204164
2014-03-07,95.66704411040514,4,0.03189327679123588
2014-03-14,95.6249000381098,4,-0.02825342465753411
2014-03-21,95.94519498755434,4,-0.00044052863436139233
2014-03-28,94.1161422499369,4,0.0033494931687969576
2014-04-04,93.2648319895712,4,-0.019063515769129458
2014-04-11,94.47015245721771,4,-0.009045316138276638
2014-04-25,96.93979509372421,4,0.012923633077270624
2014-05-02,97.05779849615112,4,0.02614204139900078
2014-05-09,97.26009004316872,4,0.0012172854534386879
2014-05-16,97.74599439474557,4,0.002084237950499279
2014-05-23,97.17952249573612,4,0.0049959274288269295
2014-05-30,98.09264137772146,4,-0.005795346423320025
2014-06-06,99.96115316400629,4,0.009396206716547839
2014-06-13,97.48389545639792,4,0.01904843992415106
2014-06-20,97.53462428317488,4,-0.024782204178296463
2014-06-27,97.64453674119163,4,0.0005203816131829075
2014-07-11,100.07552210414131,4,0.0011269070735089315
2014-07-18,99.84647034140656,4,0.024896276269844364
2014-07-25,99.68543024609622,4,-0.0022887890856706505
2014-08-01,99.96527875295466,4,-0.001612877197958995
2014-08-08,101.05075174925413,4,0.002807316035729368
2014-08-15,100.55041654002234,4,0.010858500169663943
2014-08-22,102.85704665715872,4,-0.00495132594830483
2014-08-29,102.67896124370334,4,0.022940035422113425
2014-09-05,107.707754109372,4,-0.0017313875834775727
2014-09-12,106.31699183286331,4,0.04897588371324746
2014-09-19,107.27526096240895,4,-0.012912369104794874
2014-09-26,106.4611562151843,4,0.009013320571109595
2014-10-03,107.77559617164071,4,-0.007588932806324444
2014-10-10,109.31052283047043,4,0.012346662418352805
2014-10-17,105.70641327244483,4,0.014241875836021656
2014-10-24,110.61648252914324,4,-0.03297129557796741
2014-10-31,113.101198059735,4,0.04645006016847186
2014-11-07,116.78162993781292,4,0.022462434835939904
2014-11-14,117.73913342830663,4,0.032541051210917216
2014-11-21,118.79341220828279,4,0.008199093393400858
2014-11-28,120.83395178243023,4,0.008954361640669983
2014-12-05,121.79470583192465,4,0.01717721156598917
2014-12-12,117.22899853476976,4,0.007951027300872493
2014-12-19,120.53637309453373,4,-0.03748691099476453
2014-12-26,121.9562485482113,4,0.028212938787351538
2015-01-02,120.40033712292393,4,0.011779643083868141
2015-01-09,121.85422156950395,4,-0.012757947573898143
2015-01-16,118.79341220828279,4,0.012075418402655025
2015-01-23,120.77443604485094,4,-0.025118615685180146
2015-01-30,121.57364737805868,4,0.016676209561981237
2015-02-06,130.66843484132096,4,0.00661738824357605
