Date,PFE,dayofweek,weekly_ret
2013-01-18,18.653943476213264,4,0.02157164869029282
2013-01-25,18.977259753495034,4,0.0007541478129711177
2013-02-01,19.58948505452109,4,0.017332328560663246
2013-02-08,19.057740074756676,4,0.032260996001453934
2013-02-15,19.348427330361226,4,-0.02714440825190001
2013-02-22,19.412236727932953,4,0.015252976190476275
2013-03-01,19.41932666099648,4,0.0032979113228288615
2013-03-08,19.98652130607852,4,0.000365230094959923
2013-03-15,19.865992443998586,4,0.029207740051113262
2013-03-22,20.121230034285507,4,-0.006030507272082208
2013-04-05,20.631705214859352,4,0.012847965738758127
2013-04-12,21.74482470583286,4,0.02536997885835124
2013-04-19,22.021332095310353,4,0.05395189003436407
2013-04-26,21.333608588148376,4,0.012716009129442263
2013-05-03,20.53244615196999,4,-0.031229877656149263
2013-05-10,20.5323869252406,4,-0.03755400465270853
2013-05-17,20.70396676027047,4,-2.8845432711310792e-06
2013-05-24,20.761160038613763,4,0.008356545961002881
2013-05-31,19.46716211609685,4,0.002762430939226901
2013-06-07,20.20352557476669,4,-0.06232782369146039
2013-06-14,20.796905837578308,4,0.03782592728608147
2013-06-21,20.346508770624915,4,0.029370134465675823
2013-06-28,20.02479657994392,4,-0.021656926778961583
2013-07-05,19.996199940772268,4,-0.015811665495432004
2013-07-12,20.596729363376802,4,-0.0014280614066408681
2013-07-19,20.796905837578308,4,0.030032177332856902
2013-07-26,20.99708231177982,4,0.009718847622353088
2013-08-02,21.169483945540584,4,0.009625300790649938
2013-08-09,21.05415819030441,4,0.008210742387957604
2013-08-16,20.448697975314484,4,-0.005447735784814389
2013-08-23,20.4270743962077,4,-0.028757274905854224
2013-08-30,20.333372220078303,4,-0.0010574550581600173
2013-09-06,20.383827237994133,4,-0.004587155963302947
2013-09-13,20.549608011146137,4,0.002481389578163906
2013-09-20,20.881169557450143,4,0.008132956152758108
2013-09-27,20.8162988201298,4,0.016134689582602446
2013-10-04,20.902793136556927,4,-0.0031066620642040688
2013-10-11,20.700973064893613,4,0.0041551246537394615
2013-10-18,21.99117995159834,4,-0.009655172413793323
2013-10-25,22.063258548620947,4,0.06232590529247939
2013-11-01,22.466898691947566,4,0.0032776138970826985
2013-11-08,22.749960209728673,4,0.018294674942829214
2013-11-15,23.389167265429865,4,0.012599047232209282
2013-11-22,23.33105753309339,4,0.028097062579821364
2013-11-29,23.04777258795309,4,-0.002484472049689601
2013-12-06,22.90976197365397,4,-0.012141967621419614
2013-12-13,21.972742539728365,4,-0.0059880239520957446
2013-12-20,21.972742539728365,4,-0.040900443880786286
2013-12-27,22.256027484868664,4,0.0
2014-01-03,22.16886288636396,4,0.012892561983470996
2014-01-10,22.292346067578958,4,-0.003916449086161733
2014-01-17,22.582894729261323,4,0.005570117955438825
2014-01-24,21.856523075055424,4,0.01303356142065848
2014-01-31,22.081698287859243,4,-0.0321646831778708
2014-02-07,22.86969185316681,4,0.010302426055167402
2014-02-14,23.397115880530052,4,0.035685369623079
2014-02-21,23.045499862287887,4,0.023062139654068448
2014-02-28,23.52164655365748,4,-0.015028177833438128
2014-03-07,23.756057232485574,4,0.020661157024793653
2014-03-14,22.87701718688019,4,0.009965742759264762
2014-03-21,23.572923889651122,4,-0.03700277520814044
2014-03-28,23.353163878249774,4,0.030419468459814247
2014-04-04,23.558273222224365,4,-0.009322560596643936
2014-04-11,21.873446468147375,4,0.008782936010037767
2014-04-25,22.525401168638037,4,-0.07151741293532332
2014-05-02,22.525401168638037,4,0.029805760214333565
2014-05-09,21.45596807662836,4,0.0
2014-05-16,21.522486751340605,4,-0.04747676119076816
2014-05-23,21.79595241404651,4,0.003100241129865511
2014-05-30,21.89942590804334,4,0.0127060439560438
2014-06-06,21.744215667048092,4,0.004747371990505345
2014-06-13,21.82551626947418,4,-0.00708741140735758
2014-06-20,22.010290365897088,4,0.003738953093134212
2014-06-27,21.928989763471012,4,0.008465966813410164
2014-07-11,22.224628317747666,4,-0.003693754197447774
2014-07-18,22.712431932304145,4,0.013481631277384443
2014-07-25,22.313319884030665,4,0.021948786165613354
2014-08-01,21.519859751200077,4,-0.017572404816140308
2014-08-08,21.13211453045773,4,-0.03555993177861705
2014-08-15,21.355813696270626,4,-0.018018018018018167
2014-08-22,21.564599584362654,4,0.010585744530698937
2014-08-29,21.915061610802844,4,0.009776536312849027
2014-09-05,22.108934221174017,4,0.016251728907330287
2014-09-12,21.944888166244564,4,0.008846546444368997
2014-09-19,22.66818213570625,4,-0.007419898819561621
2014-09-26,22.161130693197027,4,0.032959565069657026
2014-10-03,21.788298750175546,4,-0.022368421052631704
2014-10-10,21.721189000431675,4,-0.01682368775235521
2014-10-17,20.751825948575817,4,-0.0030800821355237984
2014-10-24,21.706275722710814,4,-0.044627531754205196
2014-10-31,22.33263338698691,4,0.04599353215953994
2014-11-07,22.503361622945754,4,0.028856063208519522
2014-11-14,22.819251057492448,4,0.007644787473130021
2014-11-21,22.90198400463563,4,0.014037433155080103
2014-11-28,23.4284663955468,4,0.003625576796308483
2014-12-05,24.060245264640194,4,0.02298850574712663
2014-12-12,23.27804285528646,4,0.026966292134831482
2014-12-19,24.02263937957511,4,-0.032510159424820384
2014-12-26,23.804525246197628,4,0.03198707592891781
2015-01-02,23.56384758178109,4,-0.009079524107701964
2015-01-09,24.556642947499288,4,-0.010110584518167709
2015-01-16,24.66946060269454,4,0.04213214171720403
2015-01-23,24.40621940723896,4,0.004594180704441175
2015-01-30,23.503678165676966,4,-0.010670731707316916
2015-02-06,25.165560440377263,4,-0.036979969183358996
