Date,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,BRK_B,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,DIS,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,AVGO,PM,TXN,NKE
2019-12-10,149.2031095698825,66.44480046748431,1739.21,200.87,1342.89,1344.66,135.4059817842662,221.26,180.86044616573062,120.55024990532812,128.84100042535414,209.543328982013,274.13486095915243,286.73086680351463,213.55316244997016,58.034905374872864,293.12,304.17,145.22693195708,54.899369105849225,103.62,35.00114891336274,34.660604920051156,42.30912274790545,85.03869920000764,41.632359452656,131.32527503628296,32.48979519113822,51.57664715391875,62.874263759308754,116.67518037120378,82.933151023699,156.4,81.14384372057218,110.07665134149977,315.97501891995654,188.9814569006579,225.88344946547306,285.3476016662267,197.99056950983032,57.12492877574906,117.76612134831285,59.766472741641955,200.61426533322273,107.44881729710482,147.93560596221948,295.94631625540984,76.50836064882002,117.14559877761677,95.9065454660668
2019-12-11,149.76584213426307,67.0115413534741,1748.72,202.26,1344.25,1345.02,136.36356391132114,222.57,180.61236588732925,120.92857611006842,128.5344642161637,205.75815536909104,275.09598060619015,288.16149099601336,216.90646007513092,57.89273265224946,298.93,303.74,146.70802797773,55.36502906645723,105.51,35.10230830328576,34.42641164356433,42.481813044835675,84.92416896539484,40.95097877421646,132.12515746293676,32.59638264926602,51.74930470436892,62.78322080570418,116.53807675149613,83.2764173772739,156.39,81.27508376355831,108.52667050150579,316.96153779072114,188.7584985262688,226.04766511039747,284.8845316520277,198.4024777681726,57.44899000531505,117.89301397802923,60.074497725976386,202.27662428597168,108.10682518401072,148.76056264690533,300.3236089417243,77.36554609589858,119.41380473565746,96.07461177602693
2019-12-12,151.28620730820353,67.1823060745802,1760.33,196.75,1348.49,1350.27,136.7117755938866,225.92,181.23752818890068,120.84127006282066,132.2128987264489,205.7969776625569,278.14606438403416,290.30742728476145,223.62303537790828,57.97803628582351,298.44,305.96,146.87701208746,55.83068902706525,105.67,35.267841850432504,34.71464952231735,43.81536589335242,85.48727595224112,41.86597568526384,132.202254564301,33.604118617019786,51.931554340955195,64.03961356544711,117.28235354419476,84.31602404810079,158.59,83.17806438685732,110.93567686727955,318.2370369367603,190.2998194622629,227.96029438657624,286.85257921237354,199.99126676463544,56.990918492845836,118.7910233575605,61.547242182325434,206.48662210713468,108.74547989777233,150.38065830478237,307.9134211531878,76.64514556058786,121.68201069369815,96.60846946648847
2019-12-13,152.55975995390688,68.09552610484322,1760.94,194.11,1346.87,1347.83,136.7504657808383,225.37,183.71833097291432,121.71433053529829,131.05380868544756,207.7769146293161,279.98003758807545,294.16216469232745,223.5431949582616,57.636821751527336,298.5,317.94,146.38,56.06351900736926,107.65,35.18507507685913,34.52549341438568,43.460391394106956,85.706792235249,42.42081423770747,132.9346770272611,33.37156416292276,52.200132752766564,63.029036780436506,117.80138867594513,84.6887132319821,161.13,82.34375268501687,110.14201197933083,319.3730283637014,191.08502069380705,228.68477517300758,281.57551050889714,202.67847778334425,57.734066425309194,118.62508684177755,61.43173281320002,205.63085152199176,109.84861076699693,147.61755037294301,296.28447620542556,77.21052319589501,122.23217128777611,96.6579007341238
2019-12-16,153.54701006685522,69.26118094021962,1769.21,197.92,1360.7,1361.17,137.1470401970934,226.85,184.80988419788036,121.80163658254605,131.56150928191923,209.18422276745375,286.4038474738884,295.0265001419621,224.70088104313854,58.034905374872864,304.21,323.8,148.46,55.97620776475526,109.57,35.48855324662817,35.25509554497928,44.11277696028781,85.80288685598592,42.3721441892475,132.08660891225466,33.62349815486121,52.200132752766564,63.73006752319161,118.0462165682802,84.73775128249282,161.96,83.834264601788,111.44922473595226,320.5189846277209,191.82175271352747,234.92496968013617,283.14801909878133,201.05045942894404,58.34807717606581,119.91353508197459,61.12370782886558,206.58498654220858,110.83562259735578,150.5198076250908,303.5267351349285,78.65132426651641,122.64720471839632,97.68607110093866
2019-12-17,152.7177199719786,69.39729774689839,1790.66,198.39,1354.89,1355.12,138.8590809697068,227.05,184.09541299608443,121.5591197846356,132.36616683104413,211.3097433347099,284.87390191329786,294.07275068029634,227.8346175142709,58.28133809408676,315.48,322.85,147.73,55.58815779758191,108.46,35.405786473054796,35.0389171359145,44.55409660799839,85.54343137999625,42.23586805355959,131.22890365957767,33.95295029816532,52.200132752766564,63.43873007165703,118.77090712959202,85.38505354923409,161.63,84.44359337279506,110.73959495378634,318.8538732473679,190.5033901519225,234.57721890264915,285.12571395108966,199.48128511144984,58.43335644700422,122.33425601810235,61.710880455253104,206.23087457594255,110.651767452485,149.85387873504322,304.1560883752355,78.3777544429807,122.66650859889029,98.51651639721221
2019-12-18,152.40179993583516,69.23148272785333,1784.03,202.5,1351.91,1352.62,138.50119674040343,225.01,183.48017390564902,120.29803243550124,132.2320572395233,211.581499388971,287.2570863442178,292.82095451185995,229.05218391388283,57.68421265906847,320.8,324.38,146.26,55.462041558250576,107.83,35.626497869250464,35.029909702203476,44.745974715698644,86.11999910441772,42.04118785971972,131.0361609061671,34.020778680610285,51.71093635982443,63.61171168350568,117.38028470112879,85.25755461790627,161.48,83.74052171394075,110.692908783907,318.6644294376271,189.6406381814604,233.70784195893154,281.57551050889714,201.79581722975377,58.547874325121526,126.3850591975097,60.786805502249784,204.92262758945967,110.119555191017,149.09849671051157,307.5752612031721,79.21670190182354,121.95226502061364,99.42605172170227
2019-12-19,153.72471508718593,69.30077855670797,1792.28,206.06,1356.44,1356.04,140.59046683579606,225.21,185.10758053196196,121.1807935798953,131.57108853845642,213.73613667632657,288.9439493982023,295.5927888848262,234.99031512510504,57.62734357001911,332.22,327.63,146.15,56.22844024341793,108.88,35.80122772457203,35.10196917189173,45.9356189834402,86.47554920114426,42.479218295859425,131.51801778969352,33.86574237787894,52.10421189140536,63.17470550620379,117.59573324638366,85.66947424219615,163.33,83.21556154199621,110.30074495692058,322.3037447300155,191.02685763961858,233.6112445207407,283.3506122299934,204.2868814587758,58.63559014665819,127.72231229528998,60.49803207943625,205.9751270447504,109.81958100728049,149.52588390860183,304.437888333582,79.48476308678886,122.00052472184856,99.99945442627211
2019-12-20,155.40304027919808,69.15723719693764,1786.5,206.3,1351.22,1349.59,141.27721765418903,226.31,186.55636935782596,121.60762314421768,131.46571671654723,214.67757729287382,286.9530587007671,296.6260174682975,238.89251563533676,58.83107262156392,336.9,327.61,146.88,57.18886391217197,108.75,36.003546504418054,35.33616244837856,45.52308105188466,88.00345367086112,42.91724873199914,132.91540275192003,33.875432146799646,52.72769749025318,63.67544175102887,117.80138867594513,84.99274914514847,164.55,83.70302455880187,111.74801622318002,325.7635869394917,191.1044083785365,234.789733266669,284.4311089297911,207.03293651439066,59.13751956989574,129.26454579491977,61.13333360962603,208.64080323525314,110.06149567158413,151.92124006534027,302.700121923779,78.8192318689439,124.46176948482888,98.82299025655124
2019-12-23,155.40304027919808,70.28576926685618,1793.0,206.18,1350.63,1348.84,141.6447744302303,225.48,185.64343393330893,121.16139223606247,131.4273996903984,212.75587376631344,289.4048945350468,295.3344817389584,238.34361275026578,58.19603446051272,333.1,328.95,144.68,57.4604988891933,108.61,35.9299760390195,35.41722935177785,46.146684901910476,88.15720506404017,42.92698274169113,132.06733463691359,34.07891729413454,52.67014497343646,63.994092088644834,116.56745609857634,85.66947424219615,163.74,84.60295628213538,112.35493643161139,327.0797228808486,190.1931871962507,234.76075403521176,282.9647205514942,206.76813834831353,58.17995518478721,128.0151414407893,60.844560186812494,208.30636415600188,110.20664447016631,152.30887031477099,303.2030406216461,79.51249355419907,124.07569187494963,98.90208028476778
2019-12-24,155.37342277580964,70.3525902446803,1789.21,205.12,1344.43,1343.56,141.15147454659595,225.47,186.1296712789756,121.47181373738783,131.79141143881208,214.17288747781754,288.86549065150535,295.54311443369784,238.14401170114908,58.082296282414,333.2,329.64,145.29,57.63512137442131,108.69,35.82881664909649,35.390207050644754,45.839679929590076,87.86892120182944,43.345545158446846,131.92277757185568,34.12736613873808,52.478303250714056,63.74827611391252,117.0375256518597,85.60082097148117,163.25,84.22798473074641,112.36427366558726,325.55420167609395,190.64879778739362,234.08457196787586,283.85227141204234,207.53311082809194,58.60147843828282,127.97609755472274,60.796431283010236,208.15881750339102,110.09052543130056,152.40826268641987,304.12347672906327,79.5956849564297,124.05638799445566,99.00094282003843
2019-12-26,156.646975421513,71.74840622589534,1868.77,207.79,1362.47,1360.4,141.05474907921666,226.45,187.70746184960828,121.47181373738783,133.1899828932434,214.31847107831456,289.9541057619255,297.2519155525157,238.7128746911317,58.09177446392222,332.63,331.2,145.7,58.03287259077399,109.75,36.012742812592876,35.471273954044044,45.90683726728516,87.77282658109254,43.773841584894555,131.73003481844512,34.418059206359366,52.77565792093378,63.84842336287753,117.04731876755308,85.60082097148117,164.51,84.20923615317696,112.6070417489598,324.756543529817,191.02685763961858,233.6692029836552,285.29936520641434,207.96463376540285,58.9547782750277,128.00538046927267,61.56649374384634,209.2703356197261,109.46154730411111,152.0603893856487,301.7322406561858,79.52173704333582,124.00812829322074,99.56445927108119
2019-12-27,156.93327795426802,71.72118286455958,1869.8,208.1,1354.64,1351.89,140.97736870531324,226.14,187.93569570573752,122.31577219411622,133.2857754586154,213.4934973421649,290.2679407487134,298.78188864727133,236.39750252137785,58.31925082011967,329.09,330.79,145.75,58.28510506943667,109.4,36.08631327799144,35.41722935177785,45.830086024205066,87.9265779742716,43.90038371089047,132.54919152044,34.25333313470731,53.092196763425754,63.62992027422659,117.11587057740691,85.71851229270686,164.98,83.61865595973934,112.32692472968378,325.5940845834078,192.102874142105,233.31179246234908,283.7365039084926,208.13135853663658,59.088788557930926,128.37629738690515,61.73975779753446,208.78834988786397,110.21021839510564,152.12009114826577,300.35633101107766,79.7805547391644,124.09499575544358,100.41467707440886
2019-12-30,155.5807452995288,72.14685724180954,1846.89,204.41,1339.71,1336.14,140.54210410210644,225.76,186.38767476851302,120.74426334365647,132.79723337521816,210.9118148266848,288.1887839612441,295.78155179911425,231.85657865397263,58.015949011856414,323.31,328.34,143.77,57.83884760718732,107.97,35.90238711449504,35.047924569625536,45.65739572727484,87.47493325680811,43.97825578842642,131.84568047049146,34.05953775629312,53.015460074336794,63.256644164447906,116.92980137923226,85.13005568657843,162.44,82.9812043223781,111.90674920076975,324.08850483231015,190.88145000414744,232.09466474114444,284.730174980628,206.58179889811106,58.79152938494558,128.16155601353898,61.34510078635596,208.03094373779496,109.80185234547227,152.08028997318775,297.4431981762626,79.21670190182354,123.21666919296824,99.65343555282479
2019-12-31,155.6893428119531,72.67400051131096,1847.84,205.25,1339.39,1337.02,141.0934392661684,226.5,186.4571372464654,121.16139223606247,133.53483612858264,211.95031117689672,288.31627942462666,296.64588724874886,234.83063428581167,58.19603446051272,323.57,329.81,144.63,58.06197633831199,108.17,35.93917234719432,35.291125279823405,46.012370226520304,87.39805756021859,43.773841584894555,131.71076054310404,34.12736613873808,53.092196763425754,63.529773025261576,116.38138690040168,85.18890134719128,162.64,82.99995289994756,112.523006643177,323.9190024762263,191.56001896967945,232.86744424667117,283.55320536120547,206.5131475217207,59.003509286992504,128.28844864325535,61.78788670133672,209.41788227233695,110.30744840692313,152.71710877443635,299.872390377281,78.65284906448268,123.82474142852809,100.15763448270515
