,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.34657682894805053,0.28790817152629167,0.3802245809238623,0.307365109600695,0.30986217861540866,0.4592415433788823,0.33899406754581884,0.3560688704142256,0.6153335154182208,0.39736183451750395,0.4627682359989371,0.3367392428085139,0.3217890036461004,0.5350154645018,0.4909833657869267,0.31040365093507594,0.5049483852885571,0.381146382046199,0.6568598231149326,0.5153568258325505,0.5129694958499437,0.4773087861497441,0.393388505299114,0.36465318158408067,0.626673935311987,0.4969740152224393,0.6548572367346132,0.4517247966682374,0.4665860101735948,0.4654134332082553,0.5201249249554623,0.5750899755520194,0.41986897038692245,0.5540194114193175,0.4232771861090197,0.3463081034129703,0.44692594890001935,0.5320899060839608,0.5885555175163163,0.5274471087171929,0.4562226264890304,0.49584742562919293,0.4526191268699293,0.6056087673956069,0.30286634492536374,0.6094015932023911
AAPL,0.34657682894805053,0.0,0.31664112596830113,0.42884698603272514,0.4532906135223324,0.4538085949658196,0.5393382846294047,0.45846041042060187,0.4550445071975081,0.6512259277570154,0.46632590075416236,0.5750506647503691,0.47609889904166286,0.31801308276271884,0.5982197732632174,0.4761780124128497,0.38834910098429526,0.5472058663960813,0.4390409775563448,0.6928752484262228,0.5879870319081586,0.580834618738447,0.5961782533800478,0.4522414872222624,0.4504531122220493,0.6498023255426194,0.5953605795368615,0.6530682177340776,0.5027260203310695,0.5720029779244007,0.5307364801613462,0.6099226706995716,0.6014860157562011,0.47449596188754894,0.5961493992936325,0.5160550138505698,0.4070963183746761,0.5288805997732917,0.5765146654753172,0.6313390364098758,0.6026158160859814,0.520467171751259,0.6023660365971785,0.480504690346339,0.6588250238999133,0.37436516041212603,0.6135673545341267
AMZN,0.28790817152629167,0.31664112596830113,0.0,0.33700561177549176,0.37974487602730705,0.3766962374783818,0.5393694645538623,0.42571570496974176,0.4541798917825788,0.6928054365691253,0.44796295162798977,0.5298100644586917,0.4320883678815432,0.38454997951133907,0.5725593837532397,0.42061356488459256,0.3047281293480054,0.5629378796833409,0.39347650644403304,0.7049391702049187,0.5892020254602778,0.5774321194104965,0.5515440832349984,0.40604180382189986,0.4117088676163494,0.687491239386856,0.5593927504461103,0.6902870332830784,0.5364484951911446,0.5773997392239718,0.4678348510749403,0.5824496648165455,0.6355146581172235,0.4648294237175915,0.5828127679161039,0.47405655005881403,0.4109264627424192,0.5135383906787531,0.5678896026571038,0.5852527618860799,0.5573472872721279,0.5420222190583652,0.6033441872838381,0.47243966008039767,0.6386580323975937,0.347430093661321,0.6109378778802141
FB,0.3802245809238623,0.42884698603272514,0.33700561177549176,0.0,0.35488605399565526,0.34460297860069455,0.5638829057028727,0.4190282848546184,0.5075553472663374,0.7003258323156508,0.4755316054904731,0.5312148395486875,0.45601267241818494,0.4501860600972742,0.5938000232956455,0.46334619171310765,0.3016693909860141,0.6047611208672244,0.40216998141401145,0.6867277772412793,0.5878083284998062,0.6003050345856744,0.5348841344727023,0.41540489837890227,0.4709380668155646,0.7056289738806919,0.5691928606127887,0.6839017016951012,0.6110803123521451,0.6390180816636145,0.414036927852002,0.6033523439505722,0.6592231921470944,0.5132456850555441,0.5785201398805804,0.5146280001264754,0.48683768183211806,0.5080569352124958,0.6195045401067695,0.5878902316203372,0.581788216463597,0.5489431433443476,0.6015257067823663,0.546908252777378,0.694890613058877,0.44913350685222786,0.587028787536221
GOOGL,0.307365109600695,0.4532906135223324,0.37974487602730705,0.35488605399565526,0.0,0.036121759497203226,0.4863904092521525,0.368970771428452,0.42444650520800786,0.6399790283945765,0.44953565879153085,0.4771305824063442,0.38949013592301057,0.4261644200221254,0.5205247098398044,0.5557430072205964,0.3704293112406038,0.5410598756956305,0.454081319356188,0.6229763144450574,0.4999824170608447,0.545472881937473,0.4809798481997594,0.4315778816277659,0.3995683729020605,0.6577020981509022,0.48286278766937607,0.6311196123155753,0.5540623578886209,0.5631676364362835,0.5076686298649825,0.4657452977961323,0.5637974753338286,0.4249468324685029,0.5340769153709048,0.48817804849242225,0.46300351559675906,0.45288776828170335,0.5707604030382266,0.5863599521169099,0.5170076822488628,0.4804441808134865,0.5520863653853593,0.4718348701755619,0.6194435825992416,0.36476715513633806,0.615080417860672
GOOG,0.30986217861540866,0.4538085949658196,0.3766962374783818,0.34460297860069455,0.036121759497203226,0.0,0.48325184960681433,0.35971471590020115,0.42259018921270236,0.6378364751653846,0.4495419309654443,0.4774082804747089,0.38479981129773405,0.4279023938645646,0.515868844111672,0.5553594190048842,0.36632185263090894,0.541357395663121,0.455597803932589,0.6202772110205222,0.4984955019690614,0.5465908468264864,0.47466394501759723,0.4222903891911691,0.3973708869678271,0.6567562569166612,0.4779244316617503,0.628992414907181,0.5569747845588009,0.5654264272424808,0.5019887499597062,0.4740570655602724,0.563714832021887,0.42520953349580376,0.5266346618654026,0.48991657454658316,0.4630183345010771,0.447873512694873,0.5739636767750321,0.5844737790402845,0.5156803361396299,0.47879570741279576,0.5471779980324338,0.47282910702461733,0.6193151859028287,0.3634513694839296,0.6122881811159911
JNJ,0.4592415433788823,0.5393382846294047,0.5393694645538623,0.5638829057028727,0.4863904092521525,0.48325184960681433,0.0,0.44141697399140795,0.39352488575260136,0.5675262218515954,0.4834222846235095,0.49224622423885467,0.4370754804604674,0.49624180533919365,0.4799463045441618,0.6538148392631915,0.5664900534258651,0.5524017975144253,0.6005555709845093,0.5672322338969478,0.4222365285435933,0.48446082175621047,0.41826017744516286,0.5239026397645115,0.4567226806159711,0.5722371137750276,0.44664984050993595,0.5798134114247462,0.6166813051370832,0.43089782031636154,0.6124558826836254,0.46570797209991205,0.5271072030766638,0.42223163266851815,0.4982601548161449,0.49879944796328546,0.4901645245933443,0.4921540091994634,0.5068023374520166,0.5559452359628633,0.49688570924386083,0.4599194027351997,0.41241570744365746,0.4314810887021764,0.5550453267575784,0.45467649725704756,0.580789203490633
V,0.33899406754581884,0.45846041042060187,0.42571570496974176,0.4190282848546184,0.368970771428452,0.35971471590020115,0.44141697399140795,0.0,0.40247074683168904,0.5488291850372496,0.3960271586671032,0.46824169065115545,0.1882104783806412,0.39756164998846777,0.4926075300509558,0.5652462269027351,0.39610362909214725,0.521121148953299,0.46331044474647437,0.584476780088215,0.47672774496862363,0.5068910354781184,0.4475033600214299,0.4204342008946144,0.4192025439923669,0.5758479501297057,0.45155864942787866,0.5822571569656606,0.5151106020609718,0.5212650461301586,0.5279311128670611,0.5343298894188543,0.5098307932640957,0.44719154335931766,0.45464547427156626,0.46853958116339334,0.42225055933314953,0.4063577102267049,0.5574448119087239,0.5692335879006187,0.48429829710588856,0.37190160222670227,0.4453582691240907,0.49427843664908305,0.5780205920120483,0.3282732752557293,0.5554516790172825
PG,0.3560688704142256,0.4550445071975081,0.4541798917825788,0.5075553472663374,0.42444650520800786,0.42259018921270236,0.39352488575260136,0.40247074683168904,0.0,0.5429448853935213,0.41843849509238956,0.5410203185915843,0.4041142669612554,0.40812369505190227,0.43855760851760667,0.6166313240499401,0.4871582669493996,0.5580009493179761,0.5311349333017805,0.6238153712612816,0.4817157054562435,0.5049510763982594,0.5029730240258687,0.47437623171216203,0.3411349490801491,0.5583418820052495,0.390847562423046,0.625472741960126,0.5059647103721514,0.5175156029962058,0.6047351712907071,0.5824421138062836,0.5466668565222265,0.4503083842511018,0.457776156674475,0.5040148847660053,0.3740445872135358,0.42985282915939327,0.4604272401553087,0.6677157348876634,0.5826481370974471,0.4230507354126289,0.48450510100188005,0.455310801769401,0.5804028702306294,0.4139224382254775,0.5853772310272284
JPM,0.6153335154182208,0.6512259277570154,0.6928054365691253,0.7003258323156508,0.6399790283945765,0.6378364751653846,0.5675262218515954,0.5488291850372496,0.5429448853935213,0.0,0.6209831853521494,0.6168830456552651,0.5376055826058439,0.6733975321386317,0.49533856668569626,0.6788206879035038,0.6944132452267863,0.6376701504452049,0.6832893332538009,0.4490302760172959,0.6256924963839757,0.5651099877341524,0.61490085073271,0.5756765181656678,0.5551962714702863,0.23679567869231266,0.46698322910977974,0.4695855506668891,0.6168229071979182,0.5524163633004915,0.6978911973165506,0.6436316169343346,0.41362050179425813,0.6650895880851164,0.5457955709138465,0.653221030786382,0.6082982354228801,0.5784552542473528,0.6223532583284683,0.7064416080370779,0.6062569507507544,0.4687433755054381,0.4612891928435378,0.69163043201197,0.5713359063415427,0.5663276525597704,0.6485650386235476
