,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.4948216312033473,0.3391988872149691,0.40007944871890755,0.45516597222443833,0.4565363802055847,0.5577842921695026,0.3662247950584227,0.5941051075950998,0.5593018985317763,0.5371559161209822,0.6392707880763299,0.35998169559128124,0.5264853777704561,0.6806796157783149,0.5076993399478206,0.3272948314974767,0.5696099839872532,0.32130884467369897,0.631632061864767,0.6118509571293246,0.43950318860567406,0.5836313901693156,0.4370560844902652,0.5594991960459693,0.5337259148600881,0.5694057299404062,0.5519773248778974,0.5060131839790736,0.49970258150251573,0.4116969764240545,0.5371631913388228,0.6046349660619981,0.47032366854015495,0.602966120851109,0.5994356654964962,0.4972942091695327,0.4321945886984685,0.661773011289581,0.6626169954212997,0.6092087734821502,0.5766171736642406,0.6062254657170142,0.5119668176995219,0.6934674140708412,0.5184138932757736,0.49202670135902643
AAPL,0.4948216312033473,0.0,0.4602665622349835,0.5460275412710163,0.5348068563711096,0.5259361653817918,0.5863560077377532,0.5080409853672336,0.7043231251485935,0.5523014205138027,0.5808479725725966,0.6864130884372759,0.5665752437170667,0.40679966537828505,0.6701011508219996,0.471664668213505,0.5309947281509534,0.4893074599166024,0.5322389288653803,0.6503041971868219,0.6757680855633504,0.48162357575479514,0.6692417026702856,0.5413687469888672,0.620162403309447,0.5162887377338808,0.6816653097175357,0.6074549370006168,0.6562637406046535,0.6319108228179656,0.5871123009461641,0.616358223325393,0.6665141580372271,0.6014398597309618,0.7063982899245255,0.6179271099436559,0.5736184176078112,0.5364861037064149,0.5769949031145275,0.6548362088137486,0.6074093614559845,0.6404042226848694,0.6840910361166147,0.6105899605662825,0.6983055445542702,0.4445215131935509,0.5441833712111979
AMZN,0.3391988872149691,0.4602665622349835,0.0,0.424730268983074,0.4057374672575018,0.4041523906710365,0.586601481745293,0.3972792581459634,0.6301797068041272,0.5654467443922132,0.6035256296370227,0.631750611953185,0.43028897289212115,0.5163077924969339,0.6685644549126762,0.4632759720216684,0.3674861971995925,0.5998798532597849,0.38314531572518207,0.6299835929637876,0.6462083126034543,0.47931441845711753,0.6441378671102015,0.564868315041629,0.649555737159979,0.5238635914094283,0.651440773173463,0.5938342600015484,0.5937119173881257,0.5793095783023492,0.5021545783278749,0.597836335198602,0.6206567464519556,0.5569636438705744,0.6958960505374819,0.6431720819090548,0.5683384013449577,0.4737432096922195,0.6399854712383743,0.694429654999545,0.6292387681270303,0.6550179053781979,0.6803222096480868,0.5886491601709186,0.7033692344341285,0.5346078659031339,0.5809456985867325
FB,0.40007944871890755,0.5460275412710163,0.424730268983074,0.0,0.4209273190191654,0.42175546928295476,0.651081028671006,0.49538845528972614,0.691267476224629,0.6251549086899272,0.6253023445791361,0.6412120710155041,0.4939390581037998,0.5924815961162024,0.6381996197952365,0.5296494167861359,0.47124458543991354,0.6201034764685884,0.3784656810081657,0.6913460398470451,0.6750167619983521,0.5745010975101598,0.6250922722737603,0.5151855176661858,0.6924483842500141,0.5965349142808677,0.6812948209629701,0.6164651332941348,0.6416798478591689,0.5899663263441544,0.5364607824248789,0.5988916664428271,0.6842824427779637,0.5827816082354158,0.6646248155159865,0.6585207636811027,0.6173302756591728,0.5574099439474152,0.671551066273228,0.6813836678257291,0.6172271852252478,0.6808778733354289,0.6885254698587352,0.6094901655714378,0.6794303702833145,0.6581665672867798,0.6484364757920651
GOOGL,0.45516597222443833,0.5348068563711096,0.4057374672575018,0.4209273190191654,0.0,0.0308160425034574,0.6498011080533744,0.4970747644514694,0.7020960426566865,0.6019014398339311,0.6384967795858089,0.6255140236399431,0.5746990475462916,0.6236920857406912,0.6464762221296392,0.5444253274267472,0.483664484102012,0.6117018682006292,0.4749569296656286,0.6861550986886478,0.6702873236802335,0.5669771811539499,0.6922759094253763,0.5679341547717616,0.67009408409598,0.5937835085119111,0.7017640952620313,0.6390177270347358,0.670905628723958,0.6519128374057582,0.5842884822549683,0.5928731234337302,0.7061325100590955,0.6685282278067337,0.6548448748068408,0.6284395666993433,0.6145955642347865,0.5478188094785028,0.6478434155598638,0.6597586945551708,0.6277615278989542,0.6910465719520001,0.693100054658438,0.6467945392268705,0.7047274444998515,0.6233960243206249,0.5916335323791186
GOOG,0.4565363802055847,0.5259361653817918,0.4041523906710365,0.42175546928295476,0.0308160425034574,0.0,0.6494998063580933,0.499111770786148,0.7021863617390538,0.601231569260195,0.6396735457423207,0.6266396148320739,0.5757477742276914,0.6194412115307301,0.6437506967405892,0.5429479743108538,0.48768952866034326,0.6054967445127784,0.47578201534415165,0.689632494095324,0.668690232279785,0.5641969369041475,0.6916397713789015,0.567471567852771,0.6717925130354891,0.5927120497754622,0.7053448241109376,0.6427482158625069,0.6701192291076465,0.6560599739847884,0.5848392609970984,0.5930031698543723,0.699321449961949,0.6691395309796055,0.6565061633090019,0.6317319241505976,0.614898681467442,0.5491789193026416,0.6430048761354077,0.6568011450969206,0.6314696143007322,0.6930546030475451,0.6907081784234121,0.6489037174606374,0.7040142143312969,0.6208065658702621,0.5931348642932418
JNJ,0.5577842921695026,0.5863560077377532,0.586601481745293,0.651081028671006,0.6498011080533744,0.6494998063580933,0.0,0.5489351666489274,0.5584699510513182,0.6548991898830161,0.5874151756767896,0.6907706549736554,0.6020470893404206,0.623174852786863,0.6548150081108336,0.6055979412482485,0.5806941591050875,0.6556737184115525,0.5850164224478928,0.6349034889566736,0.573334051989396,0.5502088788020016,0.5430174494667321,0.5712129535532694,0.5624078996481613,0.651937166757533,0.49985095223682047,0.6089631979519847,0.5502527513386228,0.577788320223195,0.6010135760611858,0.6846382140964237,0.652385903633612,0.5820054530105241,0.581040931921303,0.6035135375657265,0.4623143704207159,0.5391786601542368,0.6034896570744184,0.6065247069789056,0.6116536372693776,0.540549512122802,0.5676877772808514,0.6081048891140309,0.5897930236498825,0.6469067614173737,0.5621428294748263
V,0.3662247950584227,0.5080409853672336,0.3972792581459634,0.49538845528972614,0.4970747644514694,0.499111770786148,0.5489351666489274,0.0,0.5834950836858189,0.5318071282403258,0.5682024817467496,0.6457197971657553,0.25469542737869777,0.5727102654766614,0.6752436744316166,0.5394907808329691,0.30972935292362813,0.6308510207615966,0.3264884518574196,0.5757482841202665,0.5832273207497171,0.4377635925463225,0.6074327008852951,0.511120389736305,0.5507690713016012,0.512951172893197,0.5547228194263153,0.6000292866502731,0.521539130180506,0.528021756643948,0.4089908493914259,0.5539138844097357,0.6314362296534968,0.5439518053734783,0.605771121885749,0.6153635250730067,0.4875319215675123,0.3382127091156916,0.6637114796898566,0.5942044646437651,0.6183301824380197,0.5852905965480824,0.6384905676823409,0.5491365365409027,0.6637393790646419,0.574026611376381,0.5212601479765869
PG,0.5941051075950998,0.7043231251485935,0.6301797068041272,0.691267476224629,0.7020960426566865,0.7021863617390538,0.5584699510513182,0.5834950836858189,0.0,0.6733136510039628,0.594954375776886,0.6723648929809317,0.5726376296617776,0.6885727011148338,0.5114749528120249,0.6552471018268655,0.6156368658094746,0.6977449514043156,0.5971680998353716,0.5867287690046344,0.59627589192122,0.5767770171808313,0.6162349477885665,0.6314191058648981,0.493604181651812,0.6934564179248174,0.5079869449810055,0.6457206355640139,0.5773473109058422,0.6248998881686967,0.6017544910338786,0.6678219109783577,0.68140511428748,0.6143461498042851,0.575385250402688,0.6613089472284069,0.5404384455045476,0.5989479412778239,0.5388676665597497,0.6752380870743379,0.6327774582632513,0.5045950084625224,0.5768596405236599,0.5741195580246453,0.5599783524573699,0.6649736133161235,0.567498588572676
JPM,0.5593018985317763,0.5523014205138027,0.5654467443922132,0.6251549086899272,0.6019014398339311,0.601231569260195,0.6548991898830161,0.5318071282403258,0.6733136510039628,0.0,0.5193103832469361,0.5898979193072379,0.5534371159636072,0.5054045742478267,0.6675431058902611,0.6610833426306808,0.5860642094628209,0.5948911541326644,0.5354568177434126,0.5985581295900385,0.6530222573280876,0.5499335894755,0.6981163208647135,0.5380677530564465,0.6282503828344183,0.22633178077921381,0.680505536094199,0.5814001850433435,0.5851824320258237,0.6813356401710958,0.60093983610838,0.6292418550157537,0.6946840554668287,0.6618916485258245,0.6843408039489091,0.6539942073696762,0.6352216270115298,0.5561879610741767,0.6793046744339752,0.6428359586447754,0.6640142686886062,0.5897463495081353,0.6750263980003179,0.6757004516025497,0.6787438873577726,0.5059357228693375,0.49914422256642227
