,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.24669052492734397,0.3819936366638285,0.37521316520386844,0.28273527088977085,0.2863007866475871,0.3658510424227282,0.3499700892697466,0.4604471100072666,0.5574190426798284,0.37557259388890524,0.4226550751751928,0.3728964310265734,0.30070118670949375,0.40545728572494144,0.485986895653289,0.25341281780312425,0.3034851719087591,0.3792517824439598,0.47450517247590573,0.4563786307178111,0.38720297840198026,0.4110994205369312,0.46012279049358573,0.3818869761427081,0.5517589603392411,0.41641030085597086,0.5392732254144229,0.485516272754025,0.38268356897838096,0.33538774442716707,0.4564787566074725,0.4759297115580967,0.37036520034404025,0.4046104266576775,0.43739412734523664,0.3582118451615702,0.3702570656972631,0.4602737919415054,0.5186887208531971,0.48063080648322576,0.39004348402735683,0.43994449715316947,0.3965084727391524,0.4590359368303933,0.36561921603622255,0.39408588588577254
AAPL,0.24669052492734397,0.0,0.3818614517897213,0.3503761587634546,0.2777247799049966,0.27931345930066204,0.463107215220199,0.3453464940603681,0.490647930916609,0.5380374670356137,0.3931311430154419,0.3850859324879841,0.36173052820100915,0.32615684312549165,0.46614773789172326,0.4742948188816502,0.29128478476526204,0.36396087852523307,0.40685470613310926,0.45763579838883645,0.5079356399953643,0.4278998874546372,0.45592666892540057,0.4491148631230656,0.41646546386218986,0.5247283351323936,0.4117657861554267,0.537749616160576,0.5237692682918343,0.4546783781768361,0.35434506742873056,0.45655062043819017,0.4799119326150527,0.3952441076006409,0.4010845306072644,0.49736725946028704,0.39981698534469806,0.3838033999305121,0.4683474607367705,0.5472438346389142,0.47723426310244077,0.4010168073629414,0.43738722072380487,0.4009020542674243,0.49499701328489915,0.3741143640206353,0.38765177233032116
AMZN,0.3819936366638285,0.3818614517897213,0.0,0.4496573664942793,0.43548214699537086,0.430375298557342,0.507086704739892,0.5564054565683169,0.5593826999795053,0.6761655637506817,0.5754802402560423,0.47256304844952174,0.5715284960497103,0.425889551971221,0.5754242655428586,0.37320061598573095,0.411072555280581,0.4399085067758981,0.5116409123123362,0.603700691209812,0.5843459123397945,0.5322523389073471,0.547846742110344,0.5825413691091068,0.555938827225394,0.6561729892107258,0.6111583663333913,0.6264930718689283,0.5777707065265872,0.48113747076736957,0.49779360124290956,0.5730326749746412,0.6094061222413287,0.5398931223829501,0.5609724859103428,0.4854465664346508,0.49232143481046486,0.5561764820979743,0.6201267413183094,0.5852854876081772,0.5739123067611757,0.5609016537209831,0.586863531478037,0.5377719406886412,0.607382092436145,0.4969155033107593,0.5517330709341335
FB,0.37521316520386844,0.3503761587634546,0.4496573664942793,0.0,0.2929126581245562,0.2820562960228911,0.5131230930558138,0.41404462313303575,0.5829614608712701,0.5362295393450616,0.47939504499494534,0.46554382211543055,0.4375981600062198,0.4356592568991937,0.5481595234854744,0.5436387926162558,0.3780456814337995,0.44630247348118357,0.44188194722292357,0.5185128662454133,0.5681231679873475,0.5249760075026336,0.534801028490706,0.5318445892441103,0.5380519010777018,0.5188118604712608,0.4985251032929552,0.5275176004757763,0.6288134397025376,0.5215587853586248,0.43386946031369467,0.521171333125271,0.49353255602509427,0.5049879318600983,0.45743819368062294,0.5602741756794426,0.5220496116623466,0.4289077231831231,0.5548166746888887,0.6147384219990314,0.5579241717958083,0.47009539874059897,0.5058889405304022,0.5398728867702294,0.5470323648100491,0.48912428050518847,0.44215242760796597
GOOGL,0.28273527088977085,0.2777247799049966,0.43548214699537086,0.2929126581245562,0.0,0.03147363150761768,0.46116053027960113,0.3013011080698584,0.5284232334036798,0.5148319860188764,0.4100624502120811,0.4390158559457461,0.32895941461918365,0.366257368419086,0.45970002096694573,0.5158278163467096,0.30200498342894905,0.36242075245602895,0.37504027880271623,0.4440607765771458,0.5056620877271109,0.43807785960125556,0.45877047075338623,0.45660091953231363,0.503888202864426,0.5047089804297624,0.43310602288797456,0.4917713205063524,0.5935471697690516,0.44718280061311244,0.3752130363893565,0.45710263699398224,0.4249472182210776,0.4331119375675935,0.40715774463274196,0.5283408636157384,0.45584881612529926,0.35369271718596107,0.4953638889491283,0.5720126829388954,0.5001099989476611,0.4177753859132696,0.43043571557815424,0.4425245231134907,0.509363173087961,0.38333771693575125,0.4008201680760655
GOOG,0.2863007866475871,0.27931345930066204,0.430375298557342,0.2820562960228911,0.03147363150761768,0.0,0.46222971763714477,0.30816304022681756,0.5269140435801685,0.515199192391515,0.4164863459390884,0.4381834580080889,0.33708878114489915,0.36688737908126456,0.46196038148831214,0.5079376228366257,0.30288781538267406,0.3664383461029121,0.3757108806675138,0.4472791092841714,0.5082530675806998,0.4443489413796581,0.4579100876941621,0.46072154555793926,0.5065861625934714,0.5035049062611111,0.4364098927660182,0.49522585065608987,0.5939445674238253,0.44665411404190186,0.3752690429617131,0.46196932526097,0.42732068926885985,0.4327915871255332,0.41077366017056194,0.5270748465557183,0.4586252140709886,0.3567913685895298,0.49812818966403205,0.5771869245198326,0.5040692046825443,0.4214790977283519,0.4356758407526081,0.44776817671462726,0.5141979371911473,0.3877652962196846,0.4071318568841468
JNJ,0.3658510424227282,0.463107215220199,0.507086704739892,0.5131230930558138,0.46116053027960113,0.46222971763714477,0.0,0.46798920966700136,0.38869204900520155,0.5919452203269547,0.4719962656974611,0.422880582462673,0.4688103800349978,0.4435746921716957,0.3773540209914676,0.5576498730300223,0.43792862071666144,0.4576469688883393,0.5096391713969594,0.5436311543514745,0.3809330072864316,0.42024600983308463,0.3095341027648401,0.5057006393076471,0.38168148535073276,0.586179631234905,0.43727702441938265,0.5661632885553887,0.43607756622936733,0.3932306020302137,0.486921736488825,0.4574647535282348,0.47941178541032686,0.42097374452869435,0.5087406036956654,0.3830674133871545,0.4410191274503898,0.46976731565545554,0.468825223991516,0.45419689286353787,0.44431310806906166,0.4398879204155072,0.4673190071739157,0.38247785739171686,0.4846327047231502,0.48810263027901496,0.4865701968439499
V,0.3499700892697466,0.3453464940603681,0.5564054565683169,0.41404462313303575,0.3013011080698584,0.30816304022681756,0.46798920966700136,0.0,0.49866141881339116,0.398998289278119,0.3150016168755759,0.46451932937023377,0.13979795384196556,0.3863273640369428,0.403175827856215,0.6371485061359983,0.3686369707304324,0.37583428441557376,0.3742970842611466,0.33789661587175324,0.4812312647958812,0.36696389127824625,0.45192600802018995,0.34811560819184273,0.4203634140043757,0.39092008569808123,0.32341763729831935,0.4064312885323965,0.582171555762023,0.5109495548324947,0.37974489130297934,0.5013158111148017,0.34001781178115,0.3958245117921,0.3126738481667563,0.5318341192248048,0.4622331341850968,0.25125590963317235,0.4212719847211466,0.6074670649543427,0.5218628976950521,0.28832771788604006,0.3036187079507777,0.4132759043607179,0.4766639666876899,0.31341836623917985,0.35188626853234617
PG,0.4604471100072666,0.490647930916609,0.5593826999795053,0.5829614608712701,0.5284232334036798,0.5269140435801685,0.38869204900520155,0.49866141881339116,0.0,0.5535008692015554,0.49138702329544226,0.5100216848280508,0.48608276716270526,0.5273896963920948,0.41387447972933483,0.5987412251350742,0.5347609345394532,0.5312131955631613,0.5821326415703635,0.5138284678267844,0.4894452197207118,0.48328092676669154,0.4728419084787954,0.5021678685838555,0.3649977772140834,0.5580660450643387,0.4276026126453711,0.5212422875563069,0.44456626503798036,0.49576076167456284,0.5221964994191667,0.5844752171874992,0.482225242797011,0.5168230841327915,0.5299027486271985,0.4556795314318738,0.5120073299186966,0.495100093184419,0.46006036725287525,0.5579326500965023,0.583627889526777,0.49860095881246064,0.5118453911742638,0.474759767869914,0.47618351613607157,0.5002094527706614,0.5093107661867735
JPM,0.5574190426798284,0.5380374670356137,0.6761655637506817,0.5362295393450616,0.5148319860188764,0.515199192391515,0.5919452203269547,0.398998289278119,0.5535008692015554,0.0,0.40001085653368,0.5356797798469616,0.3906238961367678,0.602825654905822,0.4730506628760224,0.6725906883464454,0.5802369229674147,0.5434743780676435,0.5764125828157648,0.2762764359106841,0.5251449504059353,0.4856004388096466,0.5096088208423851,0.38146882826145473,0.5138713758925018,0.13593472754026326,0.3264375035332967,0.36511326608525524,0.6873143805497756,0.6037948854795577,0.513816715106412,0.5831869075232461,0.35204833887113396,0.5361924783726653,0.36958454363945686,0.6047179935812619,0.6293801168279625,0.36656308541691507,0.452481533429006,0.670485981261283,0.5682734201208106,0.38237781432789214,0.3637454111206333,0.526773984313674,0.43707449924007,0.45156367447613877,0.3794370893407255
