,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.40109519361850404,0.358765489082409,0.46840416672848273,0.34824589214847906,0.3576477114771778,0.5103418604874301,0.42240329956899997,0.5316892869787373,0.6803299330203388,0.49749065576344476,0.5561621084069082,0.4069143424608171,0.3613910331604769,0.6673069464046177,0.47399092954645666,0.3434909244516303,0.5614902591522829,0.3961299676710451,0.6935546334611418,0.5863271641457937,0.5667661361415551,0.511828098587612,0.5215738087211482,0.5039878515327727,0.6426776940216348,0.6152360906962303,0.6971499473329381,0.5230884687711103,0.499206401003412,0.48152597933241087,0.527649804177498,0.6590697210972885,0.43906017601105296,0.6249459850465955,0.47376459417390604,0.4220823491497891,0.48732430504826546,0.5913922226254422,0.6043972998908803,0.5977184821690714,0.542550932585551,0.5706778931003879,0.4846713358966698,0.6668053432611059,0.3847120947544774,0.699258595717927
AAPL,0.40109519361850404,0.0,0.37645425401981164,0.4228826338358075,0.493142081179176,0.49670992846208467,0.5941647026747872,0.5579616939782289,0.5666954525609996,0.6885381905890884,0.5289138635581327,0.6138914567797781,0.5413859679608135,0.3888656859406889,0.6545737779229043,0.5108870778178555,0.4221607425573803,0.5985158867425363,0.45506354261839255,0.705919600173417,0.6382086716258939,0.5760166360825643,0.6000775066464,0.5676315668330331,0.5378914047256788,0.6536883718270624,0.6718931948374722,0.684441139915671,0.55951385251719,0.6101624866172621,0.5528538677879399,0.6050935330090567,0.668839303528375,0.4913650816398939,0.6530518176144111,0.5735000861277445,0.47232481302385737,0.5458543649675726,0.6300038233295729,0.6878265524657525,0.6263869094234146,0.5472169156060013,0.6394189981251855,0.5154884132409498,0.6802234071077836,0.44678233422971314,0.6802975903380514
AMZN,0.358765489082409,0.37645425401981164,0.0,0.40969607684392123,0.3389267181722826,0.33505946349575966,0.5751465683352213,0.4792341420631062,0.5530966990777079,0.703692123610347,0.5238461327970886,0.6167742711483081,0.46320680659671665,0.4408456986068457,0.6392477133164474,0.44461992785996096,0.32714222400756676,0.6023491241747772,0.40282080690339245,0.6777069343230868,0.6536880161817952,0.5775197588877345,0.6312383291191932,0.5242194133622807,0.5156190661692956,0.6758894851633132,0.6311240081222977,0.6884899713755128,0.5819080406160352,0.6086845865474382,0.5005329887772934,0.6045676428257467,0.6954093984600275,0.4794193732086868,0.6296705494147498,0.5342789462507114,0.46480954470367425,0.5149715855525779,0.5842759788123602,0.6578837846721814,0.6448072701622646,0.5604257920570103,0.6633731395653613,0.518398264355176,0.6796341489127798,0.3902910763722051,0.6935368047776723
FB,0.46840416672848273,0.4228826338358075,0.40969607684392123,0.0,0.43747311594670996,0.4327064698709625,0.6117834343707893,0.5609393355737059,0.6200801711432705,0.6991623772105959,0.5459558795839349,0.6410876863871864,0.5629485413856355,0.5400420980866458,0.6090370630269929,0.45580664892581607,0.3627196825044094,0.6187514952957902,0.4938325588058494,0.6812603256164189,0.6770431970125003,0.5906013936760113,0.6094686255575711,0.5600987858922565,0.5355119600379699,0.702741947235321,0.6296355118541704,0.6756528222353417,0.6614068781720582,0.6472050388356883,0.43808505085075117,0.6226912893112723,0.6758310227488974,0.5551778044037895,0.6282595034132937,0.5747371417721736,0.5579995671608845,0.5407153524075058,0.6043154193151614,0.70186048969269,0.6296855501299641,0.5791867856905937,0.6179702518145883,0.5723951880221242,0.7022376624090241,0.5279973616862114,0.6933955141221902
GOOGL,0.34824589214847906,0.493142081179176,0.3389267181722826,0.43747311594670996,0.0,0.047195080062935185,0.5181986419934502,0.3891156161221481,0.49956075954642076,0.6792580001318046,0.4655863982714345,0.5716852297208641,0.4363481445034557,0.41808676417848567,0.5978285174516286,0.4791648213123202,0.350735441384606,0.5625933861514987,0.43829318151333285,0.6881029469745775,0.6046430918062901,0.5868566127831558,0.5889288509954111,0.4773098380052703,0.45406192745197854,0.6638323615767916,0.5343545431112,0.7024179426973249,0.5583597666512198,0.5527703784642892,0.5098906290496212,0.5693295260304095,0.6477138015439006,0.4436473507109102,0.5492431611755373,0.5319439943687475,0.46032151038291685,0.4789465434641594,0.5339666517510537,0.6573808369851429,0.6099422608982029,0.5277409943453154,0.5977251939926794,0.5067886697371276,0.6489515967861825,0.3473147841577325,0.6813303116168581
GOOG,0.3576477114771778,0.49670992846208467,0.33505946349575966,0.4327064698709625,0.047195080062935185,0.0,0.5148791943709197,0.3846243402860488,0.5094607681381743,0.6712146357696255,0.46816048453466946,0.5627443587808608,0.4352120715168792,0.427378053632909,0.5876843643549408,0.48163163188501684,0.35289525443261466,0.5719118016427956,0.44773732653545145,0.6836524694831375,0.6054525400046424,0.5921781259640303,0.5865675714198616,0.4739983303628633,0.4583069775669426,0.6607075803124822,0.5294880806124275,0.7065535080403311,0.5640568895291627,0.5584350408633433,0.5061135466050992,0.5737917839920667,0.6434873660166327,0.4471185556142425,0.5431169031926615,0.5367374813017664,0.46611249265440247,0.47633979137539767,0.5405968573843558,0.6509504651530885,0.6133758671858511,0.5240294547033489,0.5954937022639856,0.515428046638306,0.6492073758505698,0.3490681603466713,0.675059692029038
JNJ,0.5103418604874301,0.5941647026747872,0.5751465683352213,0.6117834343707893,0.5181986419934502,0.5148791943709197,0.0,0.5047771079680814,0.47240335306690723,0.5866057367567378,0.5053765517469527,0.4402907209015568,0.48588435933336066,0.5233231690506251,0.590459378359316,0.6607465422705078,0.6076357833424524,0.5482234414459671,0.6246149306303355,0.5763944917641235,0.5142392587500364,0.5354482292482178,0.46314389160365615,0.5865687125914073,0.5290292127875045,0.5816837827414955,0.5222301136575734,0.635955829682045,0.6627006340473587,0.45791985032042326,0.6409306516292682,0.4195772030856055,0.5950865197423363,0.4648441105485732,0.5996984723897757,0.5326908440844795,0.5415860623983101,0.5023846663259702,0.5351548620945186,0.4855594369208579,0.5004378559189093,0.4811057129122835,0.4805135234961663,0.4952331841600326,0.5863314613228774,0.5087031804045972,0.6236787126804877
V,0.42240329956899997,0.5579616939782289,0.4792341420631062,0.5609393355737059,0.3891156161221481,0.3846243402860488,0.5047771079680814,0.0,0.5542023881393998,0.5887165006719447,0.48290830477467755,0.5228484125330395,0.2333592182279813,0.45848714686482983,0.6269155118683132,0.5925343039965404,0.43727278409389775,0.5536618924230743,0.5056768439760544,0.6484678164154232,0.5331244272074562,0.5468943452215508,0.5597807721112491,0.550057895083149,0.5188777638706151,0.5830949724052684,0.5147506310567966,0.6400290528950939,0.5646071278789536,0.49663115151305615,0.5501027573288659,0.5531152014048889,0.5749432363164083,0.4703451511966235,0.5258346871854832,0.5329554839038703,0.5014485542548227,0.45132795611541315,0.5901330731767496,0.5832115696276408,0.5164050051113928,0.4548632308659121,0.5144604186418195,0.517196906301702,0.6254094817568027,0.3740457564944284,0.6630262861885947
PG,0.5316892869787373,0.5666954525609996,0.5530966990777079,0.6200801711432705,0.49956075954642076,0.5094607681381743,0.47240335306690723,0.5542023881393998,0.0,0.651952996944095,0.4950560577558027,0.5523862779896216,0.5540159739148464,0.4856046740391616,0.49645386869851715,0.6410172751886845,0.5817318775581344,0.5694520381356646,0.5511659631661676,0.5875826521631757,0.49278535815616925,0.5717852957081863,0.5424558144818479,0.5640975166462389,0.43082718487453087,0.6275118414332594,0.5040168454655891,0.6786919207429293,0.5707540467836145,0.5460181984159285,0.6839207300064937,0.5326006638114112,0.6336446391095885,0.5178023876948483,0.631310080651578,0.5641738068462607,0.4814142732563849,0.540339698345396,0.47843728396853713,0.6348269410127156,0.5526479702391411,0.5336818067379369,0.5864397280805385,0.5015278127126531,0.5934586465391486,0.5150740607861547,0.705471708218269
JPM,0.6803299330203388,0.6885381905890884,0.703692123610347,0.6991623772105959,0.6792580001318046,0.6712146357696255,0.5866057367567378,0.5887165006719447,0.651952996944095,0.0,0.6713670090551277,0.5224196500947609,0.5932517277864976,0.7009851170806759,0.6147833907511852,0.6280166134080541,0.6562396669138746,0.6652788566023916,0.6658652927141419,0.5356281459611105,0.6472738689106408,0.6376331834593676,0.6298304145433845,0.6097632977824625,0.5844619630040315,0.248420306095587,0.5256204171585122,0.4706015163542228,0.6503608054054918,0.5878347496422612,0.6688266549037821,0.6330524581487186,0.4507606781499383,0.7026848989422576,0.6737976031703637,0.6822883946000534,0.6809327326368071,0.6283546502193761,0.6990832575009589,0.6257436030228952,0.5476421427437359,0.5537122232248584,0.5067235804854258,0.6919870901485495,0.5535670459418672,0.619864852014995,0.6522518981411726
