,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.3970549195452712,0.28752672029238097,0.3698029547560334,0.364142303672827,0.360882575252718,0.6165995908045984,0.5483882906000713,0.47895145149004514,0.6826687331193956,0.4838083542522537,0.47826716022196547,0.5293299200035984,0.35523204309605466,0.6809649432537771,0.5188509659355648,0.2946306268952786,0.6047041374566526,0.42676030762317885,0.6846408855446828,0.6760664666431723,0.5748646725347673,0.5491739250089135,0.5292538045461501,0.48697202335077167,0.6982740674279413,0.681717554899184,0.7067246889742783,0.48963302725359265,0.5318464096261477,0.41596522897644345,0.6212246834112626,0.699421373150644,0.4868011978420446,0.546951835694888,0.5683507160565499,0.4464530452949512,0.4995421899732981,0.6134238852606744,0.6360175965914364,0.566043960755931,0.5778620827436073,0.706367401048224,0.4977867272180355,0.6920366418553743,0.3604529653792369,0.5045782678488003
AAPL,0.3970549195452712,0.0,0.3463076522693834,0.3876029069728983,0.496918737634801,0.4925455639997466,0.5816924203435155,0.5849804184582488,0.5183398752628889,0.6974120048654919,0.5475824365010677,0.56927624144726,0.5930794476705836,0.4411950555308029,0.6523047815718955,0.508047552866026,0.4611693327507097,0.6190637673106312,0.5058907472651114,0.6594055840958073,0.6888990887640415,0.606884888985836,0.5797796670909147,0.5557611008837352,0.5053442835227852,0.696821638857644,0.6571810691348264,0.703827630062203,0.5457650984368729,0.5343804989683526,0.5496231715775414,0.7021040102304559,0.6960953758547771,0.5304388289027162,0.5750072161180381,0.5691284914551189,0.48984882633902527,0.5641828225933053,0.578823133409921,0.620595018447428,0.6056941351212074,0.5840466331806802,0.7045854960115484,0.5448207793353421,0.689885373389557,0.44471196928434154,0.5279678655127162
AMZN,0.28752672029238097,0.3463076522693834,0.0,0.33590585378871657,0.48644596162766546,0.48226128869759916,0.6771372679475958,0.6125168350645804,0.5113672953011692,0.6501480036133802,0.5165407794786554,0.5268019929571072,0.6092918803064755,0.36383309967043914,0.694091887893246,0.42309078495723795,0.3025027569534061,0.6228563507808046,0.4188405336388519,0.6266814080355487,0.690047695704975,0.6553292936874086,0.5787727934674537,0.5913433179969871,0.5140660803855055,0.6565519230876742,0.6749676861223427,0.654596111329715,0.5300217439833087,0.5482051500217943,0.490734454956772,0.6785605590204329,0.638469375308463,0.4825735226317628,0.57304004987291,0.5770097524761417,0.4180934198176439,0.5943202971157108,0.6333678940040411,0.6246670042648232,0.6015650664350036,0.6617153723574075,0.627198193790173,0.5116159695961915,0.6896378551810185,0.43317271713107464,0.5500647316851094
FB,0.3698029547560334,0.3876029069728983,0.33590585378871657,0.0,0.3971363399472237,0.39082525175400334,0.6653089944514388,0.571221489129669,0.5106180490709769,0.6844595038786438,0.5186933218841696,0.506393406129938,0.5793446491969703,0.40940435216681353,0.6741163414071064,0.5308114681329387,0.3904999097155205,0.6618878813413378,0.44467762335134337,0.6764353750227394,0.671104762735396,0.6234171073449722,0.5350294723163435,0.5253802017597234,0.5059545724950254,0.6754775894587154,0.6983212339742844,0.706087892190425,0.5367250648640925,0.61124373844264,0.5333002260962367,0.6734626560563453,0.6941507381703297,0.5305795959380906,0.5738253841868385,0.592321253461587,0.4454247189794499,0.5568575123597852,0.6726045241392523,0.6109715565805356,0.589713817505824,0.6186972161188844,0.6830515724291973,0.5551779950622708,0.696675572219032,0.45807087563935794,0.5614757192676945
GOOGL,0.364142303672827,0.496918737634801,0.48644596162766546,0.3971363399472237,0.0,0.032670210281326745,0.5704013738255693,0.515885303062595,0.5431386865291494,0.6143667059158339,0.5830823983862866,0.4233578159220638,0.5055059960688155,0.5157121124374697,0.5862883771210675,0.6643927221192927,0.4820210199444026,0.618055095069462,0.5811817804051648,0.6487048036613762,0.5715241872698459,0.5562047257941243,0.49496727689744763,0.46489940716548006,0.48081828762489914,0.638268802725047,0.5829980811590231,0.6212857223321895,0.5597256962282268,0.5973990718644014,0.5634369902708823,0.49648096123754953,0.6135799174725342,0.5547134953420336,0.6164298257769842,0.5457224033760224,0.5646887932447543,0.5212118814370671,0.6621871654999477,0.6053038331822008,0.5059541710844763,0.5733555911850243,0.6323985750043992,0.5814557965794231,0.6651035126876016,0.46355835911326126,0.564404444711908
GOOG,0.360882575252718,0.4925455639997466,0.48226128869759916,0.39082525175400334,0.032670210281326745,0.0,0.5688677969382762,0.5115465722677256,0.5410793079383394,0.6157535210174607,0.5797177703463816,0.42516677036029443,0.5055063124513522,0.5090791091813387,0.5883373083085278,0.6656428768922161,0.4788266393961892,0.6162715797659121,0.5763653605702997,0.6465821014083302,0.573573814640906,0.5578137288040076,0.49561318822366845,0.4607743062197397,0.47972484034133855,0.6390018757472756,0.5820196654535932,0.6175961084053117,0.5560365970330003,0.5966600301437925,0.5643901096574531,0.5018962333243162,0.6115007343913429,0.5505563843657555,0.6118421841082782,0.5471564382798315,0.5611819008490072,0.5169785769465183,0.6610352903220332,0.6051298407022,0.5063100643383187,0.5763677681458163,0.6353833379475647,0.5815369183243863,0.6643516630575041,0.4614459983667129,0.5606502313261895
JNJ,0.6165995908045984,0.5816924203435155,0.6771372679475958,0.6653089944514388,0.5704013738255693,0.5688677969382762,0.0,0.4720257226933476,0.5814401504622212,0.5662885962580293,0.6495564450289529,0.5484562984934594,0.48831453896583893,0.6867623046468303,0.46268217086300917,0.6752223747488825,0.6766381043519124,0.6435595107213291,0.6883354496746827,0.551187684257758,0.5138083104515676,0.49036433044045613,0.4998161766835662,0.536151047427553,0.4859169217700749,0.5646075537330774,0.4038027058267734,0.5349247960232211,0.599061166520424,0.5432386282430484,0.6626643515070761,0.5187437262296005,0.5331617920259005,0.6330627775190965,0.6577844556465043,0.5326813967879379,0.6648280029999668,0.47727476783367306,0.5486127747503566,0.5808592915111155,0.5197472820485994,0.4602625056901682,0.4760172110893407,0.6213765316279223,0.5336568493246904,0.574715272157565,0.6075129385871916
V,0.5483882906000713,0.5849804184582488,0.6125168350645804,0.571221489129669,0.515885303062595,0.5115465722677256,0.4720257226933476,0.0,0.6466399871182487,0.44219349173365785,0.6662677781596601,0.501249217460111,0.20898942998415224,0.6142348537942787,0.5018187028603631,0.695923568291155,0.5964713402446676,0.5927607891746695,0.6629831474029928,0.5838852643201569,0.5237538267963301,0.4967506667758685,0.5455479505839897,0.40238259568571905,0.5028666906863414,0.4625489049515554,0.3818335820352212,0.47948210045674905,0.5816716148275329,0.6760095559081744,0.5666916041325336,0.5419330234574752,0.46482694357715276,0.6876271262461293,0.5881885083681726,0.5096522911005945,0.6655331349426983,0.44825923781882593,0.6211001182992097,0.6050297132129164,0.5188873217143272,0.4238745581064667,0.4347134054290323,0.7006784930305371,0.5916062624165547,0.5143471625391841,0.5342656675438459
PG,0.47895145149004514,0.5183398752628889,0.5113672953011692,0.5106180490709769,0.5431386865291494,0.5410793079383394,0.5814401504622212,0.6466399871182487,0.0,0.6329409314528299,0.433065871010932,0.5970170796810097,0.6711748821185209,0.5173433898911863,0.604785439018842,0.5442963365202098,0.49146565416514576,0.6822972857509062,0.5462366404664658,0.703939833670472,0.7030126928153078,0.5435827823564202,0.5929370635937018,0.6570943330411831,0.423717498985776,0.6293188868158627,0.6644008478390311,0.6393832441812587,0.42300286896832645,0.46360672875350384,0.5899703855178918,0.6690029174764637,0.653314508702165,0.4590337661188197,0.5136020197568177,0.618630573147861,0.351399368010741,0.5200135138661348,0.5035053844846084,0.6955965263084896,0.6208335619874704,0.5615246348775049,0.6807533900536352,0.4769716672234947,0.6617191368684328,0.5347268947754589,0.6073159588782983
JPM,0.6826687331193956,0.6974120048654919,0.6501480036133802,0.6844595038786438,0.6143667059158339,0.6157535210174607,0.5662885962580293,0.44219349173365785,0.6329409314528299,0.0,0.6483853121585834,0.6493503556304949,0.4340512431895018,0.6421661905848354,0.4793873032551458,0.5997031114655194,0.6087915183605462,0.6471369131858205,0.5807214708859447,0.4686114600101856,0.5474707594718612,0.5454816242674626,0.6787054896522402,0.44152008068758414,0.646372067613111,0.17805451125016855,0.39715401989832577,0.36292554839174684,0.6939844333986424,0.6519817048920192,0.6970852984667083,0.625450356264566,0.3490045965505673,0.550409435815257,0.6559082652040675,0.6506890862118371,0.6068702290881682,0.6009336358677321,0.6002596726555821,0.6948752096950161,0.640804637930898,0.5133502018903591,0.3700621602988779,0.5772232771243122,0.596252091611019,0.6571922956205294,0.585839711519822
