,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,JNJ,V,PG,JPM,HD,UNH,MA,NVDA,VZ,NFLX,ADBE,INTC,PYPL,T,PFE,CSCO,MRK,CMCSA,PEP,BAC,KO,XOM,WMT,ABT,CRM,ABBV,CVX,TMO,MCD,AMGN,COST,ACN,NEE,LLY,BMY,LIN,MDT,DHR,PM,TXN,NKE
MSFT,0.0,0.4336460318170969,0.3400942115418022,0.4723167506877362,0.31534594151598233,0.3031958899709091,0.457183949747356,0.33438337960370346,0.5820662811887147,0.39995840241500497,0.428393091130472,0.4972590039867282,0.38533166589021134,0.35551025490373606,0.544324062304535,0.3995025273682501,0.27319134514183097,0.3576319131050324,0.43238491141918795,0.6288782381100944,0.4863107198291912,0.30009865498087784,0.5401357350102348,0.5743098246991216,0.5667374576925496,0.37238088286391274,0.5192265088305067,0.5411803890501202,0.5247717899814885,0.3516683764217615,0.3727511502088624,0.5195315580296392,0.48965022894071114,0.4323884077243771,0.6158168184460754,0.4193630406023506,0.3978315787084168,0.353505555347405,0.6159202185645737,0.45976139715238756,0.5615688542695861,0.4102035623408949,0.40872423028247445,0.3625044470481476,0.6302903185511284,0.36902616870537674,0.4983587702364541
AAPL,0.4336460318170969,0.0,0.4978425613431578,0.5497849376589531,0.45399212861888355,0.44306811918417327,0.562843766795106,0.46508706079362194,0.5749889815875248,0.5203932436599151,0.524988217207728,0.5767318299359656,0.3664395715274207,0.4547171957006023,0.6769740624722057,0.4741616157131691,0.4475807412162807,0.4751866431260394,0.5343684750612846,0.6344832622169371,0.6243709959736133,0.46726212991656807,0.628391365343822,0.5935191663503061,0.5742166637303722,0.5350842520739695,0.5992943538408101,0.5652477683853803,0.5742378165149621,0.4912202968847505,0.46493593719834964,0.6113510120520282,0.5834940975213581,0.4948847739279587,0.5673758657849748,0.5104275623431187,0.5049905233937594,0.4751320608590211,0.6415588563380584,0.574164618067127,0.6325081324091005,0.4963363967298239,0.52404395057139,0.4944988694303152,0.5715168412351102,0.40527669626105767,0.5744447888638322
AMZN,0.3400942115418022,0.4978425613431578,0.0,0.45437946400318935,0.37031234226468784,0.3594041102576066,0.5245320247837553,0.3714181856815495,0.6458273292707088,0.4707540591274248,0.4512956985971503,0.5492150023397221,0.38334714630769484,0.38947142056059025,0.6166369819106322,0.34851590717238046,0.3959530241392062,0.381794462515989,0.4266290074728342,0.7063520310768546,0.5776145347731858,0.3204207405768324,0.6156648269047112,0.6615354537685566,0.6154565430034428,0.4532770832576918,0.543466580988313,0.563489835306048,0.5598953339566157,0.3751425142764367,0.4128958936789714,0.5397482083942033,0.45900159256122125,0.4789639957555869,0.6157756078398899,0.46528914953694966,0.46303553724931196,0.3964084691196992,0.6111222004849854,0.5521603357437344,0.6186209394105747,0.4179329647502785,0.4447524970091159,0.4251698391760462,0.700995777446806,0.4724799362964326,0.49597180768860893
FB,0.4723167506877362,0.5497849376589531,0.45437946400318935,0.0,0.37374795222239504,0.38044833619690444,0.5475963842958674,0.38848980161606317,0.6408703360616406,0.5382537225275206,0.4648612916564377,0.6306029293109321,0.40929331100060407,0.4609054196352969,0.660188093270697,0.47502287262182563,0.5033915706242769,0.4960492623178345,0.4638547062399498,0.6641652430868779,0.601002139356194,0.47668369367425273,0.6214663248120416,0.648919399359053,0.5811179989872538,0.5368172080450391,0.5882610313123106,0.5004192709562312,0.5734788572028906,0.4890635501085169,0.49080195569567303,0.4954250056693802,0.5108680918147908,0.5834413933749726,0.6025261807377608,0.5146896120747779,0.587991479225482,0.49365652114587666,0.5875147700898224,0.49593382486961374,0.6088012463200295,0.43289127294162216,0.5122487376920315,0.4714620571382579,0.6781389191386357,0.5702912849547832,0.6255500896307352
GOOGL,0.31534594151598233,0.45399212861888355,0.37031234226468784,0.37374795222239504,0.0,0.05138596908466308,0.47477943122781463,0.3337405486629731,0.6090725037768331,0.38870784898489064,0.47889479285337055,0.5524262211557598,0.38040689372751424,0.37113178839239047,0.6415087289823114,0.3814490914800697,0.3751578266691836,0.4051566702498486,0.3723783553950067,0.6431235680905488,0.5491788083487231,0.33809889302063634,0.5504202695909799,0.538576612790128,0.5703385633120953,0.39756103431874146,0.5483366297949352,0.5004578800921919,0.5696658637391633,0.33455507594634337,0.398744954808143,0.4710689188809153,0.5034844581439499,0.43055496932721943,0.608305761863548,0.47070356092223126,0.46982105385880363,0.3442373780503246,0.6584302422258342,0.510535173197301,0.6053358251167389,0.34600344942237715,0.39985365034098724,0.3392169062015514,0.6714323538703909,0.42586952727313443,0.5618251732169747
GOOG,0.3031958899709091,0.44306811918417327,0.3594041102576066,0.38044833619690444,0.05138596908466308,0.0,0.47037306316101,0.33051410032238393,0.6088843990041598,0.38396784521472466,0.473274208086533,0.5401915125477498,0.371737158734855,0.37292803720025974,0.6332217857789842,0.3748288013261187,0.36438721685848635,0.4048372884248099,0.375985903787971,0.6401458757860832,0.5411497932850924,0.333721763924409,0.5481796980668457,0.5446051596371301,0.5706463351062823,0.3925304468120527,0.549927908161644,0.5108984042410775,0.5549177828158869,0.3302434975226731,0.39670137636473013,0.47333987285911144,0.5028320997660387,0.42718371377764036,0.5987239364101166,0.45886378128554256,0.46202015571360805,0.3427714734801786,0.653887159048876,0.5037744670679679,0.5996378744514154,0.3519074551129584,0.40422169259006874,0.33307639385556603,0.6754782550655155,0.41561394208733066,0.5557557143198848
JNJ,0.457183949747356,0.562843766795106,0.5245320247837553,0.5475963842958674,0.47477943122781463,0.47037306316101,0.0,0.46737673226598253,0.48993576090413227,0.4429437748036621,0.5014311495318258,0.4735115105303109,0.5204147550563025,0.5307240378503787,0.5196293563240659,0.5866117991347964,0.4773833570715876,0.4924330275436408,0.5539078639403188,0.5431975001419627,0.38127364931769536,0.4723999769600541,0.4236536576467502,0.548624198057553,0.4453256565165778,0.46457371015571786,0.47035032046961,0.5199663336299936,0.48510030485896005,0.37175965111995835,0.5585188522252682,0.5012566022654791,0.5248119754398537,0.46779094587070114,0.5812479933874455,0.45689007217553046,0.5019708127703053,0.4285378015312582,0.6280577195140705,0.3329237143494977,0.5377600684803497,0.41489244791270463,0.4289683988698915,0.3758223502372045,0.6036680851352577,0.4714271885245767,0.460378655307246
V,0.33438337960370346,0.46508706079362194,0.3714181856815495,0.38848980161606317,0.3337405486629731,0.33051410032238393,0.46737673226598253,0.0,0.6129481674770678,0.4124323932492141,0.3777434783957312,0.5330004454030899,0.2755004687114097,0.3821784985951519,0.6587673606018302,0.4295446732002623,0.32139302479232823,0.40496807699633663,0.37490594241047653,0.7012587880979049,0.5077975777358839,0.3652130377156803,0.558858107133328,0.6335045056742551,0.5683354338384995,0.4166152041339744,0.5807522544996062,0.4895967445578944,0.5249894350826393,0.384513163304946,0.37097825624374364,0.48697991937334645,0.49176886172863227,0.45899060358487886,0.5321578833250992,0.4955905863882089,0.4436419558444799,0.34248261473225805,0.6195254222543165,0.4794546921323446,0.5749520960650926,0.34002553272800223,0.45087391214930145,0.37592463998113634,0.6584261422794402,0.46140981373148804,0.5338133300598049
PG,0.5820662811887147,0.5749889815875248,0.6458273292707088,0.6408703360616406,0.6090725037768331,0.6088843990041598,0.48993576090413227,0.6129481674770678,0.0,0.6267373483666225,0.5566161423267952,0.5897723428872472,0.6272103274327689,0.6132320763776415,0.5482616026742082,0.6218062763096323,0.6098532284416415,0.5566354845742737,0.630878308923993,0.5725318029727962,0.5482674835662382,0.6201328718576573,0.577196853984548,0.5925702098282857,0.382409573687857,0.6510337257697654,0.41499951584977385,0.5732115760365095,0.5510764688267115,0.5594523161183752,0.6336171727939999,0.5889039403137826,0.6288292119632912,0.5780990526892558,0.6313059032855666,0.5490889809368918,0.5498270176946854,0.5657356123555737,0.5872674607646565,0.5174649211311575,0.5849576211600236,0.5578961875609819,0.556648690243517,0.541729041299052,0.38526390675042077,0.5365635628326052,0.5787358050647494
JPM,0.39995840241500497,0.5203932436599151,0.4707540591274248,0.5382537225275206,0.38870784898489064,0.38396784521472466,0.4429437748036621,0.4124323932492141,0.6267373483666225,0.0,0.4921626559531706,0.5460056563895325,0.4068090358166079,0.46581570476338574,0.6004656332240313,0.4987468720087919,0.4413721216834318,0.4349344757809496,0.5039133696100669,0.6009368717282765,0.473960978631133,0.4127557571365839,0.5482388929470682,0.5830983745497609,0.6252516920707402,0.17349346099690774,0.6030799441819993,0.4756174003246251,0.5518797510406239,0.38452085666572716,0.48553010217632664,0.5202274868852642,0.45412690311398074,0.4380291639750549,0.6006005079888606,0.4833261220919407,0.44545003595378674,0.37376325310161285,0.7004512501196757,0.47651814422046224,0.5556581562066149,0.423516991192601,0.4336911229294852,0.42734800472119394,0.6992355420238949,0.4486078757061562,0.501987102097101
HD,0.428393091130472,0.524988217207728,0.4512956985971503,0.4648612916564377,0.47889479285337055,0.473274208086533,0.5014311495318258,0.3777434783957312,0.5566161423267952,0.4921626559531706,0.0,0.5533333752321262,0.41281893115519197,0.5069245536800014,0.592765958077487,0.49874288463115696,0.479689898121069,0.45727101273254495,0.5282660388947545,0.6886036490515686,0.5114979523772037,0.4764547572626761,0.6028472746165465,0.6334583633850853,0.579812370603234,0.5173923077923183,0.55127583594096,0.4944977151619267,0.4909491660584399,0.4228073530656713,0.5172702718801818,0.5092138527665827,0.4591437162303313,0.47534979619712403,0.576282633417305,0.4418363106640013,0.4258772532591086,0.42318405974748113,0.5593485787291118,0.45324902404262035,0.5876165491320913,0.45429110458501143,0.49708221009850445,0.41737541112036464,0.6328030492125263,0.48923349351920964,0.5100570479081127
UNH,0.4972590039867282,0.5767318299359656,0.5492150023397221,0.6306029293109321,0.5524262211557598,0.5401915125477498,0.4735115105303109,0.5330004454030899,0.5897723428872472,0.5460056563895325,0.5533333752321262,0.0,0.5587256854305759,0.5870471970818845,0.47058218086459935,0.5820311750636644,0.5352208858659445,0.5772711900876286,0.5657474840280493,0.5757815731146978,0.5110737965647304,0.5616027581270533,0.5546504275135,0.6247467916908384,0.5746358083415597,0.546599871923386,0.5487952524091219,0.6317232218976444,0.5498633889199241,0.4758730570934337,0.5768922763794154,0.5496839982907451,0.5868580029030191,0.47177972373248483,0.5905331402141675,0.4788061482696217,0.5633061573523813,0.49559772776186334,0.6232011119465884,0.5001548625102838,0.6673626454571272,0.4847047474884101,0.561252097699753,0.4315809488271688,0.6357008698553389,0.5162079439610583,0.5574950573259972
MA,0.38533166589021134,0.3664395715274207,0.38334714630769484,0.40929331100060407,0.38040689372751424,0.371737158734855,0.5204147550563025,0.2755004687114097,0.6272103274327689,0.4068090358166079,0.41281893115519197,0.5587256854305759,0.0,0.3863926729435456,0.6750677255636143,0.38082406776921135,0.3783385538132567,0.3889605985848429,0.4495459124760998,0.696614735188705,0.566062860437312,0.3795975873568741,0.6242736434573622,0.642433366001628,0.6135632923495827,0.43034897058970023,0.6118627389661168,0.4899282896241004,0.5161831262718223,0.4204524242121133,0.3752301056574035,0.5163719903328046,0.4736475379449211,0.4703666140133129,0.5816980327329716,0.49462343802008374,0.48275156581067324,0.34674202856415204,0.6153043215170607,0.5131962650195777,0.5701488214597289,0.398928711838388,0.49071357438402274,0.4101340390330948,0.6710460545421822,0.4382281254882561,0.5508681544660744
